name,degree,review num,address,tel
신흥정육식당,4.0,145,서울 강동구 양재대로89길 16,
스윗솔트,4.5,342,서울 강동구 상암로 286,02-3427-0999
시집,4.2,822,서울 강동구 천호대로158길 15-8,02-486-8986
풍년상회쪽갈비,4.5,464,서울 강동구 천호옛14길 23-6 1층,02-478-0555
참사랑해 본점,4.6,12,서울 강동구 양재대로 1500 1층 109호,02-473-1337
버섯잔치집,3.7,234,서울 강동구 성내로 52 성원빌딩 1층,02-470-0092
최냉면,3.5,94,서울 강동구 천호옛8길 34,02-484-0441
더식당,4.2,280,서울 강동구 천호대로157길 24 2층,02-489-0403
씨푸드박스 천호본점,4.1,60,서울 강동구 구천면로 149 1층,0503-7150-8987
강동해물찜해천탕,3.4,36,"서울 강동구 양재대로 1416 1,2층",02-483-7345
백년화편,3.9,456,서울 강동구 양재대로81길 32 1층,1588-5678
골드참치,3.7,92,서울 강동구 양재대로 1500,02-478-3337
평양만두집,3.7,102,서울 강동구 성내로 14,02-488-2149
와우1.2,5.0,2,서울 강동구 양재대로 1371 둔촌빌딩 1층,02-470-9282
족발선생,4.5,153,서울 강동구 올림픽로70길 51-6 1~3층,02-472-1333
브랜뉴하이몬드,3.8,508,서울 강동구 천호옛14길 11 1-2층,02-478-2402
시간을담다베이커리,4.6,219,서울 강동구 동남로49길 54 지하1층,010-7750-0582
천호맛집 등갈비달인 본점,4.3,133,서울 강동구 천호대로158길 25 1층,02-6203-4638
카페제이,4.3,180,서울 강동구 동남로82길 19 1층,070-8270-9370
경송,4.6,"1,212",서울 강동구 천호대로159길 22 1층,0502-5550-9299
디자인카페허브,3.8,72,서울 강동구 천호대로200길 15-16,02-417-0437
풍촌코다리네 본점,4.2,316,서울 강동구 올림픽로 763 1층,02-442-9279
길조,3.3,390,서울 강동구 천호대로 1173,02-476-9494
강동반상,3.5,155,서울 강동구 상일로6길 39 강동타워 지하1층,02-429-2733
차이나린찐,2.4,170,서울 강동구 강동대로 217 인텍스파크뷰 1층,02-470-2600
육대쌈 암사점,2.8,234,서울 강동구 고덕로 104,02-427-6363
봉메밀 길동본점,4.0,249,서울 강동구 천호대로203길 10,0503-5297-4942
이한진숙성회,4.5,417,서울 강동구 구천면로 247-1 2층,02-476-5007
쿠우쿠우 골드강동점,3.3,"1,737",서울 강동구 양재대로 1571 홈플러스 지하1층 B1호,02-484-6274
해중천반점 천호동점,2.8,128,서울 강동구 천호옛길 84,02-477-3878
왕대포2,2.8,40,"서울 강동구 구천면로 140 9,10층",
청해진,3.9,84,서울 강동구 강동대로 187 파크비유캐슬 1층,02-473-8102
암사민물장어 암사본점,3.5,32,서울 강동구 고덕로 33 1층,02-3426-2253
로니로티 천호점,4.0,906,서울 강동구 천호대로 1027 동원천호빌딩 2층,02-487-7999
갓잇 올림픽공원점,4.0,585,서울 강동구 성안로 14 1층,02-485-9451
천호동엄마손만두,3.7,73,서울 강동구 올림픽로 683 명화빌딩 1층 101호,02-471-4436
선남Sea,4.5,53,서울 강동구 상암로 26 선사타워빌딩 1층,02-427-8195
연풍민락 천호점,4.1,440,서울 강동구 천호대로157길 18 원방빌딩 2층 201호,02-473-9688
송월냉면,3.9,136,서울 강동구 천중로18길 57 1층,02-484-1910
오양별,4.1,61,서울 강동구 성내로 62 1층,02-477-1192
사시미 천호점,3.3,995,서울 강동구 천호대로155길 22 1~4층,02-474-0840
형제기사식당,4.1,38,서울 강동구 성안로 186 1층,02-472-8015
충무굴보쌈족발,3.5,64,서울 강동구 양재대로111길 7,02-484-5556
푸지미곱창,3.7,350,서울 강동구 천호옛14길 23,
스시야미,3.2,39,서울 강동구 진황도로 4-9 1-2층,02-478-3034
산수고원,3.3,92,서울 강동구 동남로 588,02-478-3490
긴자 올림픽공원점,3.2,62,서울 강동구 강동대로 223,02-483-1122
세꼬시,4.5,74,서울 강동구 양재대로 1427 1층,02-473-8664
스시마에,4.4,148,서울 강동구 성내로 40 1층,02-484-9914
동촌,3.6,12,서울 강동구 명일로13길 26,02-474-8332
친구야족발먹자 길동본점,4.8,13,서울 강동구 명일로 200-9 1층 101호,02-474-0523
와고참숯갈비,4.4,188,서울 강동구 올림픽로70길 47-7 1층,02-486-5990
동구밖장작구이,3.8,82,서울 강동구 풍성로 309,02-484-5292
하다식당,4.1,63,서울 강동구 풍성로 105 1층,02-474-3555
리애 프리미엄 올림픽공원직영점,4.3,"1,363",서울 강동구 성내로18길 46 1층,
깨돌이김밥 천호점,4.2,47,서울 강동구 천호대로157길 54,02-477-8832
보성갈비 본점,3.6,70,서울 강동구 양재대로89가길 14 1층,02-486-3393
한국식왕돈까스1980 천호본점,3.0,85,서울 강동구 올림픽로 737,02-472-6363
꿀꿀진순대국 강동본점,4.0,327,"서울 강동구 양재대로103길 70 강동아너스빌 1층 101,102호",0507-1435-0087
