name,degree,review num,address,tel
엘림들깨수제비칼국수,4.3,476,서울 강북구 삼각산로 67,02-996-2583
키토산우이산장,3.4,81,서울 강북구 삼양로181길 141-5 2층,02-999-9119
곰보냉면,2.8,60,서울 강북구 노해로33길 64 1층,02-908-9300
장수마늘보쌈,4.2,288,서울 강북구 한천로 960 1층,02-997-6155
대보명가 서울본점,3.5,35,서울 강북구 4.19로 69 2층,02-907-6998
소담촌 수유점,3.9,111,서울 강북구 도봉로 388 테마빌딩 8층,02-903-9033
산성골,3.0,59,서울 강북구 덕릉로 126,02-989-7341
흥부전놀부전,3.3,209,서울 강북구 노해로 42-1 1층,02-900-2779
연포생선구이전문점,3.5,112,서울 강북구 덕릉로28길 65 1층,02-984-5592
무이식당,4.8,42,서울 강북구 도봉로97길 72 1층,010-8385-1196
황주집,3.4,211,서울 강북구 도봉로 372 1층,02-903-6275
다래함박스텍,4.4,225,서울 강북구 수유로 20-2,02-2241-7558
여러분평양냉면,4.6,113,서울 강북구 한천로 1074 1층,02-998-5802
옥류헌릴렉스,3.3,562,서울 강북구 삼양로181길 142,02-993-1829
고메스퀘어 수유점,3.1,302,서울 강북구 도봉로 308 9층,02-6956-6275
수유손칼국수,3.1,145,서울 강북구 도봉로101길 45,02-905-9949
능이마을 미아본점,3.7,55,서울 강북구 솔샘로 330 1층,02-987-5292
신일기사식당,4.6,12,서울 강북구 오패산로 383,02-992-9186
옛가칼국수,4.5,94,서울 강북구 노해로 91-14 2층,02-904-1150
우리콩순두부,4.6,145,서울 강북구 삼양로173길 46,02-995-5918
수유 섬진강민물장어 본점,4.5,33,서울 강북구 한천로 1151,02-993-9545
옛날농장 미아현대점,4.3,123,서울 강북구 도봉로 30 에코피아빌딩 1층,
샘터마루,,148,서울 강북구 4.19로12길 35 1층,02-902-6456
진호횟집,,374,서울 강북구 도봉로98길 33 1층,02-902-9915
소귀골백운산장,4.8,40,서울 강북구 삼양로181길 206 1층,02-993-3611
대광어회집,4.0,325,서울 강북구 노해로 31 1층,02-903-6789
제일분식,3.1,275,서울 강북구 숭인로 65-3 숭인시장,02-985-7333
스타벅스 강북구청사거리점,4.2,41,서울 강북구 도봉로 365,1522-3232
스타벅스 미아역점,4.2,22,서울 강북구 도봉로 196 1층,1522-3232
일미집,4.0,122,서울 강북구 숭인로 65-3 1층,02-987-3055
낙지일번지,4.3,439,서울 강북구 도봉로89길 10 1층,02-907-1017
수유리우동집 본점,3.2,72,서울 강북구 덕릉로 94 1층,02-980-9630
맥도날드 수유점,3.4,61,서울 강북구 도봉로 342,02-6231-2600
스시노칸도 수유점,3.9,152,서울 강북구 한천로139나길 1 3층,02-997-5949
엄마손기사님식당 수유본점,3.9,5,서울 강북구 한천로 1138 1층,02-999-3684
착한낙지 북한산점,3.9,38,서울 강북구 4.19로 82,02-905-7963
주막,4.6,118,서울 강북구 월계로7나길 30-3 1층,070-7607-1680
한옥카페 선운각,,448,서울 강북구 삼양로173길 223,0507-1399-1105
스시와다,4.3,11,서울 강북구 도봉로 290 1층,02-980-7590
아웃백스테이크하우스 미아점,3.9,159,서울 강북구 도봉로 62 롯데백화점 미아점 9층,02-944-2661
청수가든,3.7,511,서울 강북구 4.19로28길 29,02-992-8242
어니언 미아,4.6,238,서울 강북구 솔매로50길 55 서울강북우체국 1층,070-7816-2714
천회초밥,4.8,55,서울 강북구 노해로 69 1층,
미림산장,2.2,114,서울 강북구 삼양로181길 253,02-993-3330
할머니해장국,3.8,16,서울 강북구 월계로37길 137-6,02-915-1541
무너미,,312,서울 강북구 노해로8가길 40 1층,02-903-5058
석가갈비냉면 수유점,3.9,25,서울 강북구 한천로 1160,
한일산장,3.7,47,서울 강북구 삼양로181길 239 1층,02-908-9323
소담촌 미아사거리점,4.3,81,서울 강북구 월계로 3 덕신빌딩 5층,02-987-5566
크을농,3.8,44,서울 강북구 4.19로 91 1층,02-990-7900
양다리걸쳤네 수유본점,2.8,27,"서울 강북구 노해로8길 16 우암센스뷰 101,102호",02-993-9266
조연탄 수유점,4.5,237,서울 강북구 한천로140길 20,02-996-8858
전주선지순대추어탕,4.3,4,서울 강북구 오현로31길 173,02-987-0008
산두부집,4.2,45,서울 강북구 삼양로173길 61 2층,02-903-3532
예와손만두,4.5,45,서울 강북구 4.19로 40-8,02-905-9659
상미식당,3.2,123,서울 강북구 수유로 82 1층,02-900-7575
대가원 수유점,4.3,8,서울 강북구 한천로 1064,02-999-0444
주대국초밥집 미아점,3.8,37,서울 강북구 솔샘로48길 4 1층,02-945-6650
벼랑순대국 본점,3.7,87,서울 강북구 한천로 924 1층,02-900-5459
석관동떡볶이 수유점,3.0,73,서울 강북구 도봉로87길 14 1층,02-993-1674
구들리,3.8,276,서울 강북구 4.19로12길 65-7 1층,0507-1358-5175
진미기사식당,4.0,286,서울 강북구 한천로 1163 1층,02-998-0010
선비촌보쌈,4.3,24,서울 강북구 도봉로29길 10 1층,02-945-7115
두메골,4.2,39,서울 강북구 삼양로 187,02-984-8080
큐브이스케이프 수유점,4.3,51,서울 강북구 도봉로87길 11 2층,02-903-0706
은수식당,4.1,16,서울 강북구 한천로 1063 1층,02-907-1139
깃든,3.9,6,서울 강북구 월계로7나길 46-5 1층,02-987-1025
이가네만두,4.7,32,서울 강북구 솔샘로65길 71 1층,02-988-6537
만두향,4.5,86,서울 강북구 한천로123길 61 1층,02-992-5280
미즐카페엠,3.3,148,서울 강북구 4.19로 107 1층,02-999-5055
드롭바이드롭,4.3,4,서울 강북구 도봉로68길 33,
행복수산,3.3,140,서울 강북구 솔샘로67길 133 1층,02-980-0736
시골길 본점,4.5,63,서울 강북구 삼양로179길 172,02-994-8989
원조할매곱창 미아점,3.1,72,서울 강북구 월계로3길 68 1층,02-989-0878
명인갈비 미아직영점,4.7,199,서울 강북구 솔샘로 327 1층 101호,02-986-9292
이설함흥냉면,2.3,217,서울 강북구 4.19로 42 1-2층,02-997-7370
동네함박,3.8,59,서울 강북구 도봉로15길 11 2층,02-6104-0418
조개일번지,4.2,447,서울 강북구 도봉로8길 37 1층,02-988-1014
스시광,3.8,14,서울 강북구 도봉로 182 1층,02-945-4949
계곡산장,4.0,3,서울 강북구 4.19로30길 2-8,02-902-3168
송연95닭갈비,4.4,48,서울 강북구 도봉로8길 62,02-982-0656
동대문곱창,4.7,49,서울 강북구 숭인로 65-3,0507-1320-3336
골방집 번동점,3.6,9,서울 강북구 한천로 926 2-3층,02-993-8200
삼양동순대떡볶이,3.2,33,서울 강북구 삼양로 246,
