name,degree,review num,address,tel
강강술래 신림점,2.9,156,서울 관악구 남부순환로 1660,02-886-9233
쟝블랑제리,3.8,508,서울 관악구 낙성대역길 8 1층,02-889-5170
아리차이 신림점,4.0,63,서울 관악구 신림동길 4 1층,02-877-1272
중화요리팔공,4.2,519,서울 관악구 남부순환로 1680 지하1층,02-877-9815
장수촌풍천장어직판장,3.4,47,서울 관악구 남부순환로 2082-37 2층,02-582-0230
두리닭발 사당역본점,4.4,329,서울 관악구 남현3길 78 2층,02-6339-8035
오첨지,4.3,260,서울 관악구 남부순환로176길 18 2층,02-889-8016
연소바 서울대점,2.9,90,서울 관악구 남부순환로 1802 관악캠퍼스타워 1층 132~1333호,02-871-2221
서울갈비 신림점,3.9,510,서울 관악구 남부순환로 1645,02-885-7610
하이보 서울대입구점,3.6,40,서울 관악구 관악로 134 2층,02-882-8813
옛날집,4.2,95,서울 관악구 남부순환로185길 14 1층,02-882-7576
베이컨시,4.6,237,서울 관악구 봉천로62길 5 옥산빌딩 지하1층,0507-1428-6958
온정돈까스 본점,,432,서울 관악구 조원로 60 1층,02-3281-3330
만성찬팅,3.6,260,서울 관악구 신림로 322-4 1층,02-883-1978
코코미,3.2,117,서울 관악구 관악로 146,02-872-2233
풍천민물장어삼억집,3.1,95,서울 관악구 남부순환로 1875,02-887-6888
두만강샤브샤브&중화요리,4.2,94,서울 관악구 봉천로 552 푸르빌5차아파트 1층 102호,02-885-7966
원조민속순대타운,3.2,369,"서울 관악구 신림로59길 14 2,3층",
신셰프양꼬치&훠궈 남현동1호점,2.7,625,서울 관악구 남현3길 71,02-598-0077
산골,3.2,471,"서울 관악구 관악로 211 마동 1층 29,46호",02-874-3292
힘찬정육점식당 사당역직영점,2.7,35,서울 관악구 남현1길 58 1층,02-521-6366
막불감동,3.9,544,서울 관악구 남부순환로 1599 지하1층,02-883-2110
숙이네조개전골 서울대입구점,4.4,259,서울 관악구 관악로16길 41 1층,02-878-4645
마뇨떡볶이,4.1,200,서울 관악구 신원로 35 삼모더프라임타워 2층,02-873-6262
생각보다맛있는집 신림점,4.4,94,서울 관악구 봉천로 236,02-872-7818
부추삼겹살 딱이야 본점,4.0,29,서울 관악구 신림동5길 49 1층,02-6339-8530
정담은보쌈 신림점,3.9,254,서울 관악구 남부순환로 1661,02-888-8401
로향양꼬치 서울대2호점,3.5,16,서울 관악구 낙성대로 12 1층,02-887-1812
소담촌 봉천현대시장직영점,4.0,26,서울 관악구 양녕로 50 금강빌딩 2층,02-876-0977
일점사,3.7,40,서울 관악구 관악로16길 25,02-878-6504
기절초풍왕순대,4.0,553,"서울 관악구 봉천로62길 2 1,2층",02-872-8805
한우정육마당 구로점,3.9,37,서울 관악구 시흥대로164길 3 1층,02-867-0070
피자네버슬립스 샤로수길점,4.0,196,서울 관악구 봉천로 534 2층,
전라도시네마,3.0,417,서울 관악구 신림로59길 14 3층 307호,02-886-7630
문성골족발집,4.5,291,서울 관악구 신원로 16 영신상가 1층,02-855-8789
지리산삼계탕 2호점,3.9,163,서울 관악구 신림로 300 웅산빌딩 2층,02-885-2015
조프로감자탕 서울대본점,4.0,64,서울 관악구 봉천로 461 1층,02-877-7199
청송산오징어,3.9,454,서울 관악구 남현1길 8 1층,02-584-5286
외래향 서울대점,,238,서울 관악구 남부순환로 1801 2층 201호,02-888-1224
삼미옥,2.8,49,서울 관악구 남부순환로 1829-6 1층,02-889-9327
명돼지갈비,4.2,105,서울 관악구 과천대로 931,02-522-2975
갯벌의조개 사당점,4.2,314,서울 관악구 남현1길 68-6 1층 제나호,02-588-9882
십원집 봉천점,3.3,"1,150",서울 관악구 봉천로 521 1층,02-873-0057
복돈이부추삼겹살 사당본점,2.7,466,서울 관악구 남현1길 68-14 남현빌딩 1층,02-582-5124
은행골 본점신관,3.4,207,서울 관악구 조원로 10-1 1층,02-859-4988
월화고기 보라매직영점,,110,서울 관악구 보라매로3길 16,02-888-7592
고창복의낙지세상 봉천점,2.9,90,서울 관악구 남부순환로 1725 2층,02-886-4242
시골집,3.8,211,서울 관악구 낙성대로 22-7,02-874-7333
다글다글,4.5,150,서울 관악구 남현길 63-5 1층,02-583-3231
라페리체,4.0,84,서울 관악구 관악로14길 34 지하1층,070-8773-1001
고기굽는사람들 샤로수길본점,4.4,380,서울 관악구 관악로14길 70 1층 106호,0507-1357-6884
