name,degree,review num,address,tel
서북면옥,3.6,485,서울 광진구 자양로 199-1,02-457-8319
원조할아버지손두부,4.4,814,서울 광진구 자양로 324 1층,02-447-6540
비스타워커힐서울 피자힐,3.6,902,서울 광진구 워커힐로 177,1670-0005
라구뜨,4.2,20,서울 광진구 능동로 90 더클래식500 B동 3층,02-2218-5770
멕시칼리,4.6,"1,851",서울 광진구 능동로36길 181 1층,070-7623-1707
함흥본가면옥 건대점,3.4,161,서울 광진구 광나루로 456 1층,02-447-8806
송쉐프 구의점,4.1,40,서울 광진구 아차산로 355 타워더모스트광진아크로텔 2층,
고고기,4.4,81,서울 광진구 아차산로 471 CS프라자빌딩 1층,02-454-0092
남한강민물매운탕,3.7,134,서울 광진구 동일로 150 1층,02-464-7568
뚝방길홍차가게 본점 (휴업중),4.4,550,서울 광진구 자양강변길 277 1층,02-512-0189
하이디라오코리아 건대점,4.3,526,서울 광진구 능동로 110 스타시티 영존 A동 1층,02-456-5683
동해해물,2.8,40,서울 광진구 동일로26길 16 1층,02-469-5843
순금이떡볶이,3.0,115,서울 광진구 자양로43길 43 1층,02-455-8090
육일관,3.4,636,서울 광진구 아차산로31길 10,02-464-6868
로니로티 건대점,3.9,906,서울 광진구 아차산로 225 3층,02-498-7999
중경식객,3.4,11,서울 광진구 동일로20길 109,02-463-7789
송림식당,3.7,370,서울 광진구 자양번영로 79,02-457-5473
고기대통령 본점,3.9,61,서울 광진구 능동로 91 2층,02-462-9080
비스타워커힐 서울 더 뷔페,4.6,749,서울 광진구 워커힐로 177 1층,1670-0006
카레당,4.3,137,서울 광진구 능동로 251 1층,02-464-4022
서소문순두부보쌈,3.5,87,서울 광진구 동일로 128 재향군인회관 1층,02-497-4910
신토불이떡볶이 본점,3.3,"1,044",서울 광진구 자양로43길 42 1층,
치바우뼈다귀 중곡점,4.3,54,서울 광진구 용마산로 38 1층,02-446-1417
체리커피,3.7,388,서울 광진구 능동로 284 1층 체리커피,02-444-7222
크래버 대게나라 광장점,3.8,156,서울 광진구 천호대로 611 1층,02-456-0277
돼봉삼겹살 건대점,4.0,624,서울 광진구 아차산로33길 16-4 2층,
성수완당 본점,4.4,"1,326",서울 광진구 아차산로26길 13 1층,0507-1448-5243
섬진강풍천장어직판장,3.6,7,서울 광진구 동일로 190 1층,02-469-6700
돕,3.1,155,서울 광진구 아차산로31길 9,02-499-2838
이화만두,4.2,295,서울 광진구 능동로 278-1 1층,02-455-3486
콩예원,4.0,78,서울 광진구 아차산로78길 75,02-444-3331
택이네조개전골 군자역점,3.5,73,서울 광진구 천호대로 591 유신빌딩 1층,0507-1411-9982
계탄집 본점,4.4,220,서울 광진구 능동로 31 1층,02-464-6804
대흥양다리바베큐 건대점,4.0,328,서울 광진구 아차산로30길 39 1층,02-468-6669
소랑도,4.6,123,서울 광진구 천호대로111길 41 1층,02-456-3488
미가담,4.3,35,서울 광진구 자양로 165 1층,02-2201-9595
열매제과점,4.8,112,서울 광진구 동일로24길 31 1층,010-5814-3738
송화산시도삭면 2호점,4.2,806,서울 광진구 아차산로30길 33 1층,02-468-7826
명봉반점(명봉양꼬치),4.6,636,서울 광진구 뚝섬로31길 59 1층,02-498-8808
아웃백스테이크하우스 건대스타시티점,4.5,323,서울 광진구 능동로 92 스타존 2층,02-2218-3021
광장동가온,3.0,132,서울 광진구 아차산로78길 75 현대골든텔2차 106호,02-3436-7100
영미오리탕 군자점,4.0,535,서울 광진구 동일로60길 53 천수빌딩 1층,02-463-5222
망향비빔국수 광진점,3.7,54,서울 광진구 천호대로 694 1층,02-454-1357
힘찬갯벌낙지,4.2,231,서울 광진구 능동로37길 6,02-461-3133
건대참숯벽돌 집 본점,4.4,96,서울 광진구 동일로24길 100-4 1층,02-469-1223
송화양꼬치,4.2,250,서울 광진구 동일로18길 70 1층,02-462-7826
오코노미야키식당하나,4.6,378,서울 광진구 능동로13길 111 1층,02-469-8884
천미향,2.9,274,서울 광진구 능동로 237 2층,02-464-8088
멘쇼,4.3,187,서울 광진구 군자로2길 3,02-499-8788
청국장보리밥소풍,4.2,72,서울 광진구 자양로45길 13 영덕주택 1층,02-455-9292
모두랑,3.6,310,서울 광진구 자양로28길 24 1층,02-457-1178
제주뜰갈치전문점,4.2,32,서울 광진구 구의로 6,02-455-1771
이이요,4.2,524,서울 광진구 능동로32길 6,02-3437-2225
김창훈포차,4.5,608,서울 광진구 능동로13길 65 1층,0507-1325-2084
소바쿠,3.7,175,서울 광진구 천호대로 650 1층,02-447-1470
호야초밥참치 본점,2.8,538,서울 광진구 능동로13길 39 한아름건물 1층,02-461-3739
애드앤드,4.6,87,서울 광진구 광나루로26길 28 1층,010-9254-0600
래빗홀버거,4.5,84,서울 광진구 광나루로 424 1층,02-446-0424
건대 소몰이,4.1,81,서울 광진구 동일로22길 17 1층,02-467-3339
행복한우,3.7,"1,786",서울 광진구 구의강변로 30,02-446-6987
대한해물,3.3,4,서울 광진구 아차산로51길 32 1층,02-456-1022
시옌 건대점,4.1,62,서울 광진구 능동로 137-8,02-498-2280
은혜즉석떡볶이,3.1,398,서울 광진구 광나루로 381-1 2층,02-468-7401
청주명문도너츠,4.2,61,"서울 광진구 자양로 203 1층 103,104호",02-453-8001
강릉엄지네꼬막집 구의역점,3.9,19,서울 광진구 아차산로 375 크레신타워3차 2층,02-452-2992
소금창고 건대점,4.4,16,서울 광진구 동일로24길 86,02-499-4109
소담촌 아차산역점,3.4,16,서울 광진구 용마산로 10 3층,02-2201-8800
화기애애 건대점,4.2,"1,561",서울 광진구 아차산로31길 16 1층,02-461-7585
도우터,4.4,405,서울 광진구 아차산로31길 40 1층,02-464-0559
안동참찜닭 본점,4.6,122,서울 광진구 동일로20길 117 1층,02-499-3530
옛맛서울불고기 건대점,4.3,14,서울 광진구 아차산로 305 1층,02-453-8889
하이난,3.2,43,서울 광진구 능동로 243-1,02-466-0832
더이퀼리브리엄커피,4.3,553,서울 광진구 아차산로30길 7 3층 더이퀼리브리엄 커피,010-5551-6073
포비,3.5,209,서울 광진구 동일로26길 57 1층,02-497-8555
원조숯불소금구이,3.8,66,서울 광진구 광나루로12길 19 1층,02-2205-0808
천지샤브샤브 2호점,4.2,62,서울 광진구 아차산로29길 22 2층,02-466-6334
노룬산떡볶이,3.3,101,서울 광진구 자양동 508-9,
군자대한곱창 본점,3.0,54,서울 광진구 능동로36길 10 1층,02-456-5207
김돈이 구의점,4.5,227,서울 광진구 아차산로 397 1층,02-444-2182
뽀빠이기사식당,2.9,88,서울 광진구 긴고랑로 17-1,02-467-2445
군자 장어시대,4.4,281,서울 광진구 천호대로 528 대원빌딩 1층 군자 장어시대,02-498-9981
빠오즈푸,4.0,271,서울 광진구 광나루로 373 1층,02-462-9256
미주류,4.2,149,서울 광진구 면목로 31 1층,070-8285-4864
바르미샤브샤브N칼국수,3.7,60,서울 광진구 아차산로 471,02-3437-1005
건대사시미,3.0,709,서울 광진구 아차산로33길 23 1층,02-465-3222
스타벅스 광나루점,3.7,43,"서울 광진구 아차산로 607 1,2층",1522-3232
스시텐 강변점,4.2,59,서울 광진구 구의강변로 86 강변리치타워 101호,02-454-9248
포남딘,4.6,66,서울 광진구 긴고랑로13길 10 2층 201호,010-3351-2029
로얄인디안레스토랑 건대점,4.5,269,서울 광진구 동일로22길 42 2층,02-466-8809
맛좋은순대국,4.0,96,서울 광진구 자양번영로1길 22,02-458-5737
장인석닭한마리,4.1,115,서울 광진구 자양로43길 49-6,02-456-9912
만경상회,4.6,13,서울 광진구 동일로22길 40 1층,02-6369-4603
맛나멸치국수,4.4,44,서울 광진구 긴고랑로 92 1층,02-455-7785
찜집,4.0,65,서울 광진구 자양번영로 44 1층,02-444-0007
청와옥 군자역점,3.6,"1,230",서울 광진구 천호대로 562 1층,02-446-1922
백일도,4.0,377,서울 광진구 능동로47길 37,02-467-8822
아웃닭 건대점,3.6,64,서울 광진구 동일로22길 51,02-467-9978
해피니스디저트 건대점,3.8,176,서울 광진구 아차산로30길 31 1층,0503-7151-4578
대원칼국수,4.5,187,서울 광진구 자양로18길 56 2층,02-454-3112
