name,degree,review num,address,tel
강강술래 시흥점,3.5,197,서울 금천구 시흥대로 193 금천ICT타워 2층,02-808-1888
진영면옥,4.6,625,서울 금천구 가산로 22-5 1층,02-864-2383
마벨리에 시흥점,3.7,177,서울 금천구 시흥대로 201 홈플러스 7층,1899-9991
호세가,4.4,442,서울 금천구 남부순환로108길 19 1층,02-868-8826
동흥관,2.8,215,"서울 금천구 시흥대로63길 20 B동 지하1층, 1,2층",02-803-3759
왕래성,4.2,28,서울 금천구 가산로 8 1층,02-6404-5557
제주탐하리,4.7,65,서울 금천구 가산로9길 12-8 1층,02-865-9233
바지락손칼국수,4.8,17,서울 금천구 독산로65길 27 1층,02-809-3491
만두라,4.2,70,서울 금천구 시흥대로 97 BB53호,02-809-8338
가산물갈비&즉석소불고기,,682,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,010-9581-8981
가산어시장,3.2,80,서울 금천구 벚꽃로 316 씨엔에스타워 1층 102호,02-865-3332
상아탑분식,4.0,66,서울 금천구 금하로29길 3 1층,02-804-1517
GS육천냉면,4.7,17,서울 금천구 남부순환로 1304 103호,
동대문털보네,4.5,87,서울 금천구 디지털로9길 99 스타밸리 1층,02-2649-0449
지리산삼계탕,4.7,111,서울 금천구 가산로 88 1층,02-869-2009
개성손만두요리전문점 가산디지털점,4.5,230,서울 금천구 가산로9길 22,02-851-8886
도원,3.5,152,서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호,02-861-6616
초가집부뚜막청국장 독산점,4.6,61,서울 금천구 독산로 242 1층,02-839-7828
춘천옥,2.7,121,"서울 금천구 디지털로12길 19 1, 2층",02-868-9937
황제짬뽕양꼬치,3.7,12,서울 금천구 디지털로9길 32 B동 1층 107호,02-2106-8530
로,3.8,116,서울 금천구 디지털로9길 47 한신IT타워 2차 1층 103호,
명륜진사갈비 서울독산점,2.6,186,서울 금천구 시흥대로 447 1층,02-854-0031
북촌삼대갈비 가산본점,4.2,551,서울 금천구 가산로 149 1층,02-830-0003
종로계림 닭도리탕원조 가산디지털단지점,4.2,121,"서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228,229호",02-2067-0093
문정곱창,4.3,"2,288",서울 금천구 디지털로12길 37 1층,02-6014-7290
인생파곱창,3.6,409,서울 금천구 시흥대로52길 42 1층,02-895-7778
이화룡불짬뽕,4.3,47,서울 금천구 시흥대로122길 15 1층,02-864-0025
김상현참치,4.1,22,서울 금천구 시흥대로 231 3층,02-891-9200
춘천골,4.1,27,서울 금천구 벚꽃로42길 8 1층,02-857-1577
가산동닭한마리 가산점,3.8,584,서울 금천구 가산로 142 1층,02-858-9291
인크커피 가산점,4.0,"1,394",서울 금천구 가산디지털2로 127-20,02-854-7200
이화순대국,3.6,119,서울 금천구 시흥대로 237-12,
짚신매운갈비찜 시흥사거리점,2.8,32,서울 금천구 시흥대로56길 9 1층,02-805-2248
파티엘하우스,2.8,72,서울 금천구 디지털로 173 엘리시아빌딩 3층,02-865-1141
순댕이네얼큰수제비,2.6,179,서울 금천구 시흥대로136길 1 1층,02-852-3670
그냥삼겹살집이나할걸그랬다,3.3,35,서울 금천구 벚꽃로 40 금천롯데캐슬골드파크1차 113동 112호 2층,010-4048-1591
금천가든,4.5,12,서울 금천구 시흥대로124길 6,02-837-7300
풍년갈비,3.1,84,서울 금천구 디지털로12길 33,02-864-5416
아라참치,3.4,30,서울 금천구 가산디지털1로 186 제이플라츠 B126호,02-2028-5551
미노리스시 금천롯데캐슬점,4.6,74,서울 금천구 시흥대로 315 1층,
더푸드스케치,4.1,31,서울 금천구 가산디지털1로 196 에이스테크노타워 10차 지하1층,02-6670-0060
스시쥬베이,4.5,87,서울 금천구 가산로 147,02-851-2477
왕게수산,4.2,41,서울 금천구 시흥대로 182,02-3141-8435
은행나무갈매기 본점,3.1,25,서울 금천구 금하로 678,02-894-8999
영향,4.5,226,서울 금천구 남부순환로108길 7,070-7717-7653
삼숙이갈비 본점,4.1,77,서울 금천구 벚꽃로 308 1층,02-864-8588
남도상차림,4.1,12,서울 금천구 시흥대로92길 4 1층,02-802-8286
천년풍천장어 직영9호점,3.4,65,서울 금천구 시흥대로 357 1층,02-808-6843
오치생참치,3.3,60,서울 금천구 가산디지털1로 128 STX-V타워 지하 1층 B134호,02-811-3179
딥,4.3,74,서울 금천구 범안로 1249 1층,
아로가 실비순대국,4.2,33,서울 금천구 범안로 1207,02-804-8856
우시장3호집,3.3,27,서울 금천구 시흥대로 364 1층,02-808-0756
태우마 본점,4.2,56,서울 금천구 범안로17길 9 한아마인드아파트 1층 102호,
아웃백스테이크하우스 가산점,3.1,243,서울 금천구 디지털로10길 9 현대시티아울렛 가산점 7층,02-2136-9971
두껍삼 가산직영점,,132,"서울 금천구 벚꽃로38길 43 1, 2층",1670-3592
도마다리뼈다귀전문점 시흥점,4.2,18,서울 금천구 독산로 119,02-805-5989
박가네 능이버섯백숙삼계탕 독산본점,3.3,4,서울 금천구 남부순환로 1372,02-862-6008
우리소양평해장국 본점,3.5,27,서울 금천구 범안로 1244,02-893-5559
니하우,4.3,66,서울 금천구 벚꽃로38길 32-43 1층,02-858-4033
송주불냉면 독산본점,4.2,14,서울 금천구 시흥대로138길 29,02-863-1670
애슐리퀸즈 가산퍼블릭점,,259,"서울 금천구 디지털로 178 A동 지하1층 B109,B111,B113호",0507-1497-0227
소곰집 가산디지털단지역점,3.9,108,서울 금천구 벚꽃로36길 30,
무드무드,4.5,93,"서울 금천구 탑골로4길 58 1,2층",0507-1368-4460
전주식당,4.3,45,서울 금천구 독산로109길 27 1층,02-831-7935
통영해물가 가산2호점,4.0,19,서울 금천구 벚꽃로46길 1-5,02-852-8378
프랑세즈과자점,4.1,25,서울 금천구 남부순환로 1392,
엄마손춘천닭갈비,4.5,38,서울 금천구 벚꽃로38길 15 1층,02-868-3294
포36거리 가산디지털단지점,4.8,12,서울 금천구 벚꽃로 286 삼성리더스타워 지하1층 112호,02-855-6117
돼지분식,4.5,61,서울 금천구 가산로9길 20 1층,
써브웨이 독산점,3.0,15,서울 금천구 독산동 291-6 1층 112호,02-803-2346
장군주먹고기 가산본점,3.9,23,서울 금천구 벚꽃로42길 3,02-830-8082
동산미,3.3,"1,013",서울 금천구 가산디지털2로 138-1,02-862-1944
삼대족발 금천점,3.4,10,서울 금천구 시흥대로 196 1층,02-808-7255
스타벅스 가산디지털점,3.8,34,서울 금천구 가산디지털1로 168 우림라이온스밸리 B동 1층,1522-3232
백암왕순대,5.0,0,서울 금천구 벚꽃로38길 32-37,02-855-4634
애월빵 공장 가산점,4.3,32,서울 금천구 디지털로10길 37 가산아스크타워 1-2층 에스01~에스02호,02-3467-4545
다도해수산,4.8,74,서울 금천구 남부순환로108길 27 1층,02-2688-5188
맛쟁이해물아구찜 시흥본점,4.3,8,서울 금천구 금하로 642 2층,02-891-7732
바다향기,4.8,24,서울 금천구 독산로 346 1층,02-869-6338
돈유창,4.6,4,서울 금천구 독산로 188 1층,02-802-0233
김사부샤브샤브,4.1,319,서울 금천구 가산로 132 1층,010-5811-0412
태양부양꼬치,4.9,47,서울 금천구 은행나무로 51 2층,02-808-8368
일행 독산점,2.6,47,서울 금천구 벚꽃로 114 1층,
황금맛족발,3.8,60,서울 금천구 독산로75길 27 1층,02-868-2328
수뿌레닭갈비 금천구청점,3.8,13,서울 금천구 시흥대로71길 44 1층,02-3286-8292
