name,degree,review num,address,tel
하누소 창동본점,2.6,179,서울 도봉구 노해로 327 5층,02-900-9800
수정궁,3.6,86,서울 도봉구 방학로 173,02-3491-0440
무수옥,3.5,148,서울 도봉구 도봉로165길 15,02-954-6292
황금정원,3.0,210,서울 도봉구 방학로 312,02-954-8881
방학사거리짬뽕집 본점,3.0,29,서울 도봉구 도당로27길 22 1층,02-955-6558
통나무집,4.0,23,서울 도봉구 노해로60길 99 1층,02-900-6644
오성정육식당,4.2,54,서울 도봉구 도봉로 500 1층,02-996-6789
묵은지사랑,4.1,35,서울 도봉구 도봉로164길 38,02-954-5264
대문,3.6,43,서울 도봉구 시루봉로 139-6 1층,02-956-0843
산도토리임자탕,4.5,119,서울 도봉구 덕릉로60길 13 1층,02-903-9928
소문난순대국,4.4,49,서울 도봉구 도봉산3길 56 1층,02-955-7004
쭈꾸미킹 쌍문점,2.7,48,서울 도봉구 도봉로 425 1층,02-900-7191
향원,4.2,24,서울 도봉구 덕릉로59길 62 1층,02-994-5350
섭생정식 창동본점,3.5,"1,056",서울 도봉구 노해로 341 신원리베르텔 1층 101호,02-999-7877
영수네감자국 본점,4.2,66,서울 도봉구 도봉로181길 86 1층,02-955-3917
즐거운술상,3.6,100,서울 도봉구 노해로 341 신원리베르텔 1층 117호,
한가향,3.5,111,서울 도봉구 도봉로169길 202 1층,02-955-7722
도봉산양고기,3.3,223,서울 도봉구 도봉로191길 99-6,02-3492-3324
삿뽀로 창동점,2.9,69,서울 도봉구 도봉로 610 2층,02-991-6777
삼오낙지,4.7,138,서울 도봉구 도봉로110길 95 1층,02-992-6309
산아래주막,4.0,145,서울 도봉구 도봉산길 65-17,02-954-5550
옹기꽃게장,3.7,154,서울 도봉구 도봉산4가길 14-9 1층,02-3493-8201
쉐프마인드,4.2,65,서울 도봉구 노해로 384 동아상가 1층 30호,02-992-1691
창동숯불돼지갈비,3.3,52,서울 도봉구 노해로63다길 15,02-900-9818
쌍문동판다쓰,4.1,92,서울 도봉구 우이천로24길 49 1층,02-6052-1578
창동빈대떡,4.3,21,서울 도봉구 도봉로110나길 37 1층,02-990-0576
채랑,4.2,21,서울 도봉구 도봉로 465 1층,02-900-4001
파인트리스텀프,4.4,73,서울 도봉구 방학로17길 48 1-2층,02-975-0003
피자리아150길,4.6,25,서울 도봉구 도봉로150다길 64 여산빌딩 1층 103호,070-7519-4907
이용선칡냉면,4.6,39,서울 도봉구 노해로60길 66 1층,02-900-3522
짱나라해장국,4.3,6,서울 도봉구 방학로6길 20 1층,02-956-0664
금문,3.5,58,서울 도봉구 노해로63길 79 우림빌딩 2층 205호,02-907-7575
소도둑 도봉동점,3.8,18,서울 도봉구 도봉로 909 1층,02-955-8882
사누끼,3.5,45,서울 도봉구 노해로63다길 14,02-998-9605
동적깡통구이 쌍문본점,,78,서울 도봉구 도봉로109길 30 1층,0507-1470-9038
제일곱창,4.0,36,서울 도봉구 노해로65길 7-18 동방프라자 2층,02-995-2790
한스친친 창동점,2.7,115,서울 도봉구 노해로 341 신원리베르텔 2층 202~204호,02-990-4143
홍방원,,79,서울 도봉구 도봉로169나길 47 1층,02-954-0719
샤브마을,4.6,555,서울 도봉구 도봉로 445 1층,02-998-8573
장수옥설렁탕도가니탕,3.5,35,서울 도봉구 도봉로 805 1층,02-3494-6980
시골불냉면 방학본점,3.9,25,서울 도봉구 도당로 90-1 1층,02-3492-7735
갈비1번지 방학점,4.1,92,서울 도봉구 도봉로 663-12,02-6338-9292
목포항회센타,3.8,20,서울 도봉구 도봉로181길 13 1층,02-954-6890
빕스 방학점,4.2,173,서울 도봉구 도봉로 684 모비우스스퀘어 9층,02-954-1997
초롱이분식,4.7,0,서울 도봉구 덕릉로57길 30 삼익상가 지하1층 5호,02-998-4569
요리왕,4.0,39,서울 도봉구 덕릉로59마길 18,02-906-6304
자매집,4.1,15,서울 도봉구 도봉로156길 22 1층,02-955-5788
마쯔무라돈까스 본점,4.3,196,서울 도봉구 노해로63길 84 지하1층,02-991-9801
덩어리 쌍문본점,3.6,210,서울 도봉구 도봉로117길 8 1층,02-992-0522
북청식당,3.3,46,서울 도봉구 노해로69길 15-15 1층,02-900-0794
황금성,2.6,25,서울 도봉구 삼양로 544 2층,02-996-3030
태림산채정식,3.8,59,서울 도봉구 노해로60길 32 1층,02-998-5468
골목순대국,3.1,40,서울 도봉구 도봉로133길 41,02-990-5731
영즉석 떡볶이,3.7,81,서울 도봉구 도봉로109길 35-26 1층,02-990-6128
덩어리 창동점,3.4,123,서울 도봉구 노해로63길 79 1층,02-993-0522
삼돌멸치쌈밥,4.0,"3,539",서울 도봉구 도봉산4나길 6-10 1층,02-955-0701
참생고기집,4.6,3,서울 도봉구 도봉로136길 80,02-906-9233
육미제당 창동점,4.2,54,서울 도봉구 도봉로 524,
경복궁 창동점,3.1,79,서울 도봉구 도봉로 610 3-4층,02-992-6777
할머니토스트,4.3,45,서울 도봉구 덕릉로60다길 15 1층,010-9512-8809
도레미즉석떡볶이,3.6,114,서울 도봉구 삼양로144길 18,02-905-6652
거궁 창동점,2.4,93,서울 도봉구 마들로13길 61 상가 3층,02-6077-8989
도봉관,,186,"서울 도봉구 노해로 261 1,2층",02-991-1231
삼오집,3.4,100,서울 도봉구 도봉로165길 4,02-954-1916
뚱보냉면,3.4,67,서울 도봉구 도봉로110길 51 2층,02-990-8063
대구형제막창 방학역점,4.9,487,서울 도봉구 도봉로152길 23 1층,02-955-6177
살살녹소 방학점,4.1,312,서울 도봉구 도봉로 663-8 1층,010-5080-4465
시대우동김밥,4.7,21,서울 도봉구 방학로 183 1층,02-955-9990
갯마을,4.4,29,서울 도봉구 해등로3길 27,02-993-5454
소통애 본점,4.3,19,서울 도봉구 도봉로136가길 73 북한산한신휴플러스아파트 104동 1층 104호,
카페오븐,4.2,53,서울 도봉구 해등로16길 12 현대아파트상가동 2층 201호,02-3141-0089
삼성숯불갈비,3.3,45,서울 도봉구 도당로 36,02-3491-2685
사이코우스시 쌍문점,3.0,33,서울 도봉구 해등로 184 1층,02-999-4298
갯마을풍천장어,4.4,7,서울 도봉구 도봉산4나길 12-10,02-955-3396
창동곱창포차,4.5,41,서울 도봉구 노해로63길 84-9 창동에스알스타빌 1층 112호,02-907-6288
황제해물짬뽕,3.7,23,서울 도봉구 마들로 682 1층,02-3491-1500
가든포차,4.3,72,서울 도봉구 방학로 266-26,
창동두리네곱창전문점,3.1,29,서울 도봉구 해등로16길 46 1층,02-997-2867
창동닭한마리,3.1,70,서울 도봉구 해등로16길 104-9 하이빌 102호,02-999-1385
도봉산도토리마을,3.9,23,서울 도봉구 도봉산길 19 1층,02-954-4755
홍가네풍천장어,3.6,40,서울 도봉구 방학로 290-7,02-3491-9548
청춘흑염소,4.3,28,"서울 도봉구 도봉산4길 4-15 부흥빌딩 1-2층 101,201호",02-954-5036
참숯구이장어가,3.4,5,서울 도봉구 도봉로 911,02-956-1171
등촌샤브칼국수 창동역점,4.0,24,서울 도봉구 도봉로136가길 69 1층 105호,02-994-4949
바게트1089,4.5,125,서울 도봉구 도봉로150길 8 이안테라디움방학역 1동 1층 104호,
코노하,4.5,108,서울 도봉구 우이천로20길 7 상가 103동 1층 118호,
의정부부대찌개,4.0,9,서울 도봉구 해등로 156,02-999-4466
기린쿠시,4.6,45,서울 도봉구 우이천로24길 72,02-999-3031
뚝배기칼국수,4.2,44,서울 도봉구 도봉로 683,02-3492-8502
태기골 봉평메밀막국수 방학점,3.7,15,서울 도봉구 시루봉로 149 1층,02-6223-9534
도봉산두부,4.2,137,서울 도봉구 도봉산길 65-5,02-956-1999
윤짬뽕,4.2,79,서울 도봉구 방학로 183 1동 1층,02-6105-0211
무수울카페,4.0,58,서울 도봉구 도봉로173길 124,
꿀소담,,16,"서울 도봉구 해등로16길 67 1,2층",010-9092-1512
화통소금구이,4.4,106,서울 도봉구 노해로67길 2 한국빌딩 1층 103호,02-904-3392
호호분식,4.2,104,서울 도봉구 도봉로121길 32 1층,02-900-1377
브롱스 창동점,5.0,6,서울 도봉구 마들로11가길 15 107호,070-4152-4725
창동짬뽕,4.2,60,서울 도봉구 노해로63길 84,02-900-0771
은행골 도봉점,3.5,37,서울 도봉구 마들로 684,02-955-4988
숲오,4.3,96,서울 도봉구 우이천로48길 12 1층,
은행나무집참봉평메밀,4.6,1,서울 도봉구 방학로17길 41,02-955-0724
공릉동닭한마리,4.7,23,서울 도봉구 도당로2길 8,02-998-0323
고려가든,4.4,12,서울 도봉구 방학로 266-26,02-954-5549
꽃돼지삼겹살 창동점,4.0,14,서울 도봉구 노해로63길 84-9 SR스타빌 상가 1층 119호,0503-7150-9528
기와숯불갈비샤브전문점 창동점,3.2,7,"서울 도봉구 노해로 331 우정빌딩 1,2층",02-905-0001
최고성,4.3,5,서울 도봉구 시루봉로6길 93 1층,02-993-3152
꼴통무한포차,3.1,12,서울 도봉구 도당로 80 1층,02-954-0744
찌마기 창동점,3.7,95,서울 도봉구 마들로11가길 13,02-992-9233
지노피자,4.9,19,서울 도봉구 마들로11가길 16 2층 202호,070-8691-4479
도마다리 뼈다귀전문점,3.3,52,서울 도봉구 해등로 161 1층,02-900-7716
