name,degree,review num,address,tel
나정순할매쭈꾸미,3.6,"1,104",서울 동대문구 무학로 144 1층,02-928-0231
술고래,3.5,39,서울 동대문구 왕산로 276 1층,
육전식당 본점,4.1,77,서울 동대문구 난계로30길 16 1층,02-2253-6373
다이닝원 청량리점,4.1,259,서울 동대문구 고산자로32길 78 아트포레스트 청량리 2층,02-960-5985
홍능갈비 본점,3.3,27,서울 동대문구 제기로 85,02-966-0420
남도보쌈파전,4.2,247,서울 동대문구 장한로27가길 28 장평빌딩 1층,02-2213-3236
성천막국수 답십리점,4.2,420,서울 동대문구 답십리로48나길 2 1층,02-2244-5529
서울뼈구이매운족발,3.5,682,서울 동대문구 왕산로 274-1,02-965-5838
회기왕족발보쌈,3.6,268,서울 동대문구 회기로 158 1층,02-966-4955
어머니대성집,3.5,662,서울 동대문구 왕산로11길 4 1층,02-923-1718
할머니냉면,3.5,284,서울 동대문구 왕산로37길 51,02-963-5362
신가네왕코등갈비,4.5,57,서울 동대문구 천호대로 67,02-924-3042
일미간장게장,3.0,101,서울 동대문구 장한로24길 7 1층,02-2242-4338
원조홍릉각,3.0,157,서울 동대문구 약령시로 90 1층,02-969-7787
청량리함흥냉면,4.2,32,서울 동대문구 홍릉로5길 15-3 1층,02-960-6761
한상차림밥상,3.3,181,서울 동대문구 한빛로 28 1층,010-9073-4141
평양냉면,3.6,61,서울 동대문구 홍릉로 14-3 1층,02-965-8254
청량리남원통닭,3.4,378,서울 동대문구 홍릉로1길 39 1층,02-968-9841
시키카츠,4.4,97,서울 동대문구 회기로 110 1층,02-6081-8753
소담촌 장안점,4.0,46,서울 동대문구 사가정로 207 4층,02-2212-1399
육전식당 3호점,3.9,113,서울 동대문구 천호대로 38 1층,02-2234-6373
멍군집,4.7,173,서울 동대문구 회기로 148-4 1층,010-7623-0304
늘봄해물찜손칼국수 답십리본점,3.2,133,서울 동대문구 전농로 39,02-2215-5051
송쉐프 장안점,3.8,34,서울 동대문구 장한로2길 20 2~4층,02-2215-9999
감초식당,3.3,128,서울 동대문구 약령서길 28 1층,02-962-4570
카페양귀비,3.8,107,서울 동대문구 이문로9길 8 1층,
안동집,3.4,187,서울 동대문구 고산자로36길 3 경동시장 신관 지하1층 8-2호,02-965-3948
비나레스토랑,4.6,76,서울 동대문구 안암로24길 4,02-926-5860
경성고기꾼,4.2,179,서울 동대문구 회기로21길 8,02-6396-9523
언니네함바그,4.5,110,서울 동대문구 회기로25길 59 1층,0507-1498-0130
용두동복집,4.3,69,서울 동대문구 왕산로16길 9 1층,02-921-5936
영화장,3.0,294,서울 동대문구 휘경로 3-8 1-2층,02-967-9595
허브족발,4.5,36,서울 동대문구 왕산로2길 27 1층,02-927-2465
놀부만두,3.6,220,서울 동대문구 망우로16길 15 1층,02-2241-7550
짱구네야끼만두,3.6,118,서울 동대문구 경동시장로10길 45 1층,010-4002-3389
탕의신 홍대포,4.5,97,서울 동대문구 장한로 47 1층,02-2213-3926
이문동그집,4.4,188,서울 동대문구 이문로 195 1층,02-966-7892
혜성칼국수,3.6,421,서울 동대문구 왕산로 247-1 1층,02-967-6918
옥천옥,3.6,48,서울 동대문구 하정로 16 2층,02-2292-8201
광주식당,3.3,61,서울 동대문구 경동시장로2길 49-4,02-969-4403
은하곱창,3.7,468,서울 동대문구 전농로15길 22 1층,02-2247-0254
여기가좋겠네,3.4,187,서울 동대문구 회기로21길 25 1층,02-968-9112
