name,degree,review num,address,tel
을밀대 본점,4.2,"1,163",서울 마포구 숭문길 24,02-717-1922
오레노라멘 합정본점,4.4,405,서울 마포구 독막로6길 14 2층,02-322-3539
터틀힙,4.2,970,서울 마포구 연남로1길 44 1층,02-332-5854
망원동 즉석우동 전문돈까스 본점,3.9,954,서울 마포구 동교로 83 1층,02-336-1330
마포양고기전문점 램랜드,4.0,298,서울 마포구 토정로 255 1층,02-704-0223
홍대인파스타,3.4,47,서울 마포구 홍익로5안길 32 홍대가자2빌딩 103호,02-3144-0808
연남취향,2.6,"1,699",서울 마포구 연희로1길 36 1층,010-2554-9244
만두란,4.5,130,서울 마포구 동교로 81 1층,010-4678-3798
일등식당,4.2,262,서울 마포구 방울내로 82 1층,02-333-0361
어반플랜트 합정,4.2,"1,216",서울 마포구 독막로4길 3 1~3층,070-4192-0378
중화복춘 공원,4.0,481,서울 마포구 동교로 220-7 1층,0507-1436-2209
마포양지설렁탕 도화점,3.4,356,서울 마포구 새창로 6 1-2층,02-716-8616
하하 공덕점,3.8,150,서울 마포구 새창로 28,02-706-0212
진진,3.6,328,서울 마포구 월드컵북로1길 60 1층,070-5035-8878
오스테리아샘킴,3.3,168,서울 마포구 양화로3길 55 2층,02-324-3338
갓잇 연남점,4.1,658,서울 마포구 성미산로 161-13 1층 갓잇,070-767-7945
미로식당,3.8,96,서울 마포구 와우산로30길 80,
공상온도,4.0,145,서울 마포구 동교로23길 40 지하 1층,02-336-0247
프릳츠 도화점,3.9,"1,164",서울 마포구 새창로2길 17,02-3275-2045
어메이징농카이,3.8,380,서울 마포구 동교로 156-11 1층,02-322-0567
감성타코&그릴 합정점,3.2,65,서울 마포구 월드컵로3길 14 딜라이트스퀘어2차 지하1층 B147~B154호,
영광보쌈,3.4,270,서울 마포구 만리재로1길 14 1층,02-716-0873
장작집 연남본점,4.0,312,서울 마포구 월드컵북로6길 19 1층,010-3336-8844
헤키,4.6,845,서울 마포구 동교로9길 33 1층,070-7773-9870
대포막창,4.3,196,서울 마포구 양화로6길 57-5,02-322-3928
마포갈매기 본점,3.9,37,서울 마포구 도화길 48-21,02-712-0655
훠궈나라 홍대점,3.8,138,서울 마포구 어울마당로 133 1층,02-322-1592
홍대씨부엉,4.1,"1,901",서울 마포구 와우산로21길 28-6 1층,02-336-5253
홍익닭한마리 홍대본점,3.9,36,서울 마포구 와우산로29라길 20 2층,02-322-7523
원조조박집 본관,4.2,288,서울 마포구 토정로 313-1 1층,02-712-7462
계고기집,4.1,167,서울 마포구 백범로24길 1 1층,02-717-7624
우와 홍대본점,3.4,"1,017",서울 마포구 와우산로21길 21-16 2층 202호,0507-1414-9500
한상가득왕솥뚜껑 상암본점,3.7,637,서울 마포구 월드컵북로42나길 20 위너스하임 지하1층 B01호,02-374-5701
감성타코 홍대점,3.6,751,서울 마포구 와우산로21길 20-11 2층,02-337-8883
모연,4.6,"2,886",서울 마포구 토정로 318 영우빌딩 1층,02-704-0770
뉴오더클럽,3.7,57,서울 마포구 동교로34길 3 지하1층,02-336-1025
색동저고리나들이,3.1,555,서울 마포구 도화길 27,02-711-1211
집사의하루 홍대점,4.2,190,서울 마포구 와우산로21길 19-8 태경빌딩 2층,02-792-7984
철인7호치킨 홍대점,5.0,193,서울 마포구 양화로6길 99-3,02-324-7175
오복수산 연남점,3.5,77,서울 마포구 성미산로 190-4 2층 101호,
우동카덴 합정점,3.2,684,서울 마포구 양화로7안길 2-1 1-2층,02-6463-6362
야키토리묵,4.2,391,서울 마포구 성미산로 165-1 1층,070-8835-3433
홍스쭈꾸미 홍대본점,3.7,471,서울 마포구 어울마당로 146 1층,
미스터리브루잉컴퍼니,4.1,180,서울 마포구 독막로 311 재화스퀘어 1층,02-3272-6337
크레이지카츠,4.0,560,서울 마포구 포은로2나길 44 2층,070-8621-7219
도적 홍대본점,4.0,167,서울 마포구 어울마당로5길 3 1층,02-322-6746
거구장,2.9,16,서울 마포구 백범로 23 케이터틀 1층,02-715-3610
