name,degree,review num,address,tel
정담이깃든사랑채,3.4,"1,250",서울 서초구 방배천로2길 7 웅지빌딩 2층,02-521-5800
옛골토성,3.9,"1,221",서울 서초구 청계산로 434,02-577-9494
서관면옥 교대본점,4.0,453,서울 서초구 서초대로56길 11 1층,02-521-9945
텍사스데브라질 센트럴시티점,3.7,892,서울 서초구 사평대로 205 1층,02-6282-5000
설마중,3.5,"1,501",서울 서초구 남부순환로 2648,02-3462-8888
파이브가이즈 강남,3.2,"4,179",서울 서초구 강남대로 435 주류성빌딩 1-2층,070-8834-7900
꿉당 신사점,4.2,696,서울 서초구 강남대로 615 금정빌딩 1층,
할랄가이즈 강남역점,3.5,220,서울 서초구 강남대로69길 8,02-595-1800
진대감 강남역 삼성타운점,4.3,"1,976",서울 서초구 서초대로78길 50 우영빌딩 2층,02-587-0073
대나무골,2.7,14,서울 서초구 법원로3길 15 영포빌딩 지하,02-533-8410
프릳츠 양재점,4.0,726,서울 서초구 강남대로37길 24-11 서림빌딩 1층,02-521-4148
메기대감,4.4,34,서울 서초구 남부순환로350길 30 1층,02-3461-4008
서초면옥 서초본점,3.4,219,서울 서초구 반포대로28길 46 우진빌딩 1층,02-522-1422
노랑저고리 강남점,3.5,403,서울 서초구 서초대로73길 9 타임빌딩 5층,02-534-5300
여진족,3.0,192,"서울 서초구 방배천로4안길 12 지하1층,1층",02-3473-3479
샘밭막국수 서초점,3.3,164,서울 서초구 서초중앙로24길 27 지파이브센트럴플라자 지하1층,02-585-1702
이솔라,3.4,100,서울 서초구 올림픽대로 2085-14 세빛섬 가빛섬 1층,02-533-0077
오선채,3.3,25,서울 서초구 남부순환로 2634-8,02-578-9411
보글이생태탕 왕코다리 양재역점,4.5,"1,315",서울 서초구 강남대로37길 56-18 서초에메랄드빌딩 1층,0502-5551-2738
탐라도야지,3.3,407,서울 서초구 서초대로50길 82 정원빌딩 1층,0507-1399-3337
금수복국 서초점,3.3,93,서울 서초구 서초중앙로24길 27 G5센트럴프라자 1층 28~31호,02-532-5482
올리브에비뉴,3.1,199,서울 서초구 방배천로 11 파스텔시티 6층,02-3474-7777
삿뽀로 서초점,3.4,31,서울 서초구 서초중앙로 195 경복궁빌딩 5층,02-3477-5544
도쿄하나 사당점,2.8,61,서울 서초구 방배천로 11 파스텔 시티 3층,02-585-2020
박은자맛사랑 사당점,3.6,202,서울 서초구 방배천로2안길 7 2층,02-525-8588
한양왕족발,3.7,76,서울 서초구 방배천로2안길 15,02-523-3006
멘야하나비 신사점,3.8,441,서울 서초구 강남대로101안길 18-1 1층 101호,070-8847-7788
강촌원조쭈꾸미 본점,3.1,112,서울 서초구 남부순환로350길 36 1층,02-575-4458
채미가,2.8,580,서울 서초구 법원로2길 15,02-591-7892
소백산 양재별관,3.9,48,서울 서초구 강남대로8길 36,02-572-7111
신이주신선물오리고기,4.3,77,서울 서초구 신반포로 334 1층,02-567-7974
미몽 양재역점,4.1,426,서울 서초구 강남대로34길 27-4 1층,
카몽,4.6,130,서울 서초구 서초대로42길 17 1층,02-522-5949
삼육가 사당역1호점,,102,서울 서초구 방배천로 10 동화빌딩 1층,02-582-0102
임병주 산동칼국수,3.3,"1,349",서울 서초구 강남대로37길 65,02-3473-7972
묘오또 방배점,4.1,240,서울 서초구 방배로28길 16 세광빌딩 1층,
사당 강고집 (사당본점),4.3,124,서울 서초구 방배천로4안길 6 1층,02-6489-9589
만원수산,3.8,306,서울 서초구 서초대로77길 37 서초월드상가 3층 302호,010-9780-8184
칼맞은삼겹살 강남본점,3.3,95,서울 서초구 서초대로75길 34 1층 102호,02-533-7732
쉐이크쉑 강남대로점,3.3,375,서울 서초구 강남대로 421 삼영빌딩 1-2층,02-591-4409
진대감 강남역교보타워점,4.0,"1,275",서울 서초구 서초대로73길 54 디오빌강남오피스텔 1층 101호,02-596-0715
칠프로칠백식당 신논현직영점,4.3,317,서울 서초구 사평대로 365 지하1층 1호,02-518-7005
시골야채된장전문점,3.5,138,서울 서초구 강남대로69길 11 삼미빌딩 1층,02-3482-7626
자인뭉티기,4.4,116,서울 서초구 강남대로37길 24-7 호원빌딩 1층,02-597-2158
일품진진수라 강남점,3.5,485,서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층,02-6250-3110
쿠차라 삼성서초사옥점,3.2,186,서울 서초구 서초대로74길 11 삼성전자빌딩 지하1층 B112호,02-525-2155
주,4.0,177,서울 서초구 동광로19길 16 1층,02-3482-3374
딘타이펑 강남점,,581,서울 서초구 서초대로73길 12 세계빌딩 2층,02-534-2783
소연 서초점,3.9,38,서울 서초구 반포대로30길 9 1층,02-587-4490
인더비엣 신논현역점,3.6,162,서울 서초구 사평대로52길 13,02-595-3842
오감쭈꾸미,3.2,953,서울 서초구 방배천로 12-11 1층,02-522-1566
3대삼계장인,,527,서울 서초구 반포대로28길 56-3 한라빌딩 1층,02-522-2270
바른식 시골보쌈&감자옹심이 사당역별관점,2.4,32,서울 서초구 방배천로 12 1층,02-6959-2830
배나무골 양재본점,4.0,11,서울 서초구 마방로2길 12 보성빌딩 지하1층,02-571-5252
하이디라오 강남점,4.1,"1,059",서울 서초구 서초대로77길 54 서초W타워 2층,02-533-8260
산내골소갈비살,4.0,33,서울 서초구 강남대로34길 76 1층,02-533-5838
한소반 청계산점,3.8,250,서울 서초구 청계산로 249 1-2층,02-3453-1500
영동설렁탕,3.6,590,서울 서초구 강남대로101안길 24 1층,02-543-4716
봉산옥 서초동본점,3.6,195,서울 서초구 반포대로8길 5-6 1층,02-525-2282
요멘야고에몬 강남점,3.4,486,서울 서초구 서초대로77길 7 서초빌딩 1층,02-534-8036
도우룸,3.7,220,서울 서초구 동광로 99 2층,02-535-9386
백화네부엌,3.5,173,서울 서초구 바우뫼로41길 84 1층,02-579-8880
성민양꼬치,3.9,149,서울 서초구 방배천로2길 27,02-583-8859
속초어시장 방배점,3.4,134,서울 서초구 방배천로2길 7 웅지빌딩 1층,02-523-0511
양재닭집,3.1,126,서울 서초구 남부순환로356길 15 양재시장 지하1층,02-572-1741
의정부 평양면옥 신사점,4.2,142,서울 서초구 강남대로93길 28,02-547-6947
고깃집열 본점,4.2,"1,395",서울 서초구 서초대로78길 48 송림빌딩 2층,
백년옥 본관,3.0,232,서울 서초구 남부순환로 2407 1층,02-523-2860
버드나무집 서초본점,3.5,61,서울 서초구 효령로 434 1층,02-3473-4167
맛집부추곱창 사당점,4.2,347,서울 서초구 방배천로2길 37,02-583-4993
앙젤리제,4.6,548,서울 서초구 방배천로2안길 69 2층,0502-5551-6516
테이블포포,3.6,124,서울 서초구 사평대로14길 11 2층,02-3478-0717
진동둔횟집,3.7,107,서울 서초구 강남대로91길 18,02-511-2179
서래본갈비,2.8,93,서울 서초구 사평대로 126 1~3층,02-3477-9192
자매수산 본점,2.9,505,서울 서초구 사평대로56길 12 정경빌딩 1층,02-536-9292
마루심 반포점,4.0,278,서울 서초구 고무래로10길 10 청구빌딩 1층,02-592-8998
주나수산,2.7,219,서울 서초구 서초대로77길 45 실버타운오피스텔 1층 101~104호,02-595-9742
교대이층집 교대본점,,836,서울 서초구 서초대로50길 24 청화빌딩 2층,02-525-6692
디오디아2.0,4.2,732,서울 서초구 강남대로 213 엘타워 4층,02-526-8700
산들해 반포점,3.5,126,서울 서초구 반포대로 287 래미안퍼스티지 중심상가 지하1층,02-537-0113
모던눌랑 센트럴시티점,3.6,221,서울 서초구 사평대로 205 센트럴시티 파미에가든 4층 BP4-6호,02-6282-5005
초선과여포 본점,4.0,203,서울 서초구 서초대로78길 44 2층,02-525-9890
송쉐프 교대점,3.5,8,서울 서초구 반포대로24길 95 1층,02-3471-5688
몽중헌 강남점,4.2,68,서울 서초구 사임당로 157 릿타워 지하1층 101호,02-588-3363
황재벌,3.0,318,서울 서초구 남부순환로347길 42-4 1층 102호,02-3471-5454
봉피양 양재점,3.0,68,서울 서초구 강남대로 283 남성빌딩 1층,02-522-9291
황금콩밭 교대점,3.4,46,서울 서초구 반포대로30길 66 성도빌딩 1층,02-522-2092
메이탄 강남점,3.6,76,서울 서초구 서초대로73길 54 서초동오피스텔 2층 210~214호,02-535-6686
시래향 1호점,4.1,123,서울 서초구 사임당로 66 J.C.M빌딩 101호,02-521-8350
파이브가이즈 고속터미널점,2.8,"1,077",서울 서초구 신반포로 176 스위트파크 지하1층,
더 리버사이드 호텔 뷔페 더 가든키친,3.2,565,서울 서초구 강남대로107길 6 더리버사이드호텔 1층,02-6710-1133
고메램 강남점,4.0,586,서울 서초구 강남대로 359 대우도씨에빛2차 지하1층,02-588-7805
배들어온집,3.9,11,서울 서초구 서초대로50길 39 2층,02-522-6669
남궁야,3.6,106,서울 서초구 방배천로4안길 10,02-581-9252
린참치,4.5,148,서울 서초구 강남대로43길 17,02-3473-7490
산들해 양재동점,3.3,72,서울 서초구 강남대로 213 엘타워 지하1층,02-579-3457
무한쌈밥집,4.0,185,서울 서초구 강남대로93길 23-10,02-3444-6920
쿤쏨차이,3.7,161,서울 서초구 서초대로53길 23 1층,02-596-6411
마포네숯불돼지갈비,2.8,49,서울 서초구 강남대로 184 1층,02-575-4088
정담은,2.9,"1,223",서울 서초구 방배천로2길 15 지하1층,02-877-4000
마구로센 신사점,4.0,32,서울 서초구 강남대로99길 33,02-517-5110
풍천가 서초점,3.6,9,서울 서초구 강남대로4길 4 1-2층,02-571-6255
해몽,4.3,322,서울 서초구 사평대로56길 8 양정빌딩 2층 가호,02-515-6080
신미경의정통춘천닭갈비,4.1,165,서울 서초구 방배로16길 11-3,02-586-5222
난랑 서초점,3.7,149,서울 서초구 서운로 32 우진빌딩 1층,02-583-0019
다피타시그니처,3.9,59,서울 서초구 서초대로 3-4 방배디오슈페리움1 1층 106호,0507-1351-1007
대도식당 강남대로점,,133,서울 서초구 강남대로 589 멀버리힐스 지하3층,02-544-9772
이고집쭈꾸미 사당직영점,3.5,50,서울 서초구 방배천로2길 39-14,02-585-5879
소들녘 서초점,3.3,31,서울 서초구 효령로 232,02-583-0505
개화,2.7,37,서울 서초구 동작대로 86 동주빌딩 지하 1층,02-581-5005
솔솥 교대역점,4.6,"1,559",서울 서초구 반포대로26길 63 1층,02-522-2888
박고볼래,3.5,76,서울 서초구 강남대로30길 12 1층,02-529-5254
대서양,3.9,238,"서울 서초구 법원로1길 7 1,2층",02-533-4123
삼성각,2.9,136,서울 서초구 서초대로78길 42 2층,02-598-7779
타짜도르 강남점,3.5,142,서울 서초구 서초대로77길 61 1층,070-8848-9965
영동족발 본점,,172,서울 서초구 남부순환로358길 8,02-571-3939
미우야,3.2,369,서울 서초구 강남대로23길 90 기정빌딩 1층,02-577-6348
이남장 서초점,3.2,129,서울 서초구 서초대로49길 4 1층,02-592-0268
일점사,3.1,17,서울 서초구 반포대로22길 94,02-582-0321
조양관,3.0,625,"서울 서초구 서초대로74길 29 서초파라곤오피스텔 1층, 지하1층",02-3473-8181
양양메밀막국수,3.7,155,서울 서초구 동광로15길 10 1층,02-3482-3738
우들목 서초점,2.8,30,서울 서초구 강남대로51길 1 511타워 지하1층,02-3474-9292
베트남이랑,3.5,664,서울 서초구 서초대로77길 15 대경빌딩 지하1층,
장꼬방묵은김치찌개전문,3.2,243,서울 서초구 효령로 364 1층,02-522-0035
임금님밥상,4.0,11,서울 서초구 서초중앙로22길 47 1층,02-522-5933
이춘복참치&스시 강남점,,189,"서울 서초구 강남대로61길 13 1,2층",02-591-4558
샘골참숯불막창구이,4.0,41,서울 서초구 방배천로16길 21,02-581-5592
모범갈빗살 강남역본점,4.4,160,서울 서초구 서초대로73길 40 1층 104호,02-533-2588
해담채 남부터미널점,3.5,75,서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하1층,02-585-4997
신수사,4.3,10,서울 서초구 남부순환로 2575,02-586-9422
홍천한우,4.0,127,서울 서초구 효령로55길 47 1~3층,02-586-0513
JW메리어트호텔서울 플레이버즈,4.1,758,서울 서초구 신반포로 176 JW메리어트서울 2층,02-6282-6730
영동회관,4.0,118,서울 서초구 강남대로30길 28 103호,02-6084-0250
수향가 사당직영점,,"1,694","서울 서초구 남부순환로 2121-3 1,2층",02-523-8799
하이난,3.6,11,서울 서초구 서초중앙로24길 12 1층,02-595-2560
평가옥 반포점,3.0,50,서울 서초구 사평대로 353 1층,02-517-1577
일일향 강남3호점,3.0,34,서울 서초구 서초대로78길 22 홍우빌딩 3층,02-555-8133
한국순대 본점,3.1,152,서울 서초구 바우뫼로35길 4 원빌딩 1층,02-573-3550
1357철판삼겹,3.7,117,서울 서초구 방배천로4길 15-17 지하1층,02-582-1357
토다베이글 본점,3.8,161,서울 서초구 성촌6길 39,02-529-5401
쉐이크쉑 센트럴시티점,3.4,273,서울 서초구 신반포로 176 1층 119호,02-6282-3220
세시파스타,4.1,60,서울 서초구 효령로 23,070-4113-1965
소울버킷,4.7,220,서울 서초구 서초중앙로 75 동궁빌딩 202호,070-8839-3314
낙원타코 강남역점,,"3,312",서울 서초구 서초대로73길 7 우송빌딩 2층,02-595-1540
한성돈까스,3.5,225,서울 서초구 강남대로97길 10 1층,02-540-7054
더진미평냉,3.6,183,서울 서초구 서초중앙로 58 피앤디 솔로빌 지하2층,02-525-8839
여의도생고기 내곡점,4.3,34,서울 서초구 신흥말길 27-9 1층,02-6339-7299
서석대,3.8,24,서울 서초구 서초대로 346 동아빌라트 A동 1층 102호,02-537-0077
차이797 블랙 서래마을점,3.6,11,"서울 서초구 동광로 78 방배빌딩 1,2층",02-537-7972
대구형제막창 방배점,4.2,71,서울 서초구 서초대로 22 1층,02-3474-1219
한신치킨호프,3.2,538,서울 서초구 신반포로23길 30 반원상가 1층 111호,02-596-5990
이자카야나무 강남3호점,3.3,30,서울 서초구 서초대로75길 23,02-535-0348
육품,3.3,545,서울 서초구 강남대로65길 12 2층,02-6949-6582
참토우 반포점,4.5,21,서울 서초구 고무래로 12 서초빌딩 1층,02-595-8592
우면동소나무집,4.2,88,서울 서초구 식유촌길 71,02-572-6794
루엘드파리,4.2,377,"서울 서초구 서초중앙로 18 1층 107,112,117~118호",02-322-0939
덕자네방앗간 강남본점,2.9,304,"서울 서초구 서초대로77길 62 강남역1차 아이파크 1층 101,102호",02-599-8959
김인복의광평 강남직영점,4.1,97,서울 서초구 서운로 135,02-581-2235
까르보마마,3.7,35,서울 서초구 강남대로16길 21 1층,02-574-7421
화이트리에 반포점,4.1,147,서울 서초구 신반포로 219 반포쇼핑타운 8동 1층,02-533-3008
락희옥 서초교대역지점,3.3,155,"서울 서초구 반포대로30길 63 영서빌딩 1, 2층",02-582-5958
어딕티브,4.7,96,서울 서초구 주흥15길 5 태평밸리 1층 102호,02-6015-2468
