name,degree,review num,address,tel
인생한우,3.8,342,서울 성동구 마장로31길 43 영지빌딩 2층,02-2292-2888
소문난성수감자탕,3.0,"2,837",서울 성동구 연무장길 45 1층,02-465-6580
밀도 성수본점,3.7,155,서울 성동구 왕십리로 96 1층,02-497-5050
밀본,3.0,39,서울 성동구 아차산로 67-16 KIMG빌딩 1층,02-499-9801
땅코참숯구이 본점,4.1,636,서울 성동구 행당로17길 26 1층,02-2281-6908
만두전빵,3.9,248,서울 성동구 행당로15길 2-1 1층,02-2292-6882
할머니의레시피,3.6,405,서울 성동구 서울숲2길 44-12,02-467-5101
왕십리조개창고,3.1,283,서울 성동구 왕십리로 331 경진빌딩 지하1층,010-4596-0449
능동미나리 성수점,3.9,644,서울 성동구 연무장길 42 1층,
강남면옥 성수점,3.0,266,"서울 성동구 성수일로 77 1층 110,111호",02-6968-0800
스시도쿠,4.1,"1,043",서울 성동구 왕십리광장로 6 1층,02-2281-3255
어니언 성수,3.5,709,"서울 성동구 아차산로9길 8 1,2층",070-4353-3238
유래회관,4.1,115,서울 성동구 마장로 196,02-2293-8866
대성갈비,3.2,268,서울 성동구 상원1길 26 서울숲A타워 1층 101~103호,02-464-3012
사람사는고깃집김일도 성수점,3.6,124,서울 성동구 성수이로 90 1층,02-499-1123
왕십리 수상한막창,4.5,223,서울 성동구 무학봉28길 20 1층,02-2282-3177
제일곱창 본점,3.9,214,서울 성동구 고산자로 281 1층,010-8690-9792
제스티살룬 성수,4.1,"1,567",서울 성동구 서울숲4길 13 1층,02-2205-2622
피어커피 성수,4.2,81,서울 성동구 광나루로4가길 24 1층,02-474-1464
성수동대림창고갤러리,3.0,985,서울 성동구 성수이로 78 1층,0507-1390-9669
전풍호텔라운지,3.6,187,서울 성동구 무학봉28길 7 1층,02-2299-7000
성수족발,3.3,502,서울 성동구 아차산로7길 7 1층,02-464-0425
브루잉세레모니,4.5,182,서울 성동구 연무장5가길 22-1 1층,0507-1317-4771
우동가조쿠,4.2,294,서울 성동구 왕십리로 215-2 1층,
한우마을,4.3,330,서울 성동구 고산자로24길 11 2층,02-2291-0292
차이나플레인 서울숲점,3.3,177,서울 성동구 뚝섬로1길 25,02-2088-8493
이로우,4.0,304,서울 성동구 연무장길 12 1층,02-6953-7448
말방국밥 성수본점,4.2,342,서울 성동구 광나루로8길 9 1층,02-499-4992
로우키,4.4,456,서울 성동구 연무장3길 6 1층,070-8824-2010
엘루이피자 왕십리점,3.8,53,서울 성동구 마조로5길 12 1층,02-2291-1365
높은집종가산꼼장어,4.6,260,서울 성동구 왕십리로21길 17 1층,02-2292-4074
호남집,3.8,42,서울 성동구 살곶이길 18 성동안심상가 마장청계점 202호,02-2295-0118
오우드(OUDE),3.8,342,서울 성동구 성수이로24길 36 2층,070-8840-2436
성수명당,4.0,468,서울 성동구 연무장19길 10 1층,070-8833-3227
소나무,3.7,448,서울 성동구 행당로17길 20 1층,
민정식당 서울숲점,3.1,47,서울 성동구 상원길 51,02-466-3837
광장족발 본가,4.2,80,서울 성동구 아차산로 96 1층,02-463-5800
스탠다드브레드 성수,3.8,274,서울 성동구 성수이로18길 37 1층,
할아버지공장,3.2,503,서울 성동구 성수이로7가길 9 1-2층,02-6402-2301
훼미리손칼국수보쌈,3.4,692,서울 성동구 왕십리로 134 1층,
매란방 왕십리점,2.9,98,서울 성동구 왕십리광장로 17 왕십리민자역사 2층 역무1호,02-2200-1550
아우프글렛 금호점,3.4,114,서울 성동구 독서당로51길 7 1층,070-7713-0211
눈꽃돼지,4.5,90,서울 성동구 왕십리로8길 17-4,02-464-2072
마리오네,4.3,523,서울 성동구 광나루로2길 23-1 1층,02-466-6777
쎈느,3.8,59,"서울 성동구 연무장5길 20 1,2층",02-469-2122
전봇대집,3.0,168,서울 성동구 살곶이길 18 성동안심상가 마장청계점 3층 302호,02-2294-0875
성수아구찜탕,3.6,19,서울 성동구 왕십리로4길 10 1층,02-465-4346
팩피,3.8,245,서울 성동구 왕십리로 136 102호,
외가집,4.0,252,서울 성동구 연무장길 17 1층,02-463-0748
나라구한닭정통닭갈비 왕십리점,3.9,212,서울 성동구 무학봉28길 19 강문빌딩 1층,02-2292-7370
로컬릿,3.7,350,서울 성동구 한림말길 33 2층,02-2282-1124
왕십리오리사냥,3.9,91,서울 성동구 행당로17길 7,02-2282-2838
성수다락,,"1,673",서울 성동구 뚝섬로9길 20 2층,0507-1349-9197
권식족발,4.2,30,서울 성동구 아차산로7길 4 1층,02-465-8516
스시메이 성수점,4.1,196,서울 성동구 연무장7길 7-1 2층,02-466-4918
메종 파이프그라운드,3.6,869,서울 성동구 왕십리로 83-21 서울숲 디타워 지하1층,0507-139-8762
잠수교집 성수점,,252,서울 성동구 아차산로 137 1층,02-465-0434
춘향미엔,4.3,264,서울 성동구 왕십리로21길 26 1층,02-2281-9031
고깃집왕고을,4.3,116,서울 성동구 왕십리로24길 10-2 1층,02-2292-3399
센터커피 서울숲점,3.8,330,서울 성동구 서울숲2길 28-11 1층,070-8868-2008
바스버거 성수점,3.5,159,서울 성동구 왕십리로8길 16 1층,02-464-6674
인더매스 마장,4.4,374,서울 성동구 마장로 270 1층,02-6084-8996
훈연,4.0,779,서울 성동구 서울숲4길 22-7 오리진블루빌딩 1층,010-7616-7330
마를리,3.5,768,서울 성동구 연무장길 47 홍원빌딩 1층,02-467-0303
온량,3.7,394,서울 성동구 서울숲4길 26-10 1층,02-6403-3643
코끼리베이글 성수점,3.7,"1,890","서울 성동구 성수이로26길 17 1,2층",02-498-0077
다로베,3.9,302,서울 성동구 왕십리로11길 7 1층,02-465-3666
서울숲누룽지통닭구이,3.7,322,"서울 성동구 왕십리로5길 10 1, 2층",02-462-9920
호랑이초밥,4.0,123,서울 성동구 아차산로7길 14,02-498-4499
어메이징브루잉컴퍼니 성수브루펍,4.2,46,서울 성동구 성수일로4길 4 1층,02-465-5208
누데이크 성수,3.5,685,서울 성동구 성수이로7길 26 1층,070-4128-4408
뺑드에코,4.5,139,서울 성동구 연무장길 44 2층,010-3510-4730
중앙감속기,,756,서울 성동구 성수일로6길 7-1 1층,02-466-9628
르프리크,4.3,866,서울 성동구 연무장5길 9-16 B103호,02-2054-0119
호호식당 성수동점,3.2,142,서울 성동구 서울숲4길 25,02-498-2384
위풍당당족발,3.7,621,서울 성동구 성수일로8길 53 1층,02-465-3323
성수베이킹스튜디오,4.6,616,서울 성동구 서울숲2길 46 지하1층,02-468-0789
블루보틀 성수 카페,3.2,570,서울 성동구 아차산로 7,1533-6906
뜨아아아 커피집,3.9,394,서울 성동구 고산자로12길 1-1 1층,
악어떡볶이,3.7,439,서울 성동구 마조로 33 1층,02-2281-9988
오레노카츠 성수본점,3.7,313,서울 성동구 성수일로 47 1층 102호,02-499-0323
비사벌 전주콩나물국밥,4.2,136,서울 성동구 왕십리로6길 1-2 1층,02-464-8704
