name,degree,review num,address,tel
나폴레옹과자점 성북본점,3.0,102,서울 성북구 성북로 7,02-742-7421
금왕돈까스 본점,2.8,354,서울 성북구 성북로 138,02-763-9366
채화정,4.2,101,서울 성북구 오패산로3길 9 채화정 건물,02-912-8333
태조감자국,3.8,327,서울 성북구 보문로34길 43 세학빌딩 1층,02-921-7667
쌍다리돼지불백 본점,3.0,156,서울 성북구 성북로23길 4 1층,02-743-0325
성북동메밀수제비누룽지백숙,3.7,88,서울 성북구 성북로31길 9,02-764-0707
성북동면옥집,2.9,285,서울 성북구 대사관로 40,02-765-3450
갈비명가이상 길음신관,2.6,78,서울 성북구 정릉로 395,02-919-8000
시장떡볶이,3.3,17,서울 성북구 돌곶이로22가길 27,02-965-3719
서울왕돈까스 성북동본점,3.5,134,"서울 성북구 창경궁로35다길 140 1,2층",02-766-9370
푸른농장정육식당,4.3,409,서울 성북구 보문로 181 1층,02-929-4816
수연산방,3.3,227,서울 성북구 성북로26길 8 상허 이태준 가옥,02-764-1736
키나,4.6,24,서울 성북구 선잠로 46 1-2층,02-764-4580
더홈서울,3.7,133,서울 성북구 고려대로1길 87,010-8301-5004
고른햇살,4.3,260,서울 성북구 개운사길 14 1층,02-953-3394
종로곱창철판닭갈비,4.5,9,서울 성북구 동소문로6길 8 1층,
갈비명가이상 돈암본관,2.9,84,서울 성북구 정릉로 364,02-925-8700
안동반점,4.1,236,서울 성북구 고려대로1길 35-1,02-923-4448
고석환손만두 삼선교점,4.2,438,서울 성북구 성북로2길 55,02-744-1990
팔백집 본점,3.8,472,서울 성북구 보문로30길 46 1층,0507-1339-0032
옛날중국집,3.4,266,서울 성북구 성북로8길 8,02-764-0094
장수감자탕,4.2,116,서울 성북구 도봉로3길 9-10,02-980-1003
부산어묵,4.2,55,서울 성북구 동소문로 225-13,02-943-9454
스시산 본관,3.2,21,서울 성북구 성북로 19 1층,02-766-3730
창신동매운족발 본점1호점,3.9,29,서울 성북구 한천로78길 57 1층,02-966-9923
청수장,3.3,85,서울 성북구 정릉로 237-2 1층,02-913-6176
공푸,4.3,192,서울 성북구 삼선교로24길 29 1층,070-7566-4683
봉화묵집,4.3,65,서울 성북구 아리랑로19길 46-2,02-918-1668
성북동빵공장,2.4,322,서울 성북구 대사관로 40 B동 1~3층,02-762-3450
등마루 본점,4.4,74,"서울 성북구 동소문로20나길 12 1,2층",02-929-5151
비너발트,3.4,105,서울 성북구 월곡로 112,02-919-8848
모심 한정식,3.0,8,서울 성북구 개운사길 8 3층,02-924-5551
메리킹 서울북부점,4.7,102,서울 성북구 종암로 167 동일하이빌뉴시티 상가 4층 (이마트 하월곡점 4층),02-941-4100
르한스,3.0,459,서울 성북구 정릉로10길 127,02-941-1142
천막집,4.1,164,서울 성북구 보문로30길 31 1층,0502-5551-7512
벤베누토,,"2,208",서울 성북구 동소문로20나길 39 동선동복합빌 2층,0503-7150-9963
삼청각 일화당,3.0,85,서울 성북구 대사관로 3,02-765-3700
일번지정육식당 돌곶이점,4.1,206,서울 성북구 화랑로 254 1층,02-960-1012
드림랜드,3.9,78,서울 성북구 월계로 166,02-906-4198
섭지코지마씸,4.9,12,서울 성북구 삼선교로23길 26,02-921-8733
차이나칸,3.8,71,"서울 성북구 월계로40길 7 센트럴타운상가 150, 105-3호",02-909-2246
이태리총각 성북동점,3.2,22,서울 성북구 고려대로5길 85,02-6405-8893
백소정 안암본점,4.1,331,서울 성북구 개운사길 30 2층,0507-1392-2022
우정초밥,4.9,302,서울 성북구 종암로3길 31 1층,070-4320-2333
제주고깃집 안암점,4.4,82,서울 성북구 안암로 69-1 1층,02-926-3696
영철버거,4.8,13,서울 성북구 안암로9가길 100 1층,02-922-1668
남해바다마차,,363,서울 성북구 한천로78길 71 선우빌딩 2층,02-966-5036
그레도제빵사,3.9,115,서울 성북구 화랑로 304 1-2층,070-8290-3033
장위동유성집 본점,3.1,70,"서울 성북구 화랑로 118 2,3층",02-915-4021
돈암돈집,4.0,222,서울 성북구 동소문로20다길 15 1층,02-6013-9924
쌍둥이수산 본점,4.4,45,서울 성북구 보문로 195 1층,02-926-5989
수아당,4.2,"4,675",서울 성북구 동소문로20가길 33 1-2층,02-926-0625
스타벅스 종암DT점,3.6,48,서울 성북구 종암로 17,1522-3232
백두한우곱창전문,4.5,92,서울 성북구 보문로 55 1층,02-927-5954
응담말,3.9,53,서울 성북구 동소문로24길 20,02-926-6762
애정마라샹궈 본점,4.3,"1,241",서울 성북구 동소문로20나길 11 2층,02-921-3721
이공김밥 안암본점,3.9,242,서울 성북구 안암로 61-6 1층,02-926-0005
