name,degree,review num,address,tel
해주냉면,3.5,199,서울 송파구 백제고분로7길 8-16 1층,02-424-7192
오향가 가락본점,4.3,368,서울 송파구 송이로 106 1층,02-401-6999
골목떡볶이,3.5,529,서울 송파구 문정로1길 33 1층,02-3402-3452
청와옥 석촌호수점,3.4,590,서울 송파구 삼학사로 96 1층,02-422-0550
송쉐프 석촌점,2.8,102,"서울 송파구 백제고분로 357 1,2층",
을밀대 잠실점,3.4,219,서울 송파구 오금로15길 7-13 1층,02-3432-5233
오레노라멘 송파점,4.4,541,서울 송파구 백제고분로45길 17-3 1층 102호,
옥돌현옥,4.2,230,서울 송파구 오금로36길 26-1 1층,02-404-4824
함경도찹쌀순대,3.5,755,서울 송파구 송파대로28길 32 올림피아 오피스텔 1층,02-403-8822
동대문닭한마리,3.6,201,서울 송파구 올림픽로30길 6,02-420-0110
산들해 송파점,3.3,166,서울 송파구 위례성대로 6 현대토픽스 2층,02-448-3457
일월고기,3.2,"1,713",서울 송파구 오금로15길 7-16 2층,02-415-7546
돈까스의집,3.6,603,서울 송파구 삼전로 100 아카데미빌딩 1층,02-413-5182
툇마루밥상,3.0,170,"서울 송파구 송파대로 111 파크하비오타워 2층 205동 211,212호",02-409-6979
러반로제레스토랑 석촌호수점,3.7,134,서울 송파구 석촌호수로 274 씨엠빌딩 8층,070-7778-9471
비와별닭갈비 잠실점,4.0,210,서울 송파구 삼학사로 100 2층,02-2202-5552
황도바지락칼국수,3.6,572,서울 송파구 백제고분로 358 1층,02-417-5058
청와옥 본점,3.4,"1,218",서울 송파구 위례성대로 48 반도빌딩 1층 102호,02-416-3456
화사랑화로구이,2.7,71,서울 송파구 오금로 162 화사랑화로구이,02-421-4554
임뻬라또,4.5,93,서울 송파구 올림픽로37길 130 파크리오아파트 A상가 3층 308~309호,02-420-2131
대박쌈,4.5,690,서울 송파구 오금로13길 13 도솔 1층,02-422-5594
롯데호텔월드 라세느,3.8,644,서울 송파구 올림픽로 240 2층,02-419-7000
원조마포소금구이,4.4,71,서울 송파구 오금로11길 34 성우빌딩 1층 101호,02-414-1981
화포식당 가락점,4.1,180,서울 송파구 송파대로30길 11 아연파레스 1층 106호,02-409-5775
송파감자국,4.3,233,서울 송파구 가락로 82 1층,02-416-7350
단디 송리단길본점,3.9,"2,885",서울 송파구 백제고분로45길 7 1층 1호,02-412-5335
돈족골 본점,3.8,129,서울 송파구 삼학사로 66 1층,02-416-5252
갓잇 송리단길점,4.2,"1,178","서울 송파구 오금로16길 20 1,2층",070-8824-9451
글로리식당,4.2,339,서울 송파구 백제고분로42길 4-13 102호,070-8830-9523
본가설렁탕,2.9,192,서울 송파구 석촌호수로 204,02-414-5945
이성원쉐프의청년감자탕순대국 방이동본점,3.8,309,서울 송파구 오금로19길 5 1층,02-3431-9252
아웃백스테이크하우스 잠실점,3.7,475,서울 송파구 송파대로 466,02-418-4071
한성양꼬치,3.7,117,서울 송파구 중대로 134 부평빌딩 1층,02-409-8686
태양곱창 본점,4.5,365,서울 송파구 오금로15길 14 1층 태양곱창 본점,070-4304-0308
몽중헌 방이점,4.0,314,"서울 송파구 위례성대로 10 S타워 20,21층",02-2202-8004
천미미,3.8,594,서울 송파구 송파대로28길 20 세화빌딩 1층,02-431-4300
방이옥 본점,4.2,"4,567",서울 송파구 올림픽로32길 28 1층,02-423-6592
파오파오 새마을시장본점,4.1,59,서울 송파구 석촌호수로12길 22 1층 101호,02-412-9198
별미곱창 본점,3.4,145,서울 송파구 오금로11길 14 1층,02-413-3610
그리지하우스,4.0,214,서울 송파구 백제고분로41길 43-17 1층,02-6013-8169
돈블랑 석촌호수점,3.0,183,서울 송파구 석촌호수로 296 1층,02-423-8400
명인밥상,3.1,169,서울 송파구 송이로 157 지하1층,02-409-3355
진지아,4.3,"1,123",서울 송파구 백제고분로41길 12-9 1-2층,02-418-5354
늘푸른목장 잠실본점,3.5,342,서울 송파구 백제고분로9길 34 1층,02-3431-4520
송도갈비 문정역점,3.6,76,서울 송파구 법원로 128 문정SKV1 GL메트로시티 A동 201호,02-449-6628
장수식당,3.5,155,서울 송파구 삼전로 95 1층,02-415-4148
프라자손칼국수,3.7,195,서울 송파구 동남로18길 40 1층,02-430-4300
코히루,4.2,328,서울 송파구 오금로 148 2층 202호,070-8834-5252
큰손닭한마리 잠실새내본점,4.0,55,서울 송파구 백제고분로15길 59 1층,010-2740-3366
삼백집 잠실직영점,3.0,76,서울 송파구 석촌호수로 240,02-418-0301
흥부골숯불돼지왕갈비,4.1,146,서울 송파구 백제고분로33길 35 1층,02-418-0003
도삭면공방,4.1,236,서울 송파구 백제고분로7길 8-12 승현빌딩 1층,02-417-8868
화포식당 잠실점,4.4,106,서울 송파구 백제고분로 187 잠실파크인수 107호,02-421-1971
