name,degree,review num,address,tel
함흥냉면,3.4,219,서울 영등포구 영등포로42길 6,02-2678-2722
진주집,3.9,"3,648","서울 영등포구 국제금융로6길 33 지하1층 5,6,7,27,28호",02-780-6108
송죽장,2.6,"1,012",서울 영등포구 문래로 203 1층,02-2678-1323
가양칼국수,4.2,"1,673",서울 영등포구 국제금융로 78 홍우빌딩 지하1층 지하3호,0507-1399-0438
또순이네,3.3,"1,394",서울 영등포구 선유로47길 16 1층,02-2672-2255
에베레스트 레스토랑 영등포점,4.0,330,서울 영등포구 경인로 838-1 지하1층,02-3667-8848
정인면옥 본점,3.6,960,서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층,02-2683-2615
3일한우국밥,3.6,332,서울 영등포구 영등포로 204,02-2678-0117
양키통닭,4.1,72,서울 영등포구 도림로139길 13 1층,070-8800-0815
징기스 영등포점,4.1,"1,176",서울 영등포구 경인로 865 1층,02-2677-5606
부일숯불갈비,4.4,834,서울 영등포구 영중로6길 23-8 1층,02-2636-9462
뽕씨네얼큰수제비 영등포본점,3.5,303,서울 영등포구 영중로10길 16 1층,02-2678-0142
소담촌 보라매역점,3.6,132,서울 영등포구 신풍로 118,02-833-0616
코끼리베이글,3.4,"1,475",서울 영등포구 선유로 176 수화공단 1층 60호,070-4184-0082
워킹온더클라우드,4.1,930,서울 영등포구 63로 50 63한화생명빌딩 59층,02-789-5904
63뷔페 파빌리온 (휴업중),4.1,881,서울 영등포구 63로 50 63빌딩 지하1층,02-789-5731
서민준밀밭,4.5,286,서울 영등포구 영신로40길 22-1 1층,02-2634-6848
호박집,3.2,179,서울 영등포구 영등포로 237-1,02-2634-9703
이자와 여의도점,3.8,108,"서울 영등포구 여의나루로 42 여의도종합상가 2층 203,204호",02-782-6757
숯불과딤치김치찌개,3.3,49,서울 영등포구 영등포로19길 5-3 1층,02-2068-2713
이조보쌈집,3.3,501,서울 영등포구 당산로50길 1 1층,02-2671-3257
러스트베이커리,3.2,"1,159",서울 영등포구 경인로79길 15 1층,070-8805-0815
서궁,3.6,154,서울 영등포구 국제금융로 86 롯데캐슬아이비 지하1층,
대한옥,3.3,752,서울 영등포구 영등포로51길 6,02-2633-5052
커피리브레 영등포타임스퀘어점,3.7,140,서울 영등포구 영중로 15 타임스퀘어 1층 112호,02-2635-0615
영등포복집,3.9,25,서울 영등포구 영등포로42길 10-1,02-2678-3467
희락돈까스,3.3,264,서울 영등포구 양산로 210 1층,02-2634-8714
능이버섯백숙,4.4,163,서울 영등포구 선유로 32 1층,02-2677-7373
흑돈가 여의도직영점,3.5,12,서울 영등포구 여의대방로69길 23 1층,02-783-8800
타마,3.4,"2,168",서울 영등포구 은행로 30 중소기업중앙회 1층,
양평동장군집 양평동본점,4.6,52,서울 영등포구 선유서로 97 1층,02-3667-1392
바스버거 여의도점,4.1,441,서울 영등포구 국제금융로 20 율촌빌딩 지하1층,02-784-6643
삼거리먼지막순대국,4.0,262,서울 영등포구 시흥대로185길 11 1층,02-848-2469
대관원,3.6,173,서울 영등포구 당산로37길 1 2층,02-2068-8791
화목순대국,3.6,"1,739",서울 영등포구 여의대방로 383 경도빌딩 1층,02-780-8191
스몰,3.6,686,서울 영등포구 경인로77가길 12 1층,070-8880-0815
농장사람들 보라매역점,3.5,75,"서울 영등포구 여의대방로 115 1, 2층",02-841-5488
원해장국,3.3,106,서울 영등포구 여의대방로65길 10 유니온타워,02-786-1954
이타마에,4.7,"1,646",서울 영등포구 의사당대로 108 아일렉스상가 5층 502호,0507-1377-7037
민소한우 중앙여의도점,3.4,52,"서울 영등포구 국제금융로2길 37 S트레뉴 지하1층 105,106호",02-780-3365
삼해집 영등포점,2.7,655,"서울 영등포구 영등포로 250 1,2층",02-2634-5508
영의정,2.8,21,서울 영등포구 국제금융로 72 호정빌딩 3층,02-761-0236
소담촌 오목교점,4.9,64,"서울 영등포구 영등포로 21 양평빌딩 3층 302, 303호",02-2632-5350
우동가게,4.6,71,서울 영등포구 당산로 180 신우빌딩 1층 3호,02-2634-2999
창고43 샛강점,3.7,48,서울 영등포구 여의대방로 376 나라키움여의도빌딩 2층,02-783-4343
이한스시,3.2,318,서울 영등포구 선유로22길 3 유선빌딩 2층,02-2637-4989
이스트우드 도림점,4.5,173,서울 영등포구 도신로17길 6 1층,010-9557-8094
하이디라오 영등포점,,985,서울 영등포구 경인로 870 2층,02-2678-0715
채윤희,2.8,481,서울 영등포구 도림로128길 21 2층 201호,070-7799-8292
가네샤 본점,4.4,196,서울 영등포구 신길로34길 13 1층,02-6123-9799
10G,3.9,82,서울 영등포구 국제금융로 10 1층,02-6137-7788
평양관,4.0,73,"서울 영등포구 국제금융로 112 상아빌딩 지하 1층 5,6호",02-780-1315
브루클린더버거조인트 여의도점,3.5,462,서울 영등포구 국제금융로2길 24 BNK금융타워 1층,02-761-7180
우정갈비,3.9,77,서울 영등포구 영중로 22 남서울빌딩 1층,02-2636-9658
쉐프조,3.5,272,서울 영등포구 문래로 98 한영빌딩 1층 104~106호,0507-1371-9010
마초갈비,3.1,8,서울 영등포구 의사당대로 38 더샵아일랜드파크 101동 105호,02-783-0903
원조호수삼계탕 본점,3.5,151,서울 영등포구 도림로 276 1층,02-846-4688
오월의종 타임스퀘어점,3.9,409,서울 영등포구 영중로 15 112-1호,02-2636-3801
대문점,3.2,140,서울 영등포구 영중로10길 30 1층,02-2678-3256
이고집쭈꾸미 본점,3.4,214,서울 영등포구 영중로4길 20-1 1층,02-2678-9186
세상의모든아침 여의도점,,"1,154",서울 영등포구 여의대로 24 FKI타워 50층,02-2055-4442
삼거리푸줏간 IFC점,3.0,81,서울 영등포구 국제금융로 10 THREE IFC 1층,02-6137-3034
카페1953위드오드리,3.9,327,서울 영등포구 경인로77가길 12 1층,02-2672-0504
쿠마,3.6,71,서울 영등포구 여의대방로69길 7 충무빌딩 2층,02-2645-7222
신길동별난아찌짬뽕,2.3,168,서울 영등포구 영등포로62길 10,010-5395-1151
정석참치 1호점,4.1,132,서울 영등포구 영신로40길 24-1 2층,02-2677-1164
영원식당,3.0,272,서울 영등포구 여의나루로 117 서울상가 2층 206호,02-784-1866
강강술래 당산점,3.1,219,서울 영등포구 선유로 251,02-2677-9233
카페솔트,3.6,275,서울 영등포구 도림로133길 12 1층,0507-1338-1540
온미동,4.4,239,서울 영등포구 여의나루로 67-8 지하1층,02-786-0901
마호가니커피 여의도점,3.5,150,서울 영등포구 여의대로 66 iM증권빌딩 1층,
브라더매운갈비찜 본점,4.0,206,서울 영등포구 선유로 33 상가 101동 1층 101호,02-833-1129
골목오리집,,"1,198",서울 영등포구 도림로139가길 11 1층,02-2676-1387
고방채 동여의도본점,4.6,226,서울 영등포구 여의대방로65길 20 호성빌딩 1층,0507-1489-9288
준이네당산양꼬치,4.2,172,서울 영등포구 당산로45길 7 지하1층,02-2678-5999
영일분식,3.4,733,서울 영등포구 도림로141가길 34-1,02-2636-9817
여의도생고기 본점,4.6,47,서울 영등포구 의사당대로1길 34 인영빌딩 지하1층 102호,02-782-3376
문래그집,4.4,274,서울 영등포구 선유로22길 3 유선빌딩 1층 102호,070-4833-6377
화해당 여의도점,3.8,121,서울 영등포구 국회대로62길 15 1층 3호,02-785-4422
윤달오리전문점,4.6,220,서울 영등포구 영등포로 181-2 1층,02-2633-5292
짚신매운갈비찜 영등포점,3.2,152,서울 영등포구 영중로4길 13-1 1층,02-2068-9087
은호식당 여의도점,3.6,40,서울 영등포구 여의대방로65길 6 센터빌딩 지하1층 102호,02-782-6193
승남집,4.5,493,서울 영등포구 영중로4길 9-4 1-2층,070-4086-0905
너도나도식당 선유도본점,3.3,196,서울 영등포구 양평로 126 1층,02-2634-5469
오복순대국,2.7,361,서울 영등포구 도림로 465 1층,02-2677-4183
여로집 본관,2.8,9,서울 영등포구 영중로10길 26 1층,02-2678-8934
산호키,4.0,100,서울 영등포구 대방천로 249 1층,
갓잇 문래점,4.4,572,서울 영등포구 경인로77길 14 영문빌딩 108호,070-7757-9451
대구반야월막창 영등포구청점,4.7,74,서울 영등포구 국회대로36길 10 1층,02-2677-5004
허브족발,3.7,578,서울 영등포구 당산로48길 6 1층,02-2633-4339
당산원조곱창,3.8,157,서울 영등포구 당산로45길 9,02-2634-7773
롱타임노씨 당산점,4.0,621,"서울 영등포구 당산로45길 13 2,3층",02-2678-5787
청수,2.9,260,서울 영등포구 국제금융로 112 1층,02-784-1559
무끼,4.6,93,서울 영등포구 여의대방로67길 18 스타빌딩 지하1층,02-784-1245
하동관 국회의사당역직영점,3.3,45,서울 영등포구 은행로 3 삼희익스콘벤처타워 1층,02-785-9292
당산옛날곱창,4.3,531,서울 영등포구 당산로47길 14,02-3667-2315
한암동 여의도점,4.2,911,서울 영등포구 국제금융로2길 32 여의도파이낸스타워 4층 401호,02-6747-8324
신풍낙지,4.2,166,서울 영등포구 대림로 220 1~3층,02-841-3335
당산마루 능이버섯삼계탕,3.6,41,서울 영등포구 선유로54길 9 1층,02-6083-1393
미아리호떡,3.4,124,서울 영등포구 경인로 803-3 1층,02-2690-2730
당산오돌 본점,,689,서울 영등포구 국회대로37길 6 1층,02-2068-5592
쉐이크쉑 영등포타임스퀘어점,3.4,350,서울 영등포구 영중로 15 1층 102-1호,02-2635-0104
뚝심한우 여의도점,2.7,85,서울 영등포구 국제금융로6길 26 한국노총회관 2층,02-6277-2800
켄싱턴호텔 여의도 브로드웨이,4.1,169,서울 영등포구 국회대로76길 16,02-6670-7260
동래정 영등포본점,4.6,233,서울 영등포구 당산로30길 5 1층,
마굿간생고기,3.7,"1,273",서울 영등포구 영중로4길 14,02-2677-5849
