name,degree,review num,address,tel
오근내2닭갈비,3.1,724,서울 용산구 한강대로11길 13 1층,02-798-0131
구복만두,3.7,733,서울 용산구 두텁바위로 7 1층,02-797-8656
패션5 한남점,3.0,145,서울 용산구 이태원로 272 SPC빌딩 1층,02-2071-9505
앤트러사이트 한남점,3.7,181,서울 용산구 이태원로 240 1-3층,02-797-7508
정,3.8,218,서울 용산구 청파로47나길 4 2층,02-719-8719
야상해,4.4,119,서울 용산구 이태원로23길 6 1층,02-749-8666
기와,3.3,73,서울 용산구 한강대로21나길 40,02-710-7777
오근내닭갈비 용산본점,3.8,454,서울 용산구 이촌로29길 15 1층,02-797-0131
종점숯불갈비,2.9,30,서울 용산구 장문로 112 1층,02-749-6887
한남북엇국,3.6,217,"서울 용산구 독서당로 65-7 지하1층, 1~3층",02-2297-1988
꾸띠자르당,3.0,238,서울 용산구 보광로 120 1-2층,02-796-5072
능동미나리,4.3,"4,103","서울 용산구 한강대로40길 28 1,2층",02-790-1026
몽탄,,"2,785",서울 용산구 백범로99길 50,02-794-8592
옛날감자전,3.1,151,서울 용산구 한강대로84길 11-9 1층,02-749-0395
자리,3.2,295,서울 용산구 이태원로54길 5-5,070-8278-2947
페트라,4.0,11,서울 용산구 녹사평대로40길 33 2층,02-790-4433
오복함흥냉면,3.4,154,서울 용산구 한강대로84길 4 1층,02-703-6357
삼각지원대구탕 본점,3.1,44,서울 용산구 한강대로62가길 8-1 1-2층,02-797-4488
다운타우너 한남,4.2,427,서울 용산구 대사관로5길 12 1층,070-8806-3696
부자피자 1호점,3.9,428,서울 용산구 이태원로55가길 28 1층,02-794-9474
더함,3.2,195,서울 용산구 청파로47길 52 명신플라자 2층,02-707-3692
동빙고,3.9,309,서울 용산구 이촌로 319,02-794-7171
남영돈,,"1,646",서울 용산구 한강대로80길 17 1층,02-793-3598
마구로센 한남본점,4.2,54,서울 용산구 대사관로31길 24 1층,02-792-1110
한강집생태,3.4,26,서울 용산구 백범로 400 1층,02-716-7452
푸드익스체인지,3.4,70,서울 용산구 청파로20길 95 노보텔 스위트 2층,02-2223-7200
쥬에,4.2,346,"서울 용산구 독서당로 124-7 지하1층,1,2층",02-798-9700
고다이,4.7,123,서울 용산구 한남대로18길 28 1층,02-749-9299
명화원,3.0,238,서울 용산구 한강대로 202,02-792-2969
마오 이태원점,3.5,8,서울 용산구 회나무로 57,02-793-8845
단박왕돈까스,3.6,191,서울 용산구 백범로90길 74 1층,02-718-1419
백경식당,4.2,97,서울 용산구 한강대로54길 20 1층,02-793-0785
평양집,2.8,285,서울 용산구 한강대로 186,02-798-3989
