name,degree,review num,address,tel
토속촌삼계탕,3.7,745,서울 종로구 자하문로5길 5,02-737-7444
핏제리아오,4.7,101,서울 종로구 동숭길 86 2-3층,02-3673-5005
청진옥,3.3,429,서울 종로구 종로3길 32,02-735-1690
평원숯불갈비,4.0,160,서울 종로구 종로39길 29 1층,02-745-2408
고기튀김,2.7,129,서울 종로구 지봉로2길 7-2 1층,
혜화도담,4.2,317,서울 종로구 대명1길 16-6 1층,02-744-9850
산모퉁이,3.0,233,서울 종로구 백석동길 153,02-391-4737
잘빠진메밀 서촌점,3.5,624,서울 종로구 자하문로11길 4 1-2층,070-4142-1214
황생가칼국수,3.6,"1,147",서울 종로구 북촌로5길 78,02-739-6334
일품진진수라 광화문점,3.4,46,서울 종로구 종로5길 7 타워8빌딩 지하2층 201~206호,02-6226-8191
선비옥,3.1,281,서울 종로구 종로16길 23 1층,
어니언 안국,3.5,858,서울 종로구 계동길 5,070-7543-2123
대성집,4.1,485,서울 종로구 사직로 5 1층,02-735-4259
계림 종로본점,3.9,571,서울 종로구 돈화문로4길 39 1층,02-2263-6658
양지식당,3.9,152,서울 종로구 율곡로29길 4 1층,
라면점빵,4.2,91,서울 종로구 자하문로1길 39 1층,02-738-7865
진옥화할매원조닭한마리 본점,3.2,"1,223",서울 종로구 종로40가길 18 1-3층,02-2275-9666
천하보쌈,4.0,552,서울 종로구 창덕궁1길 8 1층,02-744-1614
호남집,3.1,79,서울 종로구 종로40가길 5,02-2279-0996
남도식당,2.6,43,서울 종로구 종로3길 42,02-734-0719
쇠고집,4.5,96,서울 종로구 인사동3길 5-2,010-4040-4940
이문설농탕,3.1,585,서울 종로구 우정국로 38-13 1층,02-733-6526
반쥴,4.3,122,서울 종로구 삼일대로17길 23 3~5층,02-735-5437
도마 인사점,4.1,344,서울 종로구 인사동8길 6-1,02-733-9376
미도갈비 종로직영점,3.5,"1,719",서울 종로구 삼일대로15길 25 1층,010-9741-9233
광화문미진 본점,3.7,543,"서울 종로구 종로 19 르메이에르종로타운 1층 116-2,117호",02-732-1954
장군굴보쌈,3.3,199,서울 종로구 수표로20길 22,02-2274-9548
오죽이네,4.2,857,서울 종로구 돈화문로11가길 25,02-741-8874
갓덴스시 종로점,3.6,344,서울 종로구 종로12길 14 1층,02-730-1477
마이클바이해비치 종로,3.2,93,서울 종로구 우정국로 26 센트로폴리스 B타워 2층,02-722-4300
종로등심,2.9,88,서울 종로구 종로40가길 24 1층,02-2273-7933
파노라마뷔페,3.4,3,서울 종로구 종로 63-8,02-734-4720
에베레스트커리월드 레스토랑,4.4,27,서울 종로구 종로 305 2층,02-743-8848
오목집 광화문점,3.5,70,"서울 종로구 삼봉로 98 1,2층",02-733-2019
광주집,2.6,274,서울 종로구 돈화문로11나길 3,02-764-3574
창신육회 본점,3.4,129,서울 종로구 종로 200-8 1층,02-2266-6727
원조우정낙지 본점,3.2,89,서울 종로구 삼일대로17길 46 신양빌딩 2층,02-720-7991
후라토식당 본점,3.8,350,서울 종로구 새문안로5길 19 로얄빌딩 지하1층 63호,02-730-7090
평창동북악정,4.0,15,서울 종로구 평창36길 6,02-394-2340
깡통만두,3.9,"1,064",서울 종로구 북촌로2길 5-6 1층,02-794-4243
광화문집,2.9,70,서울 종로구 새문안로5길 12,02-739-7739
암돼지오양식관,4.7,38,서울 종로구 종로11길 11 YMCA별관 지하1층,02-737-8088
익선반주,4.3,372,서울 종로구 돈화문로11다길 31 1층,02-529-3979
발우공양,3.7,44,서울 종로구 우정국로 56 템플스테이 통합정보센터 5층,02-733-2081
엄용백돼지국밥 종각점,3.7,426,서울 종로구 인사동3길 20 1층,
꽃누리들밥 경복궁점,3.6,226,서울 종로구 율곡로1길 31 지하1층,02-6952-0118
옛날집낙원아구찜,4.0,157,서울 종로구 삼일대로 436 1-2층,02-741-3621
희희,4.0,305,서울 종로구 대학로 42-7 1층 희희,070-7700-7785
대오서점,2.9,59,서울 종로구 자하문로7길 55,
삼청동수제비,3.1,"1,485",서울 종로구 삼청로 101-1,02-735-2965
유진식당,3.6,337,서울 종로구 종로17길 40 1층,
백제정육점,3.7,916,서울 종로구 종로35길 34,02-762-7491
은성회집,3.0,66,서울 종로구 창경궁로 88 광장시장 45-1호,02-2267-6813
아티스트베이커리 안국,3.1,"2,275",서울 종로구 율곡로 45 1층,
삼천포집,3.5,72,서울 종로구 종로40가길 5,
누하의숲,3.8,190,서울 종로구 필운대로 31-1,02-733-5632
베이징코야,3.2,87,서울 종로구 율곡로2길 25 연합뉴스빌딩 지하1층,02-313-5292
이태리재,3.4,282,서울 종로구 율곡로1길 74-9 1층,070-4233-6262
크리스탈제이드 광화문상하이팰리스점,3.8,124,서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호,02-720-0133
담장옆에 국화꽃 안녕인사동점,3.6,191,서울 종로구 인사동길 49 2층 6호,02-6954-2979
차알 광화문점,3.4,39,서울 종로구 종로3길 17 3층 4호,02-2251-8345
