name,degree,review num,address,tel
필동면옥,3.7,"1,290",서울 중구 서애로 26 1-2층,02-2266-2611
이남장 본점,4.0,119,서울 중구 삼일대로12길 16 1층,02-2267-4081
두툼,3.9,437,서울 중구 중림로 10 삼성사이버빌리지 3동 1층 105호,02-392-8592
평양면옥 본점,3.5,807,서울 중구 장충단로 207 1층,02-2267-7784
명동교자 분점,3.0,870,서울 중구 명동10길 8,02-776-3424
오장동흥남집 본점,3.6,373,서울 중구 마른내로 114 1-2층,02-2266-0735
디라이프 스타일키친 광화문점,3.8,422,서울 중구 세종대로 136 서울파이낸스센터 지하1층 101A호,02-6273-0100
서령,4.4,613,서울 중구 소월로 10 단암타워 1층,0503-7150-8217
진주집,3.5,139,서울 중구 남대문시장길 22-2 1-2층,02-319-5759
산채향,3.9,71,서울 중구 청계천로 8 프리미어플레이스빌딩 지하 1층,02-778-2959
라칸티나,3.4,220,서울 중구 을지로 19 삼성빌딩 지하1층,02-777-2580
남포면옥,3.0,618,"서울 중구 을지로3길 24 1,2층",02-777-3131
해담채 시청점,3.3,87,서울 중구 칠패로 37 HSBC빌딩 지하 1층,02-318-4997
가메골손왕만두 남대문본점,4.1,583,서울 중구 남대문시장4길 42 1층,02-755-2569
락희옥 을지로지점,4.4,100,서울 중구 을지로 101 정익빌딩 2층,02-772-9797
명동교자 본점,3.5,"4,189",서울 중구 명동10길 29 1층,02-776-5348
오장동함흥냉면,2.6,260,서울 중구 마른내로 108,02-2267-9500
주식회사 금성관,3.9,373,서울 중구 남대문로 29-1 1~3층,
황소막창 (휴업중),4.2,263,서울 중구 을지로3길 49,02-319-9055
사랑방칼국수,4.2,842,서울 중구 퇴계로27길 46 1층,02-2272-2020
삼우정,3.9,55,서울 중구 서소문로 134-12,02-752-8044
서울신라호텔 더 파크뷰,4.0,"1,405",서울 중구 동호로 249 1층,02-2230-3374
참숯골,2.7,63,서울 중구 무교로 16 체육회관빌딩 2층,02-774-2100
필동함박 본점,3.4,197,서울 중구 필동로 7-1 1층,070-8656-6606
닭진미,3.9,223,서울 중구 남대문시장길 22-20 1층,02-753-9063
한일관 을지로점,3.2,28,서울 중구 을지로5길 19 페럼타워 지하1층,02-6353-8977
은주정,3.2,486,서울 중구 창경궁로8길 32,02-2265-4669
컨퍼런스하우스 달개비,3.5,27,서울 중구 세종대로19길 16 비동,02-765-2068
더하우스1932,,330,서울 중구 만리재로35길 7,02-365-1932
해우리 명동점,3.8,26,서울 중구 퇴계로 72 SK리더스뷰 남산상가 지하1층,02-778-4997
막내회집 본점,3.8,231,서울 중구 남대문시장2가길 2 2층,02-755-5115
장인닭갈비 명동점,4.3,"1,655",서울 중구 명동9길 15,02-6925-0905
동호민물장어,4.0,25,서울 중구 세종대로18길 6-1 2층,02-752-5237
다케오호르몬데판야끼,2.9,"3,196",서울 중구 을지로12길 14 1층,02-2261-4723
바스버거 광화문점,3.7,117,서울 중구 다동길 5 광일빌딩 지하 1층,02-722-6653
은호식당 남대문본점,3.3,612,서울 중구 남대문시장4길 28-4,02-753-3263
참치공방 시청지점,4.0,155,서울 중구 세종대로 64 해남빌딩 1층,02-774-5200
초류향,3.0,371,서울 중구 다동길 24-10,02-775-2668
홍복,3.4,98,서울 중구 남대문시장길 73-3 1-4층,02-755-7633
남산산채집,2.9,672,서울 중구 소파로 95 1층,02-754-1978
중앙식당,3.9,74,서울 중구 남대문시장길 22-12 1층,02-752-2892
다시열린하얀집 1호점,3.4,28,서울 중구 서애로 12-20 1층,
부산복집,3.7,92,서울 중구 수표로2길 25 1층,02-2266-6334
파르투내,3.5,11,"서울 중구 마른내로 154 1,2층",02-2278-7770
개화,2.9,56,서울 중구 남대문로 52-5 1-2층,02-776-0508
오매가매 충무로점,4.4,68,서울 중구 퇴계로 188 지하1층,02-2269-7633
인천집,3.5,131,서울 중구 다동길 36,02-776-6583
스타사마르칸트,3.6,388,서울 중구 을지로42길 14 1층,02-2279-7780
금돼지식당,,"1,897",서울 중구 다산로 149 1-3층,0507-1307-8750
문화옥,3.7,70,서울 중구 창경궁로 62-5,02-2265-0322
평안도족발집,4.0,530,서울 중구 장충단로 174-6,02-2279-9759
정원레스토랑 어반가든,4.2,"3,106",서울 중구 정동길 12-15 1층,02-777-2254
우래옥 본점,4.1,308,서울 중구 창경궁로 62-29 1-2층,02-2265-0151
만리재비스트로,3.6,306,서울 중구 만리재로 201 1층,02-393-1824
VIP참치 북창점,4.3,18,서울 중구 남대문로1길 6 은성빌딩 2층,02-777-0081
충무로쭈꾸미불고기 본점,3.3,91,서울 중구 퇴계로31길 11 1층,02-2279-0803
명동돈가스,2.9,507,서울 중구 명동3길 8,02-775-5300
23번지 남산돈까스 본점,3.5,609,서울 중구 소파로 23 1층,02-777-1976
태극당,3.4,"1,059",서울 중구 동호로24길 7,02-2279-3152
고려보쌈,3.6,171,서울 중구 세종대로20길 23 원창빌딩 지하1층,02-777-6618
광화문국밥 본점,4.0,237,서울 중구 세종대로21길 53 1층,02-738-5688
대동옥,3.9,55,서울 중구 을지로12길 8 1층,010-7164-1241
느티나무설렁탕,3.4,49,서울 중구 퇴계로71길 38 1층,02-2234-9713
부민옥,3.6,186,서울 중구 다동길 24-12 1층,02-777-4323
진대감 시청점,3.6,61,서울 중구 남대문로1길 57 1층,02-3789-1844
목멱산방,3.3,651,서울 중구 퇴계로20길 71 1층,02-318-4790
을밀대 무교점,3.3,204,서울 중구 남대문로9길 40 센터플레이스 지하1층 101~104호,02-6410-0240
봉래축산,4.2,225,서울 중구 만리재로35길 6,02-6949-3532
무교동북어국집,4.5,600,서울 중구 을지로1길 38 1층,02-777-3891
명동서서갈비,3.9,35,서울 중구 명동7가길 20-8,
원조남산왕돈까스,1.8,322,서울 중구 소파로 107 1층,02-755-3370
만포막국수,3.6,624,서울 중구 동호로14길 2 1층,02-2235-1357
공일부엌,2.9,187,서울 중구 만리재로 209 1-2층,010-6622-0195
신성식당,3.7,139,서울 중구 세종대로14길 22-3,02-753-5306
명화당 명동1호점,3.4,352,서울 중구 명동4길 32 2층,02-777-7317
을지 장만옥,3.4,"1,025",서울 중구 을지로12길 12 1층,02-2272-7577
남산도담,3.6,"1,201",서울 중구 수표로6길 37-1 1층,0507-1322-0074
풍문고기집,2.8,176,서울 중구 세종대로2길 6-1 1층,02-776-6252
이나니와요스케 서울시청점,3.0,72,서울 중구 을지로 6 재능빌딩 1층,02-772-9994
유즈라멘 만리동점,4.3,"1,122",서울 중구 만리재로 217 경김회관 1층,070-4177-0365
안동장,3.1,373,서울 중구 을지로 124 1층,02-2266-3814
호수집 원조닭꼬치,3.6,417,서울 중구 청파로 443,02-392-0695
원조만선호프 노가리체인본점,1.6,231,서울 중구 을지로13길 19 1층,02-2274-1040
더스팟 패뷸러스,3.9,"1,420","서울 중구 명동2길 22 1,2층",02-779-1981
마복림떡볶이,2.9,972,서울 중구 다산로35길 5 1층,02-2232-8930
을지로마포쭈꾸미,4.1,165,서울 중구 을지로16길 5-1 경흥빌딩 1층,010-6243-4655
농민백암순대 시청직영점,4.5,715,서울 중구 남대문로1길 33 1층,02-755-5232
란주칼면,3.7,"1,344",서울 중구 소공로 64 동남빌딩 1층,
동강나루터,4.4,58,서울 중구 세종대로1길 6 1층,02-775-9331
약수순대국,3.0,356,서울 중구 동호로7길 14 1층,02-2236-5926
사마르칸트,3.4,113,서울 중구 마른내로 159-21 1층,
중림장,,236,서울 중구 청파로 459-1,02-392-7743
