name,degree,review num,address,tel
쿠우쿠우 골드상봉점,3.3,594,서울 중랑구 망우로 316 이지펠리스 3층,02-433-6274
쭈꾸미킹 상봉점,3.7,120,서울 중랑구 송림길 13,02-439-0035
태릉설렁탕 본점,3.8,3,서울 중랑구 공릉로 65 1층,02-971-1511
함평국밥,4.2,251,서울 중랑구 봉우재로33길 73 1층,
면동떡볶이,3.7,210,서울 중랑구 면목로57길 33 1층,
산채가한정식,3.9,23,서울 중랑구 동일로157길 30 1층,02-948-1138
먹거리집,2.8,415,서울 중랑구 면목로91길 8 1층,
울타리곱창,3.6,242,서울 중랑구 중랑역로 20 1층,02-491-7178
마구로,3.2,165,서울 중랑구 망우로 270 2층,02-492-7100
용마해장국,4.1,274,서울 중랑구 용마공원로5길 20 1층,02-2209-5938
농부보쌈,3.6,103,서울 중랑구 용마산로 389 석주빌딩 지하1층,02-496-8860
더 아너스,4.4,369,서울 중랑구 망우로 353 상봉이노시티 C동 지하 1층,02-439-1300
소담촌 상봉점,3.7,142,서울 중랑구 망우로 328 시네마시티 15층 1501호,02-434-1999
미락한정식,4.1,19,서울 중랑구 봉우재로 27 1층,02-494-3800
동네술집 상봉점,4.2,447,서울 중랑구 망우로50길 36 1층,070-8822-5793
여봉닭발 중랑본점,4.2,445,서울 중랑구 망우로30길 40 여봉닭발,0507-1416-9980
홍이네옛날떡볶이,3.2,234,서울 중랑구 망우로73길 26,02-439-5831
강원도 동강오리 본점,4.3,141,서울 중랑구 용마산로115길 10 1층,02-492-6717
대관령쌈밥,3.8,35,서울 중랑구 용마산로115길 15,02-437-9192
흥부골숯불돼지왕갈비 묵동점,4.4,27,서울 중랑구 동일로 853,02-972-1199
맑은샘,4.1,105,서울 중랑구 용마산로99길 13 1층,
빈스로드 본사,4.6,24,서울 중랑구 봉화산로 111 1층,070-7593-7005
커피스터프,3.9,111,서울 중랑구 망우로42길 10,
박가뼈다귀감자탕 본점,3.2,93,서울 중랑구 망우로 193,02-496-1600
문가네정육식당 상봉역점,3.3,45,서울 중랑구 면목로 490 1층,02-438-9000
중화호반닭갈비막국수 본점,3.6,90,서울 중랑구 봉화산로 20 1층,02-439-1656
할매복집,3.1,31,서울 중랑구 공릉로 82 1층,02-979-7606
추오정남원추어탕,4.0,43,서울 중랑구 용마산로125길 108-7,02-433-0203
이주소곱창,3.7,145,서울 중랑구 봉우재로33길 34 1층,02-978-4723
육미제당 묵동점,4.0,528,서울 중랑구 동일로 938 월등스카이뷰아파트 1층,02-975-8899
찜집 본점,3.9,156,서울 중랑구 면목로 287 1층,02-494-0044
서산식당,4.1,8,서울 중랑구 면목로74길 45,02-435-2583
한국횟집,,313,서울 중랑구 중랑역로 34 1층,02-439-3331
이학갈비 면목점,3.3,75,서울 중랑구 면목로 310 2층,02-437-0170
옛가칼국수,4.4,79,서울 중랑구 중랑천로10길 39 2층,02-492-1555
에헴,3.8,86,서울 중랑구 망우로48길 27-12 1층,02-493-1204
구포국수,5.0,19,서울 중랑구 용마산로117길 35 동성빌딩 1층,02-433-6343
꿀삼겹 본점,3.9,"1,854",서울 중랑구 봉우재로 139 1층,02-433-5730
어글리스토브 상봉점,3.7,300,서울 중랑구 상봉로 131 듀오트리스 1층,02-433-8459
양평신내서울해장국 망우점,3.2,3,서울 중랑구 양원역로 25-10 1층,02-494-9559
잉꼬네떡볶이,3.7,116,서울 중랑구 용마산로120길 43 1층,
무한리필통큰소 상봉직역점,3.6,45,서울 중랑구 망우로 316 이지팰리스 2층 201-1~201-3호,02-433-4310
고기를품다 사가정직영점,4.5,100,서울 중랑구 면목로48길 17 1층,070-4045-9736
돼봉삼겹살,3.7,880,서울 중랑구 망우로50길 24 1층 104호,0503-7150-7382
만주리양꼬치,4.7,39,서울 중랑구 봉화산로54길 29,02-491-3373
벌교계절맛집,3.4,26,서울 중랑구 용마산로 713 2층,02-434-0576
육즙,3.7,579,서울 중랑구 겸재로 209 1층,010-4963-2481
한동길감자탕 신내본점,3.8,37,서울 중랑구 신내로 225 디아뜨갤러리 153~155호,02-3421-0656
신마루매운갈비찜,5.0,33,서울 중랑구 사가정로42길 19,02-495-7897
묵동할머니떡볶이,3.2,51,서울 중랑구 공릉로12가길 14,02-979-6082
황해칼국수,4.4,41,서울 중랑구 숙선옹주로 3 1층,02-974-8174
대광어횟집,4.3,63,서울 중랑구 사가정로51길 39 지하1층,02-434-3351
홍어천국,4.4,35,서울 중랑구 면목로 421 1층,02-436-4757
연어에반하다,4.7,111,서울 중랑구 봉화산로 42 2층,02-434-1996
고기를품다 중화점,4.4,150,서울 중랑구 중랑역로 23 1층,010-6368-2274
연탄돼지갈비,2.9,223,서울 중랑구 봉우재로 159,02-433-7714
돈다발,4.5,147,서울 중랑구 면목로37길 17,02-434-7016
상봉갈비,3.6,29,서울 중랑구 봉우재로 111 1층 103~105호,02-496-5607
우림닭한마리,4.7,93,서울 중랑구 용마산로115길 26 1층,02-433-5512
숯불닭갈비에반하닭,4.7,106,서울 중랑구 면목로 352 1층,02-433-9294
배밭골,5.0,14,서울 중랑구 봉화산로56길 82,02-492-4368
두채사랑 전주콩나물국밥 면목직영점,4.5,5,서울 중랑구 면목로 371,02-433-9660
장수만세 보쌈&전 전문점,4.9,122,서울 중랑구 봉우재로 120 1층,02-491-9463
백년갈비,3.8,16,서울 중랑구 중랑역로 15 1층,02-432-0606
쪼매매운냉면,4.8,35,서울 중랑구 동일로157길 20 1층,02-974-0092
바다회집,3.6,12,서울 중랑구 중랑역로 219-1 1층,02-979-5501
오키나라 본점,4.4,176,서울 중랑구 중랑역로 69 1층,02-433-0031
까망통돼지,4.6,58,서울 중랑구 면목로 488 2층,02-438-5730
남한강물고기 본점,5.0,12,서울 중랑구 동일로114길 43 1층,02-496-1255
신선한우촌,3.8,47,서울 중랑구 용마산로 707,02-492-3335
다시사랑받개,4.5,100,서울 중랑구 용마산로 529 4층,010-9984-6460
봉일천돼지부속,4.4,109,서울 중랑구 면목로 463 1층,02-491-9231
동부왕족발보쌈 본점,3.9,96,서울 중랑구 봉우재로33길 38 1층,02-432-3500
태능배밭갈비,,81,서울 중랑구 동일로143길 30,02-973-9292
청평매운탕,4.5,69,서울 중랑구 공릉로 46,02-976-9891
그린플레이트 신내점,4.3,177,서울 중랑구 용마산로 670 시티원스퀘어 2층 C214호,02-434-6602
망우찜쌈밥,4.5,1,서울 중랑구 용마공원로2길 11 1층,02-437-0175
쪽갈비대통령 먹골본점,4.8,123,서울 중랑구 동일로163길 46 1층,02-979-0316
항아리,4.1,49,서울 중랑구 중랑역로50길 4,02-948-1122
캠프X그릴,4.3,73,서울 중랑구 동일로 929 2층,02-6677-0043
홍길동회수산,3.3,186,서울 중랑구 봉우재로33길 47,02-493-7778
양지촌,,63,서울 중랑구 망우로 184 1층,02-2207-4200
바다목장바닷가재,3.1,21,서울 중랑구 봉우재로 49 1층,02-491-5419
카페252,3.1,246,서울 중랑구 망우로 252 1층,02-493-8286
쨍하고해뜰날,4.7,22,서울 중랑구 중랑천로10길 57 1층,
황박사왕족발,4.7,62,서울 중랑구 면목로 363 1층,02-491-0048
병규돈가스 중랑점,4.7,8,서울 중랑구 동일로157길 19 1층,02-975-0027
소공주,4.5,126,서울 중랑구 면목로88길 5 1층,010-3923-5548
고향만두&칼국수,4.9,23,서울 중랑구 중랑역로 75 1층,02-2208-4192
맹돌이생선구이쌈밥,4.0,49,서울 중랑구 용마산로115길 59 2층,02-491-8221
작은부엌,4.4,158,서울 중랑구 면목로 361 1층,0507-1311-9160
소우가 면목점,3.3,6,서울 중랑구 면목로 285,02-434-3066
왕새우직판장,3.9,213,서울 중랑구 봉우재로 118 1층,02-434-8882
브라더야끼,4.7,243,서울 중랑구 공릉로 38 1층,02-972-9500
이가네바지락칼국수,4.1,49,서울 중랑구 겸재로 218 1층,02-433-3633
산채보리밥,4.4,21,서울 중랑구 동일로157길 8 2층,02-979-0135
라떼플로라,3.4,35,서울 중랑구 동일로156길 7 103호,02-432-9503
찡어찡어,3.5,153,서울 중랑구 면목로 454 1층,010-9773-8012
망우식당 우림시장본점,4.3,191,서울 중랑구 용마산로115가길 5 1층,02-6404-9160
소문난순대국,4.4,38,서울 중랑구 상봉로11길 32 1층,02-436-6062
어항단지회국수전문점,4.7,42,서울 중랑구 겸재로 94 1층,
하늘정원더파티,2.5,3,서울 중랑구 숙선옹주로 6-9 묵동자이프라자 1단지 지하1층,02-978-6677
황금포차,5.0,36,서울 중랑구 용마산로115길 72,
순돈까스 사가정점,4.4,25,서울 중랑구 면목로 353 1층,02-434-9533
멍텅구리꼼장어,4.0,16,서울 중랑구 사가정로51길 36,02-496-1144
도가전통왕순대,3.1,27,"서울 중랑구 봉화산로 189 11단지 상가동 3층 301,309,310,B04호",02-3423-0887
청춘쪽갈비 본점,4.2,39,서울 중랑구 동일로139길 25 1층,02-496-4576
스타벅스 중랑구청점,4.1,22,서울 중랑구 신내로 72,1522-3232
돈대감,4.0,42,서울 중랑구 송림길 1 1층,02-3395-9882
장원정,4.6,23,서울 중랑구 중랑역로 138-2,02-972-2383
로기스커피,4.6,15,서울 중랑구 겸재로 172-1 1층,
능이마을 사가정점,4.0,10,서울 중랑구 면목로39길 24 1층,02-433-5255
안흥갈비 망우점,4.2,11,서울 중랑구 망우로 425-1,02-433-7501
짬뽕9단 상봉점,4.3,11,서울 중랑구 용마산로115길 71 황룡빌딩 1층,02-434-6523
모토이시 상봉점,3.8,304,서울 중랑구 망우로50길 30 1층,
개인공간,4.2,12,서울 중랑구 송림길 12 1층,070-7718-0087
라무야끼 상봉점,4.5,269,서울 중랑구 봉우재로43길 6 1층,02-2088-8214
다빈이네한식뷔페 중화점,4.2,8,서울 중랑구 중랑역로 100 정상빌딩 2층,02-434-3936
천외천,4.3,58,서울 중랑구 봉우재로33길 12 1층,02-435-3334
전설의짬뽕 묵동점,4.4,31,서울 중랑구 동일로 939,02-977-6523
노고단칼국수,2.9,186,서울 중랑구 봉화산로56길 1 서울 중랑구 신내동 383-1,02-435-9790
이디야커피 동원사거리점,3.8,2,서울 중랑구 겸재로 240 행복오피스텔 1층 102호,02-432-6717
원조춘천닭갈비막국수,4.2,24,서울 중랑구 중랑역로 79,02-437-5587
소문난떡볶이,3.6,36,서울 중랑구 공릉로 60 1층,02-972-6943
카페브릭,3.9,117,서울 중랑구 신내역로1길 127-11,
낙지랑아구,3.8,201,서울 중랑구 망우로 289,02-432-8893
이종구낙지세상 신내점,4.3,17,서울 중랑구 봉화산로52길 65 1층,02-493-3908
다운이네,3.6,12,서울 중랑구 중화동 73-7 1층,
먹고을전주콩나물국밥 묵동본점,2.5,72,서울 중랑구 중랑역로 268,02-977-0038
임현숙의이화김치찌개,3.0,80,서울 중랑구 중랑천로 188 1층,02-432-4320
용마쉼터,2.8,115,서울 중랑구 망우로70길 118,02-436-4171
흥부골 숯불돼지왕갈비,2.9,91,서울 중랑구 면목로 341 1층,02-491-4488
육미제당 사가정역점,4.2,0,서울 중랑구 면목로39길 18 1층,02-6463-2662
중랑등갈비 상봉본점,4.3,246,서울 중랑구 중랑천로12길 30 1층,02-435-7895
부자돼소,2.8,87,서울 중랑구 봉우재로 126,02-438-8868
정담초밥,4.2,35,서울 중랑구 신내로 225,02-3422-2001
본가감자탕,4.8,85,서울 중랑구 봉우재로33길 40 1층,02-433-1570
파크더블유,2.9,28,서울 중랑구 양원역로16길 103-111,02-432-5659
다청쌈밥 망우점,4.3,21,서울 중랑구 봉우재로 237,02-2244-0909
제이식스 1호점,2.6,12,서울 중랑구 면목로 487 1층,02-434-7387
신성묵과자점&카페,4.7,26,서울 중랑구 겸재로 113 1층,02-433-1650
성창식당,4.0,16,서울 중랑구 면목로 421,
봄담아 상봉점,4.3,66,서울 중랑구 망우로 247 로얄스포츠센터 1층,02-435-0077
노브랜드버거 중화점,3.2,24,서울 중랑구 동일로 799 1-2층,02-432-9906
만두박사,4.4,38,서울 중랑구 공릉로 66-1 1층,02-744-3030
착한낙지 신내점,2.3,75,서울 중랑구 용마산로125길 108-19,02-438-9790
서천칼국수,4.7,53,서울 중랑구 겸재로64길 77,02-436-6689
뱃놈과백정 사가정점,3.6,33,서울 중랑구 면목로 348 1층,02-493-0807
풀잎보리쌈밥생고기,4.8,34,서울 중랑구 중랑역로 5 1층,02-2207-3323
부자수산,2.9,13,서울 중랑구 신내로14길 21 701동 1층 101호,02-3422-3897
오늘애김밥 양원역점,3.3,10,서울 중랑구 양원역로10길 25,070-7809-1978
오늘그릴 신내점,4.1,48,서울 중랑구 봉화산로54길 5 1층,070-4176-3509
윤가네오리요리전문점,4.0,39,서울 중랑구 겸재로 205 1층,02-492-0819
전여사,5.0,33,서울 중랑구 중랑천로 140 1층,02-438-9997
뚝배기바지락칼국수 면목본점,3.2,31,서울 중랑구 면목로 294,02-2208-2949
능이마을 망우직영점,3.6,31,서울 중랑구 용마산로115길 42 1층,02-436-5556
권참치,3.3,17,서울 중랑구 사가정로 377 1층,02-435-1186
감자바우묵동영양족발,2.8,12,서울 중랑구 동일로 946 1층,02-972-9566
한도니 신내점,3.9,33,서울 중랑구 봉화산로54길 32 A동 1층,02-436-2292
교동짬뽕,4.9,11,서울 중랑구 답십리로 381 청원빌딩 1층 101호,02-435-2221
남선반점,2.7,14,서울 중랑구 중랑역로 145,02-949-4433
한마음정육식당 중랑역점,3.2,164,서울 중랑구 망우로 186 1층,02-438-2192
바다회천국,3.8,21,서울 중랑구 용마산로 494 1층,02-438-8844
성이네천원김밥,4.5,23,서울 중랑구 중랑역로 150,02-976-5648
마장소곱창,5.0,23,서울 중랑구 면목로39길 24 1층,02-433-9221
셰프케이 사가정본점,4.6,31,서울 중랑구 면목로 326 1층,02-432-9285
맥도날드 중랑점,3.0,20,서울 중랑구 망우로 202 동성빌딩 1층,02-6212-1900
추억한점 면목점,3.9,104,서울 중랑구 면목로60길 5 1층,02-6053-5502
하동우렁추어탕 면목역점,4.1,12,서울 중랑구 면목로 424 1층,02-437-1788
유정역,3.3,247,서울 중랑구 신내로 193 1층,02-3423-3600
대박집 면목본점,2.8,15,서울 중랑구 면목로 419 1층,02-433-4331
조개만땅,3.7,31,서울 중랑구 면목로91길 10 1층,02-493-2292
고기반햄반김치찌개김치찜 상봉본점,5.0,418,서울 중랑구 상봉로 76 1층,0507-1324-5698
한참치 묵동본점,3.1,24,서울 중랑구 공릉로 32 공감대아파트 상가 1층 B03호,02-949-0448
화이트리에 신내점,4.8,39,서울 중랑구 용마산로 670 시티프라디움스퀘어 D동 DB111호,070-4070-7756
