이름,평점,리뷰수,주소,전화번호,메뉴,리뷰
새벽집 청담점,3.3,230,"서울 강남구 도산대로101길 6
(지번) 청담동 129-10",02-546-5739,"꽃등심 (150g) (85,000원), 양념갈비 (260g) (85,000원), 생고기(150g) (85,000원), 불고기(200g) (42,000원), 샤브샤브(160g) (42,000원), 육회(200g) (42,000원), 국수전골 (32,000원), 간장게장 (28,000원), 한우 갈비탕 (28,000원), 육회비빔밥 (16,000원), 따로국밥 (11,000원), 콩나물 국밥 (11,000원), 멸치 김치찌개 (11,000원), 돼지 김치찌개 (11,000원), 조랭이 만두국 (11,000원)",후기 없음
홍명,3.7,469,"서울 강남구 논현로131길 10 1층
(지번) 논현동 37-9",02-548-2223,"짜장면 (9,000원), 간짜장 (11,000원), 짬뽕 (11,000원), 사천탕면 (10,000원), 볶음짬뽕 (10,000원), 잡채볶음밥 (11,000원), 유산슬밥 (18,000원), 짬뽕밥 (11,000원), 볶음밥 (10,000원), 마파두부밥 (10,000원), 오향장육 (40,000원), 양장피 (40,000원), 유산슬 (45,000원), 팔보채 (48,000원), 탕수육 (33,000원), 깐풍기 (33,000원), 칠리새우 (40,000원), 멘보샤 (40,000원), 고추잡채 (40,000원), 동파육 (50,000원)",후기 없음
대가방 본점,3.3,432,"서울 강남구 봉은사로 333 1층 101~102호
(지번) 논현동 278-4",02-544-6336,"오품냉채 (78,000원), 사품냉채 (68,000원), 두가지냉채 (52,000원), 해파리냉채 (44,000원), 두부와오리알 (29,000원), 오향장육 (52,000원), 오향족발 (52,000원), 굴소스통삭스핀(1인)(2인이상) (96,000원), 해물삭스핀 (소) (63,000원), 북경식 삭스핀 (84,000원), 게살삭스핀 (소) (57,000원), 게살삭스핀 스프 (49,000원), 새우튀김 (56,000원), 토마토케찹새우 (56,000원), 칠리새우 (56,000원), 깐풍새우 (56,000원), 칠리소스중새우 (소) (52,000원), 깐풍소스중새우 (소) (52,000원), 칠리소스왕새우(1p)(2p이상) (17,000원), 깐풍소스왕새우(1p)(2p이상) (17,000원), 멘보샤 (소) (39,000원), 돼지고기탕수육 (33,000원), 소고기탕수육(안심) (70,000원), 오향삼겹살 (55,000원), 삼겹살과짜장볶음 (55,000원), 쇠고기짜장볶음 (55,000원), 소고기와자연송이 (55,000원), 부추잡채 (52,000원), 고추잡채 (52,000원), 라조기 (49,000원), 깐풍기 (49,000원), 닭과고추볶음 (49,000원), 유린기 (54,000원), 전가복 (소) (64,000원), 류삼스 (소) (40,000원), 팔보채 (소) (40,000원), 양장피 (소) (33,000원), 난전완자 (소) (32,000원), 신라스프 (34,000원), 누룽지탕 (49,000원), 게살볶음밥 (12,000원), 마파두부밥 (12,000원), 새우볶음밥 (12,000원), 잡채밥 (15,000원), 쇠고기덮밥 (16,000원), 류삼스밥 (17,000원), 잡탕밥 (21,000원), 유니짜장면 (8,500원), 해물짜장면 (13,000원), 소고기탕면 (14,000원), 대가탕면 (13,000원), 해물울면 (13,000원), 해물짬뽕 (13,000원), 물만두 (9,000원), 중국식냉면 (여름계절메뉴) (18,000원)",후기 없음
밍글스,4.2,216,"서울 강남구 도산대로67길 19 힐탑빌딩 2층
(지번) 청담동 94-6",02-515-7306,"DINNER (350,000원), LUNCH (280,000원), 4잔 페어링 (170,000원), 우리 술 페어링 (170,000원), 시그니쳐 페어링 (280,000원)",후기 없음
중앙해장,4.1,"1,599","서울 강남구 영동대로86길 17 육인빌딩 1층
(지번) 대치동 996-16",02-558-7905,"한우양선지 해장국 (14,000원), 한우내장탕 (16,000원), 한우1++양지곰탕 (16,000원), 한우우족탕 (23,000원), 한우1++양지수육 (중) (47,000원), 곱창전골 (중) (67,000원)",후기 없음
뽕나무쟁이 선릉본점,4.2,688,"서울 강남구 역삼로65길 31 1층
(지번) 대치동 896-5",02-558-9279,"모둠족발 (중) (42,000원), 모둠족발 (대) (47,000원), 모둠족발 (특대) (65,000원), 뽕족발 (중) (40,000원), 뽕족발 (대) (45,000원), 뽕족발 (특대) (63,000원), 양념족발 (중) (40,000원), 양념족발 (대) (45,000원), 양념족발 (특대) (63,000원), 쟁반막국수 (13,000원), 참치김치찌개 (10,000원)",후기 없음
맛짱조개,4.1,844,"서울 강남구 언주로134길 18 1층
(지번) 논현동 115-4",02-516-4787,"조개찜 (중) (55,000원), 가리비 숙회 (25,000원), 포뜬 산오징어 (28,000원), 키조개 (25,000원), 참골뱅이 (40,000원), 조개탕 (30,000원), 새우뽕 (35,000원), 피문어 (변동가격)",후기 없음
가담,3.3,242,"서울 강남구 언주로167길 35 1층
(지번) 신사동 608-8",02-545-5163,"짜장면 (9,000원), 잡탕밥 (15,000원), 특색 냉채 (60,000원), 송이 전복 (65,000원), 해삼 전복 (65,000원), 게살스프또 (12,000원), 산라탕 (7,000원), 옥수수스프 (6,000원), 전가복 (84,000원), 사천팔보채헬레브 (74,000원), 유산슬 (40,000원), 게살야채볶음 (48,000원), 양장피 (38,000원), 마라관자 (45,000원), 깐풍관자 (45,000원), 마파두부덮밥 (10,000원), 짬뽕밥 (10,500원), 새우볶음밥 (10,000원), 짜장밥 (10,000원), 북경짬뽕 (10,000원), 삼선울면 (10,000원), 삼선우동 (10,000원), 볶음면 (10,000원), 쇠고기탕면 (10,000원), 중국냉면 (12,500원), 부추굴짬뽕 (13,000원)",후기 없음
을밀대 강남점,3.6,305,"서울 강남구 테헤란로4길 46 지하1층
(지번) 역삼동 826-37",02-552-1922,"물냉면 (16,000원), 수육 (소) (50,000원), 녹두전 (1장) (13,500원), 홍어무침 (90,000원), 비빔냉면 (16,000원), 수육 (대) (100,000원), 회냉면 (20,000원), 한우 양지탕밥(동절기메뉴) (가격정보 없음), 한우 육개장(동절기메뉴) (가격정보 없음)",후기 없음
시추안하우스 삼성점,3.3,162,"서울 강남구 테헤란로87길 29 M타워 1층
(지번) 삼성동 154-11",02-508-1320,"마라 소고기 전골 (46,000원), 해산물 마라샹궈 (45,000원), 라즈지(순살) (36,000원), 동파육 위드 번 (45,000원), 시추안 유린기 (36,000원), 사천 통새우 완탕 (21,000원), 대게살 볶음 (55,000원), 꿔바로우 (36,000원)",후기 없음
