이름,평점,리뷰수,주소,전화번호,메뉴
밍글스,4.2,216,"서울 강남구 도산대로67길 19 힐탑빌딩 2층
(지번) 청담동 94-6",02-515-7306,"DINNER (350,000원), LUNCH (280,000원), 4잔 페어링 (170,000원), 우리 술 페어링 (170,000원), 시그니쳐 페어링 (280,000원)"
새벽집 청담점,3.3,231,"서울 강남구 도산대로101길 6
(지번) 청담동 129-10",02-546-5739,"꽃등심 (150g) (85,000원), 양념갈비 (260g) (85,000원), 생고기(150g) (85,000원), 불고기(200g) (42,000원), 샤브샤브(160g) (42,000원), 육회(200g) (42,000원), 국수전골 (32,000원), 간장게장 (28,000원), 한우 갈비탕 (28,000원), 육회비빔밥 (16,000원), 따로국밥 (11,000원), 콩나물 국밥 (11,000원), 멸치 김치찌개 (11,000원), 돼지 김치찌개 (11,000원), 조랭이 만두국 (11,000원)"
테라로사 포스코센터점,3.9,635,"서울 강남구 테헤란로 440 포스코센터 1,2층
(지번) 대치동 892",033-648-2760,"카페라떼 (6,000원), 카푸치노 (6,000원), 에스프레소 마키아토 (6,000원), 에스프레소 더블 (5,500원), 아메리카노 에센틱(HOT) (5,500원)"
농민백암순대 본점,4.5,"1,350","서울 강남구 선릉로86길 40-4 알앤지타운 1층
(지번) 대치동 896-33",02-555-9603,"국밥 (10,000원), 국밥 (특) (12,000원), 국밥 (정식) (15,000원), 토종순대 (13,000원), 모둠수육 (36,000원), 술국 (19,000원), 오소리감투 (18,000원)"
뽕나무쟁이 선릉본점,4.2,687,"서울 강남구 역삼로65길 31 1층
(지번) 대치동 896-5",02-558-9279,"모둠족발 (중) (42,000원), 모둠족발 (대) (47,000원), 모둠족발 (특대) (65,000원), 뽕족발 (중) (40,000원), 뽕족발 (대) (45,000원), 뽕족발 (특대) (63,000원), 양념족발 (중) (40,000원), 양념족발 (대) (45,000원), 양념족발 (특대) (63,000원), 쟁반막국수 (13,000원), 참치김치찌개 (10,000원)"
땀땀 본점,3.6,"1,755","서울 강남구 강남대로98길 12-5 1층
(지번) 역삼동 817-31",,"양지쌀국수 (10,000원), 우삼겹쌀국수 (11,000원), 꼬리쌀국수 (17,000원), 힘줄쌀국수 (15,000원), 프리미엄 보양 쌀국수 (16,000원), 매운 소곱창 쌀국수 (15,000원), 숯불 직화 소고기 쌀국수 (13,000원), 숯불구이 돼지고기 덮밥 (12,000원), 하노이 분짜 (13,000원), 매운 쪽갈비 쌀국수 (16,000원), 매운 우삼겹 쌀국수 (12,000원), 양지와 우삼겹 쌀국수 (12,000원), 돼지갈비 쌀국수 (15,000원)"
평양면옥,3.2,177,"서울 강남구 논현로150길 6 1층
(지번) 논현동 66-2",02-549-5378,"제육 (34,000원), 제육반 (17,000원), 편육 (37,000원), 편육반 (19,000원), 냉면 (15,000원), 온면 (15,000원), 만두국 (15,000원), 비빔냉면 (15,000원), 접시만두 (15,000원), 접시만두반 (8,000원), 제육반 편육반 (36,000원), 불고기 (38,000원), 어복쟁반 大 (100,000원), 어복쟁반 小 (60,000원)"
대가방 본점,3.3,433,"서울 강남구 봉은사로 333 1층 101~102호
(지번) 논현동 278-4",02-544-6336,"오품냉채 (78,000원), 사품냉채 (68,000원), 두가지냉채 (52,000원), 해파리냉채 (44,000원), 두부와오리알 (29,000원), 오향장육 (52,000원), 오향족발 (52,000원), 굴소스통삭스핀(1인)(2인이상) (96,000원), 해물삭스핀 (소) (63,000원), 북경식 삭스핀 (84,000원), 게살삭스핀 (소) (57,000원), 게살삭스핀 스프 (49,000원), 새우튀김 (56,000원), 토마토케찹새우 (56,000원), 칠리새우 (56,000원), 깐풍새우 (56,000원), 칠리소스중새우 (소) (52,000원), 깐풍소스중새우 (소) (52,000원), 칠리소스왕새우(1p)(2p이상) (17,000원), 깐풍소스왕새우(1p)(2p이상) (17,000원), 멘보샤 (소) (39,000원), 돼지고기탕수육 (33,000원), 소고기탕수육(안심) (70,000원), 오향삼겹살 (55,000원), 삼겹살과짜장볶음 (55,000원), 쇠고기짜장볶음 (55,000원), 소고기와자연송이 (55,000원), 부추잡채 (52,000원), 고추잡채 (52,000원), 라조기 (49,000원), 깐풍기 (49,000원), 닭과고추볶음 (49,000원), 유린기 (54,000원), 전가복 (소) (64,000원), 류삼스 (소) (40,000원), 팔보채 (소) (40,000원), 양장피 (소) (33,000원), 난전완자 (소) (32,000원), 신라스프 (34,000원), 누룽지탕 (49,000원), 게살볶음밥 (12,000원), 마파두부밥 (12,000원), 새우볶음밥 (12,000원), 잡채밥 (15,000원), 쇠고기덮밥 (16,000원), 류삼스밥 (17,000원), 잡탕밥 (21,000원), 유니짜장면 (8,500원), 해물짜장면 (13,000원), 소고기탕면 (14,000원), 대가탕면 (13,000원), 해물울면 (13,000원), 해물짬뽕 (13,000원), 물만두 (9,000원), 중국식냉면 (여름계절메뉴) (18,000원)"
진미평양냉면 별관,3.8,"1,746","서울 강남구 학동로 305-3 정각빌딩 1층
(지번) 논현동 115-10",02-515-3469,"냉면 (15,000원), 비빔냉면 (15,000원), 온면 (15,000원), 만두국 (15,000원), 접시만두 (15,000원), 만두반 (7,500원), 편육 (32,000원), 제육 (32,000원), 불고기 (28,000원), 어복쟁반 (소) (60,000원)"
을밀대 강남점,3.6,305,"서울 강남구 테헤란로4길 46 지하1층
(지번) 역삼동 826-37",02-552-1922,"물냉면 (16,000원), 수육 (소) (50,000원), 녹두전 (1장) (13,500원), 홍어무침 (90,000원), 비빔냉면 (16,000원), 수육 (대) (100,000원), 회냉면 (20,000원), 한우 양지탕밥(동절기메뉴) (가격정보 없음), 한우 육개장(동절기메뉴) (가격정보 없음)"
시추안하우스 삼성점,3.3,163,"서울 강남구 테헤란로87길 29 M타워 1층
(지번) 삼성동 154-11",02-508-1320,"마라 소고기 전골 (46,000원), 해산물 마라샹궈 (45,000원), 라즈지(순살) (36,000원), 동파육 위드 번 (45,000원), 시추안 유린기 (36,000원), 사천 통새우 완탕 (21,000원), 대게살 볶음 (55,000원), 꿔바로우 (36,000원)"
썸띵어바웃커피,3.6,"1,166","서울 강남구 강남대로102길 30 1-3층
(지번) 역삼동 618-16",,"아메리카노 (6,000원), 에스프레소 (6,000원), 플랫화이트 (6,500원), 카페라떼 (6,500원), 카푸치노 (6,500원), 바닐라라떼 (7,000원), 헤이즐넛라떼 (7,000원), 카페모카 (7,000원), 콜드브루 (6,500원), 콜드브루라떼 (7,000원), 그린티라떼 (7,500원), 초코라떼 (7,500원), 로얄밀크티 (7,500원), 아인슈페너 (7,000원), 그린티아인슈페너 (7,000원), 밀크티아인슈페너 (7,500원), 쑥크림슈페너 (7,500원), 자몽에이드 (7,500원), 레몬에이드 (7,500원), 라임모히또 (7,500원), 복숭아자몽 (7,500원), 엘더플라워 (7,500원)"
중앙해장,4.1,"1,600","서울 강남구 영동대로86길 17 육인빌딩 1층
(지번) 대치동 996-16",02-558-7905,"한우양선지 해장국 (14,000원), 한우내장탕 (16,000원), 한우1++양지곰탕 (16,000원), 한우우족탕 (23,000원), 한우1++양지수육 (중) (47,000원), 곱창전골 (중) (67,000원)"
신동궁감자탕뼈숯불구이 선릉직영점,3.7,"1,042","서울 강남구 선릉로86길 39 1층
(지번) 대치동 890-44",02-558-7944,"뼈해장국 (10,000원), 묵은지김치찜 (10,000원), 낙지뚝배기 (10,000원), 뼈숯불구이 (소) (36,000원), 감자탕 (소) (32,000원)"
천진영감,3.2,386,"서울 강남구 봉은사로6길 26 1층
(지번) 역삼동 811-6",02-568-0355,"천진마라전골 (36,000원)"
원조원주추어탕 강남본점,3.5,140,"서울 강남구 강남대로110길 6
(지번) 역삼동 809-1",02-557-8647,"갈아서추어탕 (13,000원), 통마리추어탕 (14,000원), 전복추어탕 (19,000원), 전복구이 (35,000원), 미꾸라지튀김 (13,000원), 메기매운탕 (소) (40,000원), 메기불고기 (소) (60,000원)"
뉴만두집,4.0,510,"서울 강남구 압구정로 338 1층
(지번) 신사동 661-1",02-544-3710,"만두전골 (75,000원), 만두국 (15,000원), 빈대떡 (24,000원), 고추전 (24,000원), 비지 (12,000원)"
외고집설렁탕,3.7,183,"서울 강남구 삼성로 555 알앤텍빌딩 1층
(지번) 삼성동 120-8",02-567-5225,"설렁탕 (13,000원), 머리고기 설렁탕 (13,000원), 설렁탕 (특) (20,000원), 머리고기 설렁탕 (특) (20,000원), 육개장 (17,000원), 도가니탕 (28,000원), 수육 (대) (75,000원), 수육 (중) (55,000원), 도가니수육 (70,000원)"
유정식당,3.6,94,"서울 강남구 도산대로28길 14
(지번) 논현동 8-8",02-511-4592,"유정 쌈밥 (2인분 이상 주문) (12,000원), 흑돼지 김치전골 (10,000원), 흑돼지 돌솥 비빔밥 (10,000원), 산채 돌솥 비빔밥 (10,000원), 산채 비빔밥 (10,000원), 유정 부대찌개 (10,000원), 유정 청국장 (10,000원), 초당 순두부 (10,000원), 생고기 흑돼지 오겹살 (17,000원), 흑돼지 고추장 오겹살 (19,000원), 흑돼지 제육볶음 (17,000원), 유정 두부김치 (15,000원), 도토리묵 무침 (15,000원), 삼계탕 (15,000원)"
원강,3.8,73,"서울 강남구 학동로6길 18 1층
(지번) 논현동 122-20",02-3445-1518,"육사시미 (180g) (58,000원), 안창살 (150g) (68,000원), 꽃등심 (150g) (60,000원), 생등심 (200g) (58,000원), 갈비살 (150g) (55,000원)"
기욤 청담점,3.3,471,"서울 강남구 선릉로152길 17 1층 101호
(지번) 청담동 88-37",02-512-6701,"에스프레소 도피오 (7,500원), 아메리카노 (HOT) (7,000원), 까페오레 (HOT) (7,500원), 카푸치노 (HOT) (7,500원), 다크 모카오레 (HOT) (11,000원), 바닐라 카페오레 (HOT) (12,000원), 프렌치 키스 (HOT) (12,000원), 얼그레이 (HOT) (8,800원), 아쌈 (HOT) (8,800원), 페퍼민트 (HOT) (8,800원), 카모마일 (HOT) (8,800원), 텐저린진저 (HOT) (8,800원), 허니 레몬티 (9,000원), 허니 자몽티 (9,000원), 허니 레몬네이드 (9,000원), 허니 자몽에이드 (9,000원), 오렌지쥬스 (8,000원), 자몽쥬스 (8,000원), 프렌치석류티 (9,000원), 프렌치석류에이드 (11,000원), 아쌈밀크티 (HOT) (9,000원), 얼그레이밀크티 (HOT) (9,000원)"
몽중헌 청담점,3.8,251,"서울 강남구 도산대로 445 엠빌딩 지하1층
(지번) 청담동 97",02-3446-7887,"팔진초면 (18,000원), 쇠고기초면 (18,000원), 홍콩식볶음국수 (18,000원), 해삼 게살 수초면 (14,000원), 한우 일품 자장면 (14,000원), 삼선짬뽕 (18,000원), 팔진탕면 (18,000원), 새우탕면 (18,000원), 사천탕면 (18,000원), 우육탕면 (20,000원), 중식냉면 (20,000원), 삼선우동 (17,000원), 지마장새우두부탕면 (18,000원), 특선냉채 (소) (55,000원), 오향장육 (소) (45,000원), 금사오룡 (소) (85,000원), 해삼전복 (소) (90,000원), 팔보채 (소) (60,000원), 양장피 (소) (55,000원), 해물누룽지탕 (소) (60,000원), 류산슬 (소) (55,000원), 바닷가재 (소) (70,000원), 어향새우가지 (소) (60,000원), 마늘새우 (소) (55,000원), 한우탕수육 (소) (60,000원), 난자완스 (소) (60,000원), 초이삼동파육 (소) (55,000원), 돼지고기탕수육 (소) (40,000원), 광동식탕수육 (소) (40,000원), 잡탕밥 (22,000원), 류산슬밥 (20,000원), 잡채밥 (16,000원), 후난식볶음밥 (17,000원), 시그니처 볶음밥 (18,000원)"
이도곰탕 본점,4.1,341,"서울 강남구 논현로94길 29-5
(지번) 역삼동 671-17",02-569-0524,"곰탕 (13,000원), 특곰탕 (16,000원), 쌀면곰탕 (13,000원), 수육 (49,000원), 툭쌀면곰탕 (16,000원)"
남도애찬,4.1,65,"서울 강남구 역삼로3길 8 1층
(지번) 역삼동 830-27",0507-1329-1588,"한우육회비빔밥+차돌된장찌개 (17,000원), 영양돌솥밥+차돌된장찌개 (15,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 한우안창살 (74,000원), 한우살치살 (68,000원), 풍천장어(양념구이) (42,000원), 풍천장어(소금구이) (42,000원), 한우특등심 (58,000원), 갈비탕(돌솥밥변경시3,000원추가) (17,000원), 한우갈비살 (48,000원), 소양념갈비 (47,000원), 한우육회 (42,000원), 한우남도육전 (43,000원), 돼지갈비 (28,000원), 소갈비찜(센터컷 10대) (88,000원), 특갈비탕(돌솥밥변경시3,000원추가) (25,000원), 특장어탕(돌솥밥변경시3,000원추가) (21,000원), 장어탕(돌솥밥변경시3,000원추가) (17,000원), 매운갈비찜(돌솥밥변경시3,000원추가) (14,000원), 돼지갈비+돌솥밥+차돌된장(점심세트) (32,000원), 보리굴비+돌솥밥+차돌된장(점심세트) (32,000원), 한우불고기+돌솥밥+차돌된장(점심세트) (35,000원), 소양념갈비+돌솥밥+차돌된장(점심세트) (45,000원), 소갈비찜+돌솥밥+차돌된장(점심세트) (35,000원), 명품도시락 (32,000원), 한우불고기도시락 (27,000원), 영광보리굴비도시락 (27,000원), 남도도시락 (25,000원)"
바게트케이,3.9,289,"서울 강남구 테헤란로34길 21-10 1층
(지번) 역삼동 723-30",02-567-9501,"브리 샌드위치 (11,000원), 터키햄 샌드위치 (12,000원), 햄&치즈 샌드위치 (11,000원), 연어 샌드위치 (13,000원), 살라미 샌드위치 (13,000원), 하몽 샌드위치 (12,000원), 잠봉뵈르 (14,000원), 몽쥐바게트 (4,500원), 말제르브 바게트 (5,500원), 바나나푸딩 (5,000원)"
스시마이우 강남CGV점,4.4,139,"서울 강남구 강남대로102길 14 장연빌딩 1층
(지번) 역삼동 619-4",02-555-4034,"연어세트 (17,000원), 모듬 A 세트 (15,000원), 모듬 B 세트 (18,000원), 소고기세트 (17,000원), 활어세트 (26,000원), 참치6P＋연어양파6P (22,000원), 광어 2p (3,700원), 새우 2p (1,500원), 유부 2p (1,500원), 냉모밀 (8,500원), 소고기 초밥 2P (랜덤) (100원), 인기쟁이 6선 (25,000원), 연어양파7P＋소고기5P (23,000원), 참치7P＋소고기5P (25,000원), 광어7P＋소고기5P (23,000원), 광어5P＋연어양파7P (20,000원), 트러플 활어초밥 2p (6,000원), 명란 활어초밥 2p (6,000원), 묵은지활어 2p (4,200원), 점성어 2p (3,000원), 참치 2p (3,700원), 광어지느러미 2p (4,200원), 참치뱃살 1p (6,000원), 도미 2p (4,200원), 성게알군함말이 1p (6,000원), 연어 2p (3,000원), 연어뱃살 2p (3,700원), 연어양파 2p (3,700원), 연어스테이크 2p (3,000원), 연어참치 2p (3,700원)"
파씨오네,4.6,283,"서울 강남구 언주로164길 39 2층
(지번) 신사동 646-23",02-546-7719,"라비올리 (0원), 야채요리 (0원), 야채콘소메 (0원), 점심코스 (0원), 저녁코스 (0원), 셰프테이스팅 (0원)"
신사모소리,4.4,234,"서울 강남구 도산대로1길 24 1층 103호
(지번) 신사동 510",02-3447-0542,"모소리 살 (120g) (16,000원), 가오리 살 (120g) (15,000원), 가로막 살 (120g) (15,000원), 구멍살 (120g) (15,000원), 삼각살 (120g) (15,000원), 껍데기 (9,000원), 제주된장찌개 (8,000원), 짜글이밥 (8,000원), 물쫄면/비빔쫄면 (8,000원)"
삼원가든,,381,"서울 강남구 언주로 835
(지번) 신사동 623-5",02-548-3030,"삼원 전통 양념갈비 (62,000원), 한우 생갈비 (120,000원), 한우 특생갈비 (150,000원), 한우 등심 생불고기 (58,000원), 삼원 냉면 (물/비빔/온) (20,000원), 삼원 갈비탕 (22,000원), 육개장 갈비탕 (23,000원), 보양 갈비탕 (40,000원), 도가니 우족탕 (40,000원), 제육 (40,000원), 돌솥 비빔밥 (22,000원), 육회 비빔밥 (28,000원), 전복죽 (35,000원)"
원스타올드패션드 햄버거,4.0,328,"서울 강남구 논현로26길 23 1층
(지번) 도곡동 424-11",0507-1448-4377,"치즈버거 (8,800원), 원스타 디럭스 (10,800원), 비.엘.티 (10,300원), 비.이.엘.티 (10,800원), 패티멜트 (11,800원), 머쉬룸 스위스 (11,800원), 프렌치프라이 (8,000원), 치즈프라이 (10,000원), 칠리치즈프라이 (13,000원), 스위트포테이토프라이 (12,000원), 어니언링 (13,000원), 버팔로윙 (13,000원)"
쁠로13,4.1,521,"서울 강남구 도산대로8길 13 1층
(지번) 논현동 13-2",070-8280-0813,"에스프레소 (3,000원), 아메리카노 (3,000원), 카푸치노 (3,800원), 카페라떼 (3,800원), 카페모카 (4,300원), 바닐라라떼 (4,300원), 돌체라떼 (4,300원), 카라멜 마키아토 (4,300원), 우유 (2,500원), 초코라떼 (4,300원), 딸기라떼 (5,800원), 유기농허브티 (3,800원), 생강차 (4,300원), 아이스티 복숭아 (3,800원), 패션프루트에이드 (5,300원), 청포도 수제에이드 (5,800원), 유자차 (4,300원), 제주청귤차 (4,300원), 블랙티 (4,300원), 자몽 수제차 (5,800원)"
하영각,3.9,105,"서울 강남구 개포로31길 8
(지번) 개포동 1262-14",02-572-5593,"누룽지탕 (45,000원)"
압구정하루,4.1,388,"서울 강남구 언주로172길 56 1층
(지번) 신사동 663-9",02-514-5557,"냉모밀 (11,000원), 판모밀 (11,000원), 냉우동 (71,000원), 비빔모밀 (11,000원), 비빔우동 (11,000원), 온모밀 (11,000원), 유부우동 (9,000원), 돈가스 (12,000원), 우동돈가스 (14,000원), 카레돈가스 (14,000원), 카레라이스 (9,000원), 유부초밥 (5,000원), 뚝배기김치우동 (13,000원), 김치돈가스 (14,000원)"
나향반점,4.0,38,"서울 강남구 선릉로111길 43
(지번) 논현동 277-1",02-6052-6054,"사천탕수육 (22,000원), 유림탕수육 (25,000원), 팔보채 (30,000원), 깐풍기 (28,000원), 짜장면 (7,000원)"
평가옥 삼성점,3.1,78,"서울 강남구 삼성로95길 37 1-3층
(지번) 삼성동 143-1",02-568-1577,"평양 물냉면 (16,000원), 평양 물냉면 (곱배기) (19,000원), 평양 비빔냉면 (16,000원), 평양 비빔냉면 (곱배기) (19,000원), 접시만두 (6개) (14,000원), 녹두지짐 (2장) (17,000원), 쇠고기온반 (15,000원), 토종닭온반 (16,000원), 쇠고기만두국 (15,000원), 토종닭만두국 (16,000원)"
백미당 본점,4.2,29,"서울 강남구 언주로149길 8 2층
(지번) 논현동 62-24",,"에스프레소 (3,900원), 아메리카노 (S) (4,400원), 백미달라떼 (S) (5,600원), 백미당카푸치노 (S) (5,600원), 바닐라라떼 (S) (5,500원), 네모난 등곡물방 (3,000원), 사라다방 (5,000원), 백미당밀크램토스트 (3,500원), 튜나 샌드위치 (5,500원), 1964 진한라떼 (S) (5,900원), 아이스크림라떼 (6,600원), 제주말차라떼 (6,600원), 플레인요거트 (3,600원), 생 초코요거트 (3,900원), 생 바나나요거트 (3,900원), 그래놀라요거트 (3,900원), 초코생크림케믹 (S) (3,500원), 생 오렌지레몬에이드 (6,000원), 유기농 우전으로만든 우전차 (4,200원), 생 바나나아이스크림 (6,200원), 밀크쉐이크 (6,300원), 생 바나나쉐이크 (6,300원), 생 커피쉐이크 (6,600원), 제주말차쉐이크 (6,600원), 생 초코쉐이크 (7,300원), 1964 밀크크림빵 (3,500원), 검은콩 현미 그래놀라 (10,000원), 코코넛 바나나 그래놀라 (10,000원)"
우밀가 안동국시 선릉점,3.3,5,"서울 강남구 선릉로93길 26 2층
(지번) 역삼동 704-51",02-557-1855,"국시 (12,000원), 떡국 (14,000원), 수육 (소) (36,000원), 전 (소) (28,000원), 우밀정식 (25,000원)"
