이름,평점,리뷰수,주소,전화번호,메뉴
스윗솔트,4.5,345,"서울 강동구 상암로 286
(지번) 명일동 222-3",02-3427-0999,"까르보나라 파스타 (18,000원), 토마토 미트볼 파스타 (18,500원), 베이컨 치즈 버거 + 감자튀김 (17,000원), 프렌치 토스트 (15,500원), 잠봉 에그베네딕트 (15,500원), 미트볼 샌드위치 + 감자튀김 (16,500원), 알리오올리오 파스타 (17,500원), 치즈버거 + 감자튀김 (15,500원), 에스프레소 (5,500원), 아메리카노 에티오피아 샤키소 (6,500원), 까페라떼 (6,000원), 스윗라떼 (7,000원), 아인슈페너 (7,500원), 카푸치노 (6,000원), 얼그레이 (6,000원), 말차 그린티 라떼 (7,000원), 생강레몬차 (7,000원), 자몽차 (7,000원), 레몬 / 자몽 / 청포도 / 레드깔라만시 에이드 (7,000원), 플레인 / 딸기 / 블루베리 요거트 스무디 (7,500원)"
강동반상,3.5,156,"서울 강동구 상일로6길 39 강동타워 지하1층
(지번) 상일동 502",02-429-2733,"궁중갈비찜 (60,000원), 소고기만두전골 (25,000원), 두부김치 (15,000원), 통오징어 (13,000원), 보쌈수육 (13,000원), 더덕구이 (16,000원), 황태구이 (12,000원), 녹두전 (12,000원), 간장게장 (2마리) (9,000원), 김치제육볶음 (8,000원)"
브랜뉴하이몬드,3.8,510,"서울 강동구 천호옛14길 11 1-2층
(지번) 성내동 43-19",02-478-2402,"파네토네 1／4 (10,000원), 치즈바게트 (6,200원), 산딸기바게트 (6,200원), 커스타드롤 (6,800원), 크로플（L） (7,500원), 소금빵 (3,000원), (신제품)초코생크림 소금빵 (5,300원), 앙버터 소금빵 (4,500원), 잠봉 베이글 (7,300원), (신제품)큐브쌀식빵 (5,300원), 팥빵 (3,300원), 브런치 A 세트 (13,000원), 브런치 B 세트 (12,000원), (신제품)우유생크림 소금빵 (5,300원), (신제품)쉬림프 에그마요 소금빵 (6,900원), (신제품)폴드포크 소금빵 (6,900원), 대파 베이글 (6,500원), 크림치즈 어니언베이글 (6,300원), (신제품)올리브 치즈 베이글 (4,800원), 무화과 크림치즈 베이글 (6,300원), 파네토네 1／2 (20,000원), 맘모스 (4,500원), 슈크림빵 (3,800원), 시몬（4ea） (4,800원), 생크림으로 만든 카스테라 (6,500원), 엔젤쉬폰 (6,800원), (신제품)바질&치즈 캄파뉴 (6,300원), 몽블랑 (7,500원), 올리브 치아바타 (4,600원), 딸기생크림몽블랑 (13,000원)"
명일원조닭발,3.9,144,"서울 강동구 상암로47길 86 1층
(지번) 명일동 325-16",02-429-8548,"오돌뼈 (12,000원), 닭똥집 (12,000원), 원조닭발 (큰거) (15,000원), 원조닭발 (작은거) (10,000원), 무뼈직화 (14,000원), 무뼈볶음 (14,000원), 오뎅탕 (9,000원), 곱창볶음 (8,000원), 순대볶음 (8,000원), 순대곱창볶음 (12,000원), 순대 (4,000원), 계란찜 (5,000원), 마늘닭똥집 (12,000원)"
신흥정육식당,4.0,145,"서울 강동구 양재대로89길 16
(지번) 성내동 428-2",,"한우특수부위 (600g) (100,000원), 한우등심 (600g) (95,000원), 갈비살 (600g) (60,000원), 치마살 (600g) (60,000원), 차돌박이 (600g) (74,000원), 안심 (600g) (95,000원), 한우육사시미 (25,000원), 한우육회 (25,000원), 삼겹살 (600g) (24,000원), 목살 (600g) (24,000원), 항정살 (600g) (34,000원), 가브리살 (600g) (34,000원), 김치찌개 (4,000원), 된장찌개 (4,000원)"
갓잇 올림픽공원점,4.0,587,"서울 강동구 성안로 14 1층
(지번) 성내동 446-22",02-485-9451,"A세트 - 갓보울 (37,000원), B세트 - 파히타 (39,000원), C세트 - 엔칠라다 (39,000원), 타코세트 (52,000원), 패밀리세트 (72,000원), 갓보울 (18,000원), 갓파히타 (23,000원), 갓엔칠라다 (23,000원), 단품메뉴 (5,000원), 애플모히토 (6,000원), 하와이안펀치 (7,000원), 데킬라 하이볼 (8,000원), 데킬라 썬라이즈 (8,000원), 코로나 리타 (15,000원)"
카페제이,4.3,180,"서울 강동구 동남로82길 19 1층
(지번) 고덕동 294-1",070-8270-9370,"아인슈페너 (6,000원), 카페라떼 (4,000원), 교토프레소 (6,500원), 로얄밀크티 (6,000원)"
형제기사식당,4.1,40,"서울 강동구 성안로 186 1층
(지번) 길동 383-1",02-472-8015,"불백(180g) (9,000원), 불백비빔(180g) (9,000원), 오징어볶음 (9,000원), 제육볶음 (9,000원), 조기 (9,000원), 김치찌개 (9,000원), 부대찌개 (9,000원), 동태탕 (9,000원), 조기매운탕 (9,000원), 오징어찌개 (9,000원), 장어양념조림 (9,000원), 불낙전골 (10,000원), 소전골 (10,000원), 낙지전골 (10,000원), 낙지볶음 (10,000원), 된장찌개 (7,000원)"
천호맛집 등갈비달인 본점,4.3,138,"서울 강동구 천호대로158길 25 1층
(지번) 성내동 42-7",02-6203-4638,"치즈 김치 등갈비(2인분) (39,000원), 철판 치즈 등갈비(2인분) (37,000원), 매운 김치 등갈비(2인분) (35,000원), 바베큐 등갈비(2인분) (34,000원), 김치말이국수 (7,000원)"
버섯잔치집,3.7,237,"서울 강동구 성내로 52 성원빌딩 1층
(지번) 성내동 549-4",02-470-0092,"반반 쇠고기 샤브(1인) (19,000원), 점심 샤브전골 (12,000원), 모듬버섯 매운탕/맑은탕 (14,000원), 큰버섯 샤브(쇠고기) (18,000원), 통버섯 불낙전골(1인) (16,000원), 통 자연송이 전골(1인) (23,000원), 잔치 스페셜 A 코스(1인) (35,000원), VIP옥체보존 (55,000원), 자연송이 능이모듬 (가격정보 없음)"
