이름,평점,리뷰수,주소,전화번호,메뉴
행복수산,3.3,142,"서울 강북구 솔샘로67길 133 1층
(지번) 미아동 316-2",02-980-0736,"오마카세 모둠회 (소) (55,000원), 광어+우럭 (소) (55,000원), 광어 (소) (50,000원), 우럭 (소) (50,000원), 도다리(회) or 세꼬시 (65,000원), 멍게 (15,000원), 전복(4미) (15,000원), 해삼(반접시) (20,000원), 뿔소라회(제주산) (변동가격), 참돔 (변동가격), 줄돔 (변동가격), 고등어회 (변동가격), 산낙지 (변동가격), 줄돔+도다리 회(2인) (50,000원), 줄돔+우럭 회(2인) (50,000원), 우럭+도다리 회(2인) (50,000원), 광어+도다리 회(2인) (55,000원), 광어+우럭+도다리 회(2인) (55,000원), 활어우럭탕 (20,000원), 알탕 (15,000원)"
다래함박스텍,4.4,227,"서울 강북구 수유로 20-2
(지번) 수유동 56-45",02-2241-7558,"함박스텍 (6,500원), 매운함박스텍 (7,000원), 돈까스 (6,500원), 매운돈까스 (7,000원), 생선까스 (7,000원), 곱배기 (1,500원)"
엘림들깨수제비칼국수,4.3,474,"서울 강북구 삼각산로 67
(지번) 수유동 521-20",02-996-2583,"칼국수 (10,000원), 수육 (14,000원), 고기만두 (6,000원)"
소담촌 수유점,3.9,110,"서울 강북구 도봉로 388 테마빌딩 8층
(지번) 번동 464-1",02-903-9033,"월남쌈 샤브 (16,900원)"
소담촌 미아사거리점,4.3,80,"서울 강북구 월계로 3 덕신빌딩 5층
(지번) 미아동 42-11",02-987-5566,"월남쌈샤브 (14,500원), 월남쌈버섯샤브 (18,900원), 월남쌈와규샤브 (17,800원), 우삼겹구이&샤브 (15,000원), 돈삼겹구이&샤브 (15,000원)"
어니언 미아,4.6,240,"서울 강북구 솔매로50길 55 서울강북우체국 1층
(지번) 미아동 127-9",070-7816-2714,"에스프레소(Espresso) (4,000원), 허니프레소(Honey Espresso) (4,000원), 아메리카노(Americano) (4,000원), 카페라떼(Cafe latte) (4,500원), 카푸치노(Cappuccino) (4,500원), 크림 카푸치노(Cream Cappuccino) (5,500원), 플랫화이트(Flatwhite) (4,500원), 바닐라라떼(Vanilla latte) (5,500원), 매운 토마토 라떼 (7,000원), 히비스커스 앤 로지스 티 (7,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니쳐 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원), 발로나 초콜릿 드링크 (6,000원)"
미즐카페엠,3.3,149,"서울 강북구 4.19로 107 1층
(지번) 수유동 535-11",02-999-5055,"에스프레소 더블 (HOT) (5,000원), 에스프레소 더블 (ICE) (5,500원), 아메리카노 (HOT) (5,000원), 아메리카노 (ICE) (5,500원), 카페라떼 (HOT) (5,500원), 카페라떼 (ICE) (6,000원), 바닐라라떼 (HOT) (6,000원), 바닐라라떼 (ICE) (6,500원), 카푸치노 (HOT) (5,500원), 카페모카 (HOT) (6,000원), 카페모카 (ICE) (6,500원), 플랫화이트 (HOT) (5,500원), 플랫화이트 (ICE) (6,000원), 연유라떼 (HOT) (6,500원), 연유라떼 (ICE) (7,000원), 아이스아메리카노 (5,500원), 아인슈페너 (6,500원)"
진미기사식당,4.0,286,"서울 강북구 한천로 1163 1층
(지번) 수유동 273-77",02-998-0010,"산더미 코다리찜 (12,000원), 제육볶음 (10,000원), 생삼겹살 (28,000원), 된장찌개 (8,000원), 순두부찌개 (8,000원), 청국장찌개 (8,000원), 김치찌개 (9,000원), 부대찌개 (9,000원), 불백볶음 (10,000원), 오징어볶음 (12,000원), 낙지볶음 (12,000원), 오삼볶음 (12,000원), 쭈삼볶음 (12,000원), 고등어구이 (10,000원), 고등어조림 (12,000원), 갈치조림 (12,000원), 임연수구이 (12,000원), 동태찌개 (9,000원), 소주 (4,000원), 맥주 (4,000원)"
산성골,3.0,60,"서울 강북구 덕릉로 126
(지번) 번동 441-28",02-989-7341,"한우특선모음(500g) (115,000원), 345진짜돼지갈비 (300g) (17,000원), 매운양념 돼지갈비(300g) (17,000원), 생돼지갈비 (230g) (17,000원), 한우 특등심(180g) (40,000원), 한우 꽃살(160g) (40,000원), 한우 갈비살(160g) (40,000원), 한우 생육회(180g) (25,000원), 숯불고기 100g+고기주는 함흥 물냉면 (10,000원), 숯불고기 100g+고기주는 함흥 비빔냉면 (10,000원), 숯불고기 100g+고기주는 함흥 회냉면 (12,000원), 간장게장 (10,000원), 양념게장 (10,000원), 갈비탕 (15,000원)"
명인갈비 미아직영점,4.7,198,"서울 강북구 솔샘로 327 1층 101호
(지번) 미아동 374-13",02-986-9292,"돼지양념구이 250g (12,900원), 칼집 소양념구이 150g (16,900원), 칼집 통갈비살 150g (16,900원), 소양념갈비 230g (27,900원), 소생갈비 210g(한정판매) (29,900원), 돼지양념구이 점심특선 (14,900원), 칼집 소양념구이 특선 (18,900원), 소양념갈비 점심특선 (29,900원), 육회 200g (16,900원), 게장추가(5쪽) (6,000원), 후식 된장찌개 (3,000원), 후식 냉면(물/비빔) (5,000원), 명인 갈비탕 (17,000원), 돼지반근 뚝배기 불고기 (10,000원), 자가재면 함흥 물냉면/비빔냉면 (9,000원), 하이볼타임 (4,000원), 메가 하이볼 500ml (9,000원), 산토리 하이볼 (6,000원), 서프라이즈! 문어세비체(한정판매) (100원), 5첩반상 소등심 미역국 생일상 (0원)"
연포생선구이전문점,3.5,113,"서울 강북구 덕릉로28길 65 1층
(지번) 미아동 187-51",02-984-5592,"북어양념구이 (14,000원), 임연수구이 (14,000원), 삼치구이 (15,000원), 동태탕 (2인) (26,000원), 알탕 (12,000원), 모듬생선구이 (2인) (30,000원), 곤드레솥밥 (10,000원), 치구이이 (14,000원), 조기구이 (11,000원), 꽁치구이 (12,000원), 갈치조림 (2인) (28,000원), 고등어조림 (2인) (28,000원)"
수유리우동집 본점,3.2,72,"서울 강북구 덕릉로 94 1층
(지번) 미아동 159-10",02-980-9630,"우동 (6,000원), 얼큰우동 (7,000원), 어묵우동 (7,500원), 잔치국수 (7,000원), 비빔국수 (7,000원), 수유김밥 (4,000원), 쫄면 (7,000원), 비빔밥 (8,000원), 참치김밥 (5,000원), 고기／김치 반반 왕만두 (7,000원), 매생이 우동 (7,000원), 매생이 얼큰우동 (8,000원), 매생이 어묵우동 (8,500원), 짜장 (6,000원), 열무국수 (7,500원), 스팸김밥 (5,000원), 열무비빔밥 (9,000원), 짜장밥 (6,500원), 갈비만두 (4,500원), 어묵만 (4,000원), 고기왕만두 (7,000원), 김치왕만두 (7,000원)"
낙지일번지,4.3,438,"서울 강북구 도봉로89길 10 1층
(지번) 수유동 191-38",02-907-1017,"전복낙지(1인) (20,000원), 삼겹낙지(1인) (17,000원), 소불낙지(1인) (18,000원), 알쌈낙지(1인) (16,000원), 낙지볶음덮밥(1인) (11,000원), 꼬막비빔밥(1인) (10,000원), 산낙지연포탕 (22,000원), 조개탕 (15,000원), 산낙지 철판 (22,000원), 산낙지/전복회 (15,000원)"
미아회관,4.3,259,"서울 강북구 도봉로10가길 15 1층
(지번) 미아동 55-20",010-4732-1298,"제주삼겹살 (1인분) (15,000원), 청국장 (7,000원), 김치찌개 (7,000원), 제주 돼지껍데기 (7,000원), 비빔면 (4,000원)"
청수가든,3.7,512,"서울 강북구 4.19로28길 29
(지번) 수유동 산 86-1",02-992-8242,"전골 (2인) (50,000원), 수육 (2인) (55,000원), 닭도리탕 (55,000원), 한방옻닭 (55,000원), 오리로스 (60,000원), 한방옻오리 (60,000원), 해물파전 (13,000원)"
속초코다리냉면 속초돌판짜장,2.7,377,"서울 강북구 4.19로 55 1층
(지번) 수유동 564-3",02-6953-7898,"돌판짜장 (28,000원), 속초코다리냉면+연탄숯불고기 (15,000원), 매운갈비찜 中 (35,000원), 비빔냉면+연탄숯불고기 (13,000원), 물냉면+연탄숯불고기 (12,000원), 왕갈비탕 (15,000원), 옛날탕수육 (25,000원), 고추유린기 (20,000원), 깐풍만두 (8,000원), 군만두 (6,000원), 왕만두 (5,000원), 계란볶음밥 (5,000원), 해물뚝배기 짬뽕 (11,000원), 고추짬뽕 (12,000원), 귀한짬뽕밥 (11,000원), 수제떡갈비 (18,000원), 비빔대접밥 (4,000원)"
우이정원,3.8,60,"서울 강북구 삼양로181길 48
(지번) 우이동 217-5",02-993-3251,"능이 토종닭백숙 (80,000원), 토종닭도리탕 (68,000원), 옻 오리백숙 (73,000원), 엄나무 토종닭백숙 (68,000원), 옻 토종닭백숙 (68,000원), 능이 오리백숙 (85,000원), 엄나무 오리백숙 (73,000원), 생오리로스(900g) (73,000원), 오리로스(간장양념,900g) (73,000원), 오리불고기(매운양념,900g) (73,000원), 삼겹살(국내산내장,600g) (65,000원), 소갈비살(미국산,600g) (70,000원)"
빈세앙,4.4,18,"서울 강북구 오패산로 405 1층
(지번) 번동 445-24",070-8805-0615,"아메리카노 (3,500원), 카페라떼 (4,000원), 플랫화이트 (4,000원), 바닐라빈라떼 (4,500원), 수제 얼그레이라떼 (5,000원)"
