이름,평점,리뷰수,주소,전화번호,메뉴
만배아리랑,4.2,13,"서울 강서구 화곡로18길 24 강서뉴타워 1층 111,113호
(지번) 화곡동 1071-19",02-2607-3126,"김치보쌈 (소) (41,000원), 배추보쌈 (소) (42,000원), 반반보쌈 (소) (42,000원), 모듬보쌈스페셜 (중) (55,000원), 왕족발 (중) (43,000원), 김치보쌈 (중) (47,000원), 김치보쌈 (대) (52,000원), 배추보쌈 (중) (48,000원), 배추보쌈 (대) (53,000원), 반반보쌈 (중) (48,000원), 반반보쌈 (대) (53,000원), 왕족발 (대) (48,000원), 모듬보쌈스페셜 (대) (65,000원), 홍어삼합 (대) (65,000원), 해물바지락칼국수 (2인) (20,000원), 해물바지락칼국수 (3인) (30,000원), 굴보쌈 (중) (58,000원), 굴보쌈 (대) (68,000원), 굴보쌈(소) (50,000원), 홍어삼합(중) (55,000원), 해물바지락칼국수(1인) (10,000원), 보쌈정식 (11,000원), 쟁반국수 (8,000원)"
봉이밥,4.3,"1,238","서울 강서구 마곡중앙로 171 마곡나루역프라이빗타워2 1층 103~104호
(지번) 마곡동 757-2",02-6954-0288,"보리밥 (9,500원), 털래기 (23,000원), 쭈꾸미정식(2인이상) (24,000원), 제육정식(2인이상) (24,000원), 코다리정식(2인이상) (30,000원), 떡갈비 (20,000원), 쭈꾸미볶음 (20,000원), 제육볶음 (20,000원), 코다리구이 (26,000원), 녹두전 (19,000원), 도토리묵무침 (15,000원), 소불고기정식 (29,000원), LA갈비 (45,000원)"
고성막국수,3.5,196,"서울 강서구 방화대로49길 6-7
(지번) 방화동 323-6",02-2665-1205,"동치미막국수 (11,000원), 비빔막국수 (12,000원), 들기름막국수 (12,000원), 편육 (소) (25,000원)"
오복순대국 등촌직영점,3.9,194,"서울 강서구 공항대로45길 5 1층
(지번) 등촌동 656-50",02-3661-6611,"순대국 (10,000원), 순대국(특) (11,000원), 순대정식 (13,000원), 술국 (15,000원), 순대 한 접시 (7,000원), 모둠순대 (17,000원), 수육 (18,000원)"
원조나주곰탕,4.5,138,"서울 강서구 양천로14길 10 2동 1층
(지번) 방화동 559-1",02-2666-8292,"나주곰탕 (13,000원), 나주곰탕 (특) (16,000원), 수육 (대) (47,000원), 수육 (중) (37,000원), 수육 (소) (27,000원)"
사모님짬뽕,3.3,295,"서울 강서구 금낭화로18길 10 1층
(지번) 방화동 453-27",0507-1438-3422,"홍짬뽕 (10,000원), 홍짬뽕밥 (10,000원), 백짬뽕 (10,000원), 백짬뽕밥 (10,000원), 짜장면 (8,000원), 볶음밥 (9,000원), 수제만두튀김(한정수량) (7,000원), 깐풍탕수육 (25,000원)"
만배아리랑 등촌점,4.1,120,"서울 강서구 등촌로51길 17 1층
(지번) 등촌동 526-3",02-2644-2535,"김치보쌈(소) (39,000원), 배추보쌈(소) (40,000원), 홍어삼합(중) (53,000원), 해물 바지락 칼국수(2인) (18,000원), 왕족발(중) (43,000원), 반반보쌈(소) (40,000원), 모듬보쌈스페셜(중) (53,000원), 굴보쌈(소) (50,000원)"
다원레스토랑,3.6,218,"서울 강서구 공항대로65길 1-5
(지번) 염창동 272-8",02-3665-3600,"백심 (4,000원), 냉커피 (4,500원), 카푸치노 (4,500원), 아이스크림 (5,000원), 포도쥬스 (5,000원), 오렌지쥬스 (5,000원), 체리쥬스 (5,000원), 레몬에이드 (5,000원), 토마토쥬스 (5,000원), 파인애플 생과일쥬스 (6,000원), 팥빙수 (5,000원), 과일빙수 (5,500원), 치즈돈까스 (19,000원), 오징어덮밥 (10,000원), 새우볶음밥 (12,000원), 오므라이스 (11,000원), 불고기덮밥 (13,000원), 김치볶음밥 (11,000원), 하이라이스 (12,000원), 이탈리안스파게티 (14,000원), 크림스파 (15,000원), 치킨까스 (10,000원), 생선까스 (19,000원), 낙지볶음 (14,000원)"
마부자생삼겹살김치찌개,3.1,198,"서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호
(지번) 마곡동 760",02-3665-0788,"생삼겹살 (180g) (15,000원), 목살 (180g) (15,000원), 태백고냉지 묵은지 김치찌개 (점심특선) (9,000원)"
여가반상,4.1,72,"서울 강서구 마곡중앙6로 85 마곡사이언스파크뷰 2층
(지번) 마곡동 795-5",02-2135-2773,"고등어구이 (10,000원), 가자미구이 (11,000원), 삼치구이 (13,000원), 임연수구이 (13,000원), 갈치구이 (14,000원), 모듬생선 (28,000원), 여기반상 기본 2인도시락 (19,000원), Main combo 2~3인 정찬 도시락 (27,000원), 묵은지 Special (32,000원), 보쌈 (25,000원), 묵은지고등어찜 (22,000원), 고등어조림 (22,000원), 갈치조림 (30,000원), 치즈쭈꾸미 보쌈 세트 (39,000원), 공기밥 (1,000원), 계란말이 (5,000원), 새우튀김 (12,000원), 부대찌개 (8,000원), 차돌된장 (8,000원), 순두부찌개 (8,000원), 콜라 (2,000원), 스프라이트 (2,000원), 환타파인 (2,000원)"
