이름,평점,리뷰수,주소,전화번호,메뉴
쟝블랑제리,3.8,510,"서울 관악구 낙성대역길 8 1층
(지번) 봉천동 1660-7",02-889-5170,"소시지빵 (5,000원)"
아리차이 신림점,4.0,63,"서울 관악구 신림동길 4 1층
(지번) 신림동 1430-11",02-877-1272,"기본 신림 짬뽕 (12,000원), 기본 해물 짬뽕 (12,000원), 해물짬뽕 (12,000원)"
서울갈비 신림점,3.9,508,"서울 관악구 남부순환로 1645
(지번) 신림동 1410-17",02-885-7610,"우삼겹 (180g) (16,000원), 생삼겹살(180g) (16,000원), 소갈비살 (180g) (22,000원)"
원조민속순대타운,3.2,373,"서울 관악구 신림로59길 14 2,3층
(지번) 신림동 1640-31",,"원조백순대 (21,900원), 백곱창（곱창만 주문시） (25,900원), 순대곱창볶음 (21,900원), 곱창볶음（곱창만 주문시） (25,900원), 사이다 355mL (2,000원), 콜라 500mL (2,000원)"
오월의김밥,4.5,359,"서울 관악구 봉천로 605 1층 102호
(지번) 봉천동 1657-21",02-876-7792,"밥도둑김밥 (5,700원), 샐러드김밥 (5,700원), 스팸김밥 (4,700원), 야채김밥 (3,700원), 치즈김밥 (4,200원), 매운참치김밥 (5,700원), 참치김밥 (5,200원), 매운오뎅김밥 (4,200원), 주먹밥(게살 or 참치) (3,500원)"
막불감동,3.9,544,"서울 관악구 남부순환로 1599 지하1층
(지번) 신림동 1433-60",02-883-2110,"동치미막국수 (10,900원), 비빔막국수 (10,900원), 판메밀 (10,900원), 냉메밀 (10,900원), 메밀들깨칼국수 (10,900원), 짬뽕메밀칼국수 (10,900원), 메밀새우교자 (7,000원), 메밀지짐만두 (7,000원)"
소담촌 봉천현대시장직영점,4.0,29,"서울 관악구 양녕로 50 금강빌딩 2층
(지번) 봉천동 463-3",02-876-0977,"샤브고기(양지, 목심) (120g) (10,000원), 샤브고기(한우 목심) (120g) (15,000원), 샤브고기(와규) (120g) (13,000원), 우삼겹(120g) (10,000원), 돈삼겹(120g) (12,000원), 와규(구이) (120g) (13,000원)"
마뇨떡볶이,4.1,201,"서울 관악구 신원로 35 삼모더프라임타워 2층
(지번) 신림동 1638-1",02-873-6262,"세트1 (13,000원), 세트2 (13,000원), 세트3 (13,000원), 세트4 (13,000원), 김치말이국수 (7,500원), 세트A (13,000원), 세트B (14,000원), 세트C (13,000원), 세트D (14,000원), HOT）돈까스4PCS＋돈까스소스 (10,000원), 등심돈까스 (3,000원), 치즈돈까스 (3,500원), 생선까스 (4,000원), 통고추튀김 (1,500원), 게살튀김 (1,000원), 모듬튀김 (6,000원), 버터갈릭 맛감자 (4,500원), 마카로니샐러드 (3,000원), 돈까스소스 (1,000원), 타르타르소스 (500원), 떡볶이 2인용（조리） (8,500원), 떡볶이 2인용（비조리） (4,900원)"
멕스칸즉석햄버거,3.4,132,"서울 관악구 당곡길 9 1층
(지번) 봉천동 698-28",02-884-0280,"떡오뎅볶이 (1인분) (3,500원), 오뎅볶이 (1인분) (3,500원), 떡오뎅+사리 (1인분) (3,500원), 오뎅+사리 (1인분) (3,500원), 떡오뎅쫄면라면+사리 (1인분) (5,000원), 떡오뎅+사리2 (2인분) (6,800원), 떡오뎅+사리3 (2인분) (7,900원), 떡오뎅+사리3 (3인분) (10,200원), 떡오뎅+사리4 (3인분) (11,300원), 떡오뎅+사리4 (4인분) (13,600원), 떡오뎅+사리5 (4인분) (14,700원), 멕스칸버거 (1,500원), 애그버거 (2,000원), 치즈버거 (2,000원), 특버거 (2,500원)"
강강술래 신림점,2.9,156,"서울 관악구 남부순환로 1660
(지번) 신림동 10-518",02-886-9233,"갈비탕정식 (17,000원), 전복갈비탕정식 (22,000원), 강강양념정식 (33,000원), 술래양념정식 (36,000원), 왕양념갈비정식 (45,000원), 한우모둠정식 (40,000원), 영양갈비탕 (13,000원), 영양전복갈비탕 (18,000원), 한우육회비빔밥 (12,000원), 육회돌솥비빔밥 (12,000원), 물냉면/비빔냉면 (8,000원), 강강양념구이 (29,900원), 술래양념구이 (33,000원), 왕양념갈비 (42,000원), 영양솥밥 (8,000원), 된장찌개 (4,000원), 강강양념정식(점심정식) (26,000원), 술래양념정식(점심정식) (28,000원), 영양솥밥(식사) (10,000원), 한우 스페셜 (53,000원), 한우 생등심 (45,000원), 한우 모둠구이 (37,000원), 한우육회 (29,000원), 공기밥 (1,000원)"
