이름,평점,리뷰수,주소,전화번호,메뉴
원조할아버지손두부,4.4,818,"서울 광진구 자양로 324 1층
(지번) 구의동 26-15",02-447-6540,"모두부(홀) (7,000원), 순두부(홀) (4,000원), 콩국수(계절메뉴) (7,000원), 서리태콩국수(계절메뉴) (10,000원), 콩물 (5,000원), 서리태콩물 (7,000원)"
송림식당,3.7,372,"서울 광진구 자양번영로 79
(지번) 자양동 227-138",02-457-5473,"돼지불백 (11,000원), 해장국 (9,500원), 김치찌개 (9,500원), 된장찌개 (9,500원)"
하이디라오코리아 건대점,4.3,534,"서울 광진구 능동로 110 스타시티 영존 A동 1층
(지번) 화양동 4-20",02-456-5683,"우삼겹(150g) (14,900원), 양갈비살(200g) (16,900원), 돈삼겹살(150g) (13,900원), 새우완자(100g) (10,900원)"
호야초밥참치 본점,2.8,544,"서울 광진구 능동로13길 39 한아름건물 1층
(지번) 화양동 10-1",02-461-3739,"A호야 12pcs (17,000원), （BEST）B특호야12pcs (21,000원), 로얄스시12pcs (36,000원), 참다랑어 (50,000원), 대뱃살 (50,000원), 모둠회（7종） (48,000원), 찐전복 （1pcs） (3,000원), 장어 1pcs (2,800원), 수제계란초밥（다테마끼） (1,600원), 호야 지라시 (12,000원), 회덮밥 (10,000원), 장어덮밥 (17,000원), C연어（양파소스）12pcs (25,000원), 호야 연어 모듬 12pcs (31,000원), 참다랑어 오도로 초밥 12pcs (61,000원), 참다랑어 가마도로&오도로（12pcs） (55,000원), 참다랑어 참치뱃살 12pcs (36,000원), 참다랑어 가마도로 12pcs (51,000원), 연어초밥（8pcs） (18,000원), 소고기 초밥 12pcs (26,000원), 광어 초밥 12pcs (26,000원), 광어6＋연어6 12pcs (29,000원), 소고기6＋연어6 12pcs (27,000원), 참이슬 후레쉬 (4,500원), 처음처럼 (4,500원), 진로 (4,500원), 테라 (4,500원), 카스 (4,500원), 청하 (5,000원), 매화수 (4,000원)"
이화만두,4.2,296,"서울 광진구 능동로 278-1 1층
(지번) 능동 282-3",02-455-3486,"왕교자 고기만두(5개) (7,000원), 왕교자 김치만두(5개) (7,000원)"
뽀빠이기사식당,2.9,87,"서울 광진구 긴고랑로 17-1
(지번) 중곡동 239-82",02-467-2445,"굴보쌈백반 (14,000원), 돈까스 (식사) (10,000원), 보쌈정식 (11,000원), 육개장 (식사) (7,000원), 보쌈 (대) (43,000원), 보쌈 (중) (37,000원), 보쌈 (소) (31,000원), 굴보쌈 (대) (54,000원), 굴보쌈 (중) (48,000원), 굴보쌈 (소) (42,000원), 돈까스 (안주) (15,000원), 육개장 (안주) (12,000원)"
체리커피,3.7,387,"서울 광진구 능동로 284 1층 체리커피
(지번) 능동 282-1",02-444-7222,"아메리카노(HOT) (4,500원), 카페라떼(HOT) (5,000원), 청포도에이드 (5,500원), 유기농말차라떼(HOT) (5,000원), 리얼쇼콜라떼(HOT) (6,000원)"
송화양꼬치,4.2,250,"서울 광진구 동일로18길 70 1층
(지번) 자양동 11-2",02-462-7826,"오리지널 양꼬치 (10꼬치) (18,000원), 송화양꼬치 (16,000원), 청경채표고버섯 (13,000원), 토마토계란볶음 (10,000원), 새우살청경채 (15,000원)"
도톰 본점,4.8,301,"서울 광진구 능동로 386 1층
(지번) 중곡동 31-9",02-444-4231,"도톰삼겹살 (180g) (16,000원), 도톰목살 (180g) (16,000원), 가브리살 (180g) (16,000원), 항정살 (180g) (19,000원), 볶음밥 (3,000원)"
소담촌 아차산역점,3.4,16,"서울 광진구 용마산로 10 3층
(지번) 중곡동 93-2",02-2201-8800,"월남쌈 샤브 (13,900원), 월남쌈 버섯 샤브 (17,800원), 월남쌈 와규 샤브 (17,800원), 우삼겹 구이&샤브 (15,000원), 돈삼겹 구이&샤브 (15,000원)"
비스타워커힐서울 피자힐,3.6,908,"서울 광진구 워커힐로 177
(지번) 광장동 22-1",1670-0005,"콰트로피자 (92,000원), 세이스피자 (104,800원), 하프앤하프피자 (69,600원)"
순금이떡볶이,3.0,117,"서울 광진구 자양로43길 43 1층
(지번) 구의동 53-14",02-455-8090,"깻잎떡볶이 (4,000원), 튀김(5개) (4,000원), 찹쌀순대 (5,000원), 라면 (4,000원), 계란2개 (1,500원), 1인세트 (7,500원), 깻잎떡볶이(비조리)1.5인분 (5,500원)"
성수완당 본점,4.4,"1,324","서울 광진구 아차산로26길 13 1층
(지번) 자양동 10-1",0507-1448-5243,"해장 완당면 (12,000원), 성수 완당면 (9,500원), 온면 (8,000원), 들기름골동면 (10,000원), 들기름골동반 (10,000원), 수제가지 만두 & 샐러드 (12,000원), 바질로제 돈까스 (12,000원), 촉촉바삭 돈까스 (10,000원), 매운완당면 (10,000원), 수제가지만두 (10,000원), 로제치킨새우돈까스 (15,800원), 청양에그마요치킨새우돈까스 (15,800원), 해장완당국밥 (12,000원), 성수온면 (8,000원)"
영미오리탕 군자점,4.0,535,"서울 광진구 동일로60길 53 천수빌딩 1층
(지번) 군자동 467-16",02-463-5222,"오리탕 (1마리) (61,000원), 오리탕 (반마리) (39,000원), 생로스 (61,000원), 주물럭 (61,000원)"
