이름,평점,리뷰수,주소,전화번호,메뉴
월래순교자관,4.1,422,"서울 구로구 디지털로19길 12 1층
(지번) 가리봉동 131-22",02-855-8488,"군만두 (7,000원), 찐만두 (7,000원), 군소룡포 (8,000원), 소룡포 (7,000원), 물만두 (7,000원), 향라새우 (25,000원), 양고기샤브 (30,000원), 백김치삼겹전골 (28,000원), 감자당콩조림 (16,000원), 소배필전골 (30,000원), 감자소고기조림 (24,000원), 두부튀김 (15,000원)"
신림춘천집 구로디지털직영점,4.6,750,"서울 구로구 디지털로32나길 17-23 우남산업 102호
(지번) 구로동 1124-69",070-8624-1998,"들기름마국수 (8,000원), 제육사리 (6,000원), 쫄면모듬사리 (5,000원), 우동모듬사리 (5,000원), 당면모듬사리 (5,000원), 라면모듬사리 (5,000원), 모듬떡사리 (2,500원), 치즈폭포닭갈비 (16,000원), 춘천집닭갈비 (14,000원), 제육닭갈비 (14,000원), 물막국수 (8,000원), 비빔막국수 (8,000원), 춘천집감자채전 (8,500원), 참기름볶음밥 (3,000원), 들기름볶음밥 (3,000원), 치즈볶음밥 (3,500원), 공기밥 (1,500원), 치즈사리 (4,000원), 떡사리 (2,000원), 고구마사리 (2,000원)"
강촌숯불닭갈비 본점,3.2,258,"서울 구로구 공원로6나길 35-2 1층
(지번) 구로동 29-22",02-851-2194,"잔치국수 (6,000원), 열무국수 (6,000원), 묵사발 (6,000원), 계란찜 (6,000원), 숯불닭갈비 (3대) (14,000원), 닭목살 소금구이 (200g) (14,000원)"
에버애프터,4.0,158,"서울 구로구 새말로18길 36-10 지층
(지번) 구로동 27-11",070-7543-1098,"아메리카노 (4,500원), 카페라떼 (5,000원), 바닐라라떼 (6,000원), 아인슈페너 (6,500원), 크로플 (9,500원)"
고바우,4.3,144,"서울 구로구 부일로1길 9
(지번) 온수동 57-14",02-2611-5586,"덩어리생고기 (1인분) (12,000원), 돼지갈비 (2인분) (26,000원), 돼지껍데기 (1인분) (7,000원)"
중화백반,4.5,93,"서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하1층 104호
(지번) 구로동 811",,"황비홍깐풍가지 (29,000원), 갈릭빈새우 (35,000원), 오색양장피 (38,000원), 해물짬뽕탕 (25,000원), 황태백짬뽕탕 (27,000원), 해물누룽지탕 (35,000원), 소고기숙주볶음 (22,000원), 유림군만두 (12,000원), 깐풍군만두 (12,000원), 파파군만두 (12,000원), 중화술국 (12,000원), 건두부무침 (12,000원)"
봉고기 신도림본점,4.1,"1,540","서울 구로구 경인로 619-3 상가 1층 112~113호
(지번) 신도림동 435-10",0507-1360-8426,"1등 무항생제 친환경 목살 (15,900원), 동물복지 삼겹살 (16,900원), 양념갈비 (16,900원), 등심덧살 (19,900원), 1등급 한우 차돌박이 (35,000원), 프리미엄 듀록 흑돼지 오겹살 (16,900원)"
진심갈비,4.6,94,"서울 구로구 경서로 11 1층 104, 105, 107호
(지번) 개봉동 153-123",02-2689-9992,"수제돼지갈비 (270g) (16,000원), 소갈비살 (150g) (19,000원), 이베리코꽃목살 (150g) (18,000원), 한돈삼겹살 (180g) (16,000원), 한우육회 (200g) (25,000원)"
서울안심축산 테크노마트점,3.9,17,"서울 구로구 새말로 89 태영빌딩 2층 201호
(지번) 구로동 8-17",0507-1400-4661,"제주 오겹살 (18,000원), 제주 생목살 (18,000원), 제주 가브리살 (18,000원), 2인 PICK : 하르방세트 (50,000원), 추천 PICK : 돼지모듬 (54,000원), 양념 돼지구이 세트 (62,000원), 양념 돼지구이 (170g) (18,000원), 한우 숙성 등심 (45,000원), 한우 숙성 안심 (52,500원), 한우 숙성 업진 (150g) (45,000원), 한우 숙성 부채 (150g) (45,000원), 한우 주물럭 (200g) (50,000원), 새우살 (150g) (57,000원), 살치살 (57,000원), 명품 소한마리++ (154,000원), 양념 생갈비 세트 (80,000원), 통큰 소한마리 (194,000원), 한우보감 (245,000원), 한우육회 (200g) (38,000원), 한우 육사시미 (40,000원), 양념 생갈비살 (200g) (37,000원), 한우 주물럭 정식(1인) (점심특선) (30,000원), 양념 갈비살 정식 (1인) (점심특선) (27,000원), 양념돼지 정식(1인) (점심특선) (25,000원), 제주돼지 정식(1인) (점심특선) (25,000원), 소고기 편백 정식(1인) (점심특선) (15,000원), 버섯불고기 정식(1인) (점심특선) (15,000원), 매콤 쭈꾸미 볶음(1인) (점심특선) (12,000원), 제육쌈밥(1인) (점심특선) (12,000원), 김치찌개(1인) (점심특선) (9,000원), 돌솥비빔밥(1인) (점심특선) (9,000원), 뚝배기 김치찌개(1인) (점심특선) (10,000원), 대왕전복구이 (20,000원), 전복구이 한접시 (35,000원), 키조개구이 (12,000원), 더덕구이 (10,000원), 모듬버섯 (5,000원), 활랍스터 라면 (42,000원), 차돌된장밥 (9,000원), 갈비살 된장찌개 (12,000원), 생고기 김치찌개 (9,000원), 치즈계란찜 (5,000원), 가마솥밥+된장찌개 (5,000원), 누룽지 (5,000원), 된장찌개 (2,000원), 공기밥 (1,000원), 냉면(물/비빔) (9,000원), 후식냉면(물/비빔) (5,000원), 봄나물 비빔밥 (계절메뉴) (9,000원), 한방삼계탕 (계절메뉴) (15,000원), 굴국밥 (계절메뉴) (12,000원)"
다원국수,4.3,99,"서울 구로구 경인로 22 지평회관 1층 109호
(지번) 오류동 108-74",02-2060-0090,"차슈탕면 (12,000원), 차슈비빔국수 (12,000원), 어묵국수 (10,000원), 잔치국수 (7,000원), 왕만두(4개) (5,000원)"
