이름,평점,리뷰수,주소,전화번호,메뉴
감동식당,4.8,667,"서울 노원구 한글비석로47길 58 1층
(지번) 상계동 434-49",070-7543-4481,"감동 등갈비찜 (15,900원), 황제꼬소밥 (3,900원), 봉평 메밀전 (2,000원), 감동 등갈비찜(밀키트) (14,900원)"
제일콩집,3.9,376,"서울 노원구 동일로174길 37-8
(지번) 공릉동 633-18",02-972-7016,"손두부 (14,000원), 청국장 (12,000원), 콩탕 (비지) (12,000원), 두부찌개 (12,000원), 순두부 (12,000원), 김치청국장 (12,000원), 진콩국수 (12,000원), 고추만두 (12,000원), 새우튀김 (14,000원), 두부한방보쌈(소) (30,000원), 두부고기전골(소) (30,000원), 닭날개튀김 (17,000원)"
닭한마리 공릉본점,3.9,524,"서울 노원구 동일로 1020 1층
(지번) 공릉동 577-10",02-972-7459,"닭한마리 (25,000원), 칼국수사리 (3,000원), 닭반마리추가 (13,000원), 떡사리 (2,000원), 감자사리 (2,000원), 공기밥 (1,000원), 소주 (5,000원), 맥주 (5,000원)"
강강술래 상계지점,3.6,313,"서울 노원구 동일로 1628 1층
(지번) 상계동 1025-4",02-935-9233,"한우 스페셜 (53,000원), 한우스페셜 (53,000원), 한우 생등심 (45,000원), 한우생등심 (45,000원), 한우 모둠구이 (37,000원), 한우 모듬구이 (37,000원), 한우육회 (29,000원), 영양갈비탕 (13,000원), 강강양념구이 (29,900원), 육회돌솥비빔밥 (12,000원), 술래양념구이 (33,000원), 왕양념갈비 (42,000원), 한돈양념구이 (21,000원), 돈목살양념구이 (17,000원), [점심정식] 강강양념정식 (26,000원), [점심정식] 술래양념정식 (28,000원), [점심정식] 한돈양념정식 (24,000원), [점심정식] 돈목살양념정식 (20,000원), [저녁정식] 강강양념정식 (30,000원), [저녁정식] 술래양념정식 (33,000원), [종일정식] 왕양념갈비정식 (45,000원), [종일정식] 한우모둠정식 (40,000원), 영양솥밥 (10,000원)"
경복식당,4.6,132,"서울 노원구 공릉로39길 10 1층
(지번) 공릉동 740",02-949-7331,"백반 (8,000원), 제육볶음 (3,000원)"
감각,3.3,235,"서울 노원구 상계로 77 1층
(지번) 상계동 337",070-7576-4177,"밀크 크레이프 (6,000원), [New] 말렌카 살구 (5,800원), 티라미수롤 (6,000원), 말렌카 코코아 (5,800원), 바닐라라떼 (5,000원), 딸기라떼 ONLY ICED (5,000원), 복숭아 요거트스무디 (6,000원), 자몽에이드 (6,000원), 아메리카노 (3,500원), 카페라떼 (4,500원), 카푸치노 ONLY HOT (4,500원), 카페모카 (5,000원), 연유라떼 (5,000원), 아인슈페너 ONLY ICED (5,500원), 감귤차 (5,000원), 모과차 (5,000원), 아이스티 (4,000원), 자몽허니블랙티 (5,500원), 밤티라미수 라떼 (6,000원), 미숫가루（우유） (5,000원), 토피넛라떼 (5,000원), 녹차라떼 (5,000원), 초코라떼 (5,000원), 밀크티 (5,000원), 초코슈페너 ONLY ICED (5,500원), 플레인 요거트스무디 (5,500원), 딸기 요거트스무디 (6,000원), 블루베리 요거트스무디 (6,000원), 모과라임에이드 (6,000원), 캐모마일 (4,500원)"
소담촌,3.9,119,"서울 노원구 상계로 90 마블러스1 2층
(지번) 상계동 341-7",02-933-5522,"월남쌈 샤브 (13,900원), 월남쌈 와규 샤브 (17,800원), 월남쌈 스페셜 샤브 (22,000원), 월남쌈 버섯 샤브 (17,800원), 월남쌈 명품 한우 샤브 (20,000원)"
해품장 팔팔장어 본점,3.6,187,"서울 노원구 노원로 192
(지번) 하계동 69-8",02-977-8892,"잔치국수 (6,000원), 풍천장어 (1kg) (75,000원), 풍천장어 (500g) (38,000원), 안창살 (300g) (38,000원), 누룽지 (4,000원), 된장찌개 (4,000원)"
쪼매매운떡볶이 공릉점,4.6,252,"서울 노원구 공릉로 208 1층
(지번) 공릉동 208-18",02-977-1120,"떡볶이 (4,000원), 치즈떡볶이 (5,000원), 순대 (4,000원), 쪼매김밥 (2,000원), 라면 (3,500원), 튀김(3개) (2,500원), 모듬오뎅 (1,500원), 오뎅 (900원), 떡라면 (4,000원), 치즈라면 (4,000원), 해장라면 (4,000원), 쫄면 (5,500원), 새우볶음밥 (4,500원)"
돈까스먹는용만이,3.9,347,"서울 노원구 한글비석로20길 52
(지번) 중계동 140-42",02-931-8870,"까르보돈가스 (12,000원), 비프크림카레돈가스 (12,000원), 해물크림카레돈까스 (12,000원), 왕돈까스 (10,000원), 치킨까스 (10,000원), 생선까스 (10,500원), 듀얼돈가스 (10,500원), 칠리듀얼돈까스 (10,500원), 치킨듀얼까스 (10,500원), HOT돈까스 (11,000원), 칠리돈까스 (11,000원), 칠리마늘돈까스 (12,000원), HOT마늘돈까스 (12,000원), 로즈돈까스 (12,000원), 해물칠리돈까스 (12,000원), 해물HOT돈까스 (12,000원), 눈꽃치즈칠리 (12,500원), 모짜렐라치즈 돈까스 (11,500원), 고구마치즈 돈까스 (12,500원), 특 생선 (14,500원), 데리야끼돈까스 (11,000원), 슬라이스치즈 돈까스 (11,500원)"
