이름,평점,리뷰수,주소,전화번호,메뉴
하누소 창동본점,2.6,180,"서울 도봉구 노해로 327 5층
(지번) 창동 337-1",02-900-9800,"한우우마카세 (78,000원), 명품갈비탕 (17,000원), 함흥냉면 (12,000원), 어복쟁반(大) (80,000원), 하누소 정찬 A (45,000원), 하누소갈비탕 (16,000원), 한우양념갈비 (53,000원), 한우등심반상(런치) (35,000원), 한우갈비살반상(런치) (35,000원), 한우육회비빔밥 (16,000원), 명품갈비찜 大(3~4인) (63,000원), 한우504등심 (47,000원), 한우안심 (49,000원), 한우안창살 (58,000원), 일품양념갈비 (39,000원), 한우트러플육회 (30,000원), 한우불고기(1인분) (25,000원), 한돈수제양념갈비 (23,000원), 시그니처 혼례정찬 (88,000원), 하누소 정찬C 100(상견례상) (100,000원)"
대문,3.5,43,"서울 도봉구 시루봉로 139-6 1층
(지번) 방학동 436-9",02-956-0843,"간장게장(1미) (20,000원), 보리굴비(1미) (18,000원), 낙지볶음 (25,000원), 소갈비찜 (29,000원), 한우육회(200g) (30,000원), 난정식(1인) (30,000원), 수라정식(1인) (56,000원), 효정식(1인) (49,000원), 대문 특정식(1인) (39,000원), 대문정식(점심특선)(1인) (23,000원), 간장게장 정식(1인) (29,000원), 보리굴비정식(1인) (27,000원), 전복갈비찜정식(1인) (32,000원), 양념게장(250g) (12,000원), 생전복회(4미) (25,000원), 생전복버터구이(4미) (25,000원), 훈제연어(8pcs) (10,000원), 칠리새우(8마리) (20,000원), 소떡갈비 (15,000원), 보쌈 (23,000원)"
쌍문동판다쓰,4.1,93,"서울 도봉구 우이천로24길 49 1층
(지번) 쌍문동 395-6",02-6052-1578,"멘보샤 (19,000원), 칠리새우 (19,000원), 깐풍기 (19,000원), 유린기 (20,000원), 누룽지탕 (24,000원)"
호호분식,4.2,108,"서울 도봉구 도봉로121길 32 1층
(지번) 쌍문동 81-74",02-900-1377,"모듬강정 (3,000원), 치즈밥(소) (4,000원), 카레떡볶이 (3,000원), 떡볶이 (3,000원), 치즈떡볶이 (3,000원), 짜장떡볶이 (3,000원), 탕수육(소) (4,000원), 우동 (4,000원), 라면 (4,000원), 쫄면 (4,000원), 탕수만두 (2,000원)"
무수옥,3.5,149,"서울 도봉구 도봉로165길 15
(지번) 도봉동 600-4",02-954-6292,"한우암소설렁탕 (12,000원), 한우암소육회비빔밥 (12,000원), 한우암소내장탕 (12,000원), 한우암소생등심 (48,000원), 한우암소육회 (30,000원), 한우암소수육 (30,000원)"
짱나라해장국,4.3,7,"서울 도봉구 방학로6길 20 1층
(지번) 방학동 690",02-956-0664,"선지해장국 (5,000원), 양품비빔밥 (5,000원), 떡만두국 (5,000원), 김치찌개 (6,000원), 육개장 (5,600원), 순대국 (6,000원), 뼈다귀해장국 (6,000원), 설렁탕 (6,000원), 감자탕(소) (27,000원), 술국 (12,000원), 사리 (1,000원), 볶음밥 (1,000원), 뼈추가 (8,000원), 감자탕(대) (32,000원), 소주 (3,000원), 막걸리 (3,000원), 맥주 (4,000원), 청하 (4,000원), 음료 (1,500원)"
쭈꾸미킹 쌍문점,2.7,48,"서울 도봉구 도봉로 425 1층
(지번) 쌍문동 103-66",02-900-7191,"쭈꾸미 볶음 (1인) (12,000원), 코다리조림 (1인) (12,000원), 철판쭈꾸미 (1인) (14,000원), 철판삼겹쭈꾸미 (1인) (15,000원), 쭈꾸미피자 세트1 (1인) (14,000원), 쭈꾸미피자 세트2 (1인) (16,000원), 철판쭈꾸미피자 세트3 (1인) (16,000원), 철판쭈꾸미피자 세트4 (1인) (18,000원), 철판삼겹쭈꾸미피자 세트5 (1인) (17,000원), 철판삼겹쭈꾸미피자 세트6 (1인) (19,000원)"
삼오집,3.4,98,"서울 도봉구 도봉로165길 4
(지번) 도봉동 596-23",02-954-1916,"곱창전골 (소) (30,000원), 소고기버섯전골 (소) (30,000원), 곱창구이 (1인분) (18,000원), 모듬구이(1인분) (18,000원), 막창 (1인분) (18,000원), 대창 (1인분) (18,000원), 염통(1인분) (15,000원), 간천엽(1인분) (10,000원), 육회(1인분) (23,000원), 삼겹(1인분) (17,000원), 순두부 (10,000원)"
겨리,4.0,82,"서울 도봉구 도봉로112길 29 1층
(지번) 창동 657-83",02-900-3200,"카이센동 (28,000원), 사케동 (17,000원), 마구로사케동 (20,000원), 우나기동 (23,000원), 타다키사케동 (18,000원), 타다키동 (22,000원), 카이센 도시락 (16,000원), 가이바시사케동 (20,000원), 가이바시 마구로동 (21,000원), 시로미 사케동 (19,000원), 카키후라이 (4,500원), 에비 후라이（2p） (4,500원), 생선까스（1p） (3,500원), 야채고로케（2p） (3,500원), 치킨 가라아게（5p） (5,500원), 사이다 250mL (2,000원), 콜라 250mL (2,000원), 토닉워터（캔）250mL (2,000원)"
할머니토스트,4.3,47,"서울 도봉구 덕릉로60다길 15 1층
(지번) 창동 562-15",010-9512-8809,"할머니토스트 (3,000원), 햄토스트 (3,500원), 치즈토스트 (3,500원), 햄+치즈토스트 (4,000원), 아메리카노(HOT) (1,500원)"
