이름,평점,리뷰수,주소,전화번호,메뉴
나정순할매쭈꾸미,3.6,"1,114","서울 동대문구 무학로 144 1층
(지번) 용두동 119-20",02-928-0231,"쭈꾸미(1인분) (15,000원)"
성천막국수 답십리점,4.2,419,"서울 동대문구 답십리로48나길 2 1층
(지번) 답십리동 33-28",02-2244-5529,"제육 반접시 (80g) (6,500원), 물막국수 (9,000원), 비빔막국수 (9,000원), 물막국수+제육 (40g) (11,000원), 비빔막국수+제육 (40g) (11,000원), 제육(160g 1~2인) (13,000원)"
어머니대성집,3.5,666,"서울 동대문구 왕산로11길 4 1층
(지번) 용두동 232-26",02-923-1718,"해장국 (14,000원), 육회비빔밥 (17,000원), 육회 (35,000원), 소고기수육 (40,000원), 모듬수육 (40,000원)"
안동집,3.4,188,"서울 동대문구 고산자로36길 3 경동시장 신관 지하1층 8-2호
(지번) 제기동 1021",02-965-3948,"손국시 (8,000원), 건진국시 (8,000원), 비빔밥 (8,000원), 수육 (12,000원), 부추전 (8,000원), 배추전 (8,000원)"
놀부만두,3.6,222,"서울 동대문구 망우로16길 15 1층
(지번) 휘경동 276-33",02-2241-7550,"고기통만두 (10개) (6,000원), 김치만두 (8개) (6,000원), 판모밀 (8,000원), 비빔모밀 (8,000원), 온모밀 (8,000원), 유부우동 (7,000원), 쫄면 (8,000원), 비빔밥 (8,000원), 사골만두국 (8,000원), 사골떡만두국 (8,000원), 사골떡국 (8,000원)"
은하곱창,3.7,468,"서울 동대문구 전농로15길 22 1층
(지번) 전농동 295-48",02-2247-0254,"돼지곱창전골 (소) (30,000원), 돼지곱창전골 (중) (35,000원), 돼지곱창전골 (대) (40,000원), 오징어볶음 (10,000원), 잔치국수 (5,000원), 비빔국수 (5,000원), 모밀국수 (5,000원), 열무국수 (5,000원)"
할머니냉면,3.5,285,"서울 동대문구 왕산로37길 51
(지번) 제기동 470",02-963-5362,"냉면 (7,000원), 냉면곱배기 (9,000원), 면사리 (3,000원)"
혜성칼국수,3.6,423,"서울 동대문구 왕산로 247-1 1층
(지번) 청량리동 50-18",02-967-6918,"멸치칼국수 (10,000원), 닭칼국수 (10,000원)"
짱구네야끼만두,3.6,119,"서울 동대문구 경동시장로10길 45 1층
(지번) 제기동 486-28",010-4002-3389,"야끼만두 (6개) (2,000원), 김말이(10개) (5,000원), 못난이만두(10개) (4,000원), 꼬마김밥 (5,000원)"
한상차림밥상,3.3,181,"서울 동대문구 한빛로 28 1층
(지번) 신설동 21",010-9073-4141,"보쌈정식 (11,000원), 갈비찜정식 (13,000원), 돌솥보쌈정식 (13,000원), 돌솥갈비정식 (15,000원), 보쌈 (18,000원), 갈비 (20,000원)"
