이름,평점,리뷰수,주소,전화번호,메뉴
전주전집,3.4,427,"서울 동작구 동작대로7길 19 1층
(지번) 사당동 1032-1",010-4660-7391,"소고기 육전 (27,000원), 꿀돼지 삼겹전 (27,000원), 동그랑땡 (22,000원), 감자전 (21,000원), 김치전 (21,000원), 깻잎전 (22,000원), 고추전 (22,000원), 녹두전 (22,000원), 두부전 (20,000원), 배추전 (20,000원), 부추전 (20,000원), 호박전 (20,000원), 표고버섯전 (23,000원), 홍어무침 (30,000원), 홍어회 (30,000원), 홍어전 (30,000원), 통통새우전 (27,000원), 해물파전 (27,000원), 굴전 (30,000원), 해물김치전 (27,000원)"
동작노을카페,3.9,68,"서울 동작구 동작대로 335 1-4층
(지번) 동작동 316-3",,"아메리카노 (6,500원), 카페라떼 (7,000원), 바닐라라떼 (7,000원), 카라멜라떼 (7,000원), 카페모카 (7,000원), 얼그레이티 (7,000원), 캐모마일티 (7,000원), 페퍼민트티 (7,000원), 하비스커스티 (7,000원), 복숭아아이스티 (7,500원), 초코라떼 (7,000원), 딸기라떼 (7,500원), 말차라떼 (7,000원)"
천하무족,4.5,97,"서울 동작구 동작대로7길 74 1층
(지번) 사당동 1038-27",02-595-3308,"냉채족발 (중) (37,000원), 셋트족발 대(앞발) (45,000원), 족발 (뒷발) (중) (33,000원), 불족발 (중) (37,000원), 족발 대 (앞발) (37,000원), 보쌈(대) (42,000원), 보쌈(중) (35,000원), 보,족 셋트(대) (70,000원), 보,족 셋트(중) (60,000원), 쟁반막국수(대) (12,000원), 쟁반막국수(중) (7,000원), 셋트족발 중(뒷발) (40,000원), 한우내장수육 (중) (37,000원)"
애플하우스 이수,,"2,443","서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호
(지번) 사당동 138-4",02-595-1629,"즉석 1인 세트 (9,500원), 즉석 2인 세트 (14,000원), 일반떡볶이 (5,000원), 즉석떡볶이 (4,500원), 라면+쫄면사리 (4,000원), 무침군만두(4개) (4,000원), 순대볶음 (5,000원), 순대 (4,000원), 쫄면 (5,500원), 잔치국수 (4,000원), 김치볶음밥 (6,000원)"
모소리 사당점,4.4,211,"서울 동작구 사당로 243-5 1층
(지번) 사당동 323-4",070-7543-8335,"모소리살 (120g) (13,000원), 가오리살 (120g) (13,000원), 가로막살 (120g) (13,000원), 구멍살 (120g) (13,000원), 삼각살 (120g) (13,000원), 껍데기 (10,000원)"
쿠우쿠우 보라매공원점,,227,"서울 동작구 보라매로5가길 16 보라매아카데미타워 7층 701호
(지번) 신대방동 395-69",02-835-6274,"평일런치 (오후 5시 이전) (25,900원), 평일디너 (오후 5시 이후) (30,900원), 주말 및 공휴일 (33,900원), 미취학아동 (만36개월 이상) (8,900원), 초등학생(평일런치) (15,900원), 초등학생(평일 디너) (16,900원), 초등학생(주말.공휴일) (17,900원)"
사리원,3.2,101,"서울 동작구 상도로50길 2-15
(지번) 상도1동 244-1",02-814-6022,"만두전골 (대) (48,000원), 만두전골 (소) (33,000원), 열두냉면 (12,000원), 물냉면 (11,000원), 비빔냉면 (11,000원), 순,콩빈대떡 (14,000원), 접시만두(대) (13,000원), 접시만두(소) (11,000원), 만둣국 (13,000원), 속만둣국 (12,000원), 우리밀국수 (12,000원), 전골사리 (6,000원), 냉면사리 (5,000원)"
페니힐스,4.0,340,"서울 동작구 동작대로1길 10-14 1-2층
(지번) 사당동 1042-13",,"카야잼토스트 (6,500원), 아메리카노(HOT) (4,500원), 자몽티 (6,000원), 자몽에이드 (6,000원), 에스프레소 (4,000원), 카페라떼(HOT) (5,000원), 바닐라라떼(HOT) (5,500원), 아포가또 (6,000원), 콜드브루 (6,500원), 블랙플라워 라떼 (6,000원), 벨기에 초콜릿 (6,500원), 레몬티/레몬에이드 (6,000원)"
미소네,3.6,295,"서울 동작구 동작대로7길 32 1층
(지번) 사당동 1033-24",02-587-7191,"특회 (60,000원), 스페셜 (60,000원), 농어 (75,000원), 광어 (30,000원), 우럭 (30,000원)"
조가네갑오징어 사당점,3.2,191,"서울 동작구 남부순환로271길 24 1층
(지번) 사당동 1041-5",02-3472-0108,"갑오징어 불고기 (소) (34,000원), 갑오징어 삼겹살 불고기 (소) (39,000원), 갑오징어 관자 불고기 (소) (39,000원), 갑오징어 전골 (소) (39,000원), 갑오징어 까스 (점심) (9,000원)"
