이름,평점,리뷰수,주소,전화번호,메뉴
을밀대 본점,4.2,"1,156","서울 마포구 숭문길 24
(지번) 염리동 147-6",02-717-1922,"물냉면 (15,000원), 수육 (소) (35,000원), 녹두전 (12,000원), 홍어 (60,000원), 비빔냉면 (15,000원), 회냉면 (18,000원), 양지탕밥 (12,000원)"
어반플랜트 합정,4.2,"1,220","서울 마포구 독막로4길 3 1~3층
(지번) 합정동 363-28",070-4192-0378,"Signature Omelet (14,300원), Urban Chichen Sandwich (14,500원), Special Caprese (15,800원), Tomato Bruschetta (13,800원), Penne Arrabbiata (15,800원), Savoy Tiramisu (8,000원), Matcha Chocolate (8,000원), Sangria Tea (7,500원), Espresso (4,000원), Americano (5,000원), Caffe Latte (5,500원), Flat White (6,000원), Cappuccino (6,000원), Vanilla Latte (6,000원), Hazelnut Latte (6,000원), Maple Latte (6,000원), Caramel Macchiato (6,500원), Caffe Mocha (6,500원), Einspanner (6,500원), Cheese Avocada Omelet (14,300원)"
마포양지설렁탕 도화점,3.4,355,"서울 마포구 새창로 6 1-2층
(지번) 도화동 181-39",02-716-8616,"설렁탕 (12,000원), 설렁탕 (특) (15,000원), 내장탕 (12,000원), 내장탕 (특) (15,000원), 꼬리탕 (20,000원), 도가니탕 (20,000원), 족탕 (22,000원), 수육 (소) (30,000원), 내장수육 (소) (30,000원), 꼬리찜 (60,000원), 도가니수육 (60,000원), 우족수육 (60,000원)"
어메이징농카이,3.9,377,"서울 마포구 동교로 156-11 1층
(지번) 서교동 351-13",02-322-0567,"푸팟퐁커리 게커리 (26,000원), 어메이징 농카이 시그니쳐 똠얌꿍 (14,000원), 똠얌 쌀국수 (11,000원), 소고기 쌀국수 (8,500원), 소고기 완자 쌀국수 (8,500원), 돼지 쌀국수 (8,500원), 돼지 완자 쌀국수 (8,500원), 남똑쌀국수 (12,000원), 까우라우 남똑 (12,000원), 돼지까우라우남사이 (12,000원), 엔타포해물쌀국수 (15,000원), 랏나 죽쌀국수 (14,000원), 수키 (14,000원), 쏨땀타이 달콤매콤 파파야샐러드 (12,000원), 젓갈 쏨땀 빨라 (11,000원), 땀빠 (15,000원), 땀탓 (20,000원), 땀 쑤아 (13,000원), 땀 코랏 (12,000원), 땀 꿍솥 (15,000원), 얌운센 새콤당면 향신채샐러드 (12,000원), 얌탈레 새콤오징어 향신채샐러드 (13,000원), 쁠라꿍 새콤매콤 새우무침샐러드 (20,000원), 얌무여 소시지 새콤향신채샐러드 (12,000원), 꿍차남빠 새우회샐러드 (20,000원), 캡무 돼지껍질튀김 (5,000원), 카오팟 볶음밥 (12,000원), 카오팟 사팔롯 파인애플 볶음밥 (13,000원), 까파오 단바질 매운볶음요리 (13,000원), 까파오무껍튀긴오겹살바질볶음 (15,000원), 까이팟멧마우앙 달콤양념소스 닭튀김 (15,000원), 픽 타이 담흑후추 돼지고기 볶음 (14,000원), 남만허이 굴소스고기볶음 (14,000원), 팟 팍 루암 모듬채소 볶음 (14,000원), 드커리 제육볶음 (13,000원), 호목탈레 코코넛 커리 해물 찜 (14,000원), 카오카무 족발덮밥 (13,000원), 카오만까이 치킨라이스 (13,000원), 카오무끄롭 바삭삼겹살덮밥 (13,000원), 텃 까티얌 랏카오 마늘볶음덮밥 (15,000원), 텃 까티얌 마늘볶음요리 (15,000원), 카이찌야오 계란전 (10,000원), 해물 똠얌탈레 (14,000원), 맑은 똠얌꿍 남싸이 (14,000원), 똠카까이 (14,000원), 똠쯧무쌉 돼지고기국물요리 (14,000원), 죽 (12,000원), 맛싸만 까이 치킨 땅콩커리 (14,000원), 갱피엣 매콤한 레드 커리 (14,000원), 파냉 땅콩 코코넛 달콤매콤 커리 (14,000원), 겡키요우완 달콤 그린커리 (14,000원), 팟타이 (14,000원), 팟키마오 술간장 복음면(매운맛) (15,000원), 팟시유 간장볶음 쌀국수 (14,000원)"
프릳츠 도화점,3.9,"1,165","서울 마포구 새창로2길 17
(지번) 도화동 179-9",02-3275-2045,"브루잉커피 (5,500원), 에스프레소 (4,600원), 롱블랙 (4,600원), 아메리카노 (4,600원), 플랫화이트 (5,000원), 카푸치노 (5,000원), 카페라테 (5,000원), 바닐라 라테 (5,400원), 카페모카 (5,800원), 콜드브루 (5,000원), 핫/아이스 초코 (5,800원), 차(Tea)-캐모마일 (5,500원), 차(Tea)-피치 멜바 (5,500원), 호두 크랜베리 깡빠뉴 (5,400원), 크루아상 (3,800원), 플레인 스콘 (3,700원), 빵 오 누텔라 (5,200원), 소시지빵 (4,800원), 실장님 스페셜(황도) (4,300원), 단팥빵 (2,700원)"
헤키,4.6,845,"서울 마포구 동교로9길 33 1층
(지번) 망원동 379-25",070-7773-9870,"히레카츠 (14,500원), 레몬냉우동 (6,500원), 냉우동 (6,500원), 들기름냉우동 (7,000원), 상로스카츠 (17,500원), 특히레카츠 (17,000원), 모둠카츠 (16,000원), 토리카츠 (15,000원)"
담택,4.5,728,"서울 마포구 동교로12안길 51 1층
(지번) 서교동 481-15",02-336-0974,"시오라멘 (9,500원), 유즈시오라멘 (10,500원), 레몬시오라멘 (10,500원), 와사비시오라멘 (11,500원), 새우시오라멘 (11,500원), 목살추가 (2,500원), 삼겹살추가 (3,000원), 계란추가 (1,500원), 버터추가 (2,500원), 에비시오라멘 (11,500원), 히야시탄탄멘 (12,000원)"
어글리베이커리,3.1,"1,098","서울 마포구 월드컵로13길 73
(지번) 망원동 400-1",02-338-2018,"얼그레이크림빵 (0원), 말차생크림단팥빵 (0원), 앙버터 (0원), 감동의말차맘모스 (0원), 감동의대파빵 (0원), 생크림단팥빵 (가격정보 없음), 생크림빵 (가격정보 없음), 밤팥빵 (가격정보 없음), 아메리카노 (가격정보 없음), 바닐라라떼 (가격정보 없음), 카페라떼 (가격정보 없음), 바닐라빈라떼 (가격정보 없음), 솔트슈페너 (가격정보 없음), 돌체라떼 (가격정보 없음), 아인슈페너 (가격정보 없음), 커피 (가격정보 없음), 아몬드바닐라 (가격정보 없음), 바닐라 (가격정보 없음), 플랫화이트 (가격정보 없음), 콜드브루 (가격정보 없음), 바닐라볼라떼 (가격정보 없음), 까눌레 (가격정보 없음), 휘낭시에 (가격정보 없음), 바스크치즈케이크 (가격정보 없음), 밀크티 (가격정보 없음), 토피넛라떼 (가격정보 없음), 리얼초코 (가격정보 없음), 민트초코 (가격정보 없음), 더블초코 (가격정보 없음), 수제밀크티 (가격정보 없음), 말차라떼 (가격정보 없음), 얼그레이 (가격정보 없음), 유기농유자차 (가격정보 없음), 허브티 (가격정보 없음), 말차 (가격정보 없음), 자몽티 (가격정보 없음), 에이드 (가격정보 없음), 자두에이드 (가격정보 없음), 패션후르츠에이드 (가격정보 없음), 청포도에이드 (가격정보 없음), 메론소다 (가격정보 없음), 라테 (가격정보 없음), 요거트스무디 (가격정보 없음), 스무디 (가격정보 없음), 아이스티 (가격정보 없음), 사과 (가격정보 없음), 주스 (가격정보 없음), 초콜릿 (가격정보 없음), 밀크쉐이크 (가격정보 없음), 시즌과일 (가격정보 없음), 씨앗호떡 (가격정보 없음)"
와이키키마켓,3.7,710,"서울 마포구 마포나루길 332
(지번) 상암동 1537-2",02-854-8000,"한우꽃등심세트 (65,000원), 등심세트 (44,000원), 목살세트 (34,000원), 목살세트(런치) (29,000원)"
연교,4.0,740,"서울 마포구 연희로1길 65 1층
(지번) 연남동 383-95",02-333-4561,"깐풍새우 (소) (18,000원), 깐쇼새우 (소) (18,000원), 어향가지 (소) (15,000원), 깐풍가지 (소) (15,000원), 연교냉채 (26,000원), 양장피 (26,000원), 해파리냉채 (8,000원), 오이냉채 (8,000원), 탕수육(소) (14,000원), 동파육(소) (20,000원), 꿔바육(소) (14,000원), 어향고기 (18,000원), 경장육슬 (18,000원), 멘보샤(소) (11,000원), 깐풍기(소) (18,000원), 유린기(소) (18,000원), 팔보채(소) (28,000원), 해물누룽지탕(소) (25,000원), 조개볶음(소) (16,000원), 찐만두 (7,000원), 군만두 (7,000원), 물만두 (6,500원), 어향가지(소) (15,000원), 부추잡채(소) (18,000원), 마파두부(소) (12,000원), 모듬야채볶음 (10,000원), 우육탕 (12,000원), 완탕 (10,000원), 완탕면 (8,500원), 짜장면 (5,500원), 중식냉면 (10,000원), 동파육덮밥 (11,000원), 잡탕밥 (12,000원), 소고기덮밥 (11,000원), 어향가지덮밥 (11,000원), 마파두부덮밥 (8,500원), 삼선볶음밥 (8,000원), 새우볶음밥 (8,000원)"
