name,degree,review num,address,tel,menu,reviews
진미평양냉면 별관,3.8,"1,757",서울 강남구 학동로 305-3 정각빌딩 1층,02-515-3469,메뉴 없음,후기 없음
길목,4.2,539,서울 강남구 영동대로129길 10 1층,02-518-9710,메뉴 없음,후기 없음
송쉐프 본점,3.7,88,서울 강남구 도산대로1길 40 대영빌딩 1층,02-546-1178,메뉴 없음,후기 없음
육전식당 4호점,4.2,150,서울 강남구 테헤란로8길 11-4 신도빌딩 1층,02-3452-6373,메뉴 없음,후기 없음
명동관,4.0,173,서울 강남구 남부순환로 2912 그랑프리앤상가 지하 103호,02-563-8882,메뉴 없음,후기 없음
강강술래 역삼점,3.6,157,서울 강남구 논현로 325 1층,02-567-9233,메뉴 없음,후기 없음
감성타코 강남역점,3.3,"1,320",서울 강남구 강남대로 406 글라스타워 지하1층 B01-1호,02-565-8830,메뉴 없음,후기 없음
평가옥 삼성점,3.1,78,서울 강남구 삼성로95길 37 1-3층,02-568-1577,메뉴 없음,후기 없음
중앙해장,4.1,"1,593",서울 강남구 영동대로86길 17 육인빌딩 1층,02-558-7905,메뉴 없음,후기 없음
보노보노플러스 삼성점,4.0,533,서울 강남구 테헤란로 508 해성2빌딩 지하1층,02-3288-8080,메뉴 없음,후기 없음
난장캠프,4.1,366,서울 강남구 강남대로114길 10 2층,02-516-1446,메뉴 없음,후기 없음
새벽집 청담점,3.3,226,서울 강남구 도산대로101길 6,02-546-5739,메뉴 없음,후기 없음
신의주찹쌀순대,3.0,284,서울 강남구 영동대로 725 1층,02-511-9081,메뉴 없음,후기 없음
맛짱조개,4.1,836,서울 강남구 언주로134길 18 1층,02-516-4787,메뉴 없음,후기 없음
뽕나무쟁이 선릉본점,4.2,691,서울 강남구 역삼로65길 31 1층,02-558-9279,메뉴 없음,후기 없음
요술포차 역삼점,4.3,36,서울 강남구 테헤란로19길 5 지하1층,02-564-9939,메뉴 없음,후기 없음
구구당,3.6,"4,477",서울 강남구 강남대로102길 35 지하1층,02-539-1979,메뉴 없음,후기 없음
무월식탁 강남본점,2.7,126,서울 강남구 강남대로102길 23 1층,02-552-9280,메뉴 없음,후기 없음
일편등심 강남,4.4,"1,149",서울 강남구 테헤란로1길 20 지하1층,070-8835-3723,메뉴 없음,후기 없음
공리 강남구청역점,3.0,523,서울 강남구 선릉로129길 24 은성빌딩 1층,02-541-7663,메뉴 없음,후기 없음
떡도리탕 강남본점,3.6,"1,912",서울 강남구 테헤란로1길 28-9 성은빌딩 1층,02-501-2940,메뉴 없음,후기 없음
필경재,2.7,149,서울 강남구 광평로 205,02-445-2115,메뉴 없음,후기 없음
감나무집,3.5,32,서울 강남구 봉은사로5길 6,02-541-2249,메뉴 없음,후기 없음
테라로사 포스코센터점,3.9,629,"서울 강남구 테헤란로 440 포스코센터 1,2층",033-648-2760,메뉴 없음,후기 없음
리북집 논현직영점,3.8,397,서울 강남구 학동로2길 47,02-540-8589,메뉴 없음,후기 없음
한일관 압구정점,3.4,107,서울 강남구 압구정로38길 14,02-732-3735,메뉴 없음,후기 없음
뽕족 강남역본점,3.6,251,서울 강남구 테헤란로4길 15 메가시티오피스텔 1층 102~104호,02-556-9279,메뉴 없음,후기 없음
대려도,3.8,97,서울 강남구 역삼로 118 2층,02-555-0550,메뉴 없음,후기 없음
해목,4.1,"1,718",서울 강남구 선릉로145길 14 1-2층,02-6203-0021,메뉴 없음,후기 없음
남도사계고운님,3.7,3,서울 강남구 삼성로81길 22 한정빌딩 2층 201호,02-562-9292,메뉴 없음,후기 없음
반룡산,3.9,241,서울 강남구 테헤란로78길 26 1층,02-3446-8966,메뉴 없음,후기 없음
명우돈가,4.4,50,서울 강남구 삼성로96길 6,02-558-3392,메뉴 없음,후기 없음
백억하누 강남본점,4.5,204,"서울 강남구 테헤란로5길 29 1,2층",02-568-8592,메뉴 없음,후기 없음
경평면옥,4.0,114,서울 강남구 삼성로104길 12 2층,02-539-6054,메뉴 없음,후기 없음
마장동박현규,4.3,46,서울 강남구 강남대로128길 27 새호시티라이프빌딩 1층,010-2436-2669,메뉴 없음,후기 없음
오향절면 양재본점,3.3,942,서울 강남구 남부순환로355길 13 1층,02-3461-9580,메뉴 없음,후기 없음
뱅뱅막국수 역삼본점,4.4,232,서울 강남구 도곡로 112 서한빌딩 1층 103호,0507-1392-4848,메뉴 없음,후기 없음
함흥면옥 압구정점,3.0,166,서울 강남구 논현로 826 1층,02-515-2505,메뉴 없음,후기 없음
하모,3.5,73,서울 강남구 언주로 819 HB빌딩 2층,02-515-4266,메뉴 없음,후기 없음
