이름,평점,리뷰수,주소,전화번호,메뉴
만동제과,4.3,"1,690","서울 서대문구 연희로 32 1층
(지번) 창천동 448",02-6489-2334,"마늘바게트 (7,200원), 어니언베이글 (6,200원)"
어머니와아들,4.1,302,"서울 서대문구 홍은중앙로 100-1 1층
(지번) 홍은동 9-86",02-391-0411,"마늘 닭볶음탕 (32,000원), 닭곰탕 (17,000원), A세트 마늘 닭볶음탕＋닭곰탕 (45,000원), 라면사리 (2,000원), 떡사리 (2,000원), 공기밥 (1,000원), 사이다 (2,000원), 콜라 (2,000원)"
맛있는집,4.6,198,"서울 서대문구 거북골로20길 55 지하1층
(지번) 북가좌동 311-6",02-305-1906,"떡볶이 (1인분) (3,500원), 계란 (2개) (1,000원)"
카페폭포,4.1,503,"서울 서대문구 연희로 262-24 1층
(지번) 홍은동 429",02-330-4998,"에스프레소 (4,000원), 아메리카노 (4,000원), 카페라떼 (4,500원), 바닐라라떼 (5,000원), 카푸치노 (5,000원), 초코라떼 (4,500원), 유자차 (4,500원), 캐모마일 (4,500원), 페퍼민트 (4,500원), 자스민 (4,500원), 레몬에이드 (4,500원), 아이스티 (4,000원), 생수 (1,000원), 트레비(탄산수) (1,500원)"
월순철판동태찜,4.3,235,"서울 서대문구 연희맛로 17-14 1층
(지번) 연희동 130-10",02-325-1567,"철판 동태찜 (소) (43,000원), 철판 아구찜 (소) (43,000원), 철판 대구뽈찜 (소) (43,000원), 철판 쭈낙찜 (소) (43,000원), 철판 해물모듬찜 (소) (43,000원)"
더파이홀,4.1,603,"서울 서대문구 연세로5나길 20 1층
(지번) 창천동 57-61",010-4258-1181,"아메리카노 (4,000원), 카페라떼 (5,000원), 로얄밀크티 (6,500원), 타이라임 (ICE) (6,500원), 레몬에이드 (6,500원)"
피터팬1978 본점,4.0,226,"서울 서대문구 증가로 10 연궁빌딩 1층
(지번) 연희동 90-5",02-336-4775,"피터팬 팥빙수 (7,000원), 시원한 수박 슬러시 (5,500원), 피터팬 아포가토 (4,000원), 아메리카노 (3,500원), 카페라떼 (4,000원)"
한옥집김치찜 서대문본점,2.7,240,"서울 서대문구 통일로9길 12 1층
(지번) 냉천동 20-1",02-362-8653,"한옥집김치찜 (11,500원), 한옥집김치찌개 (11,500원), 한옥집달걀말이 (11,500원), 한옥집떡갈비 (10,500원), 한옥집도시락 (15,000원), 한옥집김치등뼈전골(소) (39,000원), 한옥집수육무침(소) (21,000원), 한옥집 김치 (5kg) (49,000원)"
목란,3.2,838,"서울 서대문구 연희로15길 21
(지번) 연희동 132-28",02-732-0054,"탕수육 (22,000원), 양장피 (38,000원), 유린기 (35,000원), 깐풍기 (35,000원), 라조기 (35,000원), 공보기정 (35,000원), 깐풍닭날개 (40,000원), 산라탕 (22,000원), 영덕대게게살스프 (32,000원), 중새우칠리 (40,000원), 깐풍중새우 (40,000원), 고추중새우볶음 (42,000원), 크림중새우 (40,000원), 깐풍관자 (55,000원), 관자튀김 (55,000원), 굴기름관자 (55,000원), 마라관자 (55,000원), 잡탕밥 (18,000원), 게살볶음밥 (13,000원), 새우볶음밥 (10,000원), 탄탄면 (12,000원), 기스면 (8,000원), 짬뽕 (15,000원), 짜장면 (10,000원)"
고미정,4.0,285,"서울 서대문구 연희로26길 28 1-2층
(지번) 연희동 79-3",02-324-0016,"고사리불고기정식 (21,000원), 게장정식 (39,000원), 쌀밥정식 (18,000원)"
철길떡볶이,2.8,361,"서울 서대문구 충정로 35-6
(지번) 충정로3가 143-2",02-364-3440,"떡볶이 (1인분) (3,500원), 순대 (1인분) (3,500원), 라면 (1개) (3,500원), 김밥 (1줄) (1,500원), 야끼튀김 (1인분) (2,000원), 김말이튀김 (1인분) (2,000원), 어묵 (1꼬치) (2,000원)"
연희곰탕,4.4,82,"서울 서대문구 증가로 17 1층
(지번) 연희동 122-4",02-336-1801,"양곰탕 (15,000원), 곱창전골 (48,000원), 수육(대) (50,000원), 곰탕 (12,000원)"
앤트러사이트 연희점,3.5,210,"서울 서대문구 연희로 135
(지번) 연희동 89-19",02-332-7650,"카페라떼 (6,000원), 플랫화이트 (6,000원), 밤 라떼 (6,500원), 에스프레소 (4,500원), 아메리카노 (5,500원), 카푸치노 (6,000원), 바닐라라떼 (6,500원), 카페모카 (6,500원), 필터커피 (7,000원), 패션망고에이드 (7,000원), 콜드브루블랙 (6,500원), 콜드브루디카페인 (7,000원), 콜드브루바닐라 (7,500원)"
클로리스 신촌점,4.2,128,"서울 서대문구 연세로4길 38
(지번) 창천동 13-35",02-392-7523,"클로리스가든 (6,800원), 민티멜로디 (7,000원), 루이보스 아일랜드 (7,000원), 모닝티 (6,800원), 진저피치 (7,000원), 아메리카노 (5,500원), 카페라떼 (6,000원)"
