이름,평점,리뷰수,주소,전화번호,메뉴
서관면옥 교대본점,4.0,456,"서울 서초구 서초대로56길 11 1층
(지번) 서초동 1675-5",02-521-9945,"평양냉면 (16,000원), 선비냉면 (16,000원), 골동냉면 (16,000원), 맛박이냉면 (18,000원), 랭반 (17,000원), 서관면상 (점심특선) (18,000원), 한우수육 (35,000원), 돝제육 (21,000원), 서관만두 (13,000원), 녹두빈대떡 (19,000원), 어복쟁반 (작은반) (80,000원)"
영동설렁탕,3.6,590,"서울 서초구 강남대로101안길 24 1층
(지번) 잠원동 10-53",02-543-4716,"설렁탕 (15,000원), 수육 (52,000원)"
해담채 남부터미널점,3.5,75,"서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하1층
(지번) 서초동 1600-9",02-585-4997,"해담채 정식 (34,000원), 해담채 특정식 (44,000원), 보리굴비정식 (34,000원), 간장게장 정식(大) (40,000원), 해담채 바다 A (57,000원), 해담채 바다 B (45,000원), 주방장 특선 (68,000원), 해담채 스페셜 (80,000원)"
버드나무집 서초본점,3.5,60,"서울 서초구 효령로 434 1층
(지번) 서초동 1340-5",02-3473-4167,"양념갈비 (200g)(1대) (85,000원), 주물럭 (120g) (85,000원), 등심 (130g) (88,000원), 물냉면 (15,000원), 비빔냉면 (15,000원), 생갈비 (200g)(1대) (120,000원), 안창살(130g) (88,000원), 육회(130g) (53,000원), 갈비정식(120g) (43,000원), 간장게장 (69,000원), 게장정식 (45,000원), 갈비탕 (32,000원), 소고기국밥 (15,000원), 비빔밥 (18,000원), 육회비빔밥 (30,000원), 물맛냉면 (9,000원), 비빔맛냉면 (9,000원)"
꿉당 신사점,4.2,693,"서울 서초구 강남대로 615 금정빌딩 1층
(지번) 잠원동 12-21",,"KOKUMI 목살 (180g) (19,000원), 꿉살 (150g) (19,000원), 갈매기살 (150g) (19,000원), 가브리살 (150g) (19,000원), 오겹살 (180g) (19,000원), 오세트라 캐비아(30g) (65,000원), 강변 외할머니 된장찌개 (10,000원), 생 트러플 짜파게티 (10,000원), KOKUMI 쌀밥 (3,000원), 팔도 비빔면 (6,000원)"
장꼬방묵은김치찌개전문,3.3,246,"서울 서초구 효령로 364 1층
(지번) 서초동 1438-8",02-522-0035,"김치찌개 (9,000원), 계란말이 (10,000원), 장꼬방구이 (12,000원)"
한소반 청계산점,3.8,251,"서울 서초구 청계산로 249 1-2층
(지번) 신원동 192-82",02-3453-1500,"도토리해물파전 (8,000원), 홍어회무침 (12,000원), 한소반 모듬보쌈세트(대) (56,000원), 한소반 모듬보쌈세트(중) (36,000원)"
옛골토성,3.9,"1,224","서울 서초구 청계산로 434
(지번) 신원동 69-7",02-577-9494,"소한마리(4인) (97,000원), 와규등심(1인) (33,000원), 우대갈비(1대) (33,000원), 우삼겹(1인) (20,000원), 소갈비살(1인) (23,000원), 오리훈제바베큐(1인) (17,000원), 생오리로스(한마리) (58,000원)"
속초어시장 방배점,3.4,136,"서울 서초구 방배천로2길 7 웅지빌딩 1층
(지번) 방배동 450-17",02-523-0511,"광어 (소) (15,000원), 우럭 (소) (15,000원), 광어세꼬시 (20,000원), 활어물회 (25,000원), 오징어회 (18,000원), 고등어구이 (10,000원)"
노랑저고리 강남점,3.5,407,"서울 서초구 서초대로73길 9 타임빌딩 5층
(지번) 서초동 1316-29",02-534-5300,"점심한상 (18,000원), 새댁 회 코스 (28,000원), 육회 (32,000원), 문어숙회 (30,000원), 참숯 바싹불고기 (30,000원), 상황버섯 훈제오리 (37,000원), 고흥유자갈비구이 (42,000원), 모듬회 (42,000원), 주안상정식 (39,000원), 노랑코스 (46,000원), 해물파전 (22,000원), 육전&생선전 (24,000원), 낙지볶음과 울금소면 (30,000원), 대하튀김 (27,000원), 통우럭 매운탕 (32,000원), 흑돼지 보쌈 (37,000원), 홍어삼합 (42,000원), 민물 장어구이 (32,000원)"
