이름,평점,리뷰수,주소,전화번호,메뉴
어니언 성수,3.5,717,"서울 성동구 아차산로9길 8 1-2층
(지번) 성수동2가 277-135",070-4353-3238,"에스프레소(Espresso) (5,000원), 아메리카노(Americano) (5,500원), 카페라떼(Cafe latte) (6,000원), 카푸치노(Cappuccino) (6,000원), 플랫화이트(Flatwhite) (6,000원), 바닐라라떼(Vanilla latte) (7,000원), 그린라이트 (상추 스무디) (8,500원), 이 초콜릿 라떼는 최고라고 자부한다. (7,000원), 히비스커스 앤 로지스 티 (7,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니처 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원)"
할머니의레시피,3.6,404,"서울 성동구 서울숲2길 44-12
(지번) 성수동1가 668-108",02-467-5101,"숨뼈국 (11,000원), 버섯부추비빕밥 (10,000원), 강경젓갈쌈밥 (12,000원), 간장 돌게장 (16,000원), 쌈밥정식 (15,000원)"
소문난성수감자탕,3.0,"2,844","서울 성동구 연무장길 45 1층
(지번) 성수동2가 315-100",02-465-6580,"감자탕 (소) (27,000원), 감자국식사 (12,000원)"
밀도 성수본점,3.7,153,"서울 성동구 왕십리로 96 1층
(지번) 성수동1가 656-442",02-497-5050,"담백식빵 (7,800원), 리치식빵 (8,400원), 마롱미니 (8,200원), 리치에감자 크림치즈 (6,600원), 큐브 커스터드 (4,200원)"
성수동대림창고갤러리,3.0,990,"서울 성동구 성수이로 78 1층
(지번) 성수동2가 322-32",0507-1390-9669,"아메리카노 (6,000원), 카페라떼 (7,000원), 카페모카 (7,500원), 아포가토 (9,500원), 아인슈패너 (7,500원), 코르타도 (7,000원), 바닐라라떼 (7,500원), 디카페인 아메리카노 (6,500원), 디카페인 카페라떼 (7,500원), 파인애플 주스 (8,000원), 오렌지 주스 (8,000원), 자두 주스 (8,000원), 오렌지에이드 (7,500원), 레몬에이드 (7,500원), 자몽에이드 (7,500원), 복숭아에이드 (7,500원), 얼그레이 (8,000원), 루이보스발란스 (8,000원), 게이샤 슈패너 (17,000원), 게이샤 모카 (17,000원)"
대성갈비,3.2,269,"서울 성동구 상원1길 26 서울숲A타워 1층 101~103호
(지번) 성수동1가 656-591",02-464-3012,"소갈비(350g) (40,000원), 등심(150g) (30,000원), 차돌박이(150g) (30,000원), 갈비살(150g) (22,000원), 돼지갈비(200g) (20,000원), 삼겹살(200g) (20,000원), 목살(200g) (20,000원), 백반 (10,000원), 냉면 (5,000원)"
쎈느,3.8,58,"서울 성동구 연무장5길 20 1,2층
(지번) 성수동2가 314-2",02-469-2122,"아메리카노 (5,000원), 라떼 (6,000원), 바닐라라떼 (6,800원), 초콜릿라떼 (7,500원), 파인애플생과일주스 (8,000원)"
왕십리조개창고,3.1,287,"서울 성동구 왕십리로 331 경진빌딩 지하1층
(지번) 하왕십리동 966-12",010-4596-0449,"조개구이 무한리필(성인)(1인 (34,900원), 조개구이 무한리필(초등학생)(1인) (17,900원), 조개구이 무한리필(미취학아동)(1인) (12,900원)"
키베이커리,4.6,131,"서울 성동구 성수일로 11-2 1층
(지번) 성수동1가 656-95",02-823-9360,"치즈타르트 6입 세트 (16,000원), 앙금빵 10입 세트 (22,000원), 아메리카노 (2,000원), 카페라떼 (2,800원), 바닐라라떼 (3,000원), 카라멜라떼 (3,000원), 레몬티 (3,000원), 타르트 골고루 세트 (17,000원), 치즈케이크 (15,000원), 시오빵 (3,500원), 소라빵 (3,500원), 메론빵 (3,500원)"
성수베이킹스튜디오,4.6,618,"서울 성동구 서울숲2길 46 지하1층
(지번) 성수동1가 668-123",02-468-0789,"아몬드크루아상 (3,800원), 스콘 (2,700원), 앙버터 (4,700원), 잠봉뵈르 (5,800원), 대파베이첼 (5,300원), 소금빵 (2,700원), 파네토네 (38,000원), 프레젤 (가격정보 없음)"
땅코참숯구이 본점,4.1,641,"서울 성동구 행당로17길 26 1층
(지번) 행당동 292-34",02-2281-6908,"목살 (200g) (19,000원), 삼겹살 (200g) (19,000원), 갈매기살 (160g) (19,000원)"
스시도쿠,4.1,"1,037","서울 성동구 왕십리광장로 6 1층
(지번) 행당동 196-23",02-2281-3255,"기특함 가득찬 특품스시(12pc) (25,900원), 양심을 지키는 양품스시(8pc) (15,900원), 근본이 살아있는 본품스시(10pc) (19,900원), 한점 한점 예술인 작품스시(13pc) (36,900원), 한점 한점 예술인 작품스시 1.5배 세트(13pc) (24,800원), 1.5배 명작스시 (30,800원), 양품스시(8pc)와 특제우동정식 (18,800원), 특품스시(12pc)와 특제우동정식 (28,800원), 양품스시와 3품요리 정식 (21,800원), 특품스시와 3품요리 정식 (31,800원), 양품스시와 13품 술상 (31,800원), 특품스시와 13품 술상 (39,800원)"
강남면옥 성수점,3.0,267,"서울 성동구 성수일로 77 1층 110,111호
(지번) 성수동1가 13-171",02-6968-0800,"홍어회 (40,000원), 갈비찜 (대) (82,000원), 갈비찜 (소) (52,000원), 갈비찜 (중) (67,000원), 갈비탕 (16,000원), 갈비탕(특) (19,000원), 만두국 (11,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 수육 (40,000원), 찐만두(반접시) (6,000원), 찐만두(한접시) (10,000원), 회냉면 (13,000원), 섞어냉면 (13,000원)"
성수족발,3.3,505,"서울 성동구 아차산로7길 7 1층
(지번) 성수동2가 289-273",02-464-0425,"족발 (특대) (50,000원), 족발 (대) (45,000원), 족발 (중) (40,000원)"
행운돈까스,3.7,187,"서울 성동구 마조로1길 2
(지번) 행당동 20-17",02-2296-3406,"돈까스 (9,000원), 정식 (10,000원), 생선까스 (10,000원), 고구마돈까스 (10,000원), 돈까스&김치볶음밥 (10,000원), 매운돈까스 (10,000원), 치즈돈까스 (10,000원), 새우정식 (10,000원)"
로우키,4.4,459,"서울 성동구 연무장3길 6 1층
(지번) 성수동2가 302-16",070-8824-2010,"글레이즈드 도넛(오리지널,동그리즈) (3,500원), 글레이즈드 도넛(레몬,초코) (3,700원), 크림 도넛(바닐라,얼그레이) (4,000원), 시즈널 도넛(시나몬,흑임자) (3,500원), 시즈널 도넛(티라미수,초코바나나) (4,500원), 카페라떼 (5,500원), 콜드브루 (6,000원), 아메리카노 (5,500원), 바닐라라떼 (6,000원), 카라멜라떼 (7,500원), 들깨라이스라떼(ONLY ICED) (8,000원), 짜이 밀크티 (6,000원), 딸기레몬에이드 (7,000원), 에스프레소 (5,500원), 루이보스앤베리페퍼민트 (6,000원), 얼그레이 에버 (6,000원), 리얼 발로나 초코 라떼 (7,000원), 브루잉 스페셜티 커피 (7,000원), 초코쿠키 (ONLY MONDAY) (3,500원)"
애리꼼닭발,4.0,342,"서울 성동구 왕십리로22길 3
(지번) 도선동 50",02-2299-3838,"뼈없는닭발 (1인분) (15,000원), 뼈있는닭발 (1인분) (14,000원)"
