이름,평점,리뷰수,주소,전화번호,메뉴
나폴레옹과자점 성북본점,3.1,104,"서울 성북구 성북로 7
(지번) 성북동1가 35-5",02-742-7421,"소프트롤(10개입) (6,400원), 크림빵 (2,900원), 초코칩 모닝빵(10개입) (6,400원), 밀크식빵 (5,100원), 토종밤식빵 (5,800원), 구로칸토슈니탱 (24,000원), 녹차롤 (19,000원), 호두쉬폰 케이크 (46,000원), 모카케이크 (49,000원), 플라워케이크 1호 (65,000원)"
삼청각 일화당,3.0,87,"서울 성북구 대사관로 3
(지번) 성북동 330-115",02-765-3700,"에스프레소 (가격정보 없음), 아메리카노 (가격정보 없음), 카페모카 (가격정보 없음), 바닐라라떼 (가격정보 없음), 카푸치노 (가격정보 없음), 카페라떼 (가격정보 없음), 매실차 (가격정보 없음), 대추차 (가격정보 없음), 청포도에이드 (가격정보 없음), 초코라떼 (가격정보 없음), 고구마라떼 (가격정보 없음), 녹차라떼 (가격정보 없음), 팥빙수 (가격정보 없음), 라테 (가격정보 없음), 복숭아아이스티 (가격정보 없음), 아이스크림 (가격정보 없음)"
성북동면옥집,2.9,285,"서울 성북구 대사관로 40
(지번) 성북동 330-105",02-765-3450,"왕갈비찜 (미) (59,000원), 회냉면 (13,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 오색만두 (11,000원), 사골만듯국 (12,000원), 왕갈비탕 (17,000원), 수육 (42,000원), 홍어회무침 (17,000원), 모듬전(미) (25,000원)"
공푸,4.3,191,"서울 성북구 삼선교로24길 29 1층
(지번) 삼선동5가 299-10",070-7566-4683,"차돌박이짬뽕밥 (12,000원), 유린기미니 (12,000원), 차돌박이짬뽕 (11,000원), 짜장면/밥 (7,000원), 유린기소 (22,000원), 탕수육미니 (10,000원), 탕수육소 (18,000원)"
성북동메밀수제비누룽지백숙,3.7,90,"서울 성북구 성북로31길 9
(지번) 성북동 281-1",02-764-0707,"메밀전 (12,000원), 누룽지백숙 (56,000원), 들깨메밀수제비 (12,000원)"
안동반점,4.1,235,"서울 성북구 고려대로1길 35-1
(지번) 보문동1가 53",02-923-4448,"짜장면 (6,000원), 짬뽕 (7,000원), 볶음밥 (7,000원), 군만두 (5,000원), 물만두 (5,000원), 삼선우동 (13,000원), 삼선짬뽕 (13,000원), 잡채밥 (9,000원), 탕수육(소) (15,000원), 고기튀김(소) (15,000원), 잡채(소) (14,000원), 양장피(소) (22,000원), 깐풍기(소) (22,000원), 팔보채(소) (25,000원)"
쌍다리돼지불백 본점,3.0,156,"서울 성북구 성북로23길 4 1층
(지번) 성북동 109-2",02-743-0325,"돼지불백 (12,000원), 돼지불백(특) (17,000원), 돼지불백비빔 (12,000원), 낙지볶음 (12,000원), 부대찌개 (12,000원), 파무침 (4,000원)"
더홈서울,3.7,133,"서울 성북구 고려대로1길 87
(지번) 삼선동5가 357",010-8301-5004,"라떼 (6,000원), 아이스초코 (6,500원), 라임에이드 (8,500원), 레몬블랙티 (7,500원), 만델링 (6,000원), 아인슈페너 (7,000원), 코코 카푸치노 (7,000원), 핫초코 (6,500원), 체리봉봉 (8,500원), 딸기봉봉 (8,500원), 자몽블랙티 (7,500원), 도넛한상자 (6,000원)"
청수장,3.3,85,"서울 성북구 정릉로 237-2 1층
(지번) 정릉동 416-27",02-913-6176,"돼지갈비 (1인분) (20,000원), 물냉면 (13,000원), 회냉면 (14,000원), 비빔냉면 (13,000원)"
갈비명가이상 길음신관,2.6,78,"서울 성북구 정릉로 395
(지번) 하월곡동 221",02-919-8000,"한우모둠 450g (169,000원), 이상 눈꽃양념갈비 (300g/2대) (50,000원), 이상 눈꽃생갈비 (250g/2대) (56,000원), 이동갈비 (300g/4대) (41,000원), 한돈 왕본구이 (300g/1대) (27,000원), 갈비탕 (19,000원), 설렁탕 (12,000원)"
서울왕돈까스 성북동본점,3.5,135,"서울 성북구 창경궁로35다길 140 1,2층
(지번) 성북동 131-85",02-766-9370,"왕돈까스 (13,000원), 생선까스 (14,000원), 불돈까스 (14,000원), 서울정식（왕돈까스＋생선까스+함박스테이크） (16,000원), 치즈돈까스 (15,000원), 새우까스 (15,000원), 반반（돈까스＋생선까스) (14,000원), 냉모밀 (9,000원), 어묵우동 (9,000원), 비후까스 (16,000원), 왕돈정식（왕돈까스＋함박1개） (16,000원), 생선정식（생선까스＋함박1개） (16,000원), 바베큐돈까스 (14,000원), 함박스테이크 (15,000원), 육개장 (12,000원), 크림스프 (1,000원), 돈까스소스 (1,000원), 생선까스소스 (2,000원), 불소스（매운맛） (1,000원), 바베큐소스 (1,000원), 공기밥 (1,000원), 부산어묵 2개 (4,000원), 치즈스틱 5개 (4,000원), 고구마 치즈스틱 5개 (4,000원), 풋고추 (1,000원), 청양고추 (1,000원), 코카콜라 355mL (2,000원), 칠성사이다 355mL (2,000원), 웰치스포도 355mL (2,000원), 웰치스청포도 355mL (2,000원)"
고른햇살,4.3,261,"서울 성북구 개운사길 14 1층
(지번) 안암동5가 101-28",02-953-3394,"토종순대 (6,000원), 참치마요김밥 (5,500원), 원조김밥 (4,200원), 치즈라볶이 (8,000원), 쫄면 (8,000원), 매콤제육김밥 (5,500원), 야채 김밥 (5,000원), 쌀떡볶이 (5,000원), 찹쌀순대 (5,000원), 라볶이 (7,000원), 바삭바삭 순살 후라이드 (한마리) (18,900원), 고~세트(떡+토+김2+야2+서비스어묵탕) (15,800원), 른~세트(참+라+김2+야2) (17,000원), 햇~세트(참+토+라+김2) (20,700원), 살~세트(참+토+쫄+야2) (21,200원), 든든 한끼세트A (라+치+콜) (15,300원), 든든 한끼세트B (떡+치+순+콜) (19,200원), 체다치즈 김밥 (5,500원), 김치김밥 (5,500원), 치즈떡볶이 (6,000원), 찹쌀반 토종반 (6,000원), 짜계치 (5,500원), 짜장라볶이 (7,400원), 우볶이 (7,000원), 치즈우볶이 (8,000원), 물냉면 (8,000원), 비빔냉면 (8,000원), 어묵우동 (7,000원), 김치우동 (7,500원), 어묵탕 (5,500원)"
제주고깃집 안암점,4.4,86,"서울 성북구 안암로 69-1 1층
(지번) 안암동5가 134-35",02-926-3696,"제주 생오겹살 (170g) (16,000원), 제주 생목살 (170g) (16,000원), 제주 두항정살 (170g) (17,000원), 제주 생가브리살 (170g) (17,000원), 근고기 (모둠) (600g) (51,000원), 뒷고기 (170g) (14,000원), 덜미살 (170g) (14,000원), 벌집껍데기 (170g) (11,000원)"
금왕돈까스 본점,2.8,356,"서울 성북구 성북로 138
(지번) 성북동 256-2",02-763-9366,"안심돈까스 (14,000원), 등심돈까스 (13,000원), 금왕정식 (15,000원), 함박스테이크 (13,500원), 치킨까스 (13,500원)"
일번지정육식당 돌곶이점,4.1,207,"서울 성북구 화랑로 254 1층
(지번) 석관동 242-1",02-960-1012,"소살치살 (600g) (49,000원), 소갈비살 (600g) (44,000원), 소꽃등심 (600g) (44,000원), 차돌박이 (600g) (44,000원), 한우꽃등심 (180g) (40,000원), 큰소 한마리(1.2kg) (73,000원), 작은소 한마리 (900g) (58,000원)"
369마실,4.8,73,"서울 성북구 삼선교로4가길 13-1 1층
(지번) 삼선동1가 11-123",02-747-2343,"아메리카노 (3,500원), 카페라떼 (4,000원)"
톤제,4.7,60,"서울 성북구 보문로30라길 3 1층
(지번) 동선동2가 77",02-928-8991,"안심카츠 (12,000원), 치즈카츠 (14,000원), 등심카츠 (11,000원), 특등심카츠(YBD) (13,000원), 특등심카츠(난축흑돈,탐라흑돈,지례흑돈) (14,000원), 지등심카츠(난축흑돈,탐라흑돈,지례흑돈) (13,000원), 카레 (3,000원), 음료 (2,000원), 기린병맥주 (5,000원)"
양지식당,4.3,39,"서울 성북구 고려대로 47 1층
(지번) 안암동2가 118-2",02-926-4472,"묵은지 돼지찌개 (8,000원), 부대찌개 (8,000원), 부항찌개 (9,000원), 우렁 된장찌개 (8,000원), 묵은지 꽃돼지찌개 (10,000원), 설렁탕 (8,000원), 고기 추가 (10,000원), 찌개용 항정 (5,000원), 햄사리 (4,000원), 공기밥 (1,000원), 청하 (5,000원), 테라 / 카스 (4,000원), 소주 / 막걸리 (3,000원), 음료 (1,500원)"
라라면가,4.3,278,"서울 성북구 동소문로22길 57-25 1층
(지번) 동선동2가 135-8",02-921-4851,"우육면 (10,000원), 마라 곱창탕면 (11,000원), 마라 우육탕면 (11,000원), 딴딴면 (9,500원), 황도꿔바로우(13pcs) (10,500원), 바게트멘보샤(4pcs) (11,000원), 유자크림새우(11pcs) (11,000원), 우육탕면 (10,000원), 황도 꿔바로우 (11,000원), 마늘쫑 볶음밥 (9,500원)"
안식당,4.8,24,"서울 성북구 보문로32길 31 1층
(지번) 동선동2가 2-3",02-923-0808,"고등어조림 한상 (15,000원), 더덕구이 고등어조림 한상 (21,000원), 고추장 석쇠불고기 고등어조림 한상 (21,000원), 소 석쇠불고기 고등어조림 한상 (24,000원), 소갈비찜 고등어조림 한상 (30,000원), 고추장 석쇠불고기 정식 (23,000원), 소 석쇠불고기 정식 (28,000원), 더덕구이 정식 (23,000원), 소갈비찜 정식 (40,000원), 영양 소갈비찜 (50,000원), 소 석쇠불고기 한접시 (28,000원), 고추장 석쇠불고기 (22,000원), 두부김치 (20,000원), 석쇠구이 오징어 (18,000원)"
구룡포계절회집,3.3,140,"서울 성북구 고려대로7길 110
(지번) 동선동2가 2-2",02-927-5340,"물회 (1인분) (여름메뉴) (20,000원), 봄 도다리 (봄메뉴) (70,000원), 숭어 (봄메뉴) (50,000원), 전어회 (가을메뉴) (40,000원), 과메기 (겨울메뉴) (50,000원), 봄도다리회(대) (100,000원), 대방어(대) (100,000원)"
오백집왕족발,3.6,53,"서울 성북구 동소문로20길 20 1층
(지번) 동소문동5가 111",02-922-2500,"족발 (38,000원), 쟁반국수 (10,000원), 공기밥 (1,000원)"
오버스토리,3.6,285,"서울 성북구 선잠로2다길 13-13 지하1층
(지번) 성북동 8-28",010-7292-7893,"AMERICANO(HOT) (7,000원), DRIP COFFEE(HOT) (8,000원), LATTE(HOT) (7,500원), SIGNATURE VANILLA LATTE(ONLY ICED) (8,000원), AFFOGATO (8,000원)"
모두와,4.6,46,"서울 성북구 동소문로20다길 30-1 1층 2호
(지번) 동선동1가 85-63",02-921-3726,"돈까스 떡볶이 (2인분) (16,000원), 오븐 치즈떡볶이 (2인분) (15,000원), 치즈 떡볶이 (2인분) (13,000원), 짜장 떡볶이 (2인분) (12,000원), 오리지날 떡볶이 (2인분) (11,000원)"
청년밥상문간,4.9,91,"서울 성북구 보국문로11길 18-2 2층
(지번) 정릉동 398-12",010-2808-6031,"김치찌개 (3,000원), 라면사리 (1,000원), 어묵사리 (1,000원), 햄사리 (1,000원), 고기추가 (2,000원), 두부사리 (1,000원), 음료수 (1,000원), 커피 (2,000원), 공기밥 (0원)"
미운오리,3.8,21,"서울 성북구 보문로 123
(지번) 보문동2가 104",02-923-9999,"소금구이 (1마리) (45,000원), 주물럭 (1마리) (48,000원), 훈제 (1마리) (48,000원), 능이백숙 (65,000원), 능이전복죽 (10,000원), 능이삼계탕 (14,000원), 능이전복삼계탕 (16,000원), 칡냉명 (8,000원), 순두부 (8,000원), 오리탕 (9,000원)"
할매숯불닭갈비 2호점,4.5,26,"서울 성북구 동소문로20길 37-5 1층
(지번) 동선동1가 8",02-928-9993,"숯불닭갈비 (1인분) (14,000원), 소금구이닭갈비 (1인분) (14,000원), 뼈없는 닭발 (1인분) (15,000원), 쭈꾸미구이 (1인분) (16,000원), 스테이크삼겹살 (1인분) (16,000원)"
동방손칼국수,3.8,50,"서울 성북구 서경로 91
(지번) 정릉동 1013",02-909-5953,"바지락칼국수 (9,000원), 바지락수제비 (9,000원), 만두국 (9,000원), 해물파전 (17,000원), 묵은지닭볶음탕(중) (31,000원)"
