이름,평점,리뷰수,주소,전화번호,메뉴
함경도찹쌀순대,3.5,759,"서울 송파구 송파대로28길 32 올림피아 오피스텔 1층
(지번) 가락동 79-7",02-403-8822,"순대국 (11,000원), 순대국 (순대만 넣어 주세요) (11,000원), 순대국 (순대 빼고 고기만 주세요) (11,000원), 공기밥 (1,000원), 찹쌀순대 (13,000원), 수육 (20,000원), 모듬 (20,000원)"
청와옥 본점,3.4,"1,227","서울 송파구 위례성대로 48 반도빌딩 1층 102호
(지번) 방이동 177-3",02-416-3456,"찹쌀순대 (23,000원), [청와옥]순대국밥（끓여서） (10,000원), [청와옥]순대국밥（비조리） (10,000원), [얼큰]순대국밥（비조리） (11,000원), 술국 (17,000원), 수육 (26,000원), [얼큰]순대국밥（끓여서） (11,000원), [고기만]순대국밥（끓여서） (10,000원), [순대만]순대국밥（끓여서） (10,000원), [다데기 뺀]순대국밥（끓여서） (10,000원), [고기만]순대국밥（비조리） (10,000원), [순대만]순대국밥（비조리） (10,000원), 동해안 오징어 숯불구이 (10,900원), [들깨 뺀]순대국밥（끓여서） (10,000원), [파 뺀]순대국밥（끓여서） (10,000원), [얼큰][고기만]순대국밥（끓여서） (11,000원), [얼큰][순대만]순대국밥（끓여서） (11,000원), [얼큰][들깨 뺀]순대국밥（끓여서） (11,000원), [얼큰][파 뺀]순대국밥（끓여서） (11,000원), [얼큰][고기만]순대국밥（비조리） (11,000원), [얼큰][순대만]순대국밥（비조리） (11,000원), 모둠순대＋수육 (26,000원), 전통식혜 (3,500원), 호박식혜 (3,500원), 공기밥 (1,000원), 직접담근 수제무생채（200g） (2,000원), 직접담근 수제깍두기（200g） (2,000원)"
청와옥 석촌호수점,3.4,594,"서울 송파구 삼학사로 96 1층
(지번) 석촌동 2",02-422-0550,"청와옥 순대국밥(보통) (10,000원), 청와옥 편백정식 (15,000원), 얼큰 순대국밥(보통) (11,000원), 청와옥 솥밥정식(보통) (12,000원)"
산들해 송파점,3.3,167,"서울 송파구 위례성대로 6 현대토픽스 2층
(지번) 방이동 44-7",02-448-3457,"낙지볶음 (18,000원), 홍어회무침 (15,000원), 한돈돼지불고기 (20,000원), 해물파전 (20,000원), 한정식 (21,000원), 한우소불고기 (27,000원), 황태구이 (18,000원)"
수작나베 석촌호수직영점,4.4,364,"서울 송파구 석촌호수로 234 라품미빌딩 1층
(지번) 석촌동 158-7",02-423-3767,"밀푀유나베 中 2인 (32,000원), 밀푀유나베 大 3인 (44,000원), 스키야키 中 2인 (35,000원), 스키야키 大 3인 (48,000원), 창코나베 中 2인 (41,000원), 창코나베 大 3인 (54,000원), 토마토해물나베 中 2인 (37,000원), 토마토해물나베 大 3인 (50,000원), 스지나베 中 2인 (43,000원), 스지나베 大 3인 (56,000원), 모츠나베 中 2인 (38,000원), 모츠나베 大 3인 (51,000원), 밀푀유나베세트 2인 (39,000원), 밀푀유나베세트 3인 (56,000원), 밀푀유나베세트 4인 (71,000원), 생맥주세트 2인 (50,000원), 생맥주세트 3인 (70,000원), 생맥주세트 4인 (91,000원)"
태양곱창 본점,4.5,373,"서울 송파구 오금로15길 14 1층 태양곱창 본점
(지번) 방이동 71-1",070-4304-0308,"돼지곱창전골 (소) (35,000원), 돼지곱창전골 (중) (40,000원), 돼지곱창전골 (대) (45,000원), 야채곱창 (15,000원), 곱창국밥(점심) (10,000원), 치즈 감자전 (15,000원), 콘치즈 (8,000원), 야채추가(쑥갓&깻잎) (4,000원), 볶음밥 (4,000원), 공기밥 (1,000원), 곱창구이(안주) (15,000원)"
별미곱창 본점,3.4,148,"서울 송파구 오금로11길 14 1층
(지번) 방이동 64-1",02-413-3610,"소곱창 (25,000원), 모듬곱창 (25,000원), 특양 (28,000원), 대창 (25,000원), 막창 (27,000원)"
몽중헌 방이점,4.0,315,"서울 송파구 위례성대로 10 S타워 20,21층
(지번) 방이동 44-5",02-2202-8004,"LUNCH (1인) (70,000원), DINNER (1인) (90,000원), 하교 (12,000원), 구채교 (12,000원), 상하이소롱포 (15,000원), 마라소롱포 (15,000원), 청채교 (12,000원), 소매 (12,000원), 백채교 (12,000원), 근채교 (12,000원), 사희교 (12,000원), 봉성선육교 (12,000원), XO소스의 소포 (12,000원), 상소분과 (12,000원), 특선냉채 (소) (55,000원), 삼품냉채 (소) (45,000원), 오향장육 (소) (45,000원), 통전복냉채 (19,000원), 고법불도장 (140,000원), 전복청채스프 (25,000원), 삼선짬뽕 (18,000원), 홍콩식볶음국수 (18,000원), 한우일품자장면 (14,000원), 새우탕면 (18,000원), 팔진탕면 (18,000원), 사천탕면 (18,000원)"
아웃백스테이크하우스 잠실점,3.7,476,"서울 송파구 송파대로 466
(지번) 송파동 15-1",02-418-4071,"갈릭 립아이 (49,900원), 투움바 파스타 (25,900원), 오지치즈 후라이즈（미듐） (10,900원), 홈파티 4인 세트 2 (153,900원), 갈릭립아이 스테이크 2인 세트 (73,900원), 카카두 김치 그릴러 2인 세트 (55,900원), 아웃백 x 코카-콜라 2인 세트 (61,900원), 짐붐바 스테이크 (34,900원), 스파이시 투움바 파스타 (25,900원), 치킨텐더 샐러드 (20,900원), 부쉬맨 브레드（빵） (2,000원), 짐붐바 스테이크 3인 세트 (85,900원), 알리오올리오 (25,900원), 씨푸드 아라비아따 (25,900원), 베이비 백립 (49,900원), 골드코스트 코코넛쉬림프 (20,900원), 카카두 김치 그릴러 (25,900원), 오지칩（감자튀김） (7,900원), 베이크드 스위트 포테이토 (7,900원), 프라이드 라이스 (7,900원), 양송이 스프 (4,500원), 허니머스타드 (500원), 초콜렛소스 (500원), 코카콜라（355ml） (2,000원), 코카콜라 제로 (2,000원), 스프라이트 (2,000원), 스프라이트 제로 (2,000원), 비노 돌체 화이트와인 (4,900원)"
다운타우너 잠실,4.0,672,"서울 송파구 백제고분로45길 3 1층
(지번) 송파동 46-4",070-8868-3696,"다운타우너 버거 (10,300원), 아보카도 버거 (12,600원), 스파이시 풀드포크 버거 (12,400원), 베이코닉 버거 (13,800원), 트러플 포테이토 버거 (12,400원), 슈림프 디럭스 버거 (11,800원), 크리스피 치킨 버거 (10,900원), 클래식 치즈 버거 (7,700원), 칠리 토마토 쉐이커 (5,800원), 트러플 쉐이커 (5,800원), 파마산 치즈 쉐이커 (5,800원), 오리지널 치킨텐더 (7,800원), 제너럴쏘 치킨텐더 (7,800원), 생 바질 모짜렐라 버거 (12,400원), 오리지널 프라이즈 (5,800원), 치즈버거 프라이즈 (8,800원), 갈릭버터 프라이즈 (6,800원), 고구마 프라이즈 (6,800원), 치즈 프라이즈 (5,800원), 점보 모짜스틱 1조각 (3,800원)"
명인밥상,3.1,170,"서울 송파구 송이로 157 지하1층
(지번) 가락동 124-21",02-409-3355,"푸른 고등어구이 밥상 (15,500원), 보리굴비 밥상 (27,000원), 전복갈비찜 밥상 (32,000원), 간장게장 밥상 (30,000원), 버섯불고기 밥상 (18,000원), 행복한코스 (50,000원), 어린이메뉴 (10,000원)"
갓잇 송리단길점,4.2,"1,182","서울 송파구 오금로16길 20 1,2층
(지번) 송파동 37-6",070-8824-9451,"A세트 - 갓보울 (37,000원), B세트 - 파히타 (39,000원), C세트 - 엔칠라다 (39,000원), 타코세트 (52,000원), 패밀리세트 (72,000원), 갓보울 (18,000원), 갓파히타 (23,000원), 갓엔칠라다 (23,000원), 단품메뉴 (5,000원), 애플모히토 (6,000원), 하와이안펀치 (7,000원), 데킬라 하이볼 (8,000원), 데킬라 썬라이즈 (8,000원), 코로나 리타 (15,000원)"
오향가 가락본점,4.3,374,"서울 송파구 송이로 106 1층
(지번) 가락동 73-2",02-401-6999,"오향족발 (중) (40,000원), 냉채족발 (소) (35,000원), 오향장육 (중) (32,000원), 오향가탕수육 (중) (24,000원), 술안주짬뽕 (22,000원), 오향족발 (대) (45,000원), 냉채족발 (중) (40,000원), 냉채족발 (대) (45,000원), 오향장육 (대) (37,000원), 오향가탕수육 (대) (32,000원), 진미짬뽕 (11,000원), 진미짬뽕밥 (11,000원), 오향가볶음밥 (11,000원), 마파두부밥 (11,000원)"
비와별닭갈비 잠실점,4.0,205,"서울 송파구 삼학사로 100 2층
(지번) 석촌동 1",02-2202-5552,"원조 전통닭갈비 (14,900원), 매운 닭갈비 (15,500원), 모짜렐라치즈 닭갈비 (19,000원), 리치골드 닭갈비 (20,000원), 월남쌈 닭갈비 (20,500원), 낙지 닭갈비 (22,000원), 신세계 닭갈비 (20,500원), 쟁반막국수 (15,000원), 막국수 (물/비빔) (9,000원)"
돈블랑 석촌호수점,3.0,184,"서울 송파구 석촌호수로 296 1층
(지번) 송파동 58",02-423-8400,"아랫고기 (150g) (16,500원), 윗고기 (150g) (16,500원), 생갈빗살 (130g) (24,000원), 특수부위모듬 (19,000원), 토종순대국밥 (11,000원)"
옛날농장 방이점,3.4,147,"서울 송파구 올림픽로32길 19-10 1층
(지번) 방이동 60-1",02-416-2566,"명품 소 양념갈비 (35,000원), 설화 갈비꽃살 (35,000원), 부채살 (낙엽살) (20,000원), 차돌박이 (20,000원), 우삼겹살 (15,000원), 명품수제돼지갈비 (17,000원), 국내산 통 삼겹살 (18,000원), 국내산 특 목살 (16,000원), 한우육회 (25,000원), 산더미 대패 쌈밥 (12,000원), 낙곱새뚝배기 (11,000원), 생고기김치찌개 (9,000원), 뚝배기불고기 (9,000원), 차돌부대찌개 (10,000원), 차돌된장찌개 (9,000원), 고추장돼지불백 (11,000원), 벌교 꼬막비빔밥 (11,000원), 불고기비빔밥 (11,000원), 육회비빔밥 (11,000원), 사골청국장 (9,000원), 간장게장정식 (1,500원)"
