이름,평점,리뷰수,주소,전화번호,메뉴
한마음정육식당 목동직영점,4.7,113,"서울 양천구 신목로 48
(지번) 신정동 296-69",02-6014-2929,"돼지반마리(500g) (36,000원), 소반마리(300g) (38,000원), 생삼겹(180g) (17,000원), 오겹살(180g) (14,000원), 갈비살(150g) (19,000원), 소한마리(600g) (71,000원), 토시살(150g) (17,000원), 부채살(150g) (18,000원), 우삼겹(160g) (13,000원), 진갈비살(150g) (30,000원), 육회(160g) (14,000원), 돼지한마리(1kg) (67,000원), 생삼겹살(180g) (14,000원), 항정살(180g) (14,500원), 생목살(180g) (13,000원), 돼지껍데기(180g) (7,500원), 공기밥 (1,000원)"
원두막,3.0,51,"서울 양천구 신목로 56 2-3층
(지번) 신정동 296-77",02-2061-1212,"한우모듬구이 (130g) (32,000원), 한우양념구이 (150g) (29,000원), 일품소왕갈비 (280g) (34,000원), 한우꽃등심 (130g) (35,000원), 한우꽃살 (130g) (43,000원), 한우차돌박이 (130g) (27,000원), 한우갈비살 (130g) (36,000원), 삼겹살 (200g) (16,000원), 돼지왕갈비 (300g) (18,000원), 참숯훈제오리 (200g) (17,000원), 한우육사시미 (170g) (34,000원), 한우육회 (200g) (29,000원), 원두막보쌈 (43,000원), 유황오리보쌈 (1마리) (39,000원), 보리밥정식 (10,000원), 한우국밥 (10,000원), 영양왕갈비탕 (13,000원), 한우육회비빔밥 (14,000원), 한우불고기쌈밥정식 (15,000원), 함흥물냉면 (11,000원), 함흥비빔냉면 (11,000원)"
대가,3.5,498,"서울 양천구 신정중앙로 66
(지번) 신정동 905-1",02-2605-1667,"대가양념구이(230g) (18,000원), 대가특목살(180g) (18,000원), 한우투뿔등심(150g) (48,000원), 한우차돌(150g) (25,000원)"
파티세리소나,4.7,260,"서울 양천구 목동중앙북로5길 34 1층
(지번) 목동 603-21",02-2606-4454,"크로와상 (0원), 앙버터 (가격정보 없음), 브라우니 (가격정보 없음), 버터 프레첼 (0원), 치즈 치아바타 (0원), 우유식빵 (소) (0원), 모닝빵 (0원), 소금빵 (가격정보 없음), 아메리카노 (가격정보 없음), 카페라떼 (가격정보 없음), 수제바닐라라떼 (가격정보 없음), 연유라떼 (가격정보 없음), 모카라떼 (가격정보 없음), 바닐라라떼 (가격정보 없음), 크림라떼 (가격정보 없음), 바닐라라페 (가격정보 없음), 콜드브루 (가격정보 없음), 몽블랑 (가격정보 없음), 쿠키 (가격정보 없음), 딸기라떼 (가격정보 없음), 말차라떼 (가격정보 없음), 수제밀크티 (가격정보 없음), 초콜릿라떼 (가격정보 없음), 초코라떼 (가격정보 없음), 밀크티 (가격정보 없음), 유자차 (가격정보 없음), 허니레몬티 (가격정보 없음), 레몬생강차 (가격정보 없음), 레모네이드 (가격정보 없음), 유자에이드 (가격정보 없음), 에그타르트 (가격정보 없음), 피칸타르트 (가격정보 없음), 라테 (가격정보 없음), 라떼 (가격정보 없음), 라라떼 (가격정보 없음), 요거트스무디 (가격정보 없음), 오렌지주스 (가격정보 없음), 감자스프 (가격정보 없음), 복숭아에이드 (가격정보 없음)"
더아리엘 목동점,3.4,325,"서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호
(지번) 목동 961-1",02-2655-0770,"주말&공휴일 성인 (중학생이상) (65,900원), 평일점심 소인 (초등학생) (33,000원), 평일저녁 소인 (초등학생) (44,000원), 주말&공휴일 소인 (초등학생) (44,000원), 유아 (20년생~취학전) (22,000원), 평일런치 성인 (중학생이상) (42,000원), 평일디너 성인 (중학생이상) (65,900원)"
만복순대국,3.9,216,"서울 양천구 목동로 219 1층
(지번) 신정동 899-5",02-2696-0304,"순대국 (10,000원), 얼큰이순대국 (11,000원), 고기만순대국 (10,000원), 뚝배기김치찌개 (10,000원), 순두부찌개 (9,000원), 순대곱창전골 (중) (30,000원), 만복찹쌀순대 (중) (17,000원), 머리고기 (20,000원), 술국 (20,000원)"
옛날마차,3.5,122,"서울 양천구 신정중앙로 84
(지번) 신정동 904-6",02-2608-6755,"광어정식(중) (50,000원), 모듬세꼬시 (50,000원), 모듬정식(중) (55,000원), 전복찜 (30,000원), 모듬물회 (45,000원), 세꼬시물회(중) (30,000원), 오징어물회 (35,000원), 멍게물회 (25,000원), 소라부침 (32,000원), 산오징어무침 (32,000원), 우럭회무침 (35,000원), 수제비대합탕 (25,000원), 회덮밥 (10,000원), 모듬튀김 (15,000원), 왕새우튀김 (12,000원), 우럭정식(중) (50,000원), 우럭세꼬시 (40,000원), 아나고세꼬시 (30,000원), 가리비찜 (25,000원), 산오징어통찜 (25,000원)"
대박곱창 본점,4.3,196,"서울 양천구 오목로 170 태남프라자 1층
(지번) 신정동 949-3",02-2601-8892,"야채곱창(2인이상) (13,000원), 무뼈닭발(2인이상) (14,000원), 알곱창(2인이상) (14,000원), 순대볶음(2인이상) (13,000원), 오돌뼈볶음(2인이상) (13,000원), 막창소금구이(2인이상) (14,000원), 막창양념구이(2인이상) (15,000원)"
삿뽀로 목동점,3.2,81,"서울 양천구 목동동로 189 삼성쉐르빌1 지하1층 102호
(지번) 신정동 318-10",02-2644-3366,"런치 스페셜 C (37,000원), [디너] 모듬사시미 정식 (62,000원), 주말 가족특선 B (50,000원)"
일미락 본점,3.7,128,"서울 양천구 목동동로 226-15 1층
(지번) 목동 406-74",02-2642-9292,"통삼겹살 (160g) (19,000원), 통목살 (160g) (19,000원), 발효목살 (160g) (22,000원), 청국장 (9,000원), 산더덕구이 (14,000원), 발효가브리살 (24,000원), 고추장삼겹살(직화) (22,000원), 물갈비(양념) (22,000원), 쪽갈비(순한맛) (27,000원), 쪽갈비(매운맛) (27,000원), 칼비빔면 (10,000원), 물막국수 (10,000원), 된장술밥 (10,000원), 갱시기칼국수 (8,000원), 제철모둠쌈 (3,000원)"
락희안 목동점,4.0,70,"서울 양천구 오목로 330 2-3층
(지번) 목동 405-285",0507-1492-7579,"대파꿔바로우 (소) (28,000원), 전복돌판누룽지탕 (소) (43,000원), 평일 점심특선(2인 이상 주문가능) (16,900원), 전가복 (추천메뉴) (68,000원), 대게살유산슬 (소) (38,000원), 오향장육 (소) (29,000원), 크림새우 (소) (36,000원), 팔색양장피 (소) (32,000원), 연근깐풍기 (소) (29,000원), 마파두부 (20,000원), 팔보채 (소) (38,000원), 옛날짜장 (8,000원), 이가짬뽕 (11,000원), 이가탕면 (11,000원), 흑미새우볶음밥 (10,000원), 이가찐교자 7P (9,000원), 매운새우교자 7P (10,000원), 소고기찐교자 6P (10,000원)"
현경 목동점,2.6,146,"서울 양천구 오목로 312 제일빌딩 지하1층
(지번) 목동 405-276",02-2061-1877,"탕수육 + 짜장 2 (22,000원), 탕수육 + 짜장 1 + 짬뽕 1 (23,000원), 탕수육 + 짬뽕 2 (24,000원)"
스시경,4.1,96,"서울 양천구 목동중앙북로7가길 10 정목빌딩 1층 106호
(지번) 목동 609-22",02-2062-0677,"연어덮밥 (18,000원), 특모듬초밥 (18,000원), 광어회+연어회 (45,000원), 스폐셜초밥 (32,000원), 모듬초밥 (15,000원), 참다랑어회 (52,000원)"
양천옥설렁탕,4.2,106,"서울 양천구 등촌로 86
(지번) 목동 730-2",02-2654-7788,"설렁탕 (11,000원), 우거지 선지해장국 (10,000원), 떡국 설렁탕 (10,000원), 특설렁탕 (14,000원), 왕갈비탕 (16,000원), 꼬리곰탕 (21,000원), 만두설렁탕 (12,000원), 진짜무릎도가니탕 (17,000원), 우족탕 (17,000원), 낙지갈비탕 (19,000원), 전복갈비탕 (20,000원), 물/비빔 막국수 (9,000원), 회막국수 (10,000원)"
항아리보쌈,4.3,25,"서울 양천구 신목로 48 1층
(지번) 신정동 296-69",02-2696-0053,"굴보쌈 (소) (35,000원), 커플세트 (2인) (39,000원), 보쌈 (소) (28,000원), 회보쌈 (소) (35,000원), 막국수 (소) (8,000원), 쟁반국수 (소) (8,000원), 해물파전 (12,000원)"
유메시,3.5,985,"서울 양천구 목동중앙북로7가길 4 정목빌딩2 1층 1호
(지번) 목동 609-20",02-6012-3131,"제철모듬숙성회 (45,000원)"
중화요리온,2.6,37,"서울 양천구 공항대로 630 1층
(지번) 목동 514-18",02-2645-0688,"자장면 (6,000원), 짬뽕 (7,000원), 깐쇼중새우 (소) (28,000원), 통전복 전가복 (소) (50,000원), 잡채밥 (8,000원), 탕수육-소 (18,000원), 온짬뽕 (9,500원), 온짜장 (8,000원), 중국식냉면 (12,000원), 자연송이관자 (45,000원), 삼선해물볶음밥 (9,000원)"
엉털네꼼장어,4.1,67,"서울 양천구 등촌로 34 1층
(지번) 목동 792-3",02-2643-0244,"꼼장어 1인분 (16,000원), 닭발 1인분 (16,000원), 쭈꾸미 1인분 (16,000원), 열무국수 (6,000원), 잔치국수 (5,000원), 계란찜 (5,000원), 냉열무면 (7,000원), 날치알주먹밥 (3,000원)"
임꺽정부대찌개 오목본점,4.3,85,"서울 양천구 목동동로12길 27 1층
(지번) 목동 405-178",0507-1341-8253,"임꺽정 부대찌개 스페셜 정식 (16,000원), 임꺽정 부대찌개[시그니처] (12,000원), 오리지널 부대찌개 (9,000원), 수제경양식돈가스 (9,000원), 돼지 두루치기 (김치찌개) (9,000원)"
스타벅스 신정DT점,3.0,51,"서울 양천구 신월로 341
(지번) 신정동 981-15",1522-3232,"아이스 슈크림 라떼 (6,500원), 슈크림 라떼 (6,500원), 스타벅스 딸기 라떼 (6,500원), 슈크림 쿠키 망고 라떼 (6,500원), 오늘의 커피 (4,500원), 카푸치노 (5,200원), 카페 라떼 (5,200원), 카페 모카 (5,700원), 카페 아메리카노 (4,700원), 카라멜 마키아또 (6,100원), 화이트 초콜릿 모카 (6,100원), 스타벅스 돌체 라떼 (6,100원), 자바 칩 프라푸치노 (6,500원), 망고 바나나 블렌디드 (6,600원), 아이스 자몽 허니 블랙 티 (5,900원), 자몽 허니 블랙 티 (5,900원), 콜드 브루 (5,100원), 디카페인 카페 아메리카노 (5,000원), 디카페인 카페 라떼 (5,500원), 제주 말차 라떼 (6,100원), 돌체 콜드 브루 (6,000원)"
둥근바다,4.2,28,"서울 양천구 신목로 70 1층
(지번) 신정동 89-48",02-2646-0808,"광어 (30,000원), 우럭 (30,000원), 생연어 (30,000원), 참숭어 (30,000원)"
박가네들깨칼국수 목동본점,4.2,38,"서울 양천구 신목로12길 7
(지번) 신정동 117-20",02-2649-2333,"들깨칼국수 (10,000원), 들깨수제비 (10,000원), 바지락칼국수 (9,000원), 들깨칼제비 (20,000원), 얼큰수제비 (9,000원), 팥칼국수 (10,000원), 보리비빔밥 (8,000원), 팥옹심이 (11,000원), 콩국수 (10,000원), 만두 (9,000원), 전병 (11,000원)"
스타벅스 목동8단지점,3.8,23,"서울 양천구 목동서로 299
(지번) 신정동 319-23",1522-3232,"아이스 슈크림 라떼 (6,500원), 슈크림 라떼 (6,500원), 스타벅스 딸기 라떼 (6,500원), 슈크림 쿠키 망고 라떼 (6,500원), 오늘의 커피 (4,500원), 카푸치노 (5,200원), 카페 라떼 (5,200원), 카페 모카 (5,700원), 카페 아메리카노 (4,700원), 카라멜 마키아또 (6,100원), 화이트 초콜릿 모카 (6,100원), 스타벅스 돌체 라떼 (6,100원), 자바 칩 프라푸치노 (6,500원), 망고 바나나 블렌디드 (6,600원), 아이스 자몽 허니 블랙 티 (5,900원), 자몽 허니 블랙 티 (5,900원), 콜드 브루 (5,100원), 디카페인 카페 아메리카노 (5,000원), 디카페인 카페 라떼 (5,500원), 제주 말차 라떼 (6,100원), 돌체 콜드 브루 (6,000원)"
커피별녹색잔,4.6,183,"서울 양천구 목동로21길 26
(지번) 신정동 988-14",02-2696-3337,"에스프레소 (4,000원), 아메리카노 (4,000원), 카푸치노 (4,500원), 카페라떼 (4,500원), 카페모카 (5,500원), 더치 과테말라 (5,000원), 자몽에이드 (5,500원), 딸기스무디 (6,000원), 플레인 와플 (9,000원), 아이스크림 와플 (14,000원), 우유팥빙수 (11,500원), 녹차라떼빙수 (12,500원), 과일빙수 (12,500원), 바닐라라떼 (5,000원), 카라멜라떼 (5,000원), 아포카토 (5,500원), 더치 예가체프 (5,000원), 더치 캐냐 (5,500원), 더치라떼 (5,500원), 고구마라떼 (5,000원), 아몬드비엔나커피 (6,000원), 초코소금쿠키 (4,000원)"
금강호민물장어 신월본점,4.0,38,"서울 양천구 남부순환로 431
(지번) 신월동 223-1",02-2602-0592,"소금구이(2인분) (79,000원), 양념구이(2인분) (79,000원), 냉면 (6,000원)"
히노야마,,321,"서울 양천구 목동서로 349 센트럴프라자 119호
(지번) 신정동 321-7",02-2650-8667,"붓가케우동정식 (16,900원), 붓가케우동 (11,900원), 자루우동 (11,900원), 에비나베정식 (16,900원), 사누끼우동 (19,000원), 수제돈까스 (11,900원), 납작우동한상 (18,000원)"
스타벅스 목동점,3.6,12,"서울 양천구 목동서로 67 우성에펠타운 1층
(지번) 목동 907-4",1522-3232,"아이스 슈크림 라떼 (6,500원), 슈크림 라떼 (6,500원), 스타벅스 딸기 라떼 (6,500원), 슈크림 쿠키 망고 라떼 (6,500원), 오늘의 커피 (4,500원), 카푸치노 (5,200원), 카페 라떼 (5,200원), 카페 모카 (5,700원), 카페 아메리카노 (4,700원), 카라멜 마키아또 (6,100원), 화이트 초콜릿 모카 (6,100원), 스타벅스 돌체 라떼 (6,100원), 자바 칩 프라푸치노 (6,500원), 망고 바나나 블렌디드 (6,600원), 아이스 자몽 허니 블랙 티 (5,900원), 자몽 허니 블랙 티 (5,900원), 콜드 브루 (5,100원), 디카페인 카페 아메리카노 (5,000원), 디카페인 카페 라떼 (5,500원), 제주 말차 라떼 (6,100원), 돌체 콜드 브루 (6,000원)"
크리스피크림도넛 오목교점,4.6,33,"서울 양천구 오목로 300 하이페리온2차 206동 1층 104, 105호
(지번) 목동 961",02-2652-1937,"오리지널 더즌 (17,000원), 어쏘티드 더즌 (18,000원), 오리지널 하프더즌 (10,800원), 쉐어링 딥러브 하프더즌 (14,900원), 글레이즈드 초콜릿 케익 (1,900원), 오리지널 글레이즈드 (1,800원), 프리미엄 스트로베리 필드 (2,200원), 스트로베리 스무디 （M） (5,500원), 아메리카노 HOT(M) (4,200원), 아메리카노 ICE(XL) (5,700원), 쉐어링 딥러브 더즌 (22,900원), 딥스윗 러브 (3,400원), 큐트핑크 러브 (3,400원), 트루그린 러브 (2,800원), 퓨어화이트 러브 (2,800원), 스트로베리 주스 (5,500원), 크런치 쿠키 베리 스무디 (6,000원), 커플 세트 (17,300원), 글레이즈드 사워크림 (1,900원), 뉴욕 치즈케익 (2,200원), 로투스 비스코프 (2,200원), 메이플 링 (1,900원), 슈가 코티드 (1,700원), 우유크림 듬뿍 (2,200원), 초코우유 크림듬뿍 (2,200원), 초코홀릭 (1,900원), 초콜릿 아이스드 글레이즈드 (1,900원), 망고 스무디 （M） (5,500원), 살구자두 스무디 （M） (5,500원), 메론 스무디 （M） (5,500원)"
등촌샤브칼국수 신월점,3.5,67,"서울 양천구 화곡로 100
(지번) 신월동 64-2",02-2602-5515,"버섯매운탕칼국수(2인이상) (11,000원), 소고기샤브 (등심 1인분) (11,000원), 쭈꾸미샤브 (15,000원), 낙지샤브 (25,000원), 바지락칼국수 (10,000원), 해물파전 (18,000원), 김치전 (10,000원), 찐만두 (8,000원), 물만두 (8,000원), 돈까스 (10,000원), 판모밀(여름메뉴) (10,000원), 냉모밀(여름메뉴) (10,000원), 비빔모밀(여름메뉴) (10,000원)"
미러볼밥술상,4.2,85,"서울 양천구 신월로 312-1 1층
(지번) 신정동 1028-25",0503-7150-0626,"미러볼 추천 삼합 (변동가격), 다양한 한국 전통주 (변동가격)"
