이름,평점,리뷰수,주소,전화번호,메뉴
대관원,3.6,175,"서울 영등포구 당산로37길 1 2층
(지번) 당산동4가 49",02-2068-8791,"삼선간짜장 (10,000원), 오향장우육 (35,000원), 게살삼슬 (37,000원), 삼선짬뽕탕 (18,000원), 탕수육 (S) (18,000원), 유린기 (32,000원)"
정인면옥 본점,3.6,963,"서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층
(지번) 여의도동 13-1",02-2683-2615,"한우아롱사태수육 (39,000원), 한우아롱사태수육 (반접시) (21,000원), 암퇘지 편육 (29,000원), 암퇘지편육 (반접시) (17,000원), 접시만두 (13,000원), 접시만두 (반접시) (7,000원), 녹두 전 (13,000원), 한우불고기 (1인분) (35,000원), 평양냉면 (14,000원), 순면 (16,000원), 만두국 (14,000원), 떡만두국 (14,000원), 한우육개장 (14,000원), 어복쟁반 (75,000원)"
또순이네,3.3,"1,403","서울 영등포구 선유로47길 16 1층
(지번) 양평동4가 81",02-2672-2255,"된장찌개 (7,000원), 토시살(1인분) (33,000원), 등심(1인분) (33,000원), 생등심(1인분) (38,000원)"
송죽장,2.6,"1,017","서울 영등포구 문래로 203 1층
(지번) 영등포동4가 98-12",02-2678-1323,"양장피 (35,000원), 팔보채 (43,000원), 탕수육(소) (19,000원), 새우튀김 (43,000원), 깐소새우 (43,000원), 볶음밥 (9,000원), 삼선짜장 (10,500원), 삼선짬뽕 (12,000원), 고추짬뽕 (10,000원), 고추삼선짬뽕 (13,000원), 고추쟁반짜장(2인) (17,000원), 유슬쟁반짜장(2인) (17,000원), 기스면 (910,000원), 간짜장 (9,000원), 군만두 (8,000원), 고추짬뽕밥 (10,500원), 삼선볶음밥 (11,000원), 새우볶음밥 (11,000원), 잡채밥 (11,000원), 송이밥 (11,000원), 마파두부밥 (13,000원), 냉면 (11,000원), 유산슬 (43,000원), 해삼탕 (80,000원), 해삼쥬스 (90,000원), 샥스핀 (70,000원), 전가복 (78,000원), 산라탕 (25,000원), 깐풍새우 (43,000원), 크림새우 (13,000원), 계란탕 (23,300원), 간풍가지(소) (19,000원), 가지튀김(소) (19,000원), 라조육 (33,000원), 난자완스 (33,000원), 고추잡채 (35,000원), 해물누룽지탕 (50,000원), 마파두부 (24,000원), 깐풍기 (33,000원), 유린기 (35,000원), 해파리냉채 (35,000원), 2가지 냉채 (42,000원), 짜장 (8,000원), 우동 (9,000원), 짬뽕 (9,000원), 삼선우동 (12,000원), 삼선울면 (12,000원), 굴짬뽕 (11,000원), 삼선짬뽕밥 (12,500원), 가지덮밥 (13,000원), 잡탕밥 (17,000원)"
부일숯불갈비,4.5,840,"서울 영등포구 영중로6길 23-8 1층
(지번) 영등포동3가 23-11",02-2636-9462,"돼지갈비,국내산 (300g) (18,000원), 삼겹살,국내산 (200g) (17,000원), 차돌된장뚝배기 (8,000원)"
삼거리먼지막순대국,4.1,264,"서울 영등포구 시흥대로185길 11 1층
(지번) 대림동 963-9",02-848-2469,"순대국 (보통) (7,000원), 순대국 (따로) (8,000원), 순대국 (특) (9,000원), 술국 (9,000원), 안주 (소) (10,000원)"
코끼리베이글,3.4,"1,475","서울 영등포구 선유로 176 수화공단 1층 60호
(지번) 양평동3가 69",070-4184-0082,"스테이크 샌드위치 (8,300원), 햄치즈 샌드위치 (6,800원), 애플베리콜포트 샌드위치 (6,800원), 아메리카노 (3,900원), 라떼 (4,500원), 카모마일 (6,200원), 애플주스 (5,300원), 산펠레그리노 (5,500원), 무화과콩포트(FigCompite) (8,500원), 햄치즈 베이글 샌드위치 (7,900원), 연어 베이글 샌드위치 (7,900원), 하몽 베이글 샌드위치 (7,900원)"
진주집,3.9,"3,653","서울 영등포구 국제금융로6길 33 지하1층 5,6,7,27,28호
(지번) 여의도동 36-2",02-780-6108,"냉콩국수 (15,000원), 닭칼국수 (12,000원), 비빔국수 (12,000원), 접시만두 (12,000원), 육개장칼국수 (12,000원)"
강강술래 당산점,3.1,222,"서울 영등포구 선유로 251
(지번) 양평동4가 35",02-2677-9233,"한우육회 (29,000원), 한우 스페셜 (53,000원), 한우 생등심 (43,000원), 한우 모듬구이 (37,000원), 강강양념구이 (33,000원)"
승남집,4.5,500,"서울 영등포구 영중로4길 9-4 1-2층
(지번) 영등포동3가 21-3",070-4086-0905,"우삼겹 (180g) (17,000원), 생삼겹살 (180g) (17,000원), 와규꽃살 (150g) (31,000원), 물냉면 (6,000원), 비빔냉면 (6,000원)"
