이름,평점,리뷰수,주소,전화번호,메뉴
명동교자 이태원점,3.9,88,"서울 용산구 녹사평대로 136
(지번) 이태원동 34-149",02-790-7300,"칼국수(포장불가능) (11,000원), 만두(포장가능) (12,000원), 비빔국수(포장불가능) (11,000원), 콩국수(포장불가능) (12,000원)"
기와,3.3,73,"서울 용산구 한강대로21나길 40
(지번) 한강로3가 40-946",02-710-7777,"갈비찜 (38,000원), 떡갈비 (30,000원), 보리굴비 (35,000원), 보쌈 (30,000원), 어탕수 (22,000원)"
동아냉면,2.9,66,"서울 용산구 우사단로 5
(지번) 보광동 265-576",02-796-2796,"만두 (7,000원), 물냉면 (대) (10,000원), 물냉면 (소) (8,000원), 비빔냉면 (대) (10,000원), 비빔냉면 (소) (8,000원)"
동빙고,3.9,309,"서울 용산구 이촌로 319
(지번) 이촌동 301-162",02-794-7171,"단팥죽 (7,500원), 팥빙수 (8,500원), 미숫가루팥빙수 (9,000원), 녹차빙수 (9,000원), 커피빙수 (9,500원), 아메리카노 (4,000원), 아이스아메리카노 (4,500원), 수정과 (6,500원), 로얄밀크티빙수 (9,500원), 유자빙수 (9,000원), 딸기빙수 (9,000원), 백설빙수 (9,000원)"
다운타우너 한남,4.2,425,"서울 용산구 대사관로5길 12 1층
(지번) 한남동 684-77",070-8806-3696,"생 바질 모짜렐라 버거 (12,400원), 갈릭버터 프라이즈 (6,800원), 다운타우너 버거 (10,300원), 아보카도 버거 (12,600원), 스파이시 풀드포크 버거 (12,400원), 베이코닉 버거 (13,800원), 트러플 포테이토 버거 (12,400원), 슈림프 디럭스 버거 (11,800원), 크리스피 치킨 버거 (10,900원), 클래식 치즈 버거 (7,700원), 칠리 토마토 쉐이커 (5,800원), 트러플 쉐이커 (5,800원), 파마산 치즈 쉐이커 (5,800원), 오리지널 치킨텐더 (7,800원), 제너럴쏘 치킨텐더 (7,800원), 오리지널 프라이즈 (4,800원), 치즈버거 프라이즈 (8,800원), 고구마 프라이즈 (6,800원), 치즈 프라이즈 (5,800원), 점보 모짜스틱 1조각 (3,800원)"
일미집,3.5,406,"서울 용산구 후암로 1-1 1층
(지번) 후암동 194-3",02-776-0670,"감자탕 (소) (21,000원), 감자탕 (중) (28,000원), 감자탕 (대) (35,000원), 감자탕 백반 (9,000원), 볶음밥 (2,000원)"
창성옥 용문본점,3.6,200,"서울 용산구 새창로 124-10
(지번) 용문동 25-16",02-718-2878,"해장국 (10,000원), 뼈전골 (중) (29,000원)"
한남동한방통닭,4.0,597,"서울 용산구 대사관로34길 12 1층
(지번) 한남동 632-4",02-797-8677,"한방통닭 (21,000원), 바베큐양념구이 (23,000원), 바베큐모듬구이 (27,000원), 닭모래주머니 (13,000원), 한치 (11,000원), 노가리 (11,000원)"
패션5 한남점,3.0,151,"서울 용산구 이태원로 272 SPC빌딩 1층
(지번) 한남동 729-74",02-2071-9505,"딸기 일등롤 (31,000원), 라즈베리N딸기 베린느 (7,700원), 단매단매 소시지 핫도그 (4,900원), 에그 고로케 (4,600원), 오! 파이 선물세트 （9EA） (18,000원), 햄치즈 라미장 바게뜨 샌드위치 (13,900원), 2가지맛 믹스 샌드위치 (9,900원), 카프레제 포카차 샌드위치 (15,900원), 베이컨N포르치니 크림 파스타 (15,900원), 홍게살N꽃맛살 로제 파스타 (16,900원), 럽럽 봉봉 세트 (12구) (47,000원), 럽럽 봉봉 세트 (8구) (32,000원), 럽럽 봉봉 세트 (4구) (17,000원), 달콤 로쉐 초콜릿 세트 (17,000원), 클래식 버터 스콘 (4,600원), 크랜베리 다즐링 스콘 (4,600원), 화이트초콜릿 무화과 스콘 (4,600원), 눈에 띄네, 로열 아이싱 스콘 (5,600원), 쇼콜라 프랑브아즈 바통 피낭시에 (4,100원), 코코넛 바통 피낭시에 (4,100원), 플로랑땡 바통 피낭시에 (4,100원), 두바이st 스콘 (7,600원), 바닐라 까눌레 (4,900원), 딸기 까눌레 (4,900원), 두바이st 까눌레 (5,900원), 라이트 바스크 치케 (8,900원), 오 파이 (7,500원), 갈릭 와자작 (5,900원), 에클레어 세트（5EA） (42,000원), 마카롱 세트（6EA） (25,000원)"
더백푸드트럭 해방촌점,2.9,292,"서울 용산구 신흥로20길 45-1 1,2층
(지번) 후암동 406-55",02-777-3338,"멕시칸 버거 (14,800원), 아메리칸 더블 치즈버거 (12,800원), 아메리칸 치즈 버거 (9,500원), 베이컨 치즈 버거 (10,800원), 칠리 치즈 프라이즈 (13,900원), 치킨봉 & 치킨윙 프라이즈 (16,900원), 더백 버거 (10,800원), the100샐러드 (10,900원), BLT 샌드위치 (9,800원), 쿠반 샌드위치 (8,500원), 더블치킨버거 (10,800원), 모짜렐라 치즈버거 (10,800원), 고구마튀김&윙프라이즈 (16,900원), 감자튀김 200g (4,500원), 악마의 베이컨 （살사） (6,900원), 악마의 베이컨 （누텔라） (6,900원), 멕시칸 그릴콘 (5,000원), 폴드포크 나쵸 (15,900원), 어니언링 (12,900원), 트러플오일 프렌치프라이 (13,900원), 더백 한우패티（180g） (6,000원), 토시패티（140g） (5,000원), 더백수제베이컨（두꺼운 1장) (4,000원), 더백수제햄（2장） (4,000원), 생 아보카도 (4,000원), 과콰몰리 (6,000원), 코우슬로 (3,000원), 구운 생파인애플 (2,500원), 해쉬브라운 (2,000원), 어니언링（2ea） (2,000원)"
쥬에,4.2,347,"서울 용산구 독서당로 124-7 지하1층,1,2층
(지번) 한남동 3-1",02-798-9700,"남작코스 (108,000원), 백작 코스 (178,000원), 바삭한 돼지 바비큐 (60,000원), 싱가폴식 칠리새우 (68,000원), 북경오리 한마리 (150,000원)"
맥심플랜트,4.3,463,"서울 용산구 이태원로 250 지하1-2층, 1-3층
(지번) 한남동 683-140",070-4287-8557,"에스프레소 (4,900원), 아메리카노 (5,300원), 카페라떼 (5,900원), 카푸치노 (5,900원), 바닐라라떼 (6,400원), 콜드브루 (5,900원), 자몽 에이드 (6,900원), 레몬에이드 (6,900원), 히비스커스 베리 에이드 (6,400원), 핫초코 (6,900원), 아이스초코 (6,900원), 밀크티 (6,400원), 홍차 (5,700원), 녹차 (5,700원), 루이보스 (5,700원), 레몬티 (5,700원), 자몽티 (5,700원), 히비스커스 베리 (5,700원), 플랫화이트 (5,900원), 카라멜 마끼아또 (6,400원)"
챔프커피 2작업실,3.8,41,"서울 용산구 녹사평대로26가길 24 1층
(지번) 이태원동 79-44",02-790-4516,"챔프커피 (5,000원), 퀸즈커피 (5,800원), 챔프 카카오 (HOT) (6,300원), 챔프 초코쿠키 (3,500원), 코르타도 (5,000원), 카페라떼 (5,500원), 카푸치노 (5,000원), 을지로커피 (5,800원), 트리플모카 (5,800원), 리스트레토 (4,500원), 에스프레소 (4,500원), 아메리카노 (4,500원), 필터커피 (6,000원), 무주반딧불사과주스 (6,300원), 스퀴즈드 레몬 (6,300원), 삼다꿀배티 (6,300원), 탠지레몬티 (6,300원), 챔프 크랜베리쿠키 (3,500원), 챔프 바 (5,500원)"
바스버거 후암점,4.0,194,"서울 용산구 한강대로104길 32 2층
(지번) 동자동 23-30",02-318-6649,"하와이안버거 (9,800원), 더블 바스버거 (11,300원), 치즈버거 (6,700원), 바스버거 (7,800원), 핫치킨 디럭스 (8,500원), 와사비마요 쉬림프버거 (10,900원), 더블베이컨치즈버거 (11,300원), 머쉬룸버거 (11,300원), 탐욕버거 (14,000원), 트리플 바스버거 (14,800원)"
