이름,평점,리뷰수,주소,전화번호,메뉴
삼청동수제비,3.1,"1,495","서울 종로구 삼청로 101-1 1층
(지번) 삼청동 102-2",02-735-2965,"수제비 (9,000원), 찹쌀새알옹심이 (13,000원), 감자전 (11,000원), 파전 (16,000원), 녹두전 (16,000원), 쭈꾸미 (22,000원), 동동주 (4,000원)"
오죽이네,4.2,858,"서울 종로구 돈화문로11가길 25
(지번) 익선동 156",02-741-8874,"닭매운탕 (소) (28,000원), 옻매운탕 (50,000원), 쭈꾸미,쭈심겹 (중) (36,000원), 쭈꾸미, 쭈삼겹 (대) (40,000원), 닭매운탕(중) (37,000원), 닭매운탕(대) (45,000원)"
어니언 안국,3.5,857,"서울 종로구 계동길 5
(지번) 계동 146-1",070-7543-2123,"에스프레소(Espresso) (5,000원), 아메리카노(Americano) (5,500원), 카페라떼(Cafe latte) (6,000원), 카푸치노(Cappuccino) (6,000원), 플랫화이트(Flatwhite) (6,000원), 바닐라라떼(Vanilla latte) (7,000원), 이 초콜릿 라떼는 최고라고 자부한다. (7,000원), 슬리핑 뷰티 티 (6,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니처 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원)"
대성집,4.1,486,"서울 종로구 사직로 5 1층
(지번) 행촌동 209-35",02-735-4259,"도가니탕 (13,000원), 도가니탕 (특) (17,000원), 수육 (30,000원), 해장국 (7,000원)"
산모퉁이,3.0,233,"서울 종로구 백석동길 153
(지번) 부암동 97-5",02-391-4737,"에스프레소 (7,000원), 아메리카노 (7,000원), 카페라떼 (8,000원), 카푸치노 (8,000원), 바닐라라떼 (8,000원), 카라멜 마끼아또 (8,000원), 발로나카페모카 (8,000원), 복숭아아이스티 (8,000원), 로얄밀크티 (8,000원), 수제유자차 (8,000원), 수제모과차 (8,000원), 리얼레몬차 (8,000원), 초코라떼 (8,000원), 레몬에이드 (10,000원), 캐모마일 (8,000원), 페퍼민트 (8,000원), 루이보스 (8,000원), 얼그레이 (8,000원), 오페라 케이크 (7,000원), 산딸기 케이크 (7,000원), 초코칩쿠키 (7,000원), 아몬드쿠키 (7,000원), 마들렌 (7,000원), 클라우드 (9,000원), 호가든 (10,000원), 하이네켄 (10,000원)"
황생가칼국수,3.6,"1,149","서울 종로구 북촌로5길 78
(지번) 소격동 84",02-739-6334,"사골칼국수 (12,000원), 왕만두국 (12,000원), 왕만두 (12,000원), 콩국수 (15,000원), 버섯전골 (1인분) (20,000원), 모듬전 (중) (33,000원), 보쌈 (중) (38,000원), 수육 (중) (43,000원), 백수육 (중) (48,000원)"
핏제리아오,4.7,99,"서울 종로구 동숭길 86 2-3층
(지번) 동숭동 31-37",02-3673-5005,"마르게리따 부팔라 (19,900원), 스텔라 (29,900원), 랍스타 핏자 (55,900원), 연어 핏자[R] 세계 1위 핏자 (24,000원), 오'핏자 (21,500원), 콰트로 풍기 (19,900원), 콰트로 포르마지 (19,900원), 빠따떼 (17,900원), 마르게리따 (16,900원), 따루투피(트러플 비스마르크) (59,000원), 나폴리 오'핏자 (24,900원), 프로슈토 에 루꼴라 (23,900원), 은두야 (22,900원), 푸타네스카 (23,000원), 감베리 로제 크레마 (21,900원), 까르보나라 (20,900원), 알리오 올리오 (19,900원), 리코타 샐러드 (17,900원), 깔라마리 (17,900원)"
청진옥,3.3,431,"서울 종로구 종로3길 32
(지번) 청진동 183-1",02-735-1690,"해장국 (12,000원), 안주전골 (30,000원), 모듬전 (25,000원)"
이문설농탕,3.1,589,"서울 종로구 우정국로 38-13 1층
(지번) 견지동 88",02-733-6526,"설농탕 (14,000원), (특)설농탕 (17,000원), 도가니탕 (17,000원), (특)도가니탕 (20,000원), 머리탕 (16,000원), (특)머리탕 (19,000원), 수육 (44,000원), 도가니 안주 (44,000원), 소머리 안주 (46,000원), 혀 밑 (46,000원), 마나 (16,000원), 수육무침 (33,000원), 소주/맥주 (5,000원)"
화목순대국 광화문1호점,3.9,184,"서울 종로구 새문안로5길 11 1층
(지번) 당주동 40",02-723-8313,"순순대탕 (10,000원), 순대국 (10,000원), 내장탕 (10,000원), 모듬 (32,000원), 술국 (22,000원), 머리고기 (28,000원), 내장접시 (28,000원), 순대 (대) (26,000원), 순대 (소) (13,000원), 막걸리 (4,000원), 소주 (5,000원), 맥주 (6,000원), 음료수 (2,000원)"
도마 인사점,4.1,345,"서울 종로구 인사동8길 6-1
(지번) 관훈동 15-1",02-733-9376,"이베리코 돼지목살 숯불구이 정식(솥밥) (26,000원), 육회비빔밥정식 (18,000원), 정선 곤드레 연근 양양 솥밥 정식 (21,000원), 갈비 솥밥 정식 (25,000원)"
깡통만두,3.9,"1,071","서울 종로구 북촌로2길 5-6 1층
(지번) 재동 84-22",02-794-4243,"칼만두 (11,000원), 반반 (48,000원), 모둠전 (30,000원), 비빔국수 세트 (18,000원), 온반 (12,000원), 손만둣국 (13,000원), 김치손만둣국(동절기) (14,000원), 찐만두 (11,000원), 국시(사골칼국수) (10,000원), 비빔국수 (12,000원), 조랑떡만둣국 (12,000원), 만두전골(대) (52,000원), 만두전골(중) (40,000원), 녹두지짐 (2장) (20,000원), 녹두지짐 (1장) (10,000원), 육전 (30,000원), 생선전 (21,000원)"
반쥴,4.3,122,"서울 종로구 삼일대로17길 23 3~5층
(지번) 관철동 12-16",02-735-5437,"아메리카노 (5,000원), 홍차 & 허브차 (8,000원), 밀크티 (10,000원), 비엔나커피 (6,500원), 홍초시리즈 (8,000원), 기네스드레프트 (12,000원), 에스프레소 (4,500원), 밤꿀 아메리카노 (6,000원), 생강커피 (6,500원), 바닐라라떼 (6,000원), 클로브시나몬라떼 (6,500원), 화이트비엔나커피 (6,500원), 크림로얄프레소 (7,000원), 아포가토 (6,500원), 깔라만시쥬스 (6,000원), 핫초코 (6,000원), 생강차 (6,000원), 애플쥬스 (6,000원), 레몬차 (6,000원), 분다버그 핑크 (7,000원)"
갓덴스시 종로점,3.6,346,"서울 종로구 종로12길 14 1층
(지번) 관철동 19-1",02-730-1477,"녹색접시 (1,500원), 빨강접시 (2,900원), 보라접시 (3,700원), 곤색접시 (4,700원), 은색접시 (5,700원), 금색접시 (6,900원), 체크접시 (8,000원), 소우동 (3,800원), 엑스라지계란말이 (8,600원), 닭튀김 (5,300원), 오징어다리튀김 (5,000원), 모둠튀김 (12,600원), 아귀가라아게 (7,200원)"
부촌육회,4.2,34,"서울 종로구 종로 200-12 1층
(지번) 종로4가 165-11",02-2267-1831,"육회 (21,000원), 육회물회 (35,000원), 산낙지탕탕이 (16,000원), 육회낙지탕탕이 (35,000원), 육사시미 (35,000원), 육회비빔밥(보통) (10,000원), 육회비빔밥(특) (15,000원), 간,천엽 (17,000원)"
광화문 고기집,4.0,87,"서울 종로구 새문안로5가길 11
(지번) 내수동 4",02-722-9536,"삼겹본살 (200g) (15,000원), 목살 (160g) (15,000원), 등심덧살 (160g) (16,000원), 껍데기항정살 (160g) (16,000원), 삼겹오돌갈비 (160g) (16,000원)"
호호식당 대학로점,3.2,402,"서울 종로구 대학로9길 35 1층
(지번) 명륜4가 143",02-741-2384,"로스가츠정식 (14,000원), 생선가츠정식 (15,000원), 히레가츠정식 (16,000원), 가츠나베정식 (17,000원), 부타가쿠니정식 (16,000원), 이베리코스테이크정식 (20,000원), 스키야키정식 (17,000원), 오므라이스 (15,000원), 소고기규동 (12,000원), 사케동 (18,000원), 한우함박스테이크 (17,000원), 연어스테이크정식 (22,000원), 우나기동 (22,000원), 아보카도낫또동 (13,000원), 카이센동 (25,000원), 우니파스타 (22,000원), 명란파스타 (18,000원), 왕새우튀김우동 (13,000원), 붓카게우동 (14,000원), 사케이쿠라동 (23,000원)"
차알 광화문점,3.4,36,"서울 종로구 종로3길 17 3층 4호
(지번) 청진동 246",02-2251-8345,"청경채 마늘 볶음 (10,000원), 후라이드 두부 샐러드 (14,500원), 게살 스프 (11,000원), 베지 스윗 앤 사워 포크 (21,500원), 베리 스윗 앤 사워 포크 (22,500원)"
종로빈대떡 광화문점,3.2,96,"서울 종로구 세종대로23길 21
(지번) 당주동 15-7",02-737-1857,"고기빈대떡 (13,000원), 해물빈대떡 (13,000원), 굴빈대떡 (13,000원), 도토리묵 (17,000원), 야채 빈대떡 (12,000원), 굴파전 (19,000원), 굴국밥 (9,000원), 잔치국수 (6,000원)"
크리스탈제이드 광화문상하이팰리스점,3.8,124,"서울 종로구 율곡로2길 7 서머셋팰리스 1층 103호
(지번) 수송동 85",02-720-0133,"소롱포 샘플러 (10pcs) (20,000원), 북경오리 (반마리) (70,000원), 아몬드 레몬 크림새우 (47,000원), 흑후추 마늘 소고기 안심 (50,000원), 양주식 볶음밥 (16,000원), 청경채 볶음 (16,000원)"
은성,4.8,18,"서울 종로구 우정국로 45-23
(지번) 수송동 46-24",02-756-6343,"보리굴비정식 (29,000원), 간장게장정식 (30,000원), 은성정식A (28,000원), 은성정식B (35,000원), 은성정식C (55,000원)"
북촌도담,3.1,431,"서울 종로구 북촌로1길 9 1층
(지번) 안국동 133",,"소고기무국 (8,000원), 매운돼지갈비찜 (2인) (30,000원), 김치찜 (2인) (20,000원), 김치찜정식 (2인)(점심한정) (29,000원), 무국정식 (2인)(점심한정) (25,000원), 보쌈 (소) (28,000원), 도담2인세트 (42,000원), 도담3인세트 (62,000원), 도담4인세트 (90,000원), 도담임금님상 (120,000원), 낙지볶음 (26,000원), 백골뱅이소면 (20,000원), 바지락술국 (20,000원), 매운돼지갈비찜 (30,000원), 도담표제육볶음 (22,000원), 어묵탕 (20,000원), 두부 한 모 (5,000원), 대파전 (12,000원)"
스코프 서촌점,3.7,194,"서울 종로구 필운대로5가길 31
(지번) 누하동 90-2",070-7761-1739,"아메리카노(HOT) (4,300원), 카페라떼(HOT) (5,000원), 카푸치노 (5,000원), 플랫화이트(HOT) (5,000원), 바닐라빈라떼(HOT) (5,500원), 에스프레소 (4,300원), 얼그레이티(HOT) (4,000원), 잉글리쉬브랙퍼스트티(HOT) (4,000원), 레몬라임티(HOT) (4,500원), 애플시나몬티(HOT) (4,500원), 레몬에이드 (6,000원), 패션후르츠에이드 (6,000원), 초코라떼(HOT) (5,500원), 우유(HOT) (3,000원)"
광화문미진 본점,3.7,552,"서울 종로구 종로 19 르메이에르종로타운 1층 116-2,117호
(지번) 종로1가 24",02-732-1954,"냉메밀 (12,000원), 비빔메밀 (12,000원), 온메밀 (12,000원), 메밀전병 (7,000원), 보쌈정식 (12,000원), 파전 (17,000원), 김치전 (17,000원), 보쌈 (대) (40,000원), 보쌈 (중) (30,000원), 보쌈 (소) (20,000원), 수제돈까스 (12,000원), 메밀물막국수 (12,000원), 맛보기보쌈 (15,000원), 왕만두 (7,000원), 돌냄비우동 (11,000원), 떡만둣국 (11,000원), 콩국수(여름) (12,000원)"
동래복국 동대문점,3.1,115,"서울 종로구 종로 291
(지번) 창신동 695-1",02-741-4705,"낙지 한마리 아구찜 (38,000원), 낙지 한마리 복어찜 (43,000원), 낙지 한마리 해물찜 (34,900원), 낙지 한마리 새우 (29,900원), 복국 (1인) (12,000원)"
베이징코야 광화문점,3.2,89,"서울 종로구 율곡로2길 25 연합뉴스빌딩 지하1층
(지번) 수송동 110",02-313-5292,"북경오리구이 (L) (98,000원), 오리고기 마늘소스 볶음 (M) (35,000원), 오리고기 피망 야채볶음 (M) (35,000원), 짜장면 (9,500원), 삼선짬뽕 (11,000원), 오리고기 탕수육 (M) (35,000원), 매정식 (45,000원), 난정식 (56,000원), 국정식 (70,000원), 죽정신 (85,000원), 봉황정식 (130,000원), 공작정식 (160,000원), 특품 냉채 (중) (55,000원), 네가지 냉채 (중) (45,000원), 특 송이 상어지느러미 찜 (1인분) (100,000원), 북경식 상어 지느러미 볶음 (중) (55,000원), 게살 상어지느러미 스프 (1인분) (16,000원), 해물 야채 스프 (1인분) (15,000원), 해삼탕 (중) (160,000원), 해삼 전복 (중) (160,000원), 홍소 전복 (중) (130,000원), 왕새우 칠리소스 (1마리) (25,000원)"
마이클바이해비치 종로,3.2,94,"서울 종로구 우정국로 26 센트로폴리스 B타워 2층
(지번) 공평동 5-1",02-722-4300,"마이클코스 (95,000원), 비즈니스코스 (75,000원), 채끝 스테이크 200g striploin steak (65,000원), 양갈비 스테이크 200g lamb frenchrack steak (57,000원), 바비큐 폭립 550g barbecue pork ribs (48,000원), 그릴드 브란지노 150g grilled branzino (52,000원), 그릴드 치킨 500g grilled chicken (38,000원), 오리 콩피 200g duck confit (35,000원), 시저 샐러드 caesar salad (23,000원), 콥 샐러드 cobb salad (24,000원), 트러플 감자튀김 truffle fries (18,000원), 프렌치 어니언 스프 french onion soup (19,000원), 문어 & 감자 octopus & potato (26,000원), 트러플 스파게티 truffle spaghetti (31,000원), 우니 스파게티 uni spaghetti (33,000원), 미트 라자냐 meat lasagna (27,000원), 마이클 시그니쳐 버거 michael's signature burger (23,000원), 바나나 크렘 브륄레 banana crème brûlée (8,000원), 키 라임 파이 key lime pie (11,000원)"
스태픽스,3.3,965,"서울 종로구 사직로9길 22 1층 102호
(지번) 필운동 32-1",010-2243-2712,"에스프레소 (5,500원), 아메리카노 (6,000원), 카모마일 (8,500원), 루이보스 (8,500원), 카페라떼 (6,500원)"
미완성식탁,4.2,272,"서울 종로구 북촌로1길 30-11 지하 1층
(지번) 안국동 66-1",0507-1351-2713,"에스프레소 (4,500원), 아메리카노 (4,500원), 카페라테 (5,000원), 바닐라라테 (6,000원), 백호은침 (8,000원), 우엉뿌리차 (7,000원), 호지차 (7,000원), 사과주스 (7,000원)"
김진목삼 2호점,4.6,210,"서울 종로구 자하문로1가길 9 1층
(지번) 체부동 68",02-6497-2929,"통목살 (18,000원), 통항정 (20,000원), 통삼겹 (18,000원)"
동해어가,4.4,12,"서울 종로구 수표로 83
(지번) 관수동 154-1",02-2267-8871,"동해특정식 (25,000원), 민어탕 (25,000원), 물회 (15,000원), 초밥 (12,000원), 복매운탕(지리) (15,000원), 생대구탕 (14,000원), 도다리쑥국(봄철) (14,000원), 장어탕 (12,000원), 전복해물뚝배기 (12,000원), 회덮밥 (9,000원), 갈치조림(2인이상) (10,000원)"
한옥찻집,4.1,289,"서울 종로구 인사동12길 9
(지번) 관훈동 64",,"아메리카노 (6,000원), 카페라떼 (7,000원), 바닐라라떼 (7,000원), 딸기라떼 (8,500원), 쑥라떼 (8,000원), 제주감귤블랙 (8,000원), 밀키우롱밀크티 (8,000원), 대추차 (8,000원), 유자차 (7,000원), 모과차 (7,000원), 오미자차 (7,000원), 매실차 (7,000원), 도라지유자차 (8,000원), 곶감수정과 (9,000원), 진짜쌍화차 (10,000원), 생감차 (7,000원), 자몸차 (7,000원)"
한도,3.4,90,"서울 종로구 수표로18길 24 1층
(지번) 관수동 111",02-2279-8742,"한도 삼겹살 (170g) (16,000원), 한우 차돌박이 (110g) (17,000원)"
동대문허파집,3.2,271,"서울 종로구 종로17길 26 1층
(지번) 낙원동 213-3",,"곱창구이 (27,000원), 대창구이 (23,000원), 막창구이 (23,000원), 모듬구이 (45,000원), 염통/콩팥 (13,000원), 허파 (12,000원), 육사시미 (25,000원), 육회 (23,000원), 지라/간/천엽 (17,000원), 등골 (25,000원), 내장탕 (9,000원), 한우소머리국밥 (10,000원), 소고기무우국 (8,000원)"
서울집시,4.1,297,"서울 종로구 서순라길 107
(지번) 권농동 182-6",02-743-1212,자체 맥주 (변동가격)
