이름,평점,리뷰수,주소,전화번호,메뉴
명동교자 본점,3.5,"4,199","서울 중구 명동10길 29 1층
(지번) 명동2가 25-36",02-776-5348,"콩국수(포장불가능) (12,000원), 칼국수(포장불가능) (11,000원), 만두(포장가능) (12,000원), 비빔국수(포장불가능) (11,000원)"
평양면옥 본점,3.5,808,"서울 중구 장충단로 207 1층
(지번) 장충동1가 13",02-2267-7784,"편육 (35,000원), 제육 (34,000원), 편육반/제육반 (36,000원), 어복쟁반(중) (78,000원), 불고기 (37,000원), 냉면면 (15,000원), 비빔냉면 (15,000원), 만두국중국산 (15,000원), 접시만두 (15,000원), 온면 (15,000원)"
가메골손왕만두 남대문본점,4.1,584,"서울 중구 남대문시장4길 42 1층
(지번) 남창동 60-2",02-755-2569,"고기왕만두 (4개) (4,500원), 김치왕만두 (4개) (4,500원)"
우래옥 본점,4.1,306,"서울 중구 창경궁로 62-29 1-2층
(지번) 주교동 118-1",02-2265-0151,"소금구이 (1인분)(150g) (62,000원), 갈비탕 (18,000원), 평양냉면 (16,000원), 불고기 (1인분)(150g) (37,000원), 갈비 (1인분)(180g) (53,000원), 전통평양비빔냉면 (16,000원), 육회 (1인분)(150g) (58,000원), 육개장 (16,000원), 장국밥 (15,000원)"
목멱산방,3.3,654,"서울 중구 퇴계로20길 71 1층
(지번) 남산동2가 25-4",02-318-4790,"산방 비빔밥 (9,000원), 불고기 비빔밥 (12,000원), 육회 비빔밥 (14,000원), 곤드레 간장 비빔밥 (9,000원), 두부 된장 비빔밥 (9,000원), 닭가슴살 수란 간장 비빔밥 (12,000원), 산방 나물 비빔밥 (10,000원), 도토리묵 야채무침 (10,000원), 해산물 부추전 (10,000원), 초계무침 (12,000원), 검은깨두부와 보쌈 (14,000원), 비벼주 (2,500원), 소주 한잔 (4,000원), 청주 한잔 (5,000원), 단호박 식혜 (3,000원), 탄산음료 (2,500원), 치즈 김치전 (13,000원)"
란주칼면,3.7,"1,354","서울 중구 소공로 64 동남빌딩 1층
(지번) 충무로1가 25-9",,"삼선해물자장도삭면 (9,000원), 유슬볶음자장도삭면 (10,000원), 삼선해물짬뽕도삭면 (10,000원), 해물볶음도삭면 (11,000원), 마라탕도삭면 (12,000원), 마라해물볶음도삭면 (12,000원), 사천유슬부추도사면 (12,000원), 쯔란양고기도삭면 (13,000원), 육개장도삭면 (10,000원), 해선도삭면 (10,000원), 사천유슬부추덮밥 (12,000원), 마라해물덮밥 (12,000원), 새우볶음밥 (9,000원), 사천탕수육 (27,000원), 사천탕수새우 (35,000원), 깐풍기 (30,000원), 마라샹궈 (33,000원), 쯔란마늘새우 (35,000원), 마라마늘라조기 (33,000원), 쯔란마늘양고기볶음 (35,000원)"
명동교자 분점,3.0,864,"서울 중구 명동10길 8
(지번) 명동2가 33-4",02-776-3424,"콩국수(포장불가능) (12,000원), 칼국수(포장불가능) (11,000원), 만두(포장가능) (12,000원), 비빔국수(포장불가능) (11,000원)"
필동면옥,3.7,"1,295","서울 중구 서애로 26 1-2층
(지번) 필동3가 1-5",02-2266-2611,"냉면 (15,000원), 비빔 (15,000원), 온면 (14,000원), 접시만두 (15,000원), 만두국 (14,000원), 제육 (30,000원), 수육 (32,000원)"
오장동흥남집 본점,3.6,373,"서울 중구 마른내로 114 1-2층
(지번) 오장동 101-7",02-2266-0735,"섞임냉면 (15,000원), 회비빔냉면 (15,000원), 고기비빔냉면 (15,000원), 물냉면 (15,000원), 온면 (15,000원), 면사리 (8,000원), 수육(200g) (30,000원), 회무침(중) (22,000원), 회무침(대) (30,000원)"
우정,3.2,"1,290","서울 중구 퇴계로76길 55 1층
(지번) 신당동 304-791",02-2233-0669,"2인 (17,000원), 3인 (20,000원), 4인 (26,000원), 해물떡볶이 (25,000원), 치즈떡볶이 (26,000원), 짜장떡볶이 (17,000원), 매운닭발 (9,000원), 순한닭발 (9,000원), 오뎅국물 (4,000원), 날치알밥 (5,000원), 주먹밥 (4,000원)"
디라이프 스타일키친 광화문점,3.8,424,"서울 중구 세종대로 136 서울파이낸스센터 지하1층 101A호
(지번) 태평로1가 84",02-6273-0100,"트러플 리코타 치즈 샐러드 (24,900원), 스테이크 콥 샐러드 (24,900원), 저탄고지 시저샐러드 (17,500원), 관자 감자퓨레 (33,400원), 매콤한 치즈스튜 (18,700원), 치즈크림in양송이구이 (24,500원), 새우 크럼블 파스타 (27,800원), 통명란 크림 파스타 (25,500원), 오리지널 까르보나라 (18,900원), 영덕 붉은 대게장과 알리오 올리오 (19,000원), 5가지 치즈 맛 떠먹는 피자 (29,800원), 해산물 빠에야 (26,200원), LCHF 해산물 빠에야 (29,200원), 감자퓨레 등심스테이크 (56,900원), 크림스피나치 안심 스테이크 (59,800원), 새우살 스테이크 (68,000원), 로얄 명란 김퓨레 비빔밥 (26,800원), 토마토 파스튜 (29,400원)"
은주정,3.2,486,"서울 중구 창경궁로8길 32
(지번) 주교동 43-23",02-2265-4669,"고기듬뿍~ 쌈싸먹는 김치찌개 세트 (48,000원), 고기듬뿍 김치찌개 (41,000원), 쌈싸먹는 김치찌개 (38,000원), (냉동)은주정 김치찜 700g 1팩 (13,000원), 골뱅이쫄면 밀키트 (12,900원), (바로 끓여먹는)한돈김치찌개 (31,000원), 새콤달콤 비빔쫄면 밀키트 (9,500원), 고추박이(오이고추) (9,000원), 씨앗쌈장 (5,000원), 고추장 진미채 (5,000원), 호두멸치볶음 (4,800원), 맛된장 (7,000원), 멜젓 (7,500원), 제로코카콜라 500mL (2,500원), 코카콜라 355mL (2,000원), 갈아만든배 355mL (2,000원), 환타파인 500mL (2,500원), 칠성사이다 500mL (2,500원), 참이슬 후레쉬 (4,000원), 처음처럼 (4,000원), 진로이즈백 (4,000원), 카스 (4,000원), 테라 (4,000원)"
광화문국밥 본점,4.0,244,"서울 중구 세종대로21길 53 1층
(지번) 정동 1-48",02-738-5688,"메밀온면(계절메뉴) (10,000원), 대구목뽈살조림(계절메뉴) (35,000원), 돼지국밥(보통) (10,000원), 돼지수육(소) (15,000원), 피순대 (17,000원), 가자미식해 (13,000원), 물/비빔 평양냉면 (14,000원), 소왕갈비찜 (58,000원), 한우스지찜 (35,000원), 매콤양무침 (22,000원), 술국 (18,000원), 술국 (특)막창 (25,000원), 저염명란오이무침 (12,000원)"
23번지 남산돈까스 본점,3.5,609,"서울 중구 소파로 23 1층
(지번) 남창동 203-15",02-777-1976,"돈까스 (12,000원), 반반까스 (13,000원), 치즈돈가스 (13,000원), 꽁치김치찌개 (8,000원), 순두부 (8,000원), 생선가스 (13,000원)"
마복림떡볶이,2.9,970,"서울 중구 다산로35길 5 1층
(지번) 신당동 292-112",02-2232-8930,"2인 세트 (17,000원), 3인 세트 (20,000원), 4인 세트 (27,000원)"
