이름,평점,리뷰수,주소,전화번호,메뉴
면동떡볶이,3.7,211,"서울 중랑구 면목로57길 33 1층
(지번) 면목동 552-4",,"쫄볶이 (1인분) (3,500원), 라쫄면 (1인분) (3,500원), 라볶이 (1인분) (3,500원), 떡볶이 (1인분) (3,000원), 라면 (3,000원)"
쿠우쿠우 골드상봉점,3.3,600,"서울 중랑구 망우로 316 이지펠리스 3층
(지번) 상봉동 101",02-433-6274,"평일점심 (25,900원), 평일저녁 (30,900원), 주말 및 공휴일 (34,900원), 초등학생(주말/공휴일) (17,900원), 어린이(만36개월 이상) (8,900원), 초등학생(평일런치) (15,900원), 초등학생(평일디너) (16,900원)"
이학갈비 면목점,3.4,76,"서울 중랑구 면목로 310 2층
(지번) 면목동 617-2",02-437-0170,"한우꽃등심(150g) (58,000원), 갈비꽃살(150g) (50,000원), 소왕양념갈비1대 (320g) (47,000원), 이학소갈비2대 (300g) (44,000원), 버섯생불고기(180g) (27,000원), 녹차돼지왕갈비 1대(300g) (22,000원), 한우육회(200g) 동절기메뉴 (32,000원), 영양돌솥밥 (18,000원), 영양갈비탕 (16,000원), 함흥냉면 (12,000원)"
어글리스토브 상봉점,3.7,298,"서울 중랑구 상봉로 131 듀오트리스 1층
(지번) 상봉동 501",02-433-8459,"어글리 리코타치즈 샐러드 (13,900원), 어글리 프렌치 토스트 (13,900원), 비프 필라프 (14,900원), 크랩 로제 파스타 (16,900원), 안창 & 치킨 스테이크 (24,900원)"
먹거리집,2.8,416,"서울 중랑구 면목로91길 8 1층
(지번) 상봉동 113-23",,"내장 (29,000원), 수육 (중) (24,000원), 고기모듬 (중) (24,000원), 오소리감투 (24,000원), 머리고기 (21,000원), 머리뽈살 (21,000원), 편육 (21,000원), 제육볶음 (안주류) (16,000원), 술국 (13,000원), 족발 (8,000원), 순대 (7,000원), 순대국 (9,000원), 북어해장국 (8,000원), 내장탕 (10,000원), 제육볶음 (식사류) (11,000원)"
이주소곱창,3.7,146,"서울 중랑구 봉우재로33길 34 1층
(지번) 상봉동 105-29",02-978-4723,"곱창구이 (25,000원), 양구이 (27,000원), 대창구이 (24,000원), 막창구이 (24,000원), 곱창전골 (중) (42,000원), 유창구이 (22,000원), 모듬구이 (47,000원), 간.천엽 (10,000원), 염통 (13,000원)"
까망통돼지,4.6,58,"서울 중랑구 면목로 488 2층
(지번) 상봉동 102-89",02-438-5730,"최고급 국내산(1+등급) 생오겹살 (170g) (15,000원), 최고급 한우 1++(투뿔) 차돌박이 (130g) (20,000원), 최고급 국내산(앞다리살) 통생고기 (170g) (11,000원)"
미락한정식,4.1,19,"서울 중랑구 봉우재로 27 1층
(지번) 면목동 182-112",02-494-3800,"생불고기 정식 (18,000원), 돼지양념구이 정식 (22,000원), 양념게장 정식 (20,000원), 보리굴비 (28,000원), 돌게장 정식 (가격정보 없음)"
홍어천국,4.4,35,"서울 중랑구 면목로 421 1층
(지번) 면목동 126-6",02-436-4757,"삼합 (39,000원), 홍어무침（묵은지） (35,000원), 홍어찜（묵은지） (35,000원), 홍어회（묵은지） (35,000원), 홍어애탕 (20,000원), 수육보쌈 세트 (39,000원), 공기밥 (1,000원), 수육추가 (15,000원), 홍어애 (10,000원), 파김치 1팩 (5,000원), 묵은지 1팩 (5,000원), 갓김치 1팩 (5,000원), 콜라 355mL (2,000원), 사이다 355mL (2,000원)"
황해칼국수,4.4,41,"서울 중랑구 숙선옹주로 3 1층
(지번) 묵동 163-1",02-974-8174,"칼국수 (9,000원), 칼제비 (9,000원), 비빔국수 (9,000원), 보리비빔밥 (8,000원), 만두국 (9,000원), 접시만두 (9,000원), 칼만두 (9,000원), 만두제비 (9,000원)"
