이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
새벽집 청담점,3.3,231,"서울 강남구 도산대로101길 6
(지번) 청담동 129-10",37.5255635894763,127.052868425711,02-546-5739,"꽃등심 (150g) (85,000원), 양념갈비 (260g) (85,000원), 생고기(150g) (85,000원), 불고기(200g) (42,000원), 샤브샤브(160g) (42,000원), 육회(200g) (42,000원), 국수전골 (32,000원), 간장게장 (28,000원), 한우 갈비탕 (28,000원), 육회비빔밥 (16,000원), 따로국밥 (11,000원), 콩나물 국밥 (11,000원), 멸치 김치찌개 (11,000원), 돼지 김치찌개 (11,000원), 조랭이 만두국 (11,000원)"
밍글스,4.2,216,"서울 강남구 도산대로67길 19 힐탑빌딩 2층
(지번) 청담동 94-6",37.5253702976666,127.044160043187,02-515-7306,"DINNER (350,000원), LUNCH (280,000원), 4잔 페어링 (170,000원), 우리 술 페어링 (170,000원), 시그니쳐 페어링 (280,000원)"
뽕나무쟁이 선릉본점,4.2,687,"서울 강남구 역삼로65길 31 1층
(지번) 대치동 896-5",37.5031995277517,127.052001164203,02-558-9279,"모둠족발 (중) (42,000원), 모둠족발 (대) (47,000원), 모둠족발 (특대) (65,000원), 뽕족발 (중) (40,000원), 뽕족발 (대) (45,000원), 뽕족발 (특대) (63,000원), 양념족발 (중) (40,000원), 양념족발 (대) (45,000원), 양념족발 (특대) (63,000원), 쟁반막국수 (13,000원), 참치김치찌개 (10,000원)"
을밀대 강남점,3.6,305,"서울 강남구 테헤란로4길 46 지하1층
(지번) 역삼동 826-37",37.4955481444177,127.03006467392,02-552-1922,"물냉면 (16,000원), 수육 (소) (50,000원), 녹두전 (1장) (13,500원), 홍어무침 (90,000원), 비빔냉면 (16,000원), 수육 (대) (100,000원), 회냉면 (20,000원), 한우 양지탕밥(동절기메뉴) (가격정보 없음), 한우 육개장(동절기메뉴) (가격정보 없음)"
평양면옥,3.2,176,"서울 강남구 논현로150길 6 1층
(지번) 논현동 66-2",37.518940804179,127.029156328901,02-549-5378,"제육 (34,000원), 제육반 (17,000원), 편육 (37,000원), 편육반 (19,000원), 냉면 (15,000원), 온면 (15,000원), 만두국 (15,000원), 비빔냉면 (15,000원), 접시만두 (15,000원), 접시만두반 (8,000원), 제육반 편육반 (36,000원), 불고기 (38,000원), 어복쟁반 大 (100,000원), 어복쟁반 小 (60,000원)"
신동궁감자탕뼈숯불구이 선릉직영점,3.7,"1,041","서울 강남구 선릉로86길 39 1층
(지번) 대치동 890-44",37.5041064509375,127.052878172597,02-558-7944,"뼈해장국 (10,000원), 묵은지김치찜 (10,000원), 낙지뚝배기 (10,000원), 뼈숯불구이 (소) (36,000원), 감자탕 (소) (32,000원)"
백마김씨네 도곡점,4.4,76,"서울 강남구 남부순환로 2743 지하1층,1-3층
(지번) 도곡동 180-1",37.4871558413809,127.045679138685,02-579-7113,"양념갈비 정식 (54,000원), 생갈비 정식 (65,000원), 한우 불고기 정식 (47,000원), 꽃등심 (78,000원), 생등심 (69,000원), 한우 안심 (83,000원), 눈꽃살 (82,000원), 안창살 (93,000원), 한우 육회 (49,000원), 생갈비 (65,000원), 양념갈비 (54,000원), 한우 불고기 (47,000원), 돼지갈비 (39,000원), 육회 탕탕이 (56,000원), 떡갈비정식 (런치) (48,000원), 떡갈비정식 (디너) (58,000원), 보리굴비 정식 (런치) (48,000원), 양념갈비 정식 (런치) (54,000원), 보리굴비 정식 (디너) (58,000원), 생갈비 정식 (런치) (65,000원), 한우 불고기 정식 (런치) (47,000원), 소고기 샤브 (런치) (48,000원), 소고기 버섯 샤브 (런치) (51,000원), 특 등심 샤브 (65,000원), 특 등심 버섯 샤브 (69,000원), 산 불낙지 전골 (52,000원), 황제 산 불낙지 전골 (60,000원), 한우 생등심 정식 (런치) (69,000원), 한우 모둠 정식 (런치) (78,000원)"
중앙해장,4.1,"1,600","서울 강남구 영동대로86길 17 육인빌딩 1층
(지번) 대치동 996-16",37.5082825127305,127.065480465852,02-558-7905,"한우양선지 해장국 (14,000원), 한우내장탕 (16,000원), 한우1++양지곰탕 (16,000원), 한우우족탕 (23,000원), 한우1++양지수육 (중) (47,000원), 곱창전골 (중) (67,000원)"
정돈 강남점,4.2,522,"서울 강남구 강남대로110길 19-1 1층
(지번) 역삼동 601-29",37.5039361170464,127.026439818637,,"A세트 (45,800원), B세트 (39,800원), 등심돈카츠 (16,000원), 안심돈카츠 (17,000원), 등심&안심돈카츠 (21,000원), 치킨카츠 (17,000원), 생선카츠 (17,000원), 스페셜 등심돈카츠 (21,000원), 새우 등심돈카츠 (27,000원), 새우 안심돈카츠 (28,000원), 치즈카츠(2P) (4,000원), 새우카츠(2P) (13,000원), 카츠산도 (10,000원), 카레 (6,000원), 치즈카레 (7,000원)"
뉴만두집,4.0,513,"서울 강남구 압구정로 338 1층
(지번) 신사동 661-1",37.5279245130015,127.038877956425,02-544-3710,"만두전골 (75,000원), 만두국 (15,000원), 빈대떡 (24,000원), 고추전 (24,000원), 비지 (12,000원)"
크라이치즈버거 삼성역점,4.4,428,"서울 강남구 테헤란로 620 미래에셋타워 지하1층
(지번) 대치동 996-1",37.5091979690111,127.065578760717,02-566-6244,"트리플치즈버거세트 (13,500원), 더블치즈세트 (10,900원), 치즈버거세트 (8,900원), 트리플치즈버거 (10,500원), 더블치즈버거 (7,900원), 치즈버거 (5,500원), 감자튀김 (2,500원), 치즈감자튀김 (4,500원), 밀크쉐이크 (5,000원), 더블치즈 버팔로윙 세트 (14,900원), 치즈버거 버팔로윙 세트 (12,500원), 뉴욕 버팔로윙_6PCS (9,900원), 뉴욕 버팔로윙_3PCS (5,500원), 음료수 (2,500원)"
교대이층집 강남역점,3.3,541,"서울 강남구 강남대로78길 14 2층
(지번) 역삼동 831-25",37.4948989334878,127.030554284573,02-562-7113,"2~3인 세트 (55,000원), 꽃삼겹 (150g) (17,000원), 통삼겹 (140g) (17,000원), 통목살 (160g) (17,000원), 항정살 (150g) (19,000원), 한우차돌박이 (150g) (29,000원), 한우채끝등심 (150g) (43,000원)"
양파이 강남점,3.8,322,"서울 강남구 강남대로94길 14
(지번) 역삼동 819-1",37.4992880521588,127.028572160531,,"프렌치 콤보 (58,000원), 프렌치 랙 (32,000원), 생 양갈비 (29,000원), 생 양등심 (29,000원), 클래식 양꼬치 (15,000원), 오리지널 양꼬치 (15,000원), 새우꼬치 (14,000원), 꿔바로우 (18,000원), 마파두부 (18,000원), 청량오이무침 (9,000원), 옥수수우육면 (9,000원), 가지요리 (18,000원), X.O 게살볶음밥 (11,000원), 꽃빵튀김과 연유 (9,000원)"
남도애찬,4.1,65,"서울 강남구 역삼로3길 8 1층
(지번) 역삼동 830-27",37.4941525483838,127.031883923791,0507-1329-1588,"한우육회비빔밥+차돌된장찌개 (17,000원), 영양돌솥밥+차돌된장찌개 (15,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 한우안창살 (74,000원), 한우살치살 (68,000원), 풍천장어(양념구이) (42,000원), 풍천장어(소금구이) (42,000원), 한우특등심 (58,000원), 갈비탕(돌솥밥변경시3,000원추가) (17,000원), 한우갈비살 (48,000원), 소양념갈비 (47,000원), 한우육회 (42,000원), 한우남도육전 (43,000원), 돼지갈비 (28,000원), 소갈비찜(센터컷 10대) (88,000원), 특갈비탕(돌솥밥변경시3,000원추가) (25,000원), 특장어탕(돌솥밥변경시3,000원추가) (21,000원), 장어탕(돌솥밥변경시3,000원추가) (17,000원), 매운갈비찜(돌솥밥변경시3,000원추가) (14,000원), 돼지갈비+돌솥밥+차돌된장(점심세트) (32,000원), 보리굴비+돌솥밥+차돌된장(점심세트) (32,000원), 한우불고기+돌솥밥+차돌된장(점심세트) (35,000원), 소양념갈비+돌솥밥+차돌된장(점심세트) (45,000원), 소갈비찜+돌솥밥+차돌된장(점심세트) (35,000원), 명품도시락 (32,000원), 한우불고기도시락 (27,000원), 영광보리굴비도시락 (27,000원), 남도도시락 (25,000원)"
아방궁,3.6,101,"서울 강남구 역삼로1길 18 2층
(지번) 역삼동 831-32",37.4944331830952,127.030631216226,02-568-0772,"강남짜장 (8,000원), 강남짬뽕 (9,500원), 짬뽕밥 (9,500원), 쟁반짜장(2인) (21,000원), 삼선볶음밥 (12,000원), 잡채밥 (11,000원), 간짜장 (9,500원)"
라미띠에,4.4,193,"서울 강남구 도산대로67길 30
(지번) 청담동 81-7",37.5259645335248,127.044573313571,02-546-9621,"Lunch (160,000원), Dinner (250,000원)"
파씨오네,4.6,283,"서울 강남구 언주로164길 39 2층
(지번) 신사동 646-23",37.5254584321276,127.036746588867,02-546-7719,"라비올리 (0원), 야채요리 (0원), 야채콘소메 (0원), 점심코스 (0원), 저녁코스 (0원), 셰프테이스팅 (0원)"
농민백암순대 강남직영점,4.6,739,"서울 강남구 역삼로3길 20-4 1층
(지번) 역삼동 830-9",37.4949182390409,127.031492194164,02-501-2772,"국밥 (10,000원), 술국 (19,000원), 토종순대 (13,000원), 수육 (36,000원), 수육정식 (15,000원)"
압구정공주떡,4.1,654,"서울 강남구 논현로161길 10 1층
(지번) 신사동 569-31",37.5236012907122,127.027446444565,02-516-3643,"흑임자케익 (80,000원), 모듬케익 (94,000원), 흑임자인절미(6호) (108,000원), 영양떡(6호) (108,000원), 영양떡+흑임자떡(6호) (108,000원), 영양떡+두텁(6호) (114,000원), 두텁+흑임자떡(6호) (114,000원), 두텁(5호) (120,000원), 약식(5호) (100,000원), 쑥포장인절미 (5호) (80,000원), 모듬찰떡 (5호) (120,000원), 선물세트(大,小) (135,000원), 쑥개떡 (5호) (85,000원)"
