이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
강동반상,3.5,157,"서울 강동구 상일로6길 39 강동타워 지하1층
(지번) 상일동 502",37.5498036802654,127.175347693962,02-429-2733,"궁중갈비찜 (60,000원), 소고기만두전골 (25,000원), 두부김치 (15,000원), 통오징어 (13,000원), 보쌈수육 (13,000원), 더덕구이 (16,000원), 황태구이 (12,000원), 녹두전 (12,000원), 간장게장 (2마리) (9,000원), 김치제육볶음 (8,000원)"
스윗솔트,4.5,345,"서울 강동구 상암로 286
(지번) 명일동 222-3",37.5454812745578,127.154135688838,02-3427-0999,"까르보나라 파스타 (18,000원), 토마토 미트볼 파스타 (18,500원), 베이컨 치즈 버거 + 감자튀김 (17,000원), 프렌치 토스트 (15,500원), 잠봉 에그베네딕트 (15,500원), 미트볼 샌드위치 + 감자튀김 (16,500원), 알리오올리오 파스타 (17,500원), 치즈버거 + 감자튀김 (15,500원), 에스프레소 (5,500원), 아메리카노 에티오피아 샤키소 (6,500원), 까페라떼 (6,000원), 스윗라떼 (7,000원), 아인슈페너 (7,500원), 카푸치노 (6,000원), 얼그레이 (6,000원), 말차 그린티 라떼 (7,000원), 생강레몬차 (7,000원), 자몽차 (7,000원), 레몬 / 자몽 / 청포도 / 레드깔라만시 에이드 (7,000원), 플레인 / 딸기 / 블루베리 요거트 스무디 (7,500원)"
명일원조닭발,3.9,144,"서울 강동구 상암로47길 86 1층
(지번) 명일동 325-16",37.5502873235976,127.144635499824,02-429-8548,"오돌뼈 (12,000원), 닭똥집 (12,000원), 원조닭발 (큰거) (15,000원), 원조닭발 (작은거) (10,000원), 무뼈직화 (14,000원), 무뼈볶음 (14,000원), 오뎅탕 (9,000원), 곱창볶음 (8,000원), 순대볶음 (8,000원), 순대곱창볶음 (12,000원), 순대 (4,000원), 계란찜 (5,000원), 마늘닭똥집 (12,000원)"
신흥정육식당,3.9,145,"서울 강동구 양재대로89길 16
(지번) 성내동 428-2",37.5268826423806,127.134695601656,,"한우특수부위 (600g) (100,000원), 한우등심 (600g) (95,000원), 갈비살 (600g) (60,000원), 치마살 (600g) (60,000원), 차돌박이 (600g) (74,000원), 안심 (600g) (95,000원), 한우육사시미 (25,000원), 한우육회 (25,000원), 삼겹살 (600g) (24,000원), 목살 (600g) (24,000원), 항정살 (600g) (34,000원), 가브리살 (600g) (34,000원), 김치찌개 (4,000원), 된장찌개 (4,000원)"
길조,3.4,394,"서울 강동구 천호대로 1173
(지번) 길동 236-8",37.5342296017935,127.141611332609,02-476-9494,"낙지볶음정식 (10,000원), 해물탕(소) (59,000원), 해물천국탕(2인) (40,000원), 산낙지연포탕(1인분) (20,000원), 길조아귀찜(소) (35,000원)"
브랜뉴하이몬드,3.8,510,"서울 강동구 천호옛14길 11 1-2층
(지번) 성내동 43-19",,,02-478-2402,"파네토네 1／4 (10,000원), 산딸기바게트 (6,200원), 커스타드롤 (6,800원), 치즈바게트 (6,200원), 소금빵 (3,000원), (신제품)초코생크림 소금빵 (5,300원), 앙버터 소금빵 (4,500원), 잠봉 베이글 (7,300원), (신제품)큐브쌀식빵 (5,300원), 크로플（L） (7,500원), 팥빵 (3,300원), 브런치 A 세트 (13,000원), 브런치 B 세트 (12,000원), (신제품)우유생크림 소금빵 (5,300원), (신제품)쉬림프 에그마요 소금빵 (6,900원), (신제품)폴드포크 소금빵 (6,900원), 대파 베이글 (6,500원), 무화과 크림치즈 베이글 (6,300원), 크림치즈 어니언베이글 (6,300원), (신제품)올리브 치즈 베이글 (4,800원), 파네토네 1／2 (20,000원), 피자빵 (6,200원), 감자샐러드빵 (4,900원), 팔미까레 (4,800원), 시몬（4ea） (4,800원), 딸기생크림몽블랑 (13,000원), (신제품)옥수수캄파뉴 (6,300원), (신제품)단호박 치즈 캄파뉴 (6,800원), 초코크로플 (8,300원), 쫀득감자빵 (3,200원)"
왕대포2,2.8,39,"서울 강동구 구천면로 140 9,10층
(지번) 천호동 469-1",,,,"골뱅이홍합탕 (27,000원), 소곱창전골 (30,000원), 낙지불철판 (25,000원), 화끈무뼈닭발 (20,000원), 통문어튀김 (27,000원)"
긴자 올림픽공원점,3.2,63,"서울 강동구 강동대로 223
(지번) 성내동 448-21",37.5232048384312,127.131178168789,02-483-1122,"긴자 사시미 코스 (68,000원), 아라다께 (50,000원), 모둠사시미 (30,000원), 모둠튀김 (30,000원), 참치모둠사시미 (50,000원)"
푸지미곱창,3.7,352,"서울 강동구 천호옛14길 23
(지번) 성내동 42-5",37.5361921826906,127.126763513364,,"야채곱창 (12,000원), 순대곱창 (13,000원)"
백년화편,3.9,461,"서울 강동구 양재대로81길 32 1층
(지번) 성내동 442-12",37.5233052345274,127.132528261747,1588-5678,"밥알찹쌀떡 1box(32개) (42,000원), 밥알흑임자 1box(32개) (42,000원), 밥알찹쌀떡 + 양갱모둠세트 (67,000원), 밥알흑임자 + 양갱모둠세트 (67,000원)"
