이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
다래함박스텍,4.4,227,"서울 강북구 수유로 20-2
(지번) 수유동 56-45",37.6327683890657,127.019031673634,02-2241-7558,"함박스텍 (6,500원), 매운함박스텍 (7,000원), 돈까스 (6,500원), 매운돈까스 (7,000원), 생선까스 (7,000원), 곱배기 (1,500원)"
행복수산,3.3,142,"서울 강북구 솔샘로67길 133 1층
(지번) 미아동 316-2",37.6228851427716,127.026344033302,02-980-0736,"오마카세 모둠회 (소) (55,000원), 광어+우럭 (소) (55,000원), 광어 (소) (50,000원), 우럭 (소) (50,000원), 도다리(회) or 세꼬시 (65,000원), 멍게 (15,000원), 전복(4미) (15,000원), 해삼(반접시) (20,000원), 뿔소라회(제주산) (변동가격), 참돔 (변동가격), 줄돔 (변동가격), 고등어회 (변동가격), 산낙지 (변동가격), 줄돔+도다리 회(2인) (50,000원), 줄돔+우럭 회(2인) (50,000원), 우럭+도다리 회(2인) (50,000원), 광어+도다리 회(2인) (55,000원), 광어+우럭+도다리 회(2인) (55,000원), 활어우럭탕 (20,000원), 알탕 (15,000원)"
장수마늘보쌈,4.1,291,"서울 강북구 한천로 960 1층
(지번) 번동 455-2",37.635753827127,127.033816758662,02-997-6155,"모듬보쌈 (소) (27,000원), 물냉면 (8,000원), 비빔냉면 (8,500원), 해물칼국수 (8,000원), 해물수제비 (9,000원), 모듬보쌈(중) (32,000원), 모듬보쌈(대) (37,000원), 특(굴)동절기 (46,000원), 고기 추가 (14,000원), 굴 추가 (13,000원), 김치 추가 (5,000원), 야채(배추속) 추가 (5,000원), 냉면사리 (2,000원), 물만두 (6,000원), 공깃밥 (1,000원), 코다리회냉면 (11,000원)"
소담촌 수유점,3.9,110,"서울 강북구 도봉로 388 테마빌딩 8층
(지번) 번동 464-1",37.6413563761545,127.029629106136,02-903-9033,"월남쌈 샤브 (16,900원)"
연포생선구이전문점,3.5,113,"서울 강북구 덕릉로28길 65 1층
(지번) 미아동 187-51",37.6317654896652,127.024903412857,02-984-5592,"북어양념구이 (14,000원), 임연수구이 (14,000원), 삼치구이 (15,000원), 동태탕 (2인) (26,000원), 알탕 (12,000원), 모듬생선구이 (2인) (30,000원), 곤드레솥밥 (10,000원), 치구이이 (14,000원), 조기구이 (11,000원), 꽁치구이 (12,000원), 갈치조림 (2인) (28,000원), 고등어조림 (2인) (28,000원)"
곰보냉면,2.8,61,"서울 강북구 노해로33길 64 1층
(지번) 수유동 711-15",37.6471888255658,127.021168911977,02-908-9300,"물냉면 (7,000원), 비빔냉면 (7,000원), 냉면곱배기 (8,000원)"
고메스퀘어 수유점,3.1,305,"서울 강북구 도봉로 308 9층
(지번) 번동 449-1",37.6356640949861,127.02383520999,02-6956-6275,"평일런치 (25,900원), 평일디너 (29,900원), 주말 및 공휴일 런치/디너 (33,900원), 평일 초등학생 (15,900원), 주말 및 공휴일 초등학생 (16,900원), 미취학 만36개월이상 (8,900원)"
엘림들깨수제비칼국수,4.3,474,"서울 강북구 삼각산로 67
(지번) 수유동 521-20",37.6399961391155,127.011775197243,02-996-2583,"칼국수 (10,000원), 수육 (14,000원), 고기만두 (6,000원)"
황주집,3.4,211,"서울 강북구 도봉로 372 1층
(지번) 번동 463-45",37.6400798197791,127.028330615875,02-903-6275,"순곱창 (500g) (42,000원), 혼합곱창 (500g) (40,000원), 곱창/대창 (500g) (42,000원), 곱창/염통 (500g) (36,000원), 양/곱창 (500g) (42,000원), 양/대창 (500g) (42,000원), 대창 (500g) (42,000원), 염통 (500g) (30,000원), 양깃머리 (500g) (42,000원), 검은양 (500g) (36,000원), 소주 (5,000원), 맥주 (5,000원), 보해복분자 (12,000원), 청하 (5,000원), 매화수 (4,000원), 음료수 (2,000원), 볶음밥 (2,000원)"
소담촌 미아사거리점,4.3,80,"서울 강북구 월계로 3 덕신빌딩 5층
(지번) 미아동 42-11",37.6095899217498,127.030682798873,02-987-5566,"월남쌈샤브 (14,500원), 월남쌈버섯샤브 (18,900원), 월남쌈와규샤브 (17,800원), 우삼겹구이&샤브 (15,000원), 돈삼겹구이&샤브 (15,000원)"
미아회관,4.3,259,"서울 강북구 도봉로10가길 15 1층
(지번) 미아동 55-20",37.6130064740091,127.031361727002,010-4732-1298,"제주삼겹살 (1인분) (15,000원), 청국장 (7,000원), 김치찌개 (7,000원), 제주 돼지껍데기 (7,000원), 비빔면 (4,000원)"
상미규카츠 수유본점,3.5,417,"서울 강북구 도봉로87길 32 1층
(지번) 수유동 192-35",37.6390623626724,127.024168831288,02-996-8892,"규카츠 화로구이 정식 (16,500원), 상미 연어장 정식 (14,500원), 규카츠 그릴 정식 (16,500원), 규카츠 김치나베 정식 (15,000원), 상미 연어 정식 (13,500원), 매콤 커리 정식 (16,500원), 명란 안심 돈카츠 (15,500원), 규카츠 소고기 추가 (12,000원), 상미 연어구이 정식 (14,000원), 상미 연어뱃살 정식 (14,500원)"
산성골,3.0,60,"서울 강북구 덕릉로 126
(지번) 번동 441-28",37.6347590276028,127.027676024898,02-989-7341,"한우특선모음(500g) (115,000원), 345진짜돼지갈비 (300g) (17,000원), 매운양념 돼지갈비(300g) (17,000원), 생돼지갈비 (230g) (17,000원), 한우 특등심(180g) (40,000원), 한우 꽃살(160g) (40,000원), 한우 갈비살(160g) (40,000원), 한우 생육회(180g) (25,000원), 숯불고기 100g+고기주는 함흥 물냉면 (10,000원), 숯불고기 100g+고기주는 함흥 비빔냉면 (10,000원), 숯불고기 100g+고기주는 함흥 회냉면 (12,000원), 간장게장 (10,000원), 양념게장 (10,000원), 갈비탕 (15,000원)"
