이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
이조면옥,2.6,213,"서울 강서구 양천로 353
(지번) 가양동 138-9",37.5684602013054,126.842249470641,02-3661-3457,"왕갈비탕 (17,000원), 영양갈비탕 (17,000원), 회냉면 (14,000원), 비빔냉면 (13,000원), 물냉면 (13,000원), 왕만두 (9,000원), 물만두 (7,000원), 홍어회(중) (30,000원)"
봉이밥,4.3,"1,237","서울 강서구 마곡중앙로 171 마곡나루역프라이빗타워2 1층 103~104호
(지번) 마곡동 757-2",37.5690270688312,126.827780298847,02-6954-0288,"보리밥 (9,500원), 털래기 (23,000원), 쭈꾸미정식(2인이상) (24,000원), 제육정식(2인이상) (24,000원), 코다리정식(2인이상) (30,000원), 떡갈비 (20,000원), 쭈꾸미볶음 (20,000원), 제육볶음 (20,000원), 코다리구이 (26,000원), 녹두전 (19,000원), 도토리묵무침 (15,000원), 소불고기정식 (29,000원), LA갈비 (45,000원)"
마부자생삼겹살김치찌개,3.1,198,"서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호
(지번) 마곡동 760",37.5673140391214,126.827554917518,02-3665-0788,"생삼겹살 (180g) (15,000원), 목살 (180g) (15,000원), 태백고냉지 묵은지 김치찌개 (점심특선) (9,000원)"
다원레스토랑,3.6,218,"서울 강서구 공항대로65길 1-5
(지번) 염창동 272-8",37.5503902688818,126.867059742345,02-3665-3600,"백심 (4,000원), 냉커피 (4,500원), 카푸치노 (4,500원), 아이스크림 (5,000원), 포도쥬스 (5,000원), 오렌지쥬스 (5,000원), 체리쥬스 (5,000원), 레몬에이드 (5,000원), 토마토쥬스 (5,000원), 파인애플 생과일쥬스 (6,000원), 팥빙수 (5,000원), 과일빙수 (5,500원), 치즈돈까스 (19,000원), 오징어덮밥 (10,000원), 새우볶음밥 (12,000원), 오므라이스 (11,000원), 불고기덮밥 (13,000원), 김치볶음밥 (11,000원), 하이라이스 (12,000원), 이탈리안스파게티 (14,000원), 크림스파 (15,000원), 치킨까스 (10,000원), 생선까스 (19,000원), 낙지볶음 (14,000원)"
원조나주곰탕,4.5,138,"서울 강서구 양천로14길 10 2동 1층
(지번) 방화동 559-1",37.572683936806,126.810043511076,02-2666-8292,"나주곰탕 (13,000원), 나주곰탕 (특) (16,000원), 수육 (대) (47,000원), 수육 (중) (37,000원), 수육 (소) (27,000원)"
경상도집,4.4,87,"서울 강서구 강서로45나길 16 송화시장 57호
(지번) 내발산동 723-10",37.5487701089007,126.835780247566,02-2607-5112,"돼지갈비 (21,000원)"
여가반상,4.1,72,"서울 강서구 마곡중앙6로 85 마곡사이언스파크뷰 2층
(지번) 마곡동 795-5",37.5602455642568,126.836884719112,02-2135-2773,"고등어구이 (10,000원), 가자미구이 (11,000원), 삼치구이 (13,000원), 임연수구이 (13,000원), 갈치구이 (14,000원), 모듬생선 (28,000원), 여기반상 기본 2인도시락 (19,000원), Main combo 2~3인 정찬 도시락 (27,000원), 묵은지 Special (32,000원), 보쌈 (25,000원), 묵은지고등어찜 (22,000원), 고등어조림 (22,000원), 갈치조림 (30,000원), 치즈쭈꾸미 보쌈 세트 (39,000원), 공기밥 (1,000원), 계란말이 (5,000원), 새우튀김 (12,000원), 부대찌개 (8,000원), 차돌된장 (8,000원), 순두부찌개 (8,000원), 콜라 (2,000원), 스프라이트 (2,000원), 환타파인 (2,000원)"
만배아리랑,4.2,13,"서울 강서구 화곡로18길 24 강서뉴타워 1층 111,113호
(지번) 화곡동 1071-19",37.5390663932795,126.835418976281,02-2607-3126,"김치보쌈 (소) (41,000원), 배추보쌈 (소) (42,000원), 반반보쌈 (소) (42,000원), 모듬보쌈스페셜 (중) (55,000원), 왕족발 (중) (43,000원), 김치보쌈 (중) (47,000원), 김치보쌈 (대) (52,000원), 배추보쌈 (중) (48,000원), 배추보쌈 (대) (53,000원), 반반보쌈 (중) (48,000원), 반반보쌈 (대) (53,000원), 왕족발 (대) (48,000원), 모듬보쌈스페셜 (대) (65,000원), 홍어삼합 (대) (65,000원), 해물바지락칼국수 (2인) (20,000원), 해물바지락칼국수 (3인) (30,000원), 굴보쌈 (중) (58,000원), 굴보쌈 (대) (68,000원), 굴보쌈(소) (50,000원), 홍어삼합(중) (55,000원), 해물바지락칼국수(1인) (10,000원), 보쌈정식 (11,000원), 쟁반국수 (8,000원)"
유림 닭도리탕,3.3,712,"서울 강서구 공항대로71길 5
(지번) 염창동 280-6",37.5478258698188,126.871722147865,02-3665-3930,"토종 닭도리탕 (2~3인용) (53,000원), 한방오리 (2~3인용) (70,000원), 한방오리한마리반 (4~5인용) (102,000원), 토종닭백숙 (2~3인용) (65,000원), 닭백숙 한마리반 (4~5인용) (95,000원), 닭도리탕 한마리반 (4~5인용) (77,000원), 삼계탕 (17,000원), 찰밥 (3,000원), 볶음밥(닭도리탕용) (2,000원)"
광어포차 금도수산,3.2,205,"서울 강서구 화곡로63길 129 1층
(지번) 등촌동 663-6",37.5587797543334,126.845956211534,02-3663-0301,"도미1.3kg한마리 (60,000원), 연어+(회 선택) (43,000원), 연어＋광어 (33,000원), 과메기（5마리＋모둠쌈야채） (35,000원), 갑오징어 ""숙회"" (28,000원), 대방어 (65,000원), 대방어＋(회선택) (59,000원), 광어 (28,000원), 광어＋우럭 (30,000원), 모둠회 (29,000원), (행사)참돔+(회선택) (40,000원), 도다리세꼬시 (29,000원), 도다리세꼬시＋（회선택） (39,000원), 도다리회 (29,000원), 도다리회＋（회선택） (39,000원), 도다리회＋세꼬시 반／반 (29,000원), 보리숭어 (29,000원), 보리숭어＋(회 선택) (39,000원), 우럭 (32,000원), 광어1kg한마리 (52,000원), 광어1.5Kg 한마리 (68,000원), 도미1kg ＋ 회선택 (75,000원), 광어＋멍게＋낙지 (52,000원), （회 선택）＋멍게＋낙지 (52,000원), 광어＋새우장（10마리）＋회무침 (52,000원), （회선택）＋새우장（10마리）＋회무침 (52,000원), 멍게물회（1kg） (40,000원), 활어물회 (28,000원), 도다리세꼬시물회 (30,000원), 모둠물회 (48,000원)"
홍린,3.3,55,"서울 강서구 우장산로15길 25
(지번) 화곡동 1096-17",37.5542861859343,126.850561695472,02-2608-6556,"유니짜장 (8,000원), 삼선짬뽕 (11,000원), 잡채밥 (11,000원), 양장피(2~3인) (32,000원), 소고기송이볶음(2~3인) (60,000원)"
