이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
막불감동,3.9,544,"서울 관악구 남부순환로 1599 지하1층
(지번) 신림동 1433-60",37.4842950188384,126.928167853107,02-883-2110,"동치미막국수 (10,900원), 비빔막국수 (10,900원), 판메밀 (10,900원), 냉메밀 (10,900원), 메밀들깨칼국수 (10,900원), 짬뽕메밀칼국수 (10,900원), 메밀새우교자 (7,000원), 메밀지짐만두 (7,000원)"
아리차이 신림점,4.0,63,"서울 관악구 신림동길 4 1층
(지번) 신림동 1430-11",37.4876348487621,126.928271959642,02-877-1272,"기본 신림 짬뽕 (12,000원), 기본 해물 짬뽕 (12,000원), 해물짬뽕 (12,000원)"
강강술래 신림점,2.9,156,"서울 관악구 남부순환로 1660
(지번) 신림동 10-518",37.4845719988029,126.935033089251,02-886-9233,"갈비탕정식 (17,000원), 전복갈비탕정식 (22,000원), 강강양념정식 (33,000원), 술래양념정식 (36,000원), 왕양념갈비정식 (45,000원), 한우모둠정식 (40,000원), 영양갈비탕 (13,000원), 영양전복갈비탕 (18,000원), 한우육회비빔밥 (12,000원), 육회돌솥비빔밥 (12,000원), 물냉면/비빔냉면 (8,000원), 강강양념구이 (29,900원), 술래양념구이 (33,000원), 왕양념갈비 (42,000원), 영양솥밥 (8,000원), 된장찌개 (4,000원), 강강양념정식(점심정식) (26,000원), 술래양념정식(점심정식) (28,000원), 영양솥밥(식사) (10,000원), 한우 스페셜 (53,000원), 한우 생등심 (45,000원), 한우 모둠구이 (37,000원), 한우육회 (29,000원), 공기밥 (1,000원)"
소담촌 봉천현대시장직영점,4.0,29,"서울 관악구 양녕로 50 금강빌딩 2층
(지번) 봉천동 463-3",37.4864591968344,126.947220766123,02-876-0977,"샤브고기(양지, 목심) (120g) (10,000원), 샤브고기(한우 목심) (120g) (15,000원), 샤브고기(와규) (120g) (13,000원), 우삼겹(120g) (10,000원), 돈삼겹(120g) (12,000원), 와규(구이) (120g) (13,000원)"
풍천민물장어삼억집,3.1,97,"서울 관악구 남부순환로 1875
(지번) 봉천동 1674-5",37.4795255550528,126.958201951766,02-887-6888,"장어탕 (식사) (6,000원), 장어탕 (4,000원), 된장찌개 (4,000원), 돈육양념구이 (250g) (7,900원), 소세지구이 (9,000원)"
온정돈까스 본점,,432,"서울 관악구 조원로 60 1층
(지번) 신림동 546-1",37.4835467526389,126.909097253356,02-3281-3330,"돈까스 (10,000원), 생선까스 (11,500원), 치킨까스 (12,000원), 양념돈까스 (매콤) (11,500원), 눈물돈까스 (12,000원), 치즈돈까스 (11,500원), 고구마치즈돈까스 (12,000원), 정식 (12,500원), 돈,새우 (11,000원), 양,새우 (11,500원), 대왕 새우튀김(6p) (11,000원)"
서울갈비 신림점,3.9,508,"서울 관악구 남부순환로 1645
(지번) 신림동 1410-17",37.4849849385326,126.933588301198,02-885-7610,"우삼겹 (180g) (16,000원), 생삼겹살(180g) (16,000원), 소갈비살 (180g) (22,000원)"
쟝블랑제리,3.8,510,"서울 관악구 낙성대역길 8 1층
(지번) 봉천동 1660-7",37.4772000660467,126.961984718921,02-889-5170,"소시지빵 (5,000원)"
중화요리팔공,4.2,519,"서울 관악구 남부순환로 1680 지하1층
(지번) 신림동 10-621",37.4840824266542,126.937097299683,02-877-9815,"짜장면 (9,000원), 옛날고기짬뽕 (11,000원), 팔공해물짬뽕 (12,000원), 생등심육즙탕수육 (소) (24,000원), 양장피 (45,000원), 깐풍기 (소) (30,000원), 유린기 (소) (30,000원), 칠리중새우 (소) (34,000원), 옛날군만두 (7,000원), 팔공해물우동 (12,000원), 옛날볶음밥 (11,000원), 잡채밥 (11,000원), 유산슬밥 (16,000원), 잡탕밥 (17,000원), 해물쟁반짜장(2인) (22,000원), 생등심탕수육(중) (34,000원), 깐풍기 (중) (40,000원), 유린기 (중) (40,000원), 깐풍중새우 (소) (34,000원), 깐풍중새우 (중) (47,000원)"
서울대학교 자하연식당,3.7,0,"서울 관악구 관악로 1 2층
(지번) 신림동 산 56-1",37.4662872666604,126.94815644252,02-880-7889,메뉴 없음
