이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
하이디라오코리아 건대점,4.3,536,"서울 광진구 능동로 110 스타시티 영존 A동 1층
(지번) 화양동 4-20",37.540657941434,127.07141185507,02-456-5683,"우삼겹(150g) (14,900원), 양갈비살(200g) (16,900원), 돈삼겹살(150g) (13,900원), 새우완자(100g) (10,900원)"
원조할아버지손두부,4.4,818,"서울 광진구 자양로 324 1층
(지번) 구의동 26-15",37.5540759465118,127.094192675873,02-447-6540,"모두부(홀) (7,000원), 순두부(홀) (4,000원), 콩국수(계절메뉴) (7,000원), 서리태콩국수(계절메뉴) (10,000원), 콩물 (5,000원), 서리태콩물 (7,000원)"
호야초밥참치 본점,2.8,543,"서울 광진구 능동로13길 39 한아름건물 1층
(지번) 화양동 10-1",37.543959020957,127.069757721395,02-461-3739,"A호야 12pcs (17,000원), （BEST）B특호야12pcs (21,000원), 로얄스시12pcs (36,000원), 참다랑어 (50,000원), 대뱃살 (50,000원), 모둠회（7종） (48,000원), 찐전복 （1pcs） (3,000원), 장어 1pcs (2,800원), 수제계란초밥（다테마끼） (1,600원), 호야 지라시 (12,000원), 회덮밥 (10,000원), 장어덮밥 (17,000원), C연어（양파소스）12pcs (25,000원), 호야 연어 모듬 12pcs (31,000원), 참다랑어 오도로 초밥 12pcs (61,000원), 참다랑어 가마도로&오도로（12pcs） (55,000원), 참다랑어 참치뱃살 12pcs (36,000원), 참다랑어 가마도로 12pcs (51,000원), 연어초밥（8pcs） (18,000원), 소고기 초밥 12pcs (26,000원), 광어 초밥 12pcs (26,000원), 광어6＋연어6 12pcs (29,000원), 소고기6＋연어6 12pcs (27,000원), 참이슬 후레쉬 (4,500원), 처음처럼 (4,500원), 진로 (4,500원), 테라 (4,500원), 카스 (4,500원), 청하 (5,000원), 매화수 (4,000원)"
도톰 본점,4.8,302,"서울 광진구 능동로 386 1층
(지번) 중곡동 31-9",37.5635843621364,127.083261293194,02-444-4231,"도톰삼겹살 (180g) (16,000원), 도톰목살 (180g) (16,000원), 가브리살 (180g) (16,000원), 항정살 (180g) (19,000원), 볶음밥 (3,000원)"
소담촌 아차산역점,3.4,16,"서울 광진구 용마산로 10 3층
(지번) 중곡동 93-2",37.5545352784401,127.088841013335,02-2201-8800,"월남쌈 샤브 (13,900원), 월남쌈 버섯 샤브 (17,800원), 월남쌈 와규 샤브 (17,800원), 우삼겹 구이&샤브 (15,000원), 돈삼겹 구이&샤브 (15,000원)"
영미오리탕 군자점,4.0,535,"서울 광진구 동일로60길 53 천수빌딩 1층
(지번) 군자동 467-16",37.5576742981063,127.076292878482,02-463-5222,"오리탕 (1마리) (61,000원), 오리탕 (반마리) (39,000원), 생로스 (61,000원), 주물럭 (61,000원)"
체리커피,3.7,387,"서울 광진구 능동로 284 1층 체리커피
(지번) 능동 282-1",37.5551536063868,127.078720243728,02-444-7222,"아메리카노(HOT) (4,500원), 카페라떼(HOT) (5,000원), 청포도에이드 (5,500원), 유기농말차라떼(HOT) (5,000원), 리얼쇼콜라떼(HOT) (6,000원)"
천미향,2.9,271,"서울 광진구 능동로 237 2층
(지번) 군자동 249",37.5513250013994,127.076101717325,02-464-8088,"유니자장면 (8,000원), 간짜장 (9,000원), 해물쟁반짜장 (20,000원), 짬뽕 (9,000원), 삼선우동 (11,000원), 볶음짬뽕 (12,000원), 사천탕면 (11,000원), 중국식냉면 (11,000원), 냉짬뽕 (11,000원), 기스면 (8,000원), 낙지짬뽕 (13,000원), 차돌짬뽕 (13,000원), 자연송이덮밥 (18,000원), 잡탕밥 (16,000원), 게살볶음밥 (11,000원), 고추잡채밥 (13,000원), 누룽지탕밥 (12,000원), 새우볶음밥 (9,000원), 짬뽕밥 (10,000원), 군만두 (7,000원), 물만두 (7,000원), 어향동고 (소) (35,000원), 류산슬 (소) (33,000원), 양장피잡채 (소) (30,000원), 당면잡채 (소) (25,000원), 해물누룽지탕 (소) (38,000원), 새우두부 (소) (25,000원), 마파두부 (소) (25,000원), 게살두부 (소) (30,000원), 오화구육(동파육) (소) (30,000원), 사천식탕수육 (소) (25,000원), 탕수육 (소) (20,000원), 라조육 (소) (28,000원), 깐풍육 (소) (28,000원), 찹쌀탕수육 (22,000원), 깐풍큰새우 (13,000원), 깐소큰새우 (13,000원), 크림중새우 (소) (30,000원), 깐소중새우 (소) (30,000원)"
이이요,4.2,525,"서울 광진구 능동로32길 6
(지번) 능동 225-1",37.5551942013519,127.078915170247,02-3437-2225,"이이요특선초밥 (23,000원), 이이요초밥 (16,000원), 광어초밥 (18,000원), 묵은지광어초밥 (18,000원), 연어초밥 (17,000원), 광어+연어덮밥 (17,000원), 소고기초밥 (14,000원), 삶은새우초밥 (12,000원), 연어마끼 (19,500원), 회덮밥 (15,000원), 낫또회덮밥 (16,500원), 새우장밥 (13,500원), 연어덮밥 (16,000원), 간장새우연어밥 (17,000원), 홍새우연어덮밥 (17,000원), 광어지느러미연어밥 (18,000원), 도미연어덮밥 (18,000원), 이이요마끼 (12,000원)"
이화만두,4.2,296,"서울 광진구 능동로 278-1 1층
(지번) 능동 282-3",37.5547086887645,127.078457103016,02-455-3486,"왕교자 고기만두(5개) (7,000원), 왕교자 김치만두(5개) (7,000원)"
