이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
강촌숯불닭갈비 본점,3.2,258,"서울 구로구 공원로6나길 35-2 1층
(지번) 구로동 29-22",37.5044324804593,126.891714600611,02-851-2194,"잔치국수 (6,000원), 열무국수 (6,000원), 묵사발 (6,000원), 계란찜 (6,000원), 숯불닭갈비 (3대) (14,000원), 닭목살 소금구이 (200g) (14,000원)"
월래순교자관,4.1,423,"서울 구로구 디지털로19길 12 1층
(지번) 가리봉동 131-22",37.4803128977754,126.890067650003,02-855-8488,"군만두 (7,000원), 찐만두 (7,000원), 군소룡포 (8,000원), 소룡포 (7,000원), 물만두 (7,000원), 향라새우 (25,000원), 양고기샤브 (30,000원), 백김치삼겹전골 (28,000원), 감자당콩조림 (16,000원), 소배필전골 (30,000원), 감자소고기조림 (24,000원), 두부튀김 (15,000원)"
고바우,4.3,144,"서울 구로구 부일로1길 9
(지번) 온수동 57-14",37.491778764252,126.821260828437,02-2611-5586,"덩어리생고기 (1인분) (12,000원), 돼지갈비 (2인분) (26,000원), 돼지껍데기 (1인분) (7,000원)"
다원국수,4.3,99,"서울 구로구 경인로 22 지평회관 1층 109호
(지번) 오류동 108-74",37.4893533227119,126.825220559378,02-2060-0090,"차슈탕면 (12,000원), 차슈비빔국수 (12,000원), 어묵국수 (10,000원), 잔치국수 (7,000원), 왕만두(4개) (5,000원)"
신림춘천집 구로디지털직영점,4.6,750,"서울 구로구 디지털로32나길 17-23 우남산업 102호
(지번) 구로동 1124-69",37.4840587045063,126.899846627555,070-8624-1998,"들기름마국수 (8,000원), 제육사리 (6,000원), 쫄면모듬사리 (5,000원), 우동모듬사리 (5,000원), 당면모듬사리 (5,000원), 라면모듬사리 (5,000원), 모듬떡사리 (2,500원), 치즈폭포닭갈비 (16,000원), 춘천집닭갈비 (14,000원), 제육닭갈비 (14,000원), 물막국수 (8,000원), 비빔막국수 (8,000원), 춘천집감자채전 (8,500원), 참기름볶음밥 (3,000원), 들기름볶음밥 (3,000원), 치즈볶음밥 (3,500원), 공기밥 (1,500원), 치즈사리 (4,000원), 떡사리 (2,000원), 고구마사리 (2,000원)"
중화백반,4.5,93,"서울 구로구 디지털로34길 55 코오롱싸이언스밸리2차 지하1층 104호
(지번) 구로동 811",37.4842856391064,126.899282125859,,"황비홍깐풍가지 (29,000원), 갈릭빈새우 (35,000원), 오색양장피 (38,000원), 해물짬뽕탕 (25,000원), 황태백짬뽕탕 (27,000원), 해물누룽지탕 (35,000원), 소고기숙주볶음 (22,000원), 유림군만두 (12,000원), 깐풍군만두 (12,000원), 파파군만두 (12,000원), 중화술국 (12,000원), 건두부무침 (12,000원)"
진심갈비,4.6,94,"서울 구로구 경서로 11 1층 104, 105, 107호
(지번) 개봉동 153-123",37.4985617567135,126.856502579275,02-2689-9992,"수제돼지갈비 (270g) (16,000원), 소갈비살 (150g) (19,000원), 이베리코꽃목살 (150g) (18,000원), 한돈삼겹살 (180g) (16,000원), 한우육회 (200g) (25,000원)"
평양냉면,3.8,165,"서울 구로구 고척로10길 65 1층
(지번) 오류동 13-55",37.4964262899252,126.842166579978,02-2614-2263,"평양냉면 (10,000원), 비빔냉면 (10,000원), 편육 (18,000원), 녹두빈대떡 (9,000원)"
스시메이진 구로점,2.6,195,"서울 구로구 디지털로 300 지밸리몰 2층 6호
(지번) 구로동 188-25",37.4849270383011,126.896538036905,02-6344-3782,"평일런치 (21,900원), 평일디너 (23,900원), 37개월~7세 (8,000원), 8세~13세 (14,900원), 주말 및 공휴일 (24,900원)"
에버애프터,4.0,158,"서울 구로구 새말로18길 36-10 지층
(지번) 구로동 27-11",37.5053531421274,126.892322188574,070-7543-1098,"아메리카노 (4,500원), 카페라떼 (5,000원), 바닐라라떼 (6,000원), 아인슈페너 (6,500원), 크로플 (9,500원)"
금성관 나주곰탕 구로직영점,4.7,271,"서울 구로구 디지털로32길 92 미래타워 1층
(지번) 구로동 1272",37.4826840834852,126.899902506754,02-838-7898,"나주곰탕 (11,000원), 수육(중) (35,000원), 나주육전 (20,000원), 수육전골(중) (45,000원), 특제소스 매운갈비찜(중) (45,000원), 특제소스 간장갈비찜(중) (45,000원), 나주갈비탕 (14,000원)"
