이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
강강술래 시흥점,3.5,200,"서울 금천구 시흥대로 193 금천ICT타워 2층
(지번) 시흥동 991",37.4509932654577,126.901277884409,02-808-1888,"한우명품 (57,000원), 한우 생등심 (49,000원), 한우 모듬구이 (39,000원), 한우육회 (29,000원), 강강양념구이 (33,000원)"
진영면옥,4.6,627,"서울 금천구 가산로 22-5 1층
(지번) 독산동 162-10",37.4715699238483,126.90039992595,02-864-2383,"물냉면 (11,000원), 비빔냉면 (11,000원), 양지곰탕 (11,000원), 녹차돼지수육 반접시(100g) (8,000원), 녹차돼지수육 한접시(200g) (15,000원), 양지수육 (20,000원), 녹두전 (8,000원)"
동흥관,2.8,214,"서울 금천구 시흥대로63길 20 B동 지하1층, 1,2층
(지번) 시흥동 115-10",37.4552239556402,126.898598446467,02-803-3759,"차돌짬뽕 (12,000원), 활조개짬뽕 (13,000원), 차돌마라탕면 (12,000원), 소고기탕면 (12,000원), 반접시탕수육＋차돌짬뽕 (22,000원), 세트（반접시 탕수육＋짜장） (17,000원), 세트（반접시 탕수육＋간짜장） (18,000원), 세트（탕수육＋맛짜장2） (24,000원), 짜장면 (8,000원), 간짜장 (9,000원), 삼선짬뽕 (12,000원), 볶음밥 (9,000원), 즉석 탕수육 (22,000원), 반접시탕수육＋2인분쟁반짜장 (30,000원), 세트 （반접시사천탕수육＋차돌짬뽕） (23,000원), 세트 （반접시깐풍기＋차돌짬뽕） (23,000원), 세트（반접시군만두＋짜장） (12,000원), 세트（반접시군만두＋짬뽕） (13,000원), 세트（반접시군만두＋볶음밥） (13,000원), 세트（반접시 탕수육＋짬뽕） (18,000원), 세트（반접시 탕수육＋볶음밥） (18,000원), 세트（깐풍기＋맛짜장2） (35,000원), 세트 （유린기＋맛짜장2） (35,000원), 세트（양장피＋맛짜장2） (40,000원), 세트（쟁반짜장2人＋탕수육） (38,000원), 세트（칠리새우＋맛짜장2） (50,000원), 세트（팔보채＋맛짜장2） (48,000원), 3人세트（양장피＋탕수육＋맛짜장3） (58,000원), 3人세트（유산슬＋사천탕수육＋맛짜장3） (68,000원), 3人세트（양장피＋칠리새우＋맛짜장3） (78,000원)"
문정곱창,4.3,"2,325","서울 금천구 디지털로12길 37 1층
(지번) 가산동 143-20",37.477245116591,126.890330588284,02-6014-7290,"모듬곱창(1인분) (24,000원), 순곱창(1인분) (26,000원), 마늘곱창(1인분) (28,000원), 대창(1인분) (24,000원), 막창(1인분) (24,000원), 소갈비살(1인분) (20,000원), 곱창전골 (중) (45,000원), 염통(1인분) (17,000원)"
북촌삼대갈비 가산본점,4.2,560,"서울 금천구 가산로 149 1층
(지번) 가산동 140-8",37.4785253965237,126.890369530966,02-830-0003,"무한리필 숙성통뼈삼겹+목살+양념갈비 (17,500원), 무한리필 숙성생등심 (29,900원), 무한통뼈삼겹+목살+양념갈비 7세이하 (8,000원), 무한리필 숙성생등심 7세이하 (11,000원), 단품 숙성양념갈비 200g (13,000원), 단품 숙성목살 200g (13,000원), 단품 숙성통뼈삼겹살 200g (13,000원), 단품 숙성생등심 200g (18,000원), 부추수육 점심 (10,000원), 불고기정식 점심 (10,000원), 제육볶음 점심 (10,000원), 육개장 점심 (9,000원), 갈비탕 점심 (13,000원)"
도원,3.5,154,"서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호
(지번) 가산동 685",37.4655215598001,126.887672228018,02-861-6616,"도원 중식뷔페 도시락 ＋ 음료set (18,500원), 찹쌀탕수육 (22,000원), 백짬뽕 (11,000원), 삼선짬뽕 (11,000원), 삼선간짜장 (10,000원), 도원 중식뷔페 도시락 (17,000원), 모듬 안주 도시락 (23,000원), 짜장면 (7,000원), 볶음짬뽕 (10,000원), 차돌짬뽕 (12,000원), 짬뽕밥 (8,500원), 팔보채 (30,000원), A코스 (40,000원), 짬뽕 (8,000원), 고추짬뽕 (11,000원), 홍합짬뽕 (10,000원), 삼선우동 (11,000원), 쟁반짜장 (9,000원), 삼선울면 (11,000원), 볶음밥 (9,000원), 새우볶음밥 (10,000원), 게살볶음밥 (12,000원), 잡채밥 (10,000원), 짜장밥 (8,500원), 고추잡채밥 (11,000원), 마파두부덮밥 (10,000원), 특밥 (10,000원), 오징어덮밥 (10,000원), 새송이덮밥 (9,000원), 잡탕밥 (15,000원)"
인생파곱창,3.7,409,"서울 금천구 시흥대로52길 42 1층
(지번) 시흥동 888-5",37.4532228279149,126.902151304348,02-895-7778,"수제숙성 청정진도대파 모듬한우곱창 (57,900원), 수제숙성 청정진도대파 한우곱창 (27,900원), 수제숙성 청정진도대파 한우대창 (24,900원), 호암산 볶음밥 한판 (5,900원), 치즈 달걀찜 (4,900원)"
왕래성,4.2,29,"서울 금천구 가산로 8 1층
(지번) 독산동 163-2",37.471083905255,126.902217446127,02-6404-5557,"짜장면 (2,000원), 짬뽕 (4,000원), 우동 (3,500원), 볶음밥 (4,000원), 짬뽕밥 (4,000원), 잡채밥 (4,500원), 오징어덮밥 (6,000원), 제육덮밥 (6,000원), 마파두부밥 (5,000원), 해물덮밥 (10,000원), 해물짬뽕 (8,000원), 간짜장 (5,000원), 쟁반짜장 (4,500원), 사천탕면 (4,500원), 탕수육 (8,000원), 잡채 (12,000원), 깐풍기 (18,000원), 양장피 (18,000원), 군만두 (4,000원)"
돼지분식,4.5,61,"서울 금천구 가산로9길 20 1층
(지번) 가산동 143-17",37.4768536292787,126.890720859849,,"떡라면 (4,500원), 만두 (3,500원), 만두국 (5,500원), 떡국 (5,500원), 떡만두 (5,500원), 칼국수 (5,500원), 수제비 (5,500원), 비빔국수 (5,500원), 쫄면 (5,500원)"
한옥집숯불갈비,4.5,478,"서울 금천구 시흥대로141길 71 1층
(지번) 독산동 144-10",37.4760640314096,126.897613411359,02-867-8592,"지팡이갈비살 (600g) (68,000원), 생육회비빔밥 (9,000원), 소고기된장찌개 (9,000원), 짬뽕냉면(후식) (6,000원), 1인분추가 (19,000원)"
