이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
대문,3.5,43,"서울 도봉구 시루봉로 139-6 1층
(지번) 방학동 436-9",37.6637007124723,127.027547248279,02-956-0843,"간장게장(1미) (20,000원), 보리굴비(1미) (18,000원), 낙지볶음 (25,000원), 소갈비찜 (29,000원), 한우육회(200g) (30,000원), 난정식(1인) (30,000원), 수라정식(1인) (56,000원), 효정식(1인) (49,000원), 대문 특정식(1인) (39,000원), 대문정식(점심특선)(1인) (23,000원), 간장게장 정식(1인) (29,000원), 보리굴비정식(1인) (27,000원), 전복갈비찜정식(1인) (32,000원), 양념게장(250g) (12,000원), 생전복회(4미) (25,000원), 생전복버터구이(4미) (25,000원), 훈제연어(8pcs) (10,000원), 칠리새우(8마리) (20,000원), 소떡갈비 (15,000원), 보쌈 (23,000원)"
쌍문동판다쓰,4.1,93,"서울 도봉구 우이천로24길 49 1층
(지번) 쌍문동 395-6",37.6455795643853,127.03168905912,02-6052-1578,"멘보샤 (19,000원), 칠리새우 (19,000원), 깐풍기 (19,000원), 유린기 (20,000원), 누룽지탕 (24,000원)"
호호분식,4.2,107,"서울 도봉구 도봉로121길 32 1층
(지번) 쌍문동 81-74",37.6524428291509,127.034799107226,02-900-1377,"모듬강정 (3,000원), 치즈밥(소) (4,000원), 카레떡볶이 (3,000원), 떡볶이 (3,000원), 치즈떡볶이 (3,000원), 짜장떡볶이 (3,000원), 탕수육(소) (4,000원), 우동 (4,000원), 라면 (4,000원), 쫄면 (4,000원), 탕수만두 (2,000원)"
짱나라해장국,4.3,7,"서울 도봉구 방학로6길 20 1층
(지번) 방학동 690",37.6639437453784,127.037248720186,02-956-0664,"선지해장국 (5,000원), 양품비빔밥 (5,000원), 떡만두국 (5,000원), 김치찌개 (6,000원), 육개장 (5,600원), 순대국 (6,000원), 뼈다귀해장국 (6,000원), 설렁탕 (6,000원), 감자탕(소) (27,000원), 술국 (12,000원), 사리 (1,000원), 볶음밥 (1,000원), 뼈추가 (8,000원), 감자탕(대) (32,000원), 소주 (3,000원), 막걸리 (3,000원), 맥주 (4,000원), 청하 (4,000원), 음료 (1,500원)"
하누소 창동본점,2.6,180,"서울 도봉구 노해로 327 5층
(지번) 창동 337-1",37.6515058543634,127.04480620796,02-900-9800,"한우우마카세 (78,000원), 명품갈비탕 (17,000원), 함흥냉면 (12,000원), 어복쟁반(大) (80,000원), 하누소 정찬 A (45,000원), 하누소갈비탕 (16,000원), 한우양념갈비 (53,000원), 한우등심반상(런치) (35,000원), 한우갈비살반상(런치) (35,000원), 한우육회비빔밥 (16,000원), 명품갈비찜 大(3~4인) (63,000원), 한우504등심 (47,000원), 한우안심 (49,000원), 한우안창살 (58,000원), 일품양념갈비 (39,000원), 한우트러플육회 (30,000원), 한우불고기(1인분) (25,000원), 한돈수제양념갈비 (23,000원), 시그니처 혼례정찬 (88,000원), 하누소 정찬C 100(상견례상) (100,000원)"
쭈꾸미킹 쌍문점,2.7,48,"서울 도봉구 도봉로 425 1층
(지번) 쌍문동 103-66",37.6441890107269,127.031596122485,02-900-7191,"쭈꾸미 볶음 (1인) (12,000원), 코다리조림 (1인) (12,000원), 철판쭈꾸미 (1인) (14,000원), 철판삼겹쭈꾸미 (1인) (15,000원), 쭈꾸미피자 세트1 (1인) (14,000원), 쭈꾸미피자 세트2 (1인) (16,000원), 철판쭈꾸미피자 세트3 (1인) (16,000원), 철판쭈꾸미피자 세트4 (1인) (18,000원), 철판삼겹쭈꾸미피자 세트5 (1인) (17,000원), 철판삼겹쭈꾸미피자 세트6 (1인) (19,000원)"
마쯔무라돈까스 본점,4.3,197,"서울 도봉구 노해로63길 84 지하1층
(지번) 창동 74-25",37.6527642013214,127.04657828265,02-991-9801,"아이들돈까스 (9,000원), 레이디돈까스 (9,000원), 치킨까스 (9,000원), 생선까스 (11,000원), 치즈돈까스 (12,000원)"
겨리,4.0,82,"서울 도봉구 도봉로112길 29 1층
(지번) 창동 657-83",37.6469551099077,127.03632965886,02-900-3200,"카이센동 (28,000원), 사케동 (17,000원), 마구로사케동 (20,000원), 우나기동 (23,000원), 타다키사케동 (18,000원), 타다키동 (22,000원), 카이센 도시락 (16,000원), 가이바시사케동 (20,000원), 가이바시 마구로동 (21,000원), 시로미 사케동 (19,000원), 카키후라이 (4,500원), 에비 후라이（2p） (4,500원), 생선까스（1p） (3,500원), 야채고로케（2p） (3,500원), 치킨 가라아게（5p） (5,500원), 사이다 250mL (2,000원), 콜라 250mL (2,000원), 토닉워터（캔）250mL (2,000원)"
무수옥,3.5,149,"서울 도봉구 도봉로165길 15
(지번) 도봉동 600-4",37.6771588328553,127.044143069676,02-954-6292,"한우암소설렁탕 (12,000원), 한우암소육회비빔밥 (12,000원), 한우암소내장탕 (12,000원), 한우암소생등심 (48,000원), 한우암소육회 (30,000원), 한우암소수육 (30,000원)"
경복궁 창동점,3.1,80,"서울 도봉구 도봉로 610 3-4층
(지번) 창동 750",,,02-992-6777,"한우안심샤토브리앙코스 (110,000원), 숯불갈비살한정식 (34,000원), 영양갈비찜한정식 (40,000원), 상견례한정식 (78,000원), 갈비탕 (16,000원), 차돌된장찌개 (17,000원), 돌솥비빔밥 (17,000원), 육개장 (17,000원), 한우정식 (1인분) (41,000원), 양념갈비정식 (1인분) (57,000원), 생갈비정식 (1인분) (57,000원), 한우생불고기정식 (1인분) (33,000원), 보리굴비정식 (1인분) (38,000원), 경복궁한정식 (1인분) (49,000원), 한우1++국수전골 (36,000원), 한우안심코스 (1인분) (100,000원), 일품한정식 (68,000원), 프리미엄한정식 (85,000원), 광양식한우구이코스 (75,000원), 한우꽃살코스 (100,000원)"
쌍문동커피,3.9,149,"서울 도봉구 도봉로116길 5 지하 1,1층
(지번) 창동 658-49",37.6482057745845,127.03570840106,,"[매출1등] 단호박바스크치즈케이크 (7,000원), [인기최고]바스크치즈케이크 (7,000원), [인기만점] 초코바스크치즈케이크 (7,500원), [인기최고] 판나코타（푸딩） (6,000원), [인기만점] 커스터드 푸딩 (6,000원), 음료1＋케이크1 (9,500원), 쌍리단길[파우더라떼] (5,500원), 아메리카노（콜롬비아） (4,000원), 아메리카노（에티오피아） (4,000원), [NEW]피넛바스크치즈케이크 (7,500원), 아메리카노1＋비스켓1（딸기잼 제공） (7,000원), 쌍커 스모어쿠키（플레인） (3,000원), 말차 스모어쿠키（녹차） (4,000원), 쌍커 초코스콘 (4,500원), 블랙 스모어쿠키（초코） (3,500원), 쌍커비스켓 [딸기쨈제공] (4,000원), PERHAPS[아인슈패너] (5,500원), 타이타닉[라떼아인슈패너] (6,000원), 바나나차차[바나나슈패너] (6,000원), 바닐라스크림라떼（아이스크림 라떼） (6,000원), [인기만점]쌍커딸기라떼 [보틀] (6,500원), [인기만점]밀크티 1호[보틀] (6,000원), [인기만점]밀크티 2호[보틀] (6,000원), Decaffeine 아메리카노 (5,000원), Decaffeine 카페라떼 (5,500원), Decaffeine 바닐라라떼 (6,000원), 카페라떼 (4,500원), 카푸치노 (4,500원), 아이스카푸치노 (5,000원), 카페모카 (5,000원)"
쉐프마인드,4.2,65,"서울 도봉구 노해로 384 동아상가 1층 30호
(지번) 창동 26",37.6519427474015,127.051002787716,02-992-1691,"스페셜 초밥 (12P) (22,000원), 우동 샐러드 (18,000원), 꽃게 라멘 (18,000원), 간장 새우장 덮밥 (20,000원), 성게알 회무침 (38,000원)"
할머니토스트,4.3,47,"서울 도봉구 덕릉로60다길 15 1층
(지번) 창동 562-15",37.6381550558192,127.039836159978,010-9512-8809,"할머니토스트 (3,000원), 햄토스트 (3,500원), 치즈토스트 (3,500원), 햄+치즈토스트 (4,000원), 아메리카노(HOT) (1,500원)"
섭생정식 창동본점,3.5,"1,061","서울 도봉구 노해로 341 신원리베르텔 1층 101호
(지번) 창동 338",37.6514452431588,127.045912956978,02-999-7877,"（입맛찾아주는） 벌교여수 꼬막비빔밥 (13,900원), （매장판매1등）전복&돌문어 비빔밥 (17,900원), （사장추천）건강을 통채로 담은 민물장어 한마리 비빔밥 (28,900원), （매장만족도1위）특품성게알 비빔밥 (29,900원), （1인） 영주사과 전복해산물 물회(사과물회육수) (24,000원), （BEST）간장게장 3인분（꼬막비빔밥만큼팔리는짜지않는게장） (10,000원), 산낙지 탕탕이（싱싱한 산낙지가 2마리나~） (25,000원), 어린이 꼬막비빔밥 (8,900원), （매장사이드메뉴1위）낙지 한마리 해물파전 (18,000원), (비조리) 바다를 담은 산해진미 돌문어 해물탕3인 (89,000원), (비조리) 시원한 산낙지 연포탕세트（2~3인） (79,000원), （BEST）간장게장 1인분（꼬막비빔밥만큼팔리는짜지않는게장） (4,000원), （가성비최고） 특품올리브돈까스 (9,900원), 공기밥 (1,000원), 가슴속까지 시원한 코카콜라 350mL (2,500원), 가슴속까지 시원한 사이다 350mL (2,500원), 처음처럼 (2,900원), 참이슬 후레쉬 (2,900원), 진로이즈백 (2,900원), 청하 (3,900원), 새로 (2,900원), 일품진로 (25,000원)"
뚝배기칼국수,4.2,44,"서울 도봉구 도봉로 683
(지번) 방학동 703-14",37.6654906885636,127.041934071403,02-3492-8502,"뚝배기손칼국수 (9,000원), 들깨영양수제비 (9,000원), 새알팥죽 (9,000원), 팥칼국수 (9,000원), 누드김밥 (7,000원)"
한가향,3.5,112,"서울 도봉구 도봉로169길 202 1층
(지번) 도봉동 470-3",37.6779409583278,127.035364546109,02-955-7722,"아롱사태 냉채 (20,000원), 온수육 (120g) (48,000원), 냉수육 (120g) (22,000원), 갈비살 (150g) (28,000원), 육회 (160g) (35,000원), 소갈비찜 (1인) (20,000원), 갈비찜 (400g) (50,000원), 계절 콩전 (5pc) (20,000원)"
산과산사이커피로드,4.8,10,"서울 도봉구 도봉로180가길 96 4층 402호
(지번) 도봉동 44-5",37.6878005406052,127.046526492396,070-4177-8197,"아메리카노 (3,300원), 카페라떼 (3,800원), 카페모카 (4,300원), 핸드드립 (5,000원), 카라멜 프라페 (4,800원)"
창동생선구이,4.3,6,"서울 도봉구 도봉로110나길 31 1층
(지번) 창동 659-32",37.6476012558533,127.034969423959,02-906-6714,"임연수구이 (9,000원), 삼치구이 (9,000원), 고등어조림 (9,000원), 제육쌈밥 (7,000원), 동태찌개 (7,000원)"
명륜진사갈비 서울쌍문점,4.1,132,"서울 도봉구 도봉로 519 1,2층
(지번) 쌍문동 80-18",,,02-991-1777,"숯불돼지갈비 (가격정보 없음), 후려페퍼 스테이크 (가격정보 없음), 통삼겹살 (가격정보 없음), 생등갈비(프렌치렉) (가격정보 없음), 목살 (가격정보 없음), 숯불닭갈비 (가격정보 없음), 벌집껍데기 (가격정보 없음), 소갈비살 (가격정보 없음), 물냉면 (가격정보 없음), 비빔냉면 (가격정보 없음), 계란찜 (가격정보 없음), 된장찌개 (가격정보 없음), 김치찌개 (가격정보 없음)"
하노이빈 방학직영점,3.4,64,"서울 도봉구 방학로 252-41 1층
(지번) 방학동 466",37.6622019904086,127.024410708671,02-3493-0374,"소고기 쌀국수 (M) (12,000원), 소고기 프리미엄 쌀국수 (M) (14,000원), 닭고기 쌀국수 (M) (12,000원), 매운해물 쌀국수 (M) (13,000원), 분짜 (1인분) (15,000원), 해물볶음 쌀국수 (14,000원), 칠리볶음 쌀국수 (14,000원), 소불고기 덮밥 (13,000원), 매운 해물 덮밥 (13,000원), 파인애플 볶음밥 (13,000원), 닭가슴살 볶음밥 (13,000원)"
면장우동,4.2,139,"서울 도봉구 도봉로118길 10 1층
(지번) 창동 659-1",37.6489696381303,127.035675792079,070-4115-1115,"기츠네 (9,000원), 붓가께 (10,000원), 가마타마 (10,500원), 김치우동 (9,000원), 냉우동 (10,000원), 가께 (8,000원), 에비가께 (10,000원), 어묵우동 (10,000원), 자루 (10,000원), 에비텐 붓가께 (13,000원), 치쿠타마텐 붓가께 (13,000원)"
통나무집,4.0,23,"서울 도봉구 노해로60길 99 1층
(지번) 쌍문동 96-9",37.6470793766404,127.032878908319,02-900-6644,"통나무 혼밥정식（1인） (14,000원), 생돼지고기 김치찌개 (8,000원), 통나무 푸짐한 돼지갈비 한상 (26,000원), 통나무 푸짐한 삼겹 한상 (30,000원), 통나무 푸짐한 갈비살 한상 (34,000원), 공기밥 (1,000원)"
묵은지사랑,4.1,36,"서울 도봉구 도봉로164길 38
(지번) 도봉동 625-13",37.6753418149619,127.046749843054,02-954-5264,"남도정식 (20,000원), 간장전복정식 (12,000원), 묵은지김치찌개 (8,000원), 매생이탕 (8,000원), 꽃게탕(중) (30,000원)"
덩어리 쌍문본점,3.6,211,"서울 도봉구 도봉로117길 8 1층
(지번) 쌍문동 88-70",37.6494867650413,127.034591492957,02-992-0522,"덩어리 모듬 (36,000원), 고추장찌개 (5,000원), 김치찌개 (5,000원), 고치밥 (8,000원), 덩어리모듬+야채모듬 (42,000원), 두꺼비 (17,000원), 쫄깃살 (15,000원), 삼겹살 (14,000원), 옛날수제돼지갈비 (17,000원)"
망향비빔국수 창동점,3.7,101,"서울 도봉구 도봉로 534
(지번) 창동 700-33",37.6527598701811,127.037493798917,02-996-0110,"비빔국수 (8,000원), 직접 삶아드시는 양념포장(3인) (21,000원), 잔치국수 (8,000원), 통등심 돈까스 (10,000원), 갈비만두 (4,000원), 손만두 (4,000원), 치즈만두 (5,000원), 팝콘만두 (5,000원), 아기국수 (3,000원)"
북새통,4.3,44,"서울 도봉구 덕릉로60길 54 1층
(지번) 창동 454-1",37.6378318276681,127.040497195677,02-903-5799,"소생갈비(600g) (46,000원), 양념 소갈비(600g) (46,000원), 갈비살(500g) (42,000원), 돼지한마리(500g) (39,000원), 삼겹살(180g) (13,000원), 목살(180g) (13,000원), 양념왕갈비(250g) (13,000원), 갈비살(1인분) (14,000원), 항정살(150g) (15,000원), 프라임 눈꽃살치(180g) (22,000원)"
원주추어탕,3.5,52,"서울 도봉구 방학로 247 1층
(지번) 방학동 455-8",37.6612147212887,127.024717293128,02-954-5540,"추어탕 (11,000원), 통추어탕 (13,000원), 추어튀김 (15,000원)"
스타벅스 쌍문도봉로점,4.3,44,"서울 도봉구 도봉로 444 1층
(지번) 창동 650-45",37.6453890648185,127.033116226875,1522-3232,"아이스 슈크림 라떼 (6,500원), 슈크림 라떼 (6,500원), 스타벅스 딸기 라떼 (6,500원), 슈크림 쿠키 망고 라떼 (6,500원), 오늘의 커피 (4,500원), 카푸치노 (5,200원), 카페 라떼 (5,200원), 카페 모카 (5,700원), 카페 아메리카노 (4,700원), 카라멜 마키아또 (6,100원), 화이트 초콜릿 모카 (6,100원), 스타벅스 돌체 라떼 (6,100원), 자바 칩 프라푸치노 (6,500원), 망고 바나나 블렌디드 (6,600원), 아이스 자몽 허니 블랙 티 (5,900원), 자몽 허니 블랙 티 (5,900원), 콜드 브루 (5,100원), 디카페인 카페 아메리카노 (5,000원), 디카페인 카페 라떼 (5,500원), 제주 말차 라떼 (6,100원), 돌체 콜드 브루 (6,000원)"
예가만두,4.7,45,"서울 도봉구 방학로 251 1-2층
(지번) 방학동 463-5",,,02-955-8252,"야채만두전골 (13,000원), 얼큰만두전골 (13,000원), 김치찐만두 (9,000원), 고기찐만두 (9,000원)"
미소임당,3.8,109,"서울 도봉구 도봉로 421
(지번) 쌍문동 103-66",37.6437677125761,127.031250357036,,"소고기 한판 (소) (46,000원), 생 갈비살 (170g) (18,000원), 양념 갈비살 (200g) (18,000원), 안창살 (170g) (23,000원), 꽃갈비 (170g) (25,000원), 토시살 (170g) (16,000원), 등심 (170g) (15,000원), 살치 (170g) (17,000원), 부채 (170g) (16,000원), 생 갈비살 한판 (500g) (43,000원), 양념 갈비살 한판 (600g) (17,000원)"
금문,3.5,58,"서울 도봉구 노해로63길 79 우림빌딩 2층 205호
(지번) 창동 134-36",37.6530884876081,127.046291895459,02-907-7575,"마차이나짜장면 (6,000원), 간짜장 (7,000원), 수제군만두 (5ps) (6,000원), 볶음밥 (7,000원), 삼선볶음밥 (10,000원)"
소통애 본점,4.3,21,"서울 도봉구 도봉로136가길 73 북한산한신휴플러스아파트 104동 1층 104호
(지번) 창동 826",37.6556525588698,127.042804882242,,"양념소갈비살(500g) (35,000원), 생갈비살(180g) (15,000원), 양념목살(180g) (7,900원), 삼겹살(180g) (7,900원)"
고기싸롱 쌍문역점,3.7,39,"서울 도봉구 도봉로 454 1층
(지번) 창동 650-47",37.6462366326041,127.03370887958,02-907-1988,"주먹고기 (가격정보 없음), 수제 돼지 양념구이 (가격정보 없음), 닭갈비 (가격정보 없음), 껍데기 (가격정보 없음), 삼겹살 (가격정보 없음), 떡볶이 (가격정보 없음), 닭강정 (가격정보 없음), 쫄면 (가격정보 없음), 된장찌개 (가격정보 없음)"
버거킹 쌍문SK점,3.2,8,"서울 도봉구 도봉로 437 SK주유소 1층
(지번) 쌍문동 103-7",37.6449722642179,127.032158920343,02-904-0332,"블랙 바비큐 와퍼 (가격정보 없음), 블랙 바비큐 콰트로 치즈와퍼 (가격정보 없음), 불맛 더블치즈앤베이컨 버거 (가격정보 없음), 통새우 와퍼 (가격정보 없음), 몬스터 와퍼 (가격정보 없음), 두툼 버거 (가격정보 없음), 오리지널스 화이트 페타 (가격정보 없음), 스파이시 풀드비프 와퍼 (가격정보 없음), 풀드비프 와퍼 (가격정보 없음), 갈릭불고기 와퍼 (가격정보 없음), 불고기 와퍼 (가격정보 없음), 비프&슈림프버거 (가격정보 없음), 와퍼 (가격정보 없음), 치즈와퍼 (가격정보 없음), 치킨킹BLT (가격정보 없음), 콰트로치즈와퍼 (가격정보 없음), 통새우슈림프버거 (가격정보 없음)"
스시제이,3.9,4,"서울 도봉구 도봉로115길 9
(지번) 쌍문동 88-110",37.6485604897867,127.033882167876,02-900-8585,"모듬 사시미 (33,000원), 특 모듬초밥 (12p) (15,000원), 참치초밥 (10p) (18,000원), 초새우 (10p) (14,000원), 후레쉬 연어롤 (8p) (9,000원), 와규 롤 (8p) (10,000원)"
공릉동닭한마리 방학점,3.9,27,"서울 도봉구 도봉로 683
(지번) 방학동 703-14",37.6654906885636,127.041934071403,02-955-1990,"닭한마리 (2-3인) (25,000원), 닭 한마리반 (3-4인) (37,000원), 닭 두마리 (4-5인) (49,000원), 능이 닭한마리 (2-3인) (44,000원), 능이 닭 한마리 반 (3-4인) (59,000원)"
무수울카페,4.0,57,"서울 도봉구 도봉로173길 124
(지번) 도봉동 435-18",37.6786028194614,127.037116955072,,"에스프레소 (3,500원), 아메리카노 (3,500원), 카페라떼 (4,000원), 카푸치노 (4,000원), 카페모카 (4,500원)"
카페에덴,5.0,28,"서울 도봉구 방학로 306
(지번) 방학동 596-1",37.6629452194212,127.018399818212,02-3491-3331,"아메리카노(Hot) (4,300원), 에스프레소 (4,000원), 뽀로로 (1,500원)"
신창시장족발,4.0,4,"서울 도봉구 덕릉로57길 47
(지번) 창동 585-12",37.6402403235451,127.036108169449,02-995-8544,"[쫄깃쫄깃] 족발 특大（대） (37,000원), [쫄깃쫄깃] 족발 中（중） (32,000원), [새콤달콤매콤] 쟁반국수 (12,000원), 미니족 (10,000원), [알뜰구성 찰떡궁합] 족발 특大（대）＋ 쟁반국수 (42,000원), [알뜰구성 찰떡궁합] 족발 中（중）＋ 쟁반국수 (37,000원), 사이다 (2,000원), 콜라 (2,000원)"
