이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
안동집,3.4,188,"서울 동대문구 고산자로36길 3 경동시장 신관 지하1층 8-2호
(지번) 제기동 1021",37.5790377655561,127.039142935818,02-965-3948,"손국시 (8,000원), 건진국시 (8,000원), 비빔밥 (8,000원), 수육 (12,000원), 부추전 (8,000원), 배추전 (8,000원)"
할머니냉면,3.5,286,"서울 동대문구 왕산로37길 51
(지번) 제기동 470",37.5822715535487,127.043676583037,02-963-5362,"냉면 (7,000원), 냉면곱배기 (9,000원), 면사리 (3,000원)"
놀부만두,3.6,223,"서울 동대문구 망우로16길 15 1층
(지번) 휘경동 276-33",37.5893525413018,127.061487903115,02-2241-7550,"고기통만두 (10개) (6,000원), 김치만두 (8개) (6,000원), 판모밀 (8,000원), 비빔모밀 (8,000원), 온모밀 (8,000원), 유부우동 (7,000원), 쫄면 (8,000원), 비빔밥 (8,000원), 사골만두국 (8,000원), 사골떡만두국 (8,000원), 사골떡국 (8,000원)"
서울뼈구이매운족발,3.5,685,"서울 동대문구 왕산로 274-1
(지번) 전농동 602-9",37.5850343644152,127.051280001821,02-965-5838,"뼈구이 (1인분) (13,000원), 뼈구의~리 (1인분) (14,000원), 미니족발 (20,000원), 양푼주먹밥 (3,000원), 날치알주먹밥 (4,000원)"
영화장,3.0,293,"서울 동대문구 휘경로 3-8 1-2층
(지번) 이문동 288-23",37.5965814813787,127.060942053934,02-967-9595,"양저우볶음밥 (13,000원), 탕수육 (23,000원), 사천탕수육 (26,000원), 유린탕수육 (26,000원), 깐소중새우 (33,000원), 깐풍중새우 (33,000원), 마늘중새우 (36,000원), 양장피 (30,000원), 전가복 (80,000원), 팔보채 (40,000원), 류산슬 (40,000원), 해물누룽지탕 (42,000원), 해삼탕 (80,000원), 삼선짬뽕 (12,000원), 삼선백짬뽕 (12,000원), 고추삼선짬뽕 (13,000원), 삼선간짜장 (10,000원), 짜장면 (8,000원), 짜장밥 (9,000원), 삼선짬뽕밥 (12,500원), 삼선백짬뽕밥 (12,500원), 잡탕밥 (22,000원), 군만두 (8,000원), 깐풍육 (26,000원), 고추삼선간짜장 (11,000원)"
어머니대성집,3.5,666,"서울 동대문구 왕산로11길 4 1층
(지번) 용두동 232-26",37.5774742408426,127.028564198078,02-923-1718,"해장국 (14,000원), 육회비빔밥 (17,000원), 육회 (35,000원), 소고기수육 (40,000원), 모듬수육 (40,000원)"
혜성칼국수,3.6,424,"서울 동대문구 왕산로 247-1 1층
(지번) 청량리동 50-18",37.5834249035109,127.04898605372,02-967-6918,"멸치칼국수 (10,000원), 닭칼국수 (10,000원)"
청량리남원통닭,3.4,381,"서울 동대문구 홍릉로1길 39 1층
(지번) 제기동 635-4",37.5804162833524,127.042785999351,02-968-9841,"반반（알바생 최애） (22,000원), 후라이드치킨（대）（사장님강추） (20,000원), 양념치킨（대） (22,000원), 닭똥집（알바생 강추／최애） (14,000원), 후라이드치킨 （소） (18,000원), 양념치킨（소） (20,000원), 닭똥집（양념） (16,000원), 콜라 500mL (2,000원), 사이다 500mL (2,000원)"
한옥정,3.5,219,"서울 동대문구 답십리로 146-4
(지번) 답십리동 246-12",37.5725856773053,127.056255742304,02-2249-1082,"구운갈비정식 (14,000원), 생삼겹 (200g) (15,000원), 생등심 (200g) (30,000원), 돼지갈비 (250g) (14,000원), 해물버섯전골 (35,000원), 삼낙볶음 (12,000원), 불낙볶음 (12,000원), 고등어묵은지조림 (12,000원), 돼지묵은지조림 (12,000원), 갈치조림 (12,000원), 김치전골 (7,000원), 닭도리탕 (35,000원), 제육볶음 (10,000원), 갈치구이 (11,000원), 한옥정된장찌개 (7,000원), 고등어구이 (10,000원), 어탕류 (변동가격)"
짱구네야끼만두,3.6,119,"서울 동대문구 경동시장로10길 45 1층
(지번) 제기동 486-28",37.5814268592729,127.043221880365,010-4002-3389,"야끼만두 (6개) (2,000원), 김말이(10개) (5,000원), 못난이만두(10개) (4,000원), 꼬마김밥 (5,000원)"
