이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
조가네갑오징어 사당점,3.2,191,"서울 동작구 남부순환로271길 24 1층
(지번) 사당동 1041-5",37.4779140699266,126.980214576913,02-3472-0108,"갑오징어 불고기 (소) (34,000원), 갑오징어 삼겹살 불고기 (소) (39,000원), 갑오징어 관자 불고기 (소) (39,000원), 갑오징어 전골 (소) (39,000원), 갑오징어 까스 (점심) (9,000원)"
천하무족,4.5,97,"서울 동작구 동작대로7길 74 1층
(지번) 사당동 1038-27",37.4779306351813,126.978587691612,02-595-3308,"냉채족발 (중) (37,000원), 셋트족발 대(앞발) (45,000원), 족발 (뒷발) (중) (33,000원), 불족발 (중) (37,000원), 족발 대 (앞발) (37,000원), 보쌈(대) (42,000원), 보쌈(중) (35,000원), 보,족 셋트(대) (70,000원), 보,족 셋트(중) (60,000원), 쟁반막국수(대) (12,000원), 쟁반막국수(중) (7,000원), 셋트족발 중(뒷발) (40,000원), 한우내장수육 (중) (37,000원)"
서일순대국 별관,3.6,146,"서울 동작구 여의대방로24길 16 1층
(지번) 신대방동 362-27",37.4978648398991,126.921136490395,02-821-7769,"순대국 (10,000원), 순대국 (특) (11,000원), 야채순대 (10,000원), 오소리감투 (17,000원), 머리고기 (17,000원), 모듬 (20,000원)"
애플하우스 이수,,"2,443","서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호
(지번) 사당동 138-4",37.4862850569156,126.980662610028,02-595-1629,"즉석 1인 세트 (9,500원), 즉석 2인 세트 (14,000원), 일반떡볶이 (5,000원), 즉석떡볶이 (4,500원), 라면+쫄면사리 (4,000원), 무침군만두(4개) (4,000원), 순대볶음 (5,000원), 순대 (4,000원), 쫄면 (5,500원), 잔치국수 (4,000원), 김치볶음밥 (6,000원)"
쿠우쿠우 보라매공원점,,228,"서울 동작구 보라매로5가길 16 보라매아카데미타워 7층 701호
(지번) 신대방동 395-69",37.4912751024086,126.924094714271,02-835-6274,"평일런치 (오후 5시 이전) (25,900원), 평일디너 (오후 5시 이후) (30,900원), 주말 및 공휴일 (33,900원), 미취학아동 (만36개월 이상) (8,900원), 초등학생(평일런치) (15,900원), 초등학생(평일 디너) (16,900원), 초등학생(주말.공휴일) (17,900원)"
모소리 사당점,4.4,212,"서울 동작구 사당로 243-5 1층
(지번) 사당동 323-4",37.483453112125,126.97498138777,070-7543-8335,"모소리살 (120g) (13,000원), 가오리살 (120g) (13,000원), 가로막살 (120g) (13,000원), 구멍살 (120g) (13,000원), 삼각살 (120g) (13,000원), 껍데기 (10,000원)"
스톤504 스테이크하우스,4.4,218,"서울 동작구 상도로61길 54 1층
(지번) 상도동 507-11",37.4946328731739,126.957769025849,02-6401-0504,"마르게리따 (15,900원), 크로와상 리코타 치즈 샐러드 (13,900원), 부라타치즈 토마토 샐러드 (18,900원), 베이컨 시저 샐러드 (13,900원), 닭가슴살 버섯 샐러드 (14,900원), 명란 오일 (13,900원), 루꼴라 봉골레 오일 (14,900원), 해산물 상하이 오일 (15,900원), 알리오 올리오 (10,900원), 부라타 모짜렐라 뽀모도로 (15,900원), 해산물 토마토 (16,900원), 라구(보로네제) (15,900원), 볼로네제 리조또 치즈 그라탕 (17,900원), 새우 로제 (16,900원), 해산물 토마토 뻬쉐(국물) (17,900원), 투움바 스파이시 새우 크림 (17,900원), 투움바 화이트 새우 크림 (17,900원), 단호박 뇨끼 (15,900원), 소불고기 크림 (15,900원), 해산물 스파이시 크림 (16,900원), 시금치 베이컨 크림 (14,900원), 까르보나라 (12,900원), 고르곤졸라 (14,900원), 디아볼라 페페로니 (16,900원), 시금치 페페로니 (16,900원), 루꼴라 베이컨 토마토 (17,900원), 불고기 피자 (17,900원), 스테이크 피자 (18,900원), 콰트로 포르마지 (18,900원), 감바스 바게트 (17,900원), 찹 스테이크 바게트180g (29,900원), 소시지 새우 로제 떡볶이 (17,900원), 소시지 새우 스파이시 떡볶이 (17,900원), 그릴드 소시지 (16,900원), 까망베르 치즈 크레커 (13,900원), 플랫아이언(부채살)스테이크200g (31,900원), 텐더로인(안심)스테이크200g (49,900원), 립아이(꽃등심)스테이크300g (59,900원), 안심+부채살 스테이크400g (79,900원), 안심+립아이 스테이크500g (107,900원), 토마호크 스테이크 500g (109,500원), 토마호크 스테이크 600g (131,400원), 토마호크 스테이크 700g (153,300원), 토마호크 스테이크 800g (175,200원), 토마호크 스테이크 900g (197,100원), 토마호크 스테이크 1000g (219,000원), 오늘의 스프 (6,000원), 마늘 바게트 4p (6,900원), 디저트 (9,900원), 하우스 샐러드 (11,900원)"
전주전집,3.4,427,"서울 동작구 동작대로7길 19 1층
(지번) 사당동 1032-1",37.4796678663785,126.980648374025,010-4660-7391,"소고기 육전 (27,000원), 꿀돼지 삼겹전 (27,000원), 동그랑땡 (22,000원), 감자전 (21,000원), 김치전 (21,000원), 깻잎전 (22,000원), 고추전 (22,000원), 녹두전 (22,000원), 두부전 (20,000원), 배추전 (20,000원), 부추전 (20,000원), 호박전 (20,000원), 표고버섯전 (23,000원), 홍어무침 (30,000원), 홍어회 (30,000원), 홍어전 (30,000원), 통통새우전 (27,000원), 해물파전 (27,000원), 굴전 (30,000원), 해물김치전 (27,000원)"
영일만,4.0,127,"서울 동작구 남부순환로271길 27 1층
(지번) 사당동 1040-32",37.4781054939001,126.979973941963,02-522-4080,"막회(중) (35,000원), 오징어숙회 (21,000원), 과메기 (21,000원)"
불광옥,4.4,262,"서울 동작구 사당로30길 161 1층
(지번) 사당동 1042-5",37.4776070125196,126.98080096559,02-875-6161,"100% 수제양념돼지갈비(국산) (18,000원), 한돈 암퇘지 삼겹살 (17,000원), 꺼먹돼지 오겹살(전북 장수) (18,000원), 꺼먹돼지 목살 (18,000원), 꺼먹돼지 사태살 (18,000원), 꺼먹돼지 배포살 (14,000원), 황제갈비살(소) (20,000원), 차돌박이(국산) (20,000원), 물냉 (8,000원), 비냉 (8,000원)"
