이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
을밀대 본점,4.2,"1,156","서울 마포구 숭문길 24
(지번) 염리동 147-6",37.5474926724344,126.945531718956,02-717-1922,"물냉면 (15,000원), 수육 (소) (35,000원), 녹두전 (12,000원), 홍어 (60,000원), 비빔냉면 (15,000원), 회냉면 (18,000원), 양지탕밥 (12,000원)"
어메이징농카이,3.9,376,"서울 마포구 동교로 156-11 1층
(지번) 서교동 351-13",37.5553293803726,126.919924096529,02-322-0567,"푸팟퐁커리 게커리 (26,000원), 어메이징 농카이 시그니쳐 똠얌꿍 (14,000원), 똠얌 쌀국수 (11,000원), 소고기 쌀국수 (8,500원), 소고기 완자 쌀국수 (8,500원), 돼지 쌀국수 (8,500원), 돼지 완자 쌀국수 (8,500원), 남똑쌀국수 (12,000원), 까우라우 남똑 (12,000원), 돼지까우라우남사이 (12,000원), 엔타포해물쌀국수 (15,000원), 랏나 죽쌀국수 (14,000원), 수키 (14,000원), 쏨땀타이 달콤매콤 파파야샐러드 (12,000원), 젓갈 쏨땀 빨라 (11,000원), 땀빠 (15,000원), 땀탓 (20,000원), 땀 쑤아 (13,000원), 땀 코랏 (12,000원), 땀 꿍솥 (15,000원), 얌운센 새콤당면 향신채샐러드 (12,000원), 얌탈레 새콤오징어 향신채샐러드 (13,000원), 쁠라꿍 새콤매콤 새우무침샐러드 (20,000원), 얌무여 소시지 새콤향신채샐러드 (12,000원), 꿍차남빠 새우회샐러드 (20,000원), 캡무 돼지껍질튀김 (5,000원), 카오팟 볶음밥 (12,000원), 카오팟 사팔롯 파인애플 볶음밥 (13,000원), 까파오 단바질 매운볶음요리 (13,000원), 까파오무껍튀긴오겹살바질볶음 (15,000원), 까이팟멧마우앙 달콤양념소스 닭튀김 (15,000원), 픽 타이 담흑후추 돼지고기 볶음 (14,000원), 남만허이 굴소스고기볶음 (14,000원), 팟 팍 루암 모듬채소 볶음 (14,000원), 드커리 제육볶음 (13,000원), 호목탈레 코코넛 커리 해물 찜 (14,000원), 카오카무 족발덮밥 (13,000원), 카오만까이 치킨라이스 (13,000원), 카오무끄롭 바삭삼겹살덮밥 (13,000원), 텃 까티얌 랏카오 마늘볶음덮밥 (15,000원), 텃 까티얌 마늘볶음요리 (15,000원), 카이찌야오 계란전 (10,000원), 해물 똠얌탈레 (14,000원), 맑은 똠얌꿍 남싸이 (14,000원), 똠카까이 (14,000원), 똠쯧무쌉 돼지고기국물요리 (14,000원), 죽 (12,000원), 맛싸만 까이 치킨 땅콩커리 (14,000원), 갱피엣 매콤한 레드 커리 (14,000원), 파냉 땅콩 코코넛 달콤매콤 커리 (14,000원), 겡키요우완 달콤 그린커리 (14,000원), 팟타이 (14,000원), 팟키마오 술간장 복음면(매운맛) (15,000원), 팟시유 간장볶음 쌀국수 (14,000원)"
우동카덴 합정점,3.2,689,"서울 마포구 양화로7안길 2-1 1-2층
(지번) 서교동 391-5",37.5516855965118,126.915068576637,02-6463-6362,"키쯔네(유부)우동 (11,000원), 멘타이코(명란)앙카케타마고 토지우동 (13,000원), 아사리(모시조개)우동 (13,000원), 가마타마 버터우동 (13,000원), 텐뿌라우동 (13,000원), 에비(새우) 크림우동 (14,000원), 카키아게우동 (13,000원), 멘타이코(명란)크림우동 (14,000원)"
담택,4.5,728,"서울 마포구 동교로12안길 51 1층
(지번) 서교동 481-15",37.5544519990868,126.915164802094,02-336-0974,"시오라멘 (9,500원), 유즈시오라멘 (10,500원), 레몬시오라멘 (10,500원), 와사비시오라멘 (11,500원), 새우시오라멘 (11,500원), 목살추가 (2,500원), 삼겹살추가 (3,000원), 계란추가 (1,500원), 버터추가 (2,500원), 에비시오라멘 (11,500원), 히야시탄탄멘 (12,000원)"
프리모바치오바치 홍대본점,4.0,263,"서울 마포구 와우산로23길 44 2-3층
(지번) 서교동 346-47",,,02-323-0098,"삐깐떼감베로니피자 (17,000원), 네베피자 (15,000원), 세이포르마쥐피자 (17,000원), 델라까사피자 (14,000원), 마르게따피자 (15,000원), 빠따따피자 (14,000원), 시저피자 (17,000원), 고르곤졸라피자 (17,000원), 마리나라리조또 (15,000원), 뽈로그라탕리조또 (13,000원), 케이준 감베로니리조또 (14,000원), 감베로니리조또 (14,000원), 베지타리아노샐러드 (8,000원), 삐꼴로 뽈로샐러드 (12,000원), 만조샐러드 (12,000원), 프리티 감베로니샐러드 (12,000원), 인살라따 미스토 디 마레샐러드 (14,000원), 시저샐러드 (12,000원), 바치오포르마쥐샐러드 (13,000원), 풍기 알라 바치오샐러드 (10,000원)"
영광보쌈,3.4,271,"서울 마포구 만리재로1길 14 1층
(지번) 공덕동 256-20",37.5452987922319,126.952992351329,02-716-0873,"보쌈 (26,000원)"
헤키,4.6,846,"서울 마포구 동교로9길 33 1층
(지번) 망원동 379-25",37.5552406222699,126.909789774459,070-7773-9870,"히레카츠 (14,500원), 레몬냉우동 (6,500원), 냉우동 (6,500원), 들기름냉우동 (7,000원), 상로스카츠 (17,500원), 특히레카츠 (17,000원), 모둠카츠 (16,000원), 토리카츠 (15,000원)"
옥동식 서교점,3.9,810,"서울 마포구 양화로7길 44-10 1층
(지번) 서교동 385-6",37.5526647710073,126.914527535623,010-5571-9915,"돼지곰탕 (보통) (11,000원), 돼지곰탕 (특) (16,000원), 김치만두 (7,000원), 돼지곰탕 (포장. 2인분) (20,000원), 김치만두(4개) (7,000원), 김치만두포장(1kg) (20,000원), 벼꽃향미 식혜 (2,000원)"
진미식당,3.7,219,"서울 마포구 마포대로 186-6 1층
(지번) 공덕동 105-127",37.550607750987,126.955802324859,02-3211-4468,"간장게장(포장)(1마리) (40,000원), 게장정식 (1인) (45,000원)"
진대감 마포점,4.5,"3,688","서울 마포구 마포대로12길 54
(지번) 공덕동 249-62",37.5466238440857,126.954481157634,02-715-1559,"한우꽃게된장찌개 (12,000원), 한우차돌짬뽕라면 (10,000원), 한우파김치전골 (55,000원), 한우차돌삼합 (29,000원), 한우투뿔모듬(No.9) (99,000원), 한우차돌박이 (29,000원), 갓김치물냉면 (10,000원), 갓김치비빔냉면 (10,000원)"
