이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
만동제과,4.3,"1,691","서울 서대문구 연희로 32 1층
(지번) 창천동 448",37.5615334470122,126.92727545383,02-6489-2334,"마늘바게트 (7,200원), 어니언베이글 (6,200원)"
한옥집김치찜 서대문본점,2.7,240,"서울 서대문구 통일로9길 12 1층
(지번) 냉천동 20-1",37.5672716927969,126.964330722367,02-362-8653,"한옥집김치찜 (11,500원), 한옥집김치찌개 (11,500원), 한옥집달걀말이 (11,500원), 한옥집떡갈비 (10,500원), 한옥집도시락 (15,000원), 한옥집김치등뼈전골(소) (39,000원), 한옥집수육무침(소) (21,000원), 한옥집 김치 (5kg) (49,000원)"
철길떡볶이,2.8,361,"서울 서대문구 충정로 35-6
(지번) 충정로3가 143-2",37.5623022971557,126.963604754433,02-364-3440,"떡볶이 (1인분) (3,500원), 순대 (1인분) (3,500원), 라면 (1개) (3,500원), 김밥 (1줄) (1,500원), 야끼튀김 (1인분) (2,000원), 김말이튀김 (1인분) (2,000원), 어묵 (1꼬치) (2,000원)"
카페폭포,4.1,503,"서울 서대문구 연희로 262-24 1층
(지번) 홍은동 429",37.5812948053803,126.93701979135,02-330-4998,"에스프레소 (4,000원), 아메리카노 (4,000원), 카페라떼 (4,500원), 바닐라라떼 (5,000원), 카푸치노 (5,000원), 초코라떼 (4,500원), 유자차 (4,500원), 캐모마일 (4,500원), 페퍼민트 (4,500원), 자스민 (4,500원), 레몬에이드 (4,500원), 아이스티 (4,000원), 생수 (1,000원), 트레비(탄산수) (1,500원)"
피터팬1978 본점,4.0,228,"서울 서대문구 증가로 10 연궁빌딩 1층
(지번) 연희동 90-5",37.5693884840153,126.931759938035,02-336-4775,"피터팬 팥빙수 (7,000원), 시원한 수박 슬러시 (5,500원), 피터팬 아포가토 (4,000원), 아메리카노 (3,500원), 카페라떼 (4,000원)"
목란,3.2,838,"서울 서대문구 연희로15길 21
(지번) 연희동 132-28",37.5683879983016,126.930489467973,02-732-0054,"탕수육 (22,000원), 양장피 (38,000원), 유린기 (35,000원), 깐풍기 (35,000원), 라조기 (35,000원), 공보기정 (35,000원), 깐풍닭날개 (40,000원), 산라탕 (22,000원), 영덕대게게살스프 (32,000원), 중새우칠리 (40,000원), 깐풍중새우 (40,000원), 고추중새우볶음 (42,000원), 크림중새우 (40,000원), 깐풍관자 (55,000원), 관자튀김 (55,000원), 굴기름관자 (55,000원), 마라관자 (55,000원), 잡탕밥 (18,000원), 게살볶음밥 (13,000원), 새우볶음밥 (10,000원), 탄탄면 (12,000원), 기스면 (8,000원), 짬뽕 (15,000원), 짜장면 (10,000원)"
소담촌 홍제점,3.6,38,"서울 서대문구 통일로 413 연세스포츠센터 5층
(지번) 홍제동 158-33",37.5861817569167,126.946438736626,02-391-8877,"월남쌈샤브 (13,900원), 월남쌈버섯샤브 (17,800원), 월남쌈와규샤브 (17,800원), 우삼겹구이&샤브 (15,000원), 돈삼겹구이&샤브 (15,000원)"
맛있는집,4.6,198,"서울 서대문구 거북골로20길 55 지하1층
(지번) 북가좌동 311-6",37.580440464006,126.910843714938,02-305-1906,"떡볶이 (1인분) (3,500원), 계란 (2개) (1,000원)"
어머니와아들,4.1,302,"서울 서대문구 홍은중앙로 100-1 1층
(지번) 홍은동 9-86",37.5994008243308,126.948635967562,02-391-0411,"마늘 닭볶음탕 (32,000원), 닭곰탕 (17,000원), A세트 마늘 닭볶음탕＋닭곰탕 (45,000원), 라면사리 (2,000원), 떡사리 (2,000원), 공기밥 (1,000원), 사이다 (2,000원), 콜라 (2,000원)"
효동각 본점,3.0,29,"서울 서대문구 연대동문길 24
(지번) 대신동 50-2",37.5635069341247,126.943657933423,,"자장면 (8,000원), 곱빼기 자장면 (10,000원)"
라이라이,3.6,123,"서울 서대문구 연희로15길 27
(지번) 연희동 132-27",37.5685901508409,126.930437098041,02-338-3203,"동파육 (36,000원), 칠리가지 (25,000원), 유린기 (31,000원), 깐풍기 (31,000원), （추천메뉴）사천탕수육 (33,000원), 크림새우 (36,000원), 유니짜장 (9,000원), 간짜장 (11,000원), 쟁반짜장 (13,000원), 짬뽕 (11,000원), 삼선짬뽕 (14,000원), 물만두 (9,000원), 군만두 (9,000원), 오향장육（소고기） (36,000원), 해파리냉채 (17,000원), 볶음밥 (11,000원), 잡채밥 (13,000원), 고추덮밥 (14,000원), 짬뽕밥 (12,000원), 삼선짬뽕밥 (15,000원), 라조기밥 (15,000원), 유산슬밥 (17,000원), 잡탕밥 (18,000원), 싼라탕 (21,000원), 옥수수계란스프 (17,000원), 해물누룽지탕 (43,000원), 탕수육 (27,000원), 잡채 (27,000원), 고추잡채 (33,000원), 꽃빵 (8,000원)"
더파이홀,4.1,604,"서울 서대문구 연세로5나길 20 1층
(지번) 창천동 57-61",37.557045882794,126.935055781905,010-4258-1181,"아메리카노 (4,000원), 카페라떼 (5,000원), 로얄밀크티 (6,500원), 타이라임 (ICE) (6,500원), 레몬에이드 (6,500원)"
