이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
버드나무집 서초본점,3.5,60,"서울 서초구 효령로 434 1층
(지번) 서초동 1340-5",37.489105917218,127.031204470279,02-3473-4167,"양념갈비 (200g)(1대) (85,000원), 주물럭 (120g) (85,000원), 등심 (130g) (88,000원), 물냉면 (15,000원), 비빔냉면 (15,000원), 생갈비 (200g)(1대) (120,000원), 안창살(130g) (88,000원), 육회(130g) (53,000원), 갈비정식(120g) (43,000원), 간장게장 (69,000원), 게장정식 (45,000원), 갈비탕 (32,000원), 소고기국밥 (15,000원), 비빔밥 (18,000원), 육회비빔밥 (30,000원), 물맛냉면 (9,000원), 비빔맛냉면 (9,000원)"
해담채 남부터미널점,3.5,75,"서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하1층
(지번) 서초동 1600-9",37.4858654442726,127.015099594605,02-585-4997,"해담채 정식 (34,000원), 해담채 특정식 (44,000원), 보리굴비정식 (34,000원), 간장게장 정식(大) (40,000원), 해담채 바다 A (57,000원), 해담채 바다 B (45,000원), 주방장 특선 (68,000원), 해담채 스페셜 (80,000원)"
서관면옥 교대본점,4.0,456,"서울 서초구 서초대로56길 11 1층
(지번) 서초동 1675-5",37.4939907944744,127.017269436895,02-521-9945,"평양냉면 (16,000원), 선비냉면 (16,000원), 골동냉면 (16,000원), 맛박이냉면 (18,000원), 랭반 (17,000원), 서관면상 (점심특선) (18,000원), 한우수육 (35,000원), 돝제육 (21,000원), 서관만두 (13,000원), 녹두빈대떡 (19,000원), 어복쟁반 (작은반) (80,000원)"
배나무골 양재본점,4.0,11,"서울 서초구 마방로2길 12 보성빌딩 지하1층
(지번) 양재동 241-3",37.4730945210073,127.039129900303,02-571-5252,"배나무골정식 (23,000원), 보리굴비정식 (26,000원), 연화코스 (49,000원), 오봉코스 (60,000원)"
일품진진수라 강남점,3.5,490,"서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층
(지번) 서초동 1553-5",37.4920207116979,127.009620980568,02-6250-3110,"간장게장반상 (40,900원), 오분자기뚝배기반상 (35,900원), 궁중구절판 (30,000원), 궁중해물탕 (30,000원), 떡갈비구이 (30,000원), 궁중팥갈비찜 (35,000원), 송화버섯갈비구이 (40,000원)"
노랑저고리 강남점,3.5,408,"서울 서초구 서초대로73길 9 타임빌딩 5층
(지번) 서초동 1316-29",37.4983082485546,127.025227802646,02-534-5300,"점심한상 (18,000원), 새댁 회 코스 (28,000원), 육회 (32,000원), 문어숙회 (30,000원), 참숯 바싹불고기 (30,000원), 상황버섯 훈제오리 (37,000원), 고흥유자갈비구이 (42,000원), 모듬회 (42,000원), 주안상정식 (39,000원), 노랑코스 (46,000원), 해물파전 (22,000원), 육전&생선전 (24,000원), 낙지볶음과 울금소면 (30,000원), 대하튀김 (27,000원), 통우럭 매운탕 (32,000원), 흑돼지 보쌈 (37,000원), 홍어삼합 (42,000원), 민물 장어구이 (32,000원)"
강남복칼국수,4.2,244,"서울 서초구 서초대로74길 23 서초타운트라팰리스 2층 204호
(지번) 서초동 1327",37.4956119342423,127.027090955824,02-3486-0252,"복칼국수 (2인이상) (13,000원), 김치복칼국수 (2인이상) (13,000원), 복국 (15,000원), 복튀김 (소) (25,000원), 복찜 (중) (45,000원)"
바른식시골보쌈&감자옹심이 교대점,4.0,27,"서울 서초구 서초대로52길 17 창성빌딩 1층
(지번) 서초동 1658-1",37.4930433656947,127.014756600474,02-583-6431,"바비큐 훈제 오리보쌈 (37,000원), 모둠보쌈 (50,000원), 반반보쌈 (46,000원), 시골보쌈 (41,000원), 보족세트 (47,000원), 꼬막무침 (26,000원), 감자옹심이 (12,000원), 메밀전병 (14,000원), 쭈꾸미철판 (29,000원), 공기밥 (1,000원), 감자전 (14,000원), 쟁반막국수 (16,000원), 해물파전 (17,000원), 모둠한상 (104,000원), 시골한상 (103,000원), 보쌈정식도시락 (13,000원), 사이다 （355mL） (2,000원), 콜라 （355mL） (2,000원)"
요멘야고에몬 강남점,3.4,492,"서울 서초구 서초대로77길 7 서초빌딩 1층
(지번) 서초동 1317-13",37.4984515310599,127.026362681735,02-534-8036,"런치세트 A (13,500원), 런치세트 B (15,500원), 런치세트 C (14,500원), 런치세트 D (16,500원), 레귤러 세트 (15,900원), 라지 세트 (16,900원), 디저트 세트 (18,900원), 수플레오믈렛 멘타이꼬 리조또 (14,000원), 요쿠바리 간장버터 (13,000원), 연어 이쿠라 토마토크림 (14,000원), 연어 이쿠라 크림소스 (14,000원), 연어 이쿠라 간장커리 (14,000원), 스키아키 스파게티 (13,000원), 치킨 카라아게 미소소스 (13,000원), 까르보나라 칠리토마토 (12,900원), 슈림프 모짜렐라 치즈 (12,900원), 매콤 새우 버섯 토마토소스 (12,900원), 매운해물페페론치노 (13,000원), 슈림프 아보카도 바질페스토 (13,900원), 포르치니 버섯 크림소스 (13,900원)"
해몽,4.3,326,"서울 서초구 사평대로56길 8 양정빌딩 2층 가호
(지번) 서초동 1302-45",37.5032358705882,127.022917469713,02-515-6080,"등갈비 (1,900원), 목살(300g) (28,000원), 항정살(180g) (16,000원), 등갈비(300g) (19,000원), 김치찌개 (8,000원), 고추장찌개 (10,000원), 냄비비빔밥 (5,000원), 라면 (4,000원)"
진대감 서초점,4.3,"1,719","서울 서초구 효령로55길 39 센트로빌딩 1층
(지번) 서초동 1594-3",37.486578275487,127.014014385044,02-523-2472,"한우차돌삼합 (29,000원), 한우투뿔모듬(No.9) (99,000원), 한우파김치전골대표 (55,000원), 한우차돌박이 (29,000원), 한우꽃게된장찌개 (12,000원), 키조개관자장비빔밥 (10,000원), 한우차돌짬뽕라면 (10,000원), 갓김치물냉면 (10,000원), 갓김치비빔냉면 (10,000원), 날치알볶음밥 (6,000원), 구수한 누룽지 (8,000원), 점심)즉석한우불고기 (14,000원), 점심)한우꽃게된장찌개밥상 (12,000원), 점심)한돈파김치전골밥상 (11,000원), 점심)키조개관자장비빔밥상 (10,000원), 점심)한우차돌짬뽕라면밥상 (10,000원), 콩나물찜 (6,000원)"
산들해 반포점,3.5,127,"서울 서초구 반포대로 287 래미안퍼스티지 중심상가 지하1층
(지번) 반포동 18-3",37.5043279449175,127.001088324244,02-537-0113,"한정식 (23,000원), 한돈 돼지불고기 (20,000원), 한우 소불고기 (27,000원), 낙지볶음 (18,000원), 황태구이 (18,000원), 홍어회무침 (15,000원), 해물파전 (20,000원)"
설눈,4.0,279,"서울 서초구 서초대로46길 20-7 영토빌딩 1층
(지번) 서초동 1551-9",37.4912328587334,127.009768331142,02-6959-9339,"고려 물냉면 (15,000원), 고려 비빔냉면 (15,000원), 왕만두 (반접시) (7,000원), 소고기 수육 (40,000원), 돼지고기 편육 (30,000원), 갈비찜 (60,000원), 평양온반 (13,000원), 소고기 만두전골 (22,000원), 불고기 전골 (22,000원), 평양 육개장 (13,000원)"
우들목 서초점,2.8,31,"서울 서초구 강남대로51길 1 511타워 지하1층
(지번) 서초동 1338-11",37.4912870511791,127.03026231978,02-3474-9292,"진갈비탕 (18,000원), 갈비찜 정식 (25,000원), 한우 육회돌솥비빔밥 (18,000원), 우들목 정식(평일점심) (29,000원), 한우 모듬 (748,000원), 우들목 정식(저녁) (41,000원), 우들목 정식3+1(평일1-4시) (87,000원)"
옛골토성,3.9,"1,227","서울 서초구 청계산로 434
(지번) 신원동 69-7",37.430458638124,127.070912722917,02-577-9494,"소한마리(4인) (97,000원), 와규등심(1인) (33,000원), 우대갈비(1대) (33,000원), 우삼겹(1인) (20,000원), 소갈비살(1인) (23,000원), 오리훈제바베큐(1인) (17,000원), 생오리로스(한마리) (58,000원)"
