이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
성수족발,3.3,505,"서울 성동구 아차산로7길 7 1층
(지번) 성수동2가 289-273",37.5459871942742,127.054270741555,02-464-0425,"족발 (특대) (50,000원), 족발 (대) (45,000원), 족발 (중) (40,000원)"
할머니의레시피,3.6,404,"서울 성동구 서울숲2길 44-12
(지번) 성수동1가 668-108",37.5461743475135,127.043085869776,02-467-5101,"숨뼈국 (11,000원), 버섯부추비빕밥 (10,000원), 강경젓갈쌈밥 (12,000원), 간장 돌게장 (16,000원), 쌈밥정식 (15,000원)"
어니언 성수,3.5,716,"서울 성동구 아차산로9길 8 1-2층
(지번) 성수동2가 277-135",,,070-4353-3238,"에스프레소(Espresso) (5,000원), 아메리카노(Americano) (5,500원), 카페라떼(Cafe latte) (6,000원), 카푸치노(Cappuccino) (6,000원), 플랫화이트(Flatwhite) (6,000원), 바닐라라떼(Vanilla latte) (7,000원), 그린라이트 (상추 스무디) (8,500원), 이 초콜릿 라떼는 최고라고 자부한다. (7,000원), 히비스커스 앤 로지스 티 (7,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니처 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원)"
대성갈비,3.2,269,"서울 성동구 상원1길 26 서울숲A타워 1층 101~103호
(지번) 성수동1가 656-591",37.546194350143,127.048432321547,02-464-3012,"소갈비(350g) (40,000원), 등심(150g) (30,000원), 차돌박이(150g) (30,000원), 갈비살(150g) (22,000원), 돼지갈비(200g) (20,000원), 삼겹살(200g) (20,000원), 목살(200g) (20,000원), 백반 (10,000원), 냉면 (5,000원)"
땅코참숯구이 본점,4.1,641,"서울 성동구 행당로17길 26 1층
(지번) 행당동 292-34",37.5606847363543,127.033029239873,02-2281-6908,"목살 (200g) (19,000원), 삼겹살 (200g) (19,000원), 갈매기살 (160g) (19,000원)"
쎈느,3.8,58,"서울 성동구 연무장5길 20 1,2층
(지번) 성수동2가 314-2",,,02-469-2122,"아메리카노 (5,000원), 라떼 (6,000원), 바닐라라떼 (6,800원), 초콜릿라떼 (7,500원), 파인애플생과일주스 (8,000원)"
밀도 성수본점,3.7,153,"서울 성동구 왕십리로 96 1층
(지번) 성수동1가 656-442",37.546241343086,127.044883106422,02-497-5050,"담백식빵 (7,800원), 리치식빵 (8,400원), 마롱미니 (8,200원), 리치에감자 크림치즈 (6,600원), 큐브 커스터드 (4,200원)"
소문난성수감자탕,3.0,"2,847","서울 성동구 연무장길 45 1층
(지번) 성수동2가 315-100",37.5428826481781,127.054408010395,02-465-6580,"감자탕 (소) (27,000원), 감자국식사 (12,000원)"
성수베이킹스튜디오,4.6,618,"서울 성동구 서울숲2길 46 지하1층
(지번) 성수동1가 668-123",37.5461965391103,127.043747525348,02-468-0789,"아몬드크루아상 (3,800원), 스콘 (2,700원), 앙버터 (4,700원), 잠봉뵈르 (5,800원), 대파베이첼 (5,300원), 소금빵 (2,700원), 파네토네 (38,000원), 프레젤 (가격정보 없음)"
인생한우,3.8,342,"서울 성동구 마장로31길 43 영지빌딩 2층
(지번) 마장동 522-2",37.5701477799402,127.038199891479,02-2292-2888,"한우 티본스테이크(100g) (16,000원), 한우갈비탕 (15,000원), 한우육회비빔밥 (12,000원), 한우사시미 (12,000원), 한우육회 (30,000원), 설원채끝(100g) (28,000원), 채끝등심(100g) (22,000원), 눈꽃등심(100g) (22,000원), 새우등심(100g) (24,000원), 꽃등심(100g) (15,000원), 안창살(100g) (32,000원), 새우살(100g) (36,000원), 토시살(100g) (28,000원), 살치살(100g) (22,000원), 치마살(100g) (22,000원)"
차만다 서울숲점,4.3,"2,011","서울 성동구 서울숲2길 28-12 1층
(지번) 성수동1가 685-480",37.5466250876629,127.041405816183,02-6448-0812,"비프 웰링턴 (48,000원), 피쉬 앤 칩스 (32,000원), 셰퍼드파이 (24,000원), 하이드 파크 샐러드 (18,000원), 퀸즈가든;버섯과 리코타치즈 샐러드 (16,500원), 퀸마리;스카치에그 로제 리소토(ROSE) (23,000원), 영국식 크림 리소토, 캐저리(CREAM) (22,000원), 노팅힐 해산물 토마토 리소토(TOMATO) (22,000원), 투움바 파스타(ROSE) (22,000원), 지중해식 봉골레 파스타(OIL) (22,000원), 에그인더헬 파스타(TOMATO, SPICY) (22,000원), 느와르 파스타(CREAM) (21,000원), 우스터 새우 파스타(OIL) (21,000원), 초록의 예찬, 바질 (24,000원), 아일랜드식 뇨끼 (22,000원), 감바스 후쥬 (21,000원), 코니시 파스티(2PCS) (22,000원), 치킨티카 마살라 (23,000원), 마세레이티드 덕 스테이크 (39,000원), 세터데이 스테이크 (45,000원)"
소바식당 성수점,2.9,111,"서울 성동구 연무장7가길 6 1층
(지번) 성수동2가 315-49",37.543016625796,127.054993682566,02-6339-1552,"한우사태 냉소바 (16,000원), 우니 냉소바 (16,000원), 한우양지&새우 온면 (15,000원), 성게알 덮밥 (중) (19,000원), 백명란 덮밥 (10,000원)"
메시,4.2,205,"서울 성동구 상원2길 3 1층
(지번) 성수동1가 14-47",37.5460155615366,127.04937595267,02-461-1121,"연어 한마리 덮밥 (13,500원), 스키샤브 (13,500원), 소고기 덮밥 (9,000원), 닭고기덮밥 (9,000원), 명란크림우동 (10,000원), 수제야끼모찌 (7,000원), 수란 (에피타이저용) (1,000원)"
전봇대집,3.0,168,"서울 성동구 살곶이길 18 성동안심상가 마장청계점 3층 302호
(지번) 마장동 525-1",37.5713825413725,127.040519485291,02-2294-0875,"치마살 (300g) (40,000원), 꽃등심 (300g) (50,000원), 살치살 (300g) (60,000원), 갈비살 (300g) (50,000원), 토시살 (500g) (70,000원), 제비추리 (500g) (70,000원), 안창살 (500g) (80,000원), 모듬 (700g) (110,000원)"
