이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
삼청각 일화당,3.0,87,"서울 성북구 대사관로 3
(지번) 성북동 330-115",37.5972821698538,126.983526326222,02-765-3700,"에스프레소 (가격정보 없음), 아메리카노 (가격정보 없음), 카페모카 (가격정보 없음), 바닐라라떼 (가격정보 없음), 카푸치노 (가격정보 없음), 카페라떼 (가격정보 없음), 매실차 (가격정보 없음), 대추차 (가격정보 없음), 청포도에이드 (가격정보 없음), 초코라떼 (가격정보 없음), 고구마라떼 (가격정보 없음), 녹차라떼 (가격정보 없음), 팥빙수 (가격정보 없음), 라테 (가격정보 없음), 복숭아아이스티 (가격정보 없음), 아이스크림 (가격정보 없음)"
안동반점,4.1,234,"서울 성북구 고려대로1길 35-1
(지번) 보문동1가 53",37.5870507663948,127.018932734098,02-923-4448,"짜장면 (6,000원), 짬뽕 (7,000원), 볶음밥 (7,000원), 군만두 (5,000원), 물만두 (5,000원), 삼선우동 (13,000원), 삼선짬뽕 (13,000원), 잡채밥 (9,000원), 탕수육(소) (15,000원), 고기튀김(소) (15,000원), 잡채(소) (14,000원), 양장피(소) (22,000원), 깐풍기(소) (22,000원), 팔보채(소) (25,000원)"
성북동면옥집,2.9,286,"서울 성북구 대사관로 40
(지번) 성북동 330-105",37.595893623474,126.988630794544,02-765-3450,"왕갈비찜 (미) (59,000원), 회냉면 (13,000원), 물냉면 (12,000원), 비빔냉면 (12,000원), 오색만두 (11,000원), 사골만듯국 (12,000원), 왕갈비탕 (17,000원), 수육 (42,000원), 홍어회무침 (17,000원), 모듬전(미) (25,000원)"
나폴레옹과자점 성북본점,3.1,104,"서울 성북구 성북로 7
(지번) 성북동1가 35-5",37.5889000220847,127.005061678527,02-742-7421,"소프트롤(10개입) (6,400원), 크림빵 (2,900원), 초코칩 모닝빵(10개입) (6,400원), 밀크식빵 (5,100원), 토종밤식빵 (5,800원), 구로칸토슈니탱 (24,000원), 녹차롤 (19,000원), 호두쉬폰 케이크 (46,000원), 모카케이크 (49,000원), 플라워케이크 1호 (65,000원)"
성북동메밀수제비누룽지백숙,3.7,90,"서울 성북구 성북로31길 9
(지번) 성북동 281-1",37.5945850956093,126.990464229478,02-764-0707,"메밀전 (12,000원), 누룽지백숙 (56,000원), 들깨메밀수제비 (12,000원)"
푸른농장정육식당,4.4,411,"서울 성북구 보문로 181 1층
(지번) 삼선동4가 333-1",37.5900615461914,127.015013055153,02-929-4816,"소한마리(1kg) (63,000원), 소반마리(500g) (34,000원), 진갈비(200g) (29,000원), 꽃살(200g) (20,000원), 갈비살(200g) (16,000원), 차돌박이(200g) (15,000원), 우삼겹(200g) (13,000원), 육회(200g) (18,000원), 육회(100g) (10,000원), 돼지한마리(1kg) (39,000원), 돼지반마리(500g) (21,000원), 생삼겹살(200g) (13,000원), 목살(200g) (13,000원), 오겹살(200g) (12,000원), 항정살(200g) (12,000원), 가브리살(200g) (12,000원)"
서울왕돈까스 성북동본점,3.5,135,"서울 성북구 창경궁로35다길 140 1,2층
(지번) 성북동 131-85",,,02-766-9370,"왕돈까스 (13,000원), 생선까스 (14,000원), 불돈까스 (14,000원), 서울정식（왕돈까스＋생선까스+함박스테이크） (16,000원), 치즈돈까스 (15,000원), 새우까스 (15,000원), 반반（돈까스＋생선까스) (14,000원), 냉모밀 (9,000원), 어묵우동 (9,000원), 비후까스 (16,000원), 왕돈정식（왕돈까스＋함박1개） (16,000원), 생선정식（생선까스＋함박1개） (16,000원), 바베큐돈까스 (14,000원), 함박스테이크 (15,000원), 육개장 (12,000원), 크림스프 (1,000원), 돈까스소스 (1,000원), 생선까스소스 (2,000원), 불소스（매운맛） (1,000원), 바베큐소스 (1,000원), 공기밥 (1,000원), 부산어묵 2개 (4,000원), 치즈스틱 5개 (4,000원), 고구마 치즈스틱 5개 (4,000원), 풋고추 (1,000원), 청양고추 (1,000원), 코카콜라 355mL (2,000원), 칠성사이다 355mL (2,000원), 웰치스포도 355mL (2,000원), 웰치스청포도 355mL (2,000원)"
꿀사발떡볶이,3.2,258,"서울 성북구 정릉로6길 45 1층
(지번) 정릉동 957-17",37.6103074365452,126.994100019198,,"떡볶이만 (9,000원), 작은사발 (10,000원), 큰 사발 (14,000원), 순대 (4,500원), 등심돈까스 (8,000원), 치즈돈까스 (9,000원)"
금왕돈까스 본점,2.8,356,"서울 성북구 성북로 138
(지번) 성북동 256-2",37.5948315882709,126.994385116336,02-763-9366,"안심돈까스 (14,000원), 등심돈까스 (13,000원), 금왕정식 (15,000원), 함박스테이크 (13,500원), 치킨까스 (13,500원)"
공푸,4.3,192,"서울 성북구 삼선교로24길 29 1층
(지번) 삼선동5가 299-10",37.588812265683,127.016109830176,070-7566-4683,"차돌박이짬뽕밥 (12,000원), 유린기미니 (12,000원), 차돌박이짬뽕 (11,000원), 짜장면/밥 (7,000원), 유린기소 (22,000원), 탕수육미니 (10,000원), 탕수육소 (18,000원)"
가부 본점,3.9,296,"서울 성북구 보문로 182 1층
(지번) 삼선동4가 351-3",37.5903762338525,127.015239004686,02-929-2182,"광동밥 (14,000원), 유산슬밥 (14,000원), 잡채밥 (9,500원), 새우볶음밥 (9,000원), 차돌짬뽕 (밥) (11,000원), 삼선짬뽕 (밥) (11,000원), 해물백짬뽕 (밥) (11,000원), 해물볶음짜장 (10,000원), 우동 (밥) (8,500원), 짬뽕 (밥) (8,500원), 짜장면 (7,000원), 중화냉면 (11,000원), 굴탕면 (밥) (11,000원), 해물양장피 (26,000원), 오향장육 (26,000원), 철판해물누룽지탕 (39,000원), 고추팔보채 (35,000원), 게살유산슬 (37,000원), 칠리큰새우 (32,000원), 크림큰새우 (32,000원), 깐풍큰새우 (32,000원), 멘보샤 (10,000원), 유린기 (24,000원), 깐풍기 (24,000원), 사천탕수육 (22,000원), 유린탕수육 (22,000원), 깐풍육 (22,000원), 탕수육 (19,000원), 고추잡채+꽃빵(4개) (28,000원)"
국화정원,3.7,30,"서울 성북구 성북로 154
(지번) 성북동 264",37.5945639918364,126.992702840119,02-741-0021,"국화정원 특선 (120,000원), 정 1품 (85,000원), 정 2품 (62,000원), 정 3품 (42,000원), 간장게장 특선 (45,000원), 점심특선 (32,000원)"
