이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
함경도찹쌀순대,3.5,759,"서울 송파구 송파대로28길 32 올림피아 오피스텔 1층
(지번) 가락동 79-7",37.4947357321517,127.121302132414,02-403-8822,"순대국 (11,000원), 순대국 (순대만 넣어 주세요) (11,000원), 순대국 (순대 빼고 고기만 주세요) (11,000원), 공기밥 (1,000원), 찹쌀순대 (13,000원), 수육 (20,000원), 모듬 (20,000원)"
청와옥 본점,3.4,"1,228","서울 송파구 위례성대로 48 반도빌딩 1층 102호
(지번) 방이동 177-3",37.5153144419563,127.11752964387,02-416-3456,"찹쌀순대 (23,000원), [청와옥]순대국밥（끓여서） (10,000원), [청와옥]순대국밥（비조리） (10,000원), [얼큰]순대국밥（비조리） (11,000원), 술국 (17,000원), 수육 (26,000원), [얼큰]순대국밥（끓여서） (11,000원), [고기만]순대국밥（끓여서） (10,000원), [순대만]순대국밥（끓여서） (10,000원), [다데기 뺀]순대국밥（끓여서） (10,000원), [고기만]순대국밥（비조리） (10,000원), [순대만]순대국밥（비조리） (10,000원), 동해안 오징어 숯불구이 (10,900원), [들깨 뺀]순대국밥（끓여서） (10,000원), [파 뺀]순대국밥（끓여서） (10,000원), [얼큰][고기만]순대국밥（끓여서） (11,000원), [얼큰][순대만]순대국밥（끓여서） (11,000원), [얼큰][들깨 뺀]순대국밥（끓여서） (11,000원), [얼큰][파 뺀]순대국밥（끓여서） (11,000원), [얼큰][고기만]순대국밥（비조리） (11,000원), [얼큰][순대만]순대국밥（비조리） (11,000원), 모둠순대＋수육 (26,000원), 전통식혜 (3,500원), 호박식혜 (3,500원), 공기밥 (1,000원), 직접담근 수제무생채（200g） (2,000원), 직접담근 수제깍두기（200g） (2,000원)"
봉피양 방이점,3.9,90,"서울 송파구 양재대로71길 5
(지번) 방이동 205",37.5101599312692,127.12596891262,02-415-5527,"돼지목심본갈비 (1인분) (36,000원), 한우석쇠불고기 (1인분) (55,000원), 한우육회 (1인분) (39,000원), 한우백양구이 (1인분) (33,000원), 봉피양 평양냉면 (16,000원), 한우사태수육 (100g) (15,000원), 한우떡갈비 (200g) (30,000원), 벽제설렁탕 (19,000원), 한우양곰탕 (21,000원), 한우곰탕 (19,000원), 한우갈비탕 (42,000원), 한우도가니탕 (30,000원)"
명인밥상,3.1,170,"서울 송파구 송이로 157 지하1층
(지번) 가락동 124-21",37.4931918951358,127.125238187143,02-409-3355,"푸른 고등어구이 밥상 (15,500원), 보리굴비 밥상 (27,000원), 전복갈비찜 밥상 (32,000원), 간장게장 밥상 (30,000원), 버섯불고기 밥상 (18,000원), 행복한코스 (50,000원), 어린이메뉴 (10,000원)"
태양곱창 본점,4.5,373,"서울 송파구 오금로15길 14 1층 태양곱창 본점
(지번) 방이동 71-1",37.5127549115471,127.109713431216,070-4304-0308,"돼지곱창전골 (소) (35,000원), 돼지곱창전골 (중) (40,000원), 돼지곱창전골 (대) (45,000원), 야채곱창 (15,000원), 곱창국밥(점심) (10,000원), 치즈 감자전 (15,000원), 콘치즈 (8,000원), 야채추가(쑥갓&깻잎) (4,000원), 볶음밥 (4,000원), 공기밥 (1,000원), 곱창구이(안주) (15,000원)"
수작나베 석촌호수직영점,4.4,364,"서울 송파구 석촌호수로 234 라품미빌딩 1층
(지번) 석촌동 158-7",37.5076453754084,127.102735192556,02-423-3767,"밀푀유나베 中 2인 (32,000원), 밀푀유나베 大 3인 (44,000원), 스키야키 中 2인 (35,000원), 스키야키 大 3인 (48,000원), 창코나베 中 2인 (41,000원), 창코나베 大 3인 (54,000원), 토마토해물나베 中 2인 (37,000원), 토마토해물나베 大 3인 (50,000원), 스지나베 中 2인 (43,000원), 스지나베 大 3인 (56,000원), 모츠나베 中 2인 (38,000원), 모츠나베 大 3인 (51,000원), 밀푀유나베세트 2인 (39,000원), 밀푀유나베세트 3인 (56,000원), 밀푀유나베세트 4인 (71,000원), 생맥주세트 2인 (50,000원), 생맥주세트 3인 (70,000원), 생맥주세트 4인 (91,000원)"
골드참치 방이점,3.7,446,"서울 송파구 오금로 125 유미빌딩 2층
(지번) 방이동 109-11",37.5117930719582,127.109246812748,02-422-7747,"런치스페셜 (60,000원), 오마카세 스페셜 (130,000원), 로얄 스페셜 (100,000원), VIP 스페셜 (80,000원), 런치 A코스 (45,000원), 런치 B코스 (35,000원)"
평양만두한상,4.5,196,"서울 송파구 양재대로71길 28-22 1층
(지번) 방이동 191-13",37.5120136412368,127.124538953723,0503-7150-6820,"어복쟁반 (80,000원), 만두전골한상 소(2인) (30,000원), 만두전골한상 중(2~3인) (38,000원), 만두전골한상 대(3~4인) (48,000원), 보쌈한상 (45,000원), 한우수육 (35,000원), 손만두국 (12,000원), 떡만두국 (12,000원), 접시손만두 (10,000원), 만두짜글이 (10,000원), 보쌈정식 (15,000원), 국산녹두전 (18,000원), 부추전 (14,000원), 칼만두국 (12,000원), 냉만두국 (여름한정) (12,000원), 콩국수 (여름한정) (10,000원), 만두 백짜글이 (10,000원), 떡국 (9,000원)"
진대감 방이점,4.1,"1,992","서울 송파구 오금로13길 6 오선빌딩 1층
(지번) 방이동 67",37.5130833187935,127.108454439821,02-416-2472,"한우차돌삼합 (29,000원), 한우투뿔모듬 (119,000원), 한우파김치전골 (55,000원), 한우차돌박이 (29,000원), 한우꽃게된장찌개 (12,000원), 한우차돌짬뽕라면 (10,000원), 갓김치물냉면 (10,000원), 갓김치비빔냉면 (10,000원), 구수한누룽지 (8,000원), 날치알볶음밥 (6,000원), 누룽지계란찜 (6,000원), 점심)한우꽃게된장찌개밥상 (12,000원), 점심)한돈파김치전골밥상 (11,000원), 점심)한우차돌짬뽕라면밥상 (10,000원), 점심)시원한 묵밥밥상 (10,000원), 점심)벌교꼬막비빔밥상 (11,000원), 벌교꼬막비빔밥 (11,000원), 생관자 (15,000원), 차돌초밥용 밥 (5,000원)"
홈수끼 방이본점,3.6,835,"서울 송파구 위례성대로 134 한스빌딩
(지번) 방이동 183-6",37.5120419264513,127.126242402939,02-417-4124,"홈수끼특선 (85,000원), A 코스 (25,800원), C 코스 (42,900원), D코스 (59,900원), B 코스 (33,800원)"
