이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
옛날마차,3.5,125,"서울 양천구 신정중앙로 84
(지번) 신정동 904-6",37.5265015502055,126.860900837757,02-2608-6755,"광어정식(중) (50,000원), 모듬세꼬시 (50,000원), 모듬정식(중) (55,000원), 전복찜 (30,000원), 모듬물회 (45,000원), 세꼬시물회(중) (30,000원), 오징어물회 (35,000원), 멍게물회 (25,000원), 소라부침 (32,000원), 산오징어무침 (32,000원), 우럭회무침 (35,000원), 수제비대합탕 (25,000원), 회덮밥 (10,000원), 모듬튀김 (15,000원), 왕새우튀김 (12,000원), 우럭정식(중) (50,000원), 우럭세꼬시 (40,000원), 아나고세꼬시 (30,000원), 가리비찜 (25,000원), 산오징어통찜 (25,000원)"
락희안 목동점,4.0,70,"서울 양천구 오목로 330 2-3층
(지번) 목동 405-285",,,0507-1492-7579,"대파꿔바로우 (소) (28,000원), 전복돌판누룽지탕 (소) (43,000원), 평일 점심특선(2인 이상 주문가능) (16,900원), 전가복 (추천메뉴) (68,000원), 대게살유산슬 (소) (38,000원), 오향장육 (소) (29,000원), 크림새우 (소) (36,000원), 팔색양장피 (소) (32,000원), 연근깐풍기 (소) (29,000원), 마파두부 (20,000원), 팔보채 (소) (38,000원), 옛날짜장 (8,000원), 이가짬뽕 (11,000원), 이가탕면 (11,000원), 흑미새우볶음밥 (10,000원), 이가찐교자 7P (9,000원), 매운새우교자 7P (10,000원), 소고기찐교자 6P (10,000원)"
대가,3.5,498,"서울 양천구 신정중앙로 66
(지번) 신정동 905-1",37.526605698652,126.85907065859,02-2605-1667,"대가양념구이(230g) (18,000원), 대가특목살(180g) (18,000원), 한우투뿔등심(150g) (48,000원), 한우차돌(150g) (25,000원)"
한마음정육식당 목동직영점,4.7,113,"서울 양천구 신목로 48
(지번) 신정동 296-69",37.5196507729128,126.873472388159,02-6014-2929,"돼지반마리(500g) (36,000원), 소반마리(300g) (38,000원), 생삼겹(180g) (17,000원), 오겹살(180g) (14,000원), 갈비살(150g) (19,000원), 소한마리(600g) (71,000원), 토시살(150g) (17,000원), 부채살(150g) (18,000원), 우삼겹(160g) (13,000원), 진갈비살(150g) (30,000원), 육회(160g) (14,000원), 돼지한마리(1kg) (67,000원), 생삼겹살(180g) (14,000원), 항정살(180g) (14,500원), 생목살(180g) (13,000원), 돼지껍데기(180g) (7,500원), 공기밥 (1,000원)"
대박곱창 본점,4.3,198,"서울 양천구 오목로 170 태남프라자 1층
(지번) 신정동 949-3",37.5248447165993,126.856176788194,02-2601-8892,"야채곱창(2인이상) (13,000원), 무뼈닭발(2인이상) (14,000원), 알곱창(2인이상) (14,000원), 순대볶음(2인이상) (13,000원), 오돌뼈볶음(2인이상) (13,000원), 막창소금구이(2인이상) (14,000원), 막창양념구이(2인이상) (15,000원)"
착한낙지 목동점,3.2,95,"서울 양천구 국회대로 289
(지번) 목동 802-9",37.5305305151402,126.867044539607,02-2649-0112,"낙지덮밥 (15,000원), 낙지해물파전 (18,000원), 연포탕 (47,000원), 낙곱새전골 (56,000원), 낙지갈비탕 (16,000원), 산낙지 (30,000원), 낙지만두 (7,000원), 돈가스 (8,000원), 새우튀김 (10,000원)"
일미락 본점,3.7,128,"서울 양천구 목동동로 226-15 1층
(지번) 목동 406-74",37.5255476677006,126.872983897603,02-2642-9292,"통삼겹살 (160g) (19,000원), 통목살 (160g) (19,000원), 발효목살 (160g) (22,000원), 청국장 (9,000원), 산더덕구이 (14,000원), 발효가브리살 (24,000원), 고추장삼겹살(직화) (22,000원), 물갈비(양념) (22,000원), 쪽갈비(순한맛) (27,000원), 쪽갈비(매운맛) (27,000원), 칼비빔면 (10,000원), 물막국수 (10,000원), 된장술밥 (10,000원), 갱시기칼국수 (8,000원), 제철모둠쌈 (3,000원)"
파티세리소나,4.7,260,"서울 양천구 목동중앙북로5길 34 1층
(지번) 목동 603-21",37.5497060138632,126.866308526225,02-2606-4454,"크로와상 (0원), 앙버터 (가격정보 없음), 브라우니 (가격정보 없음), 버터 프레첼 (0원), 치즈 치아바타 (0원), 우유식빵 (소) (0원), 모닝빵 (0원), 소금빵 (가격정보 없음), 아메리카노 (가격정보 없음), 카페라떼 (가격정보 없음), 수제바닐라라떼 (가격정보 없음), 연유라떼 (가격정보 없음), 모카라떼 (가격정보 없음), 바닐라라떼 (가격정보 없음), 크림라떼 (가격정보 없음), 바닐라라페 (가격정보 없음), 콜드브루 (가격정보 없음), 몽블랑 (가격정보 없음), 쿠키 (가격정보 없음), 딸기라떼 (가격정보 없음), 말차라떼 (가격정보 없음), 수제밀크티 (가격정보 없음), 초콜릿라떼 (가격정보 없음), 초코라떼 (가격정보 없음), 밀크티 (가격정보 없음), 유자차 (가격정보 없음), 허니레몬티 (가격정보 없음), 레몬생강차 (가격정보 없음), 레모네이드 (가격정보 없음), 유자에이드 (가격정보 없음), 에그타르트 (가격정보 없음), 피칸타르트 (가격정보 없음), 라테 (가격정보 없음), 라떼 (가격정보 없음), 라라떼 (가격정보 없음), 요거트스무디 (가격정보 없음), 오렌지주스 (가격정보 없음), 감자스프 (가격정보 없음), 복숭아에이드 (가격정보 없음)"
더아리엘 목동점,3.4,325,"서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호
(지번) 목동 961-1",37.5248304019543,126.87002254331,02-2655-0770,"주말&공휴일 성인 (중학생이상) (65,900원), 평일점심 소인 (초등학생) (33,000원), 평일저녁 소인 (초등학생) (44,000원), 주말&공휴일 소인 (초등학생) (44,000원), 유아 (20년생~취학전) (22,000원), 평일런치 성인 (중학생이상) (42,000원), 평일디너 성인 (중학생이상) (65,900원)"
은행나무집,2.8,31,"서울 양천구 중앙로34가길 8 1층
(지번) 신정동 1051-13",37.5189134041594,126.854837995823,02-2062-0777,"수육 (저녁식사) (1인분) (25,000원), 전골 (저녁식사) (1인분) (25,000원), 무침 (저녁식사) (1인분) (25,000원), 탕 (보) (17,000원), 수육 (점심특선) (1인분) (23,000원), 흑염소수육 (0원), 흑염소전골 (0원), 흑염소탕 (0원)"
항아리보쌈,4.3,25,"서울 양천구 신목로 48 1층
(지번) 신정동 296-69",37.5196507729128,126.873472388159,02-2696-0053,"굴보쌈 (소) (35,000원), 커플세트 (2인) (39,000원), 보쌈 (소) (28,000원), 회보쌈 (소) (35,000원), 막국수 (소) (8,000원), 쟁반국수 (소) (8,000원), 해물파전 (12,000원)"
부산돼지국밥 신월점,4.3,115,"서울 양천구 남부순환로 344 1층
(지번) 신월동 49-28",37.5362251102576,126.827724854483,02-2690-5533,"얼큰국밥 (8,500원), 돼지국밥 (9,000원), 순대국밥 (9,000원), 올순대국밥 (9,000원), 내장국밥 (8,000원), 삼색순대 (10,500원), 섞어국밥 (8,000원), 수육백반 (10,000원), 물밀면 (7,000원), 비빔밀면 (7,000원), 어린이국밥 (5,500원), 술국 (17,000원), 수육 (16,000원), 오소리감투 (21,000원), 편육 (16,000원), 순대전골 (31,000원)"
닥터로빈 목동점,3.7,956,"서울 양천구 오목로 299 트라팰리스 웨스터애비뉴 W동 1층 101호
(지번) 목동 962",37.5260837006075,126.87035534357,02-2646-3101,"통단호박크림스프(2~3인) (19,500원), 시그니처 매콤 새우 파스타 (24,000원), 라자냐 (19,800원), 아보카도 샐러드 (21,000원), 치폴레 샐러드 (16,000원), 피스타치오 토마토 파스타 (23,000원), 펌킨 시나몬 라떼 (8,500원), 하이볼 (8,500원), 키즈 함박 세트 (14,900원)"
