이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
부일숯불갈비,4.5,842,"서울 영등포구 영중로6길 23-8 1층
(지번) 영등포동3가 23-11",37.5181453472153,126.908715270203,02-2636-9462,"돼지갈비 (국내산)(300g) (19,000원), 차돌된장뚝배기 (8,000원)"
삼거리먼지막순대국,4.1,264,"서울 영등포구 시흥대로185길 11 1층
(지번) 대림동 963-9",37.491720153466,126.907241817617,02-848-2469,"순대국 (보통) (7,000원), 순대국 (따로) (8,000원), 순대국 (특) (9,000원), 술국 (9,000원), 안주 (소) (10,000원)"
정인면옥 본점,3.6,963,"서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층
(지번) 여의도동 13-1",37.5306561597093,126.921557576182,02-2683-2615,"한우아롱사태수육 (39,000원), 한우아롱사태수육 (반접시) (21,000원), 암퇘지 편육 (29,000원), 암퇘지편육 (반접시) (17,000원), 접시만두 (13,000원), 접시만두 (반접시) (7,000원), 녹두 전 (13,000원), 한우불고기 (1인분) (35,000원), 평양냉면 (14,000원), 순면 (16,000원), 만두국 (14,000원), 떡만두국 (14,000원), 한우육개장 (14,000원), 어복쟁반 (75,000원)"
강강술래 당산점,3.1,222,"서울 영등포구 선유로 251
(지번) 양평동4가 35",37.5352421789392,126.896747010198,02-2677-9233,"한우육회 (29,000원), 한우 스페셜 (53,000원), 한우 생등심 (43,000원), 한우 모듬구이 (37,000원), 강강양념구이 (33,000원)"
대관원,3.6,175,"서울 영등포구 당산로37길 1 2층
(지번) 당산동4가 49",37.5294124502066,126.897906297847,02-2068-8791,"삼선간짜장 (10,000원), 오향장우육 (35,000원), 게살삼슬 (37,000원), 삼선짬뽕탕 (18,000원), 탕수육 (S) (18,000원), 유린기 (32,000원)"
양평동장군집 양평동본점,4.6,54,"서울 영등포구 선유서로 97 1층
(지번) 양평동2가 33-42",37.5244456585559,126.885782403242,02-3667-1392,"모듬스페셜 (600g) (30,000원), 갈매기+뽈살 (600g) (30,000원), 갈매기살 (600g) (30,000원), 뽈살 (600g) (30,000원)"
영일분식,3.4,736,"서울 영등포구 도림로141가길 34-1
(지번) 문래동4가 8-26",37.5163155606086,126.889677665864,02-2636-9817,"칼국수 (8,000원), 소면 (8,000원), 칼비빔국수 (8,000원), 소면비빔국수 (8,000원), 만두 (8,000원)"
또순이네,3.3,"1,405","서울 영등포구 선유로47길 16 1층
(지번) 양평동4가 81",37.5358685279774,126.895386159156,02-2672-2255,"된장찌개 (7,000원), 토시살(1인분) (33,000원), 등심(1인분) (33,000원), 생등심(1인분) (38,000원)"
진주집,3.9,"3,654","서울 영등포구 국제금융로6길 33 지하1층 5,6,7,27,28호
(지번) 여의도동 36-2",37.5207908297398,126.926911965929,02-780-6108,"냉콩국수 (15,000원), 닭칼국수 (12,000원), 비빔국수 (12,000원), 접시만두 (12,000원), 육개장칼국수 (12,000원)"
승남집,4.5,500,"서울 영등포구 영중로4길 9-4 1-2층
(지번) 영등포동3가 21-3",37.5176625046624,126.907563203963,070-4086-0905,"우삼겹 (180g) (17,000원), 생삼겹살 (180g) (17,000원), 와규꽃살 (150g) (31,000원), 물냉면 (6,000원), 비빔냉면 (6,000원)"
함흥냉면,3.4,221,"서울 영등포구 영등포로42길 6
(지번) 영등포동3가 7-32",37.5189887922679,126.906774943721,02-2678-2722,"회냉면 (13,000원), 고기비빔냉면 (13,000원), 물냉면 (13,000원), 회무침 (대) (25,000원), 회무침 (중) (20,000원), 김치만두 (10,000원), 고기만두 (10,000원), 고기떡만두국(동절기) (9,000원), 김치떡만두국(동절기) (9,000원), 수육 (25,000원)"
송죽장,2.6,"1,019","서울 영등포구 문래로 203 1층
(지번) 영등포동4가 98-12",37.5182520985876,126.904700613521,02-2678-1323,"양장피 (35,000원), 팔보채 (43,000원), 탕수육(소) (19,000원), 새우튀김 (43,000원), 깐소새우 (43,000원), 볶음밥 (9,000원), 삼선짜장 (10,500원), 삼선짬뽕 (12,000원), 고추짬뽕 (10,000원), 고추삼선짬뽕 (13,000원), 고추쟁반짜장(2인) (17,000원), 유슬쟁반짜장(2인) (17,000원), 기스면 (910,000원), 간짜장 (9,000원), 군만두 (8,000원), 고추짬뽕밥 (10,500원), 삼선볶음밥 (11,000원), 새우볶음밥 (11,000원), 잡채밥 (11,000원), 송이밥 (11,000원), 마파두부밥 (13,000원), 냉면 (11,000원), 유산슬 (43,000원), 해삼탕 (80,000원), 해삼쥬스 (90,000원), 샥스핀 (70,000원), 전가복 (78,000원), 산라탕 (25,000원), 깐풍새우 (43,000원), 크림새우 (13,000원), 계란탕 (23,300원), 간풍가지(소) (19,000원), 가지튀김(소) (19,000원), 라조육 (33,000원), 난자완스 (33,000원), 고추잡채 (35,000원), 해물누룽지탕 (50,000원), 마파두부 (24,000원), 깐풍기 (33,000원), 유린기 (35,000원), 해파리냉채 (35,000원), 2가지 냉채 (42,000원), 짜장 (8,000원), 우동 (9,000원), 짬뽕 (9,000원), 삼선우동 (12,000원), 삼선울면 (12,000원), 굴짬뽕 (11,000원), 삼선짬뽕밥 (12,500원), 가지덮밥 (13,000원), 잡탕밥 (17,000원)"
동해반점,3.8,228,"서울 영등포구 시흥대로 639 1층
(지번) 대림동 989-3",37.4893669304155,126.906363206129,02-832-4430,"짜장 (6,000원), 간짜장 (7,500원), 짬뽕 (7,500원), 볶음밥 (7,500원), 짬뽕밥 (7,500원), 계절메뉴콩국수 (7,500원), 야끼만두 (6,500원), 유니짜장 (7,500원), 쟁반짜장 (9,000원), 삼선짜장 (9,000원), 삼선간짜장 (9,000원), 기스면 (9,500원), 삼선우동 (11,000원), 삼선울면 (11,000원), 잡탕면 (15,000원), 삼선짬똥 (15,000원), 중국냉면 (10,000원), 짜장밤 (8,000원), 오무라이스 (8,000원), 새우볶음밥 (8,500원), 송이볶음밥 (8,500원), 마파두부밥 (9,000원), 채밥 (9,500원), 삼선볶음밥 (10,000원), 삼선짬뽕밥 (11,000원), 라조육밥 (11,000원), 고추잡채밥 (11,000원), 잡탕밥 (15,000원), 완자밥 (15,000원), 간풍중새우 (45,000원), 멘보샤 (38,000원), 짜장밥 (8,000원), 잡채밥 (9,500원), 물만두 (6,500원), 삼선짬뽕 (11,000원)"
미아리호떡,3.4,124,"서울 영등포구 경인로 803-3 1층
(지번) 문래동3가 5-6",37.5151178395034,126.902348355011,02-2690-2730,메뉴 없음
가양칼국수,4.2,"1,667","서울 영등포구 국제금융로 78 홍우빌딩 지하1층 지하3호
(지번) 여의도동 43-3",37.5208724804701,126.931298156696,0507-1399-0438,"가양칼국수버섯매운탕 (15,000원), 샤브소고기 한접시 (15,000원)"
대문점,3.3,139,"서울 영등포구 영중로10길 30 1층
(지번) 영등포동3가 15-4",37.5186045707693,126.908575915427,02-2678-3256,"문정정식 (9,000원), 물만두 (중) (5,000원), 찐만두 (5,000원), 군만두 (6,000원), 고기만두 (6,000원), 오향족발 (가격정보 없음), 오향장육 (가격정보 없음)"
고봉삼계탕 KBS별관점,4.1,79,"서울 영등포구 여의대방로65길 13 1층
(지번) 여의도동 46-1",37.5193646373722,126.929590087587,02-782-7772,"상황삼계탕 (18,000원), 한방삼계탕 (20,000원), 닭불고기 (13,000원), 해물파전 (18,000원), 전복닭죽 (13,000원), 오리훈제구이 (중) (35,000원), 안동찜닭 (소) (28,000원), 쪼림닭 (38,000원), 닭볶음탕 (40,000원)"
즉석우동짜장,4.5,218,"서울 영등포구 대방천로 260 1층
(지번) 신길동 4216",37.4985425651036,126.91964845225,,"우동 (5,000원), 짜장 (5,000원), 짜장밥 (5,000원), 우동(곱빼기) (6,000원), 짜장(곱빼기) (6,000원)"
열빈,4.2,40,"서울 영등포구 국제금융로 78 홍우빌딩 3층
(지번) 여의도동 43-3",37.5208724804701,126.931298156696,02-783-3838,"유니짜장 (9,000원), 해물짜장 (11,000원), 해물짬뽕 (11,000원), 해물우동 (11,000원), 굴짬뽕 (13,000원), 사천탕면 (13,000원), 해물쟁반짜장 (24,000원), 수초면 (13,000원), 기스면 (9,000원), 물만두 (13,000원), 수제군만두 (10,000원), 꽃빵 (5,000원), 잡채밥 (12,000원), 마파두부밥 (12,000원), 소고기덮밥 (13,000원), 잡탕밥 (18,000원), 유산슬밥 (18,000원), 해물볶음밥 (10,000원), 치킨카레볶음밥 (12,000원), 게살볶음밥 (13,000원), 가상밥 (12,000원), 버섯덮밥 (12,000원)"
신복촌,4.2,20,"서울 영등포구 국제금융로8길 19 중앙빌딩 2층 215,216호
(지번) 여의도동 44-21",37.5207615513454,126.929136630611,02-706-2500,"주인맘(대로)코스 (49,000원), 주인큰맘(대로)코스 (59,000원), 자연산해물모듬 (60,000원), 우럭맑은탕(2인) (38,000원), 해물비빔밥 (19,000원), 해물물회(국수+밥) (23,000원), 피문어 숙회 (40,000원), 전복 버터구이 (50,000원), 민어코스요리(여름) (85,000원), 민어탕(여름) (29,000원), 해삼과 전복, 돌멍게, 멍게 (30,000원), 전복회 (30,000원), 산낙지 (30,000원), 남해안 돌멍게 (30,000원), 갑오징어 숙회 (30,000원), 전어무침 (30,000원), 해물전 (30,000원)"
영의정,2.8,21,"서울 영등포구 국제금융로 72 호정빌딩 3층
(지번) 여의도동 43-2",37.5211195361581,126.930836281461,02-761-0236,"보리굴비 정식 (38,000원), 떡갈비 정식 (38,000원), 간장게장 정식 (55,000원), 병어조림 정식 (45,000원), 고등어 정식 (38,000원)"
모던눌랑 여의도점,3.5,104,"서울 영등포구 국제금융로8길 31 SK증권빌딩 지하1층
(지번) 여의도동 45-1",37.5197460148873,126.928066576601,02-6484-5980,"모던눌랑 케이지 (45,000원), 블랙페퍼 안심 스테이크 (50,000원), 동파육 With Buns (46,000원), 모던눌랑 상하이롤 플래터 (45,000원), 포레스트 치킨 (37,000원), 포레스트 치킨 (37,000원), 대게살 볶음 (55,000원), 갈릭 페퍼 슈림프 (40,000원), 생표고 탕수 (30,000원), 다섯가지 해물 누룽지탕 (55,000원), 상하이 핑크 (12,000원), 그린빈스 (25,000원), 비타민 볶음 (25,000원), 크리미 포테이토 with칠리소스 (25,000원)"
해물명가구룡포 영등포점,3.3,183,"서울 영등포구 영신로54길 8-2
(지번) 영등포동8가 31-2",37.5262439904321,126.903922866396,02-3667-5333,"생대구탕 (35,000원), 조기매운탕 (30,000원), 생대구탕 (식사) (14,000원), 복지리 (식사) (12,000원), 봄의 황제 (소) (49,000원), 산쭈꾸미샤브 (소) (49,000원), 전어회 (32,000원), 전어구이 (32,000원), 대하소금구이 (소) (42,000원), 청어과메기 (38,000원), 꽁치과메기 (35,000원), 청어+꽁치 (38,000원), 도루묵찌개 (30,000원), 도루묵구이 (30,000원), 생굴 (25,000원), 생굴전 (20,000원), 해물아구찜 (소) (39,000원), 코다리찜 (소) (35,000원), 막회 (45,000원), 돌문어 (45,000원), 포항물회 (37,000원), 해물모듬물회 (소) (49,000원), 모듬생선구이 (30,000원), 산낙지연포탕 (소) (55,000원), 알탕 (28,000원), 복지리 (28,000원), 아구탕 (28,000원), 소라 (35,000원), 산낙지 (25,000원), 해삼 (25,000원), 전복 (25,000원), 멍게 (20,000원), 갑오징어 (17,000원), 오징어순대 (19,000원), 알탕 (식사) (10,000원), 고등어구이 (9,000원), 이면수구이 (10,000원), 가자미구이 (10,000원), 회덮밥 (10,000원), 식사물회 (14,000원), 전복물회 (18,000원), 생민어탕 (22,000원), 굴국밥 (9,000원), 굴떡국 (9,000원)"
두툼한고깃집,4.8,88,"서울 영등포구 당산로32길 4 1층
(지번) 당산동3가 228-12",37.5263410982375,126.897262026348,02-2677-6092,"모듬 (45,000원), 오겹살 (180g) (16,000원), 목살 (180g) (16,000원), 가브리살 (180g) (16,000원), 항정살 (150g) (18,000원), 양념갈비 (250g) (16,000원), 매콤돼지꼬리 (150g) (12,000원)"
그리츠,3.9,305,"서울 영등포구 의사당대로 16 로비층
(지번) 여의도동 17-5",37.5274094452659,126.917265167328,02-6222-5511,"조식 (성인) (35,000원), 조식 (소인) (17,000원), 중식 (성인) (59,000원), 중식 (소인) (30,000원), 중식&석식 주말공휴일(성인) (82,500원), 중식&석식 주말공휴일(소인) (38,000원)"
