이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
명동교자 이태원점,3.9,88,"서울 용산구 녹사평대로 136
(지번) 이태원동 34-149",37.5308724261931,126.990955664546,02-790-7300,"칼국수(포장불가능) (11,000원), 만두(포장가능) (12,000원), 비빔국수(포장불가능) (11,000원), 콩국수(포장불가능) (12,000원)"
오복함흥냉면,3.4,156,"서울 용산구 한강대로84길 4 1층
(지번) 남영동 61-3",37.5434897002793,126.972876339986,02-703-6357,"회냉면 (12,000원), 비빔냉면 (11,000원), 물냉면 (11,000원), 만두 (8,000원)"
일미집,3.5,405,"서울 용산구 후암로 1-1 1층
(지번) 후암동 194-3",37.5461484932303,126.978268548767,02-776-0670,"감자탕 (소) (21,000원), 감자탕 (중) (28,000원), 감자탕 (대) (35,000원), 감자탕 백반 (9,000원), 볶음밥 (2,000원)"
창성옥 용문본점,3.6,200,"서울 용산구 새창로 124-10
(지번) 용문동 25-16",37.5363904437354,126.960410156037,02-718-2878,"해장국 (10,000원), 뼈전골 (중) (29,000원)"
몽탄,,"2,795","서울 용산구 백범로99길 50
(지번) 한강로1가 251-1",37.5359958464128,126.972245448266,02-794-8592,"우대갈비 (32,000원), 짚불항정살 (17,000원), 양파볶음밥 (5,000원), 된장찌개 (8,000원), 순두부황태찌개 (8,000원), 몽탄냉면 (8,000원), 몽탄비빔냉면 (8,000원), 몽탄온밥(계절메뉴) (10,000원)"
기와,3.3,73,"서울 용산구 한강대로21나길 40
(지번) 한강로3가 40-946",37.5282491342856,126.964227468456,02-710-7777,"갈비찜 (38,000원), 떡갈비 (30,000원), 보리굴비 (35,000원), 보쌈 (30,000원), 어탕수 (22,000원)"
패션5 한남점,3.0,152,"서울 용산구 이태원로 272 SPC빌딩 1층
(지번) 한남동 729-74",37.5387118216834,127.002075135428,02-2071-9505,메뉴 없음
동빙고,3.9,309,"서울 용산구 이촌로 319
(지번) 이촌동 301-162",37.5179629692604,126.982326982438,02-794-7171,"단팥죽 (7,500원), 팥빙수 (8,500원), 미숫가루팥빙수 (9,000원), 녹차빙수 (9,000원), 커피빙수 (9,500원), 아메리카노 (4,000원), 아이스아메리카노 (4,500원), 수정과 (6,500원), 로얄밀크티빙수 (9,500원), 유자빙수 (9,000원), 딸기빙수 (9,000원), 백설빙수 (9,000원)"
남영돈,,"1,658","서울 용산구 한강대로80길 17 1층
(지번) 남영동 52-2",37.5427493719708,126.973775844291,02-793-3598,"아삭아삭 항정살 (180g) (23,000원), 쪽득쫀득 가브리살 (180g) (21,000원), 육즙가득 삼겹살 (19,000원), 탱글탱글 목살 (19,000원), 잔치국수 (6,000원)"
대성정육식당,3.3,50,"서울 용산구 서빙고로95길 22 1층
(지번) 보광동 63-2",37.5265648841232,127.00211281049,02-795-9935,"한우차돌박이 (88,000원), 한우등심 (110,000원), 한우육회(150g) (30,000원), 생삼겹살 (46,000원), 냉동삼겹살 (46,000원), 김치찌개(소) (8,000원), 된장찌개(소) (6,000원)"
동아냉면,2.9,65,"서울 용산구 우사단로 5
(지번) 보광동 265-576",37.5309522809763,126.99656484138,02-796-2796,"만두 (7,000원), 물냉면 (대) (10,000원), 물냉면 (소) (8,000원), 비빔냉면 (대) (10,000원), 비빔냉면 (소) (8,000원)"
더백푸드트럭 해방촌점,2.9,292,"서울 용산구 신흥로20길 45-1 1,2층
(지번) 후암동 406-55",37.5475261411321,126.984042887241,02-777-3338,"멕시칸 버거 (14,800원), 아메리칸 더블 치즈버거 (12,800원), 아메리칸 치즈 버거 (9,500원), 베이컨 치즈 버거 (10,800원), 칠리 치즈 프라이즈 (13,900원), 치킨봉 & 치킨윙 프라이즈 (16,900원), 더백 버거 (10,800원), the100샐러드 (10,900원), BLT 샌드위치 (9,800원), 쿠반 샌드위치 (8,500원), 더블치킨버거 (10,800원), 모짜렐라 치즈버거 (10,800원), 고구마튀김&윙프라이즈 (16,900원), 감자튀김 200g (4,500원), 악마의 베이컨 （살사） (6,900원), 악마의 베이컨 （누텔라） (6,900원), 멕시칸 그릴콘 (5,000원), 폴드포크 나쵸 (15,900원), 어니언링 (12,900원), 트러플오일 프렌치프라이 (13,900원), 더백 한우패티（180g） (6,000원), 토시패티（140g） (5,000원), 더백수제베이컨（두꺼운 1장) (4,000원), 더백수제햄（2장） (4,000원), 생 아보카도 (4,000원), 과콰몰리 (6,000원), 코우슬로 (3,000원), 구운 생파인애플 (2,500원), 해쉬브라운 (2,000원), 어니언링（2ea） (2,000원)"
