이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
서부감자국,2.9,301,"서울 은평구 서오릉로 8
(지번) 녹번동 181",37.602260750611,126.926933124828,02-356-4555,"서부감자국(소) (27,000원), 우거지감자국(소) (30,000원)"
목노집,3.8,151,"서울 은평구 연서로28길 10 1층
(지번) 대조동 197-2",37.6177797860508,126.920981012189,02-355-1652,"돼지보쌈 (1인분) (16,000원), 한우곱창 (1인분) (24,000원), 염통 (1인분) (16,000원), 콩팥 (1인분) (16,000원), 양깃머리 (1인분) (33,000원), 간.천엽 (1접시) (20,000원), 한우육회 (1접시) (35,000원)"
가이오국수 본점,4.0,203,"서울 은평구 연서로 132 1층
(지번) 역촌동 1-45",37.6105380816317,126.917285065415,02-388-0621,"잔치국수 (7,000원), 비빔국수 (7,500원), 김치국수 (7,500원), 얼큰부추국수 (8,000원), 하와이안비빔쫄면 (7,500원), 가이오콩국수(여름메뉴) (9,000원), 다용도 육수 (3,500원), 어린이잔치국수 (4,000원)"
옥탑방,4.4,"2,365","서울 은평구 서오릉로 115 1층
(지번) 역촌동 2-136",37.6097793703695,126.919253268804,010-9127-6400,"청도 미나리 삼겹 (17,000원), 청도 미나리 빠삭전 (12,000원), 청도 미나리 셀프볶음밥 (6,000원), 플루마(200g) (21,000원), 흑돼지플루마(200g) (21,000원), 흑돼지황제살(150g) (10,500원), 흑돼지통갈비살(150g) (15,000원), 흑돼지치마살(150g) (14,000원), 돼지눈꽃목살(200g) (14,000원), 돼지꽃삼겹(200g) (14,000원), 작살삼겹(200g) (14,000원), 통갈매기살(150g) (15,000원)"
장충당 역촌점,4.1,618,"서울 은평구 진흥로 33 1층
(지번) 역촌동 42-62",37.6006453025675,126.91910211177,02-389-7771,"족발 특(앞발) (47,000원), 족발 대(앞/뒤) (43,000원), 족발 중(뒷발) (39,000원), 족발 소(뒷발) (35,000원), 프리미엄 족발 보쌈 세트(대) (79,000원), 반반족발(매운맛,오리지널) (45,000원), 반반족발셋트 (53,000원), 불족발 (46,000원), 보쌈 (43,000원), 장충당 쟁반막국수(대) (15,000원), 장충당 쟁반막국수(소) (10,000원), 스페셜 세트(대) (77,000원), 스페셜 세트(중) (69,000원), 프리미엄 족발 보쌈 세트(중) (59,000원), 장충당 잔치국수 (6,000원), 열무 살얼음 막국수(하계) (10,000원), 장충당 묵사발(하계) (5,000원), 장충당 얼큰술국(동계) (14,000원), 주전자 어묵탕(동계) (6,000원), 매콤 무뼈닭발 (21,000원)"
벙구갈비,4.1,25,"서울 은평구 은평로 32
(지번) 신사동 29-177",37.5979781452954,126.911386490471,02-306-5092,"수제갈비 (17,000원), 수제그린포크 (14,000원), 수제생갈비 (17,000원), 수제숙성소갈비 (27,000원), 물냉면 (6,000원)"
벙구갈비,4.1,48,"서울 은평구 응암로 269 1층
(지번) 응암동 119-1",37.596008756464,126.918771050874,02-352-5092,"수제갈비 (350g) (17,000원), 수제그린포크 (250g) (17,000원), 수제생갈비 (300g) (19,000원), 수제숙성소갈비 (300g) (34,000원), 쌈밥(점심특선) (11,000원)"
1인1잔,3.6,521,"서울 은평구 연서로 534 1-2층
(지번) 진관동 219",,,02-355-1111,"아메리카노(HOT) (5,000원), 아메리카노(ICE) (5,500원), 카푸치노(HOT) (5,500원), 카푸치노(ICE) (6,000원), 카페라떼(HOT) (5,500원), 카페라떼(ICE) (6,000원), 카페모카(HOT) (5,500원), 카페모카(ICE) (6,000원), 플랫화이트(HOT) (5,500원), 플랫화이트(ICE) (6,000원), 브라운플랫(HOT) (5,500원), 브라운플랫(ICE) (6,000원), 아인슈페너(ICE) (5,500원), 아인슈페너(HOT) (6,000원), 밀크티(HOT) (5,500원), 밀크티(ICE) (6,000원), 초코라떼(HOT) (5,500원), 초코라떼(ICE) (6,000원), 녹차라떼(HOT) (6,000원), 녹차라떼(ICE) (6,500원), 곡물라떼(HOT) (6,000원), 곡물라떼(ICE) (6,500원), 수제자몽차 (6,000원), 수제레몬차 (6,000원), 아이스티 복숭아 (6,000원), 시즌쥬스 (7,000원), 자몽에이드 (7,000원), 레몬에이드 (7,000원), 패션후르츠에이드 (7,000원), 자두에이드 (7,000원), 오미자차 (0원), 레몬차 (0원), 말이떡 (0원), 두텁떡 (0원), 앙금절편 (0원), 바나나떡 (0원)"
이상향,4.1,287,"서울 은평구 진흥로5길 17 1층
(지번) 역촌동 40-8",37.6026065358388,126.919171558751,070-7797-7206,"꿔바로우 (22,000원), 크림새우 (17,000원), 아상향 유린기 (23,000원), 마라 사천치킨 (23,000원), 칠리새우 (17,000원), 어항가지 그라탕 (17,000원), 토마토 누릉지탕 (27,000원), 우삼겹 짬뽕 (15,000원), 봉골레 짬뽕탕 (22,000원), 탄탄면 (14,000원), 돌솥 유니 짜장면 (12,000원), 크림볶음짬뽕 (15,000원), 군만두 (7,000원)"
보들이족발,3.7,571,"서울 은평구 연서로 230-10
(지번) 대조동 185-43",37.6182876349063,126.920924293549,0507-1429-7610,"족발 (대) (앞발) (36,000원), 족발 (중) (뒷발) (31,000원), 족발 (소) (뒷발) (27,000원), 보쌈 (대) (38,000원), 보쌈 (중) (31,000원), 냉채족발 (38,000원), 불족발 (34,000원), 알곱창 (2인분) (20,000원), 순대곱창 (2인분) (20,000원), 순대술국 (대) (22,000원), 순대술국 (중) (17,000원), 순대술국 (소) (12,000원), 순대국 (8,000원), 쟁반막국수 (15,000원), 막국수 (8,000원), 생굴(11~4월) (15,000원), 어리굴젓(5월~10월) (10,000원), 보쌈김치 (추가주문시) (8,000원), 족발+보쌈세트 (소) (50,000원), 족발+보쌈세트 (중) (60,000원), 족발+보쌈세트 (대) (70,000원), 특순대국 (10,000원), 보쌈정식 (10,000원)"
