이름,평점,리뷰수,주소,위도,경도,전화번호,메뉴
대성집,4.1,486,"서울 종로구 사직로 5 1층
(지번) 행촌동 209-35",37.5727329912624,126.960931227106,02-735-4259,"도가니탕 (13,000원), 도가니탕 (특) (17,000원), 수육 (30,000원), 해장국 (7,000원)"
삼청동수제비,3.1,"1,494","서울 종로구 삼청로 101-1 1층
(지번) 삼청동 102-2",37.5846047083553,126.981947585254,02-735-2965,"수제비 (10,000원), 찹쌀새알옹심이(2인이상) (14,000원), 감자전 (12,000원), 파전 (17,000원), 녹두전 (17,000원), 쭈꾸미 (23,000원), 동동주 (5,000원)"
어니언 안국,3.5,856,"서울 종로구 계동길 5
(지번) 계동 146-1",37.5773990614114,126.986348419217,070-7543-2123,"에스프레소(Espresso) (5,000원), 아메리카노(Americano) (5,500원), 카페라떼(Cafe latte) (6,000원), 카푸치노(Cappuccino) (6,000원), 플랫화이트(Flatwhite) (6,000원), 바닐라라떼(Vanilla latte) (7,000원), 이 초콜릿 라떼는 최고라고 자부한다. (7,000원), 슬리핑 뷰티 티 (6,000원), 네 종류의 베리가 들어간 소다 (8,000원), 시그니처 밀크 티 (8,000원), 유자 허니 블랙 티 (7,000원)"
산모퉁이,3.0,233,"서울 종로구 백석동길 153
(지번) 부암동 97-5",37.5954257258216,126.967975647987,02-391-4737,"에스프레소 (7,000원), 아메리카노 (7,000원), 카페라떼 (8,000원), 카푸치노 (8,000원), 바닐라라떼 (8,000원), 카라멜 마끼아또 (8,000원), 발로나카페모카 (8,000원), 복숭아아이스티 (8,000원), 로얄밀크티 (8,000원), 수제유자차 (8,000원), 수제모과차 (8,000원), 리얼레몬차 (8,000원), 초코라떼 (8,000원), 레몬에이드 (10,000원), 캐모마일 (8,000원), 페퍼민트 (8,000원), 루이보스 (8,000원), 얼그레이 (8,000원), 오페라 케이크 (7,000원), 산딸기 케이크 (7,000원), 초코칩쿠키 (7,000원), 아몬드쿠키 (7,000원), 마들렌 (7,000원), 클라우드 (9,000원), 호가든 (10,000원), 하이네켄 (10,000원)"
스미스가 좋아하는 한옥,3.4,367,"서울 종로구 삼청로 22-7
(지번) 사간동 62-1",37.5780279640141,126.980073890514,02-722-7003,"부라타 샐러드 (25,000원), 버섯 크림 리조또 (26,000원), 오징어 먹물 리조또 (28,000원), 마르게리따 (23,000원), 안심스테이크 (64,000원), 봉골레 (26,000원)"
화통본가,3.8,62,"서울 종로구 수표로20길 33
(지번) 종로3가 123-3",37.5700521010732,126.991349829833,02-2269-8877,"보쌈모듬 (중) (53,000원), 버섯굴솥밥 (14,000원), 생선구이모듬 (중) (30,000원), 굴보쌈 (소) (28,000원), 족발 (소) (28,000원), 닭도리탕 (소) (25,000원), 뼈감자탕 (소) (28,000원), 족발&보쌈 (중) (53,000원), 돌문어삼합 (48,000원), 홍어삼합 (48,000원), 고등어구이 (점심 메뉴) (12,000원), 삼치구이 (점심 메뉴) (12,000원), 조기구이 (점심 메뉴) (12,000원), 갈치구이 (점심 메뉴) (12,000원), 닭도리탕 (점심 메뉴) (8,000원), 버섯굴솥밥 (점심 메뉴) (14,000원), 보쌈정식 (점심 메뉴) (13,000원), 굴보쌈정식 (점심 메뉴) (17,000원), 생선구이 추가 (8,000원)"
동래복국 동대문점,3.1,115,"서울 종로구 종로 291
(지번) 창신동 695-1",37.5717786540899,127.01009058885,02-741-4705,"낙지 한마리 아구찜 (38,000원), 낙지 한마리 복어찜 (43,000원), 낙지 한마리 해물찜 (34,900원), 낙지 한마리 새우 (29,900원), 복국 (1인) (12,000원)"
창신동매운족발 본점,3.7,378,"서울 종로구 종로51길 23 1층
(지번) 창신동 581-5",37.5730232516528,127.011481644557,02-3675-9689,"핫스페셜족발 (32,000원), 매운미니족발 (24,000원), 영양족발 (29,000원), 매운석쇠순살족발 (33,000원), 매운무뼈닭발 (14,000원), 영양육회 (20,000원), 매운튀김순살족발 (30,000원), 미니족발 (12,000원), 매운훈제오리 (15,000원), 주먹밥 (2,000원), 쿨피스 1L (2,000원)"
하이디라오 대학로점,4.0,502,"서울 종로구 대학로 146 3층
(지번) 혜화동 90-18",37.5842489176,127.002029979851,02-743-6868,"하이디라오 탕 (마라탕) (12,900원)"
진옥화할매원조닭한마리 본점,3.2,"1,230","서울 종로구 종로40가길 18 1-3층
(지번) 종로5가 265-22",,,02-2275-9666,"닭한마리 (30,000원), 감자사리 (3,000원), 떡사리 (2,000원), 국수사리 (2,000원), 공기밥 (1,000원)"
황생가칼국수,3.6,"1,149","서울 종로구 북촌로5길 78
(지번) 소격동 84",37.5800790856895,126.980668605391,02-739-6334,"사골칼국수 (12,000원), 왕만두국 (12,000원), 왕만두 (12,000원), 콩국수 (15,000원), 버섯전골(2인) (40,000원), 모듬전(R) (35,000원), 보쌈(R) (40,000원), 수육(R) (45,000원), 백수육(R) (50,000원)"
화목순대국 광화문1호점,3.9,184,"서울 종로구 새문안로5길 11 1층
(지번) 당주동 40",37.5711948777558,126.974726578327,02-723-8313,"순순대탕 (10,000원), 순대국 (10,000원), 내장탕 (10,000원), 모듬 (32,000원), 술국 (22,000원), 머리고기 (28,000원), 내장접시 (28,000원), 순대 (대) (26,000원), 순대 (소) (13,000원), 막걸리 (4,000원), 소주 (5,000원), 맥주 (6,000원), 음료수 (2,000원)"
오죽이네,4.2,859,"서울 종로구 돈화문로11가길 25
(지번) 익선동 156",37.5737804677873,126.990804674931,02-741-8874,"닭매운탕 (소) (28,000원), 옻매운탕 (50,000원), 쭈꾸미,쭈심겹 (중) (36,000원), 쭈꾸미, 쭈삼겹 (대) (40,000원), 닭매운탕(중) (37,000원), 닭매운탕(대) (45,000원)"
유진식당,3.6,337,"서울 종로구 종로17길 40 1층
(지번) 낙원동 221",37.5720460142943,126.988333199571,,"설렁탕 (7,000원), 돼지머리국밥 (7,000원), 물냉면 (11,000원), 비빔냉면 (11,000원), 회냉면 (15,000원), 녹두지짐 (10,000원), 홍어무침 (15,000원), 돼지수육 (10,000원), 소수육 (15,000원), 돼지술국 (14,000원), 소술국 (15,000원), 소주 (4,000원), 맥주 (5,000원), 막걸리 (4,000원), 청하 (5,000원)"
서린낙지,3.1,92,"서울 종로구 종로 19 르메이에르 종로타운 2층
(지번) 청진동 146",37.5708444878121,126.979923668151,02-735-0670,"낙지볶음 (24,000원), 베이컨쏘세지 (18,000원), 조개탕 (17,000원), 계란말이 (8,000원)"
명동닭한마리 본점,3.5,380,"서울 종로구 종로40가길 14 1층
(지번) 종로5가 265-8",37.5703590604321,127.005880867535,02-2266-8249,"엄나무닭한마리 (2인) (30,000원), 닭볶음탕 (2인) (34,000원), 삼계탕 (1인) (16,000원), 모래집볶음 (10,000원)"
은성회집,3.0,64,"서울 종로구 창경궁로 88 광장시장 45-1호
(지번) 종로4가 165-2",37.5701196320637,126.999798964693,02-2267-6813,"대구매운탕(2인분) (28,000원)"
밀토스트집,2.9,314,"서울 종로구 수표로28길 30-3 1층
(지번) 돈의동 21-3",37.5731105443861,126.990381728593,02-766-0627,"과일 프렌치 (26,000원), 초당 옥수수 프렌치 (22,000원), 스트로베리 브레드 (15,500원), 벌집바닐라 브레드 (15,000원), 플레인허니 브레드 (14,000원), 고구마바닐라 브레드 (14,500원), 콘마요 브레드 (14,500원), 밤바닐라 브레드 (15,500원), 딸기 토스트 (20,000원), 블루베리크림치즈 토스트 (15,000원), 앙버터 토스트 (15,500원), 바닐라 아이스크림 토스트 (16,000원), 스팀식빵 ( 기본 + 밤 or 고구마 ) (12,000원), 드립커피 (7,500원), 드립라떼 (8,500원), 클래식크림커피 (7,500원), 아몬드모카크림커피 (8,000원), 바밤바우유 (8,500원), 딸기우유 (8,500원), 허쉬초콜릿우유 (8,500원)"
스태픽스,3.3,963,"서울 종로구 사직로9길 22 1층 102호
(지번) 필운동 32-1",37.5774727868463,126.967882018316,010-2243-2712,"에스프레소 (5,500원), 아메리카노 (6,000원), 카모마일 (8,500원), 루이보스 (8,500원), 카페라떼 (6,500원)"
계림 종로본점,3.9,573,"서울 종로구 돈화문로4길 39 1층
(지번) 종로3가 167",37.5701701402045,126.994503106903,02-2263-6658,"닭볶음탕 (대)(4인) (55,000원), 닭볶음탕 (중)(3인) (42,000원), 닭볶음탕 (소)(2인) (30,000원)"
루뽀,4.0,250,"서울 종로구 새문안로5길 31 센터포인트빌딩 2층 202호
(지번) 도렴동 65",37.5729765145796,126.974351284671,02-6262-0880,"리옹 샐러드 (22,000원), 트러플 리조또 (24,000원), 깻잎 치킨 파스타 (23,000원), 볼로네제 (23,000원), 트러플 마요 감자튀김 (16,000원)"
육미,3.9,75,"서울 종로구 종로9길 18
(지번) 인사동 255-5",37.5710165518871,126.984539905226,02-738-0122,"쭈꾸미덮밥 (9,000원), 쭈꾸미볶음 (9,000원), 동태탕 (9,000원), 소불고기 (8,000원), 제육볶음 (8,000원), 굴순두부탕 (7,000원), 쭈꾸미불고기(2인) (20,000원), 쭈꾸미철판(중) (28,000원), 쭈.삼겹살철판(중) (30,000원), 쭈꾸미치즈철판(중) (30,000원), 꽃게동태탕전골 (20,000원), 닭도리탕 (25,000원), 왕노가리 (15,000원), 매운코다리찜 (20,000원), 해물파전 (13,000원), 쭈꾸미고추부추전 (12,000원), 계란말이 (10,000원), 꼬막(계절) (20,000원), 생굴(계절) (15,000원), 굴전(계절) (20,000원)"
혜화칼국수,3.2,532,"서울 종로구 창경궁로35길 13
(지번) 혜화동 84-3",37.5865672706825,127.001506851073,02-743-8212,"국시 (11,000원), 수육 (대) (33,000원), 수육 (소) (18,000원), 문어 (대) (33,000원), 문어 (소) (18,000원), 생선튀김 (대) (33,000원), 생선튀김 (소) (18,000원), 바싹불고기 (대) (33,000원), 바싹불고기 (소) (18,000원), 녹두빈대떡 (12,000원)"
온천집 익선,3.5,942,"서울 종로구 돈화문로11나길 31-8 1층
(지번) 익선동 128-3",37.5740999680943,126.989799745222,02-762-8215,"로스트 비프 스테이크 덮밥 (25,000원), 1인 된장 3단 샤브샤브 (20,000원), 1인 얼큰 3단 샤브샤브 (21,000원), 1인 된장 4단 샤브샤브 (27,000원), 1인 얼큰 4단 샤브샤브 (28,000원), 1인 된장 3단 차돌샤브 (28,000원), 1인 얼큰 3단 차돌샤브 (29,000원), 1인 된장 4단 차돌샤브 (35,000원), 1인 얼큰 4단 차돌샤브 (36,000원), 미나리 육전 (19,000원), 트러플 튀김 덮밥 (20,000원)"
석파랑,2.9,84,"서울 종로구 자하문로 309
(지번) 홍지동 125",37.5992560389919,126.958750068492,02-395-2500,"수복 (66,000원), 진찬 (88,000원), 진연 (110,000원), 만세 (110,000원), 석파 (130,000원), 수라 (160,000원), 모란 (39,000원), 매화 (69,000원)"
공평동꼼장어 본점,3.4,230,"서울 종로구 우정국로 29
(지번) 공평동 120-2",37.5717143197082,126.982851639693,02-738-1769,"꼼장어 소금구이 (13,000원), 불닭 (11,000원), 불돼지 (11,000원), 꼼장어 양념구이 (13,000원), 뼈없는닭발 (13,000원), 석쇠불고기 (15,000원), 쭈꾸미 (13,000원), 닭똥집 (13,000원), 껍데기 (11,000원), 왕새우 (15,000원), 한돈갈매기살 (16,000원), 불막창 (13,000원), 김치칼국수 (7,000원), 순두부수제비 (7,000원), 옛날도시락 (5,000원), 계란찜 (6,000원), 주먹밥 (5,000원)"
대성식당,4.2,"1,420","서울 종로구 종로26길 14-3
(지번) 장사동 127-1",37.5696681150158,126.994710290414,0507-1407-5903,"2인세트 (29,000원), 3인세트 (45,000원), 4인세트 (58,000원), 낙곱새 (11,000원)"
천하보쌈,4.0,557,"서울 종로구 창덕궁1길 8 1층
(지번) 원서동 144",37.579462509282,126.988835599173,02-744-1614,"보쌈정식 (15,000원), 낙지불고기 (26,000원), 순두부비빔밥 (11,000원), 굴보쌈 (60,000원), 불고기정식 (15,000원), 보쌈 (중) (40,000원), 보쌈 (대) (50,000원), 쟁반국수 (20,000원), 낙지정식 (24,000원)"
서울집시,4.1,296,"서울 종로구 서순라길 107
(지번) 권농동 182-6",37.5750342569077,126.991539321401,02-743-1212,자체 맥주 (변동가격)
양반댁,,612,"서울 종로구 인사동길 19-18 1층
(지번) 인사동 193-5",37.5722603642929,126.985887506167,02-733-5507,"간장게장정식 (38,000원), 보리굴비정식 (28,000원), 육회 (30,000원), 간장게장 (25,000원), 보리굴비 (15,000원), 잡채 (15,000원), 삼합 (30,000원), 한방보쌈 (20,000원), 불고기 (20,000원), 두부김치 (15,000원)"
광주집,2.6,275,"서울 종로구 돈화문로11나길 3
(지번) 돈의동 8",37.5730063396492,126.990890802055,02-764-3574,"생갈매기살 (200g) (17,000원), 생삼겹살 (200g) (17,000원), 생항정살 (200g) (17,000원), 생목살 (200g) (17,000원), 차돌박이 (200g) (17,000원)"
장수삼계탕,4.6,25,"서울 종로구 종로17길 52 2층
(지번) 낙원동 236-1",37.5724406668098,126.988503163008,02-741-1785,"삼계탕 (18,000원), 약계탕 (20,000원), 특삼계탕 (20,000원), 녹각탕 (22,000원), 반계탕 (12,000원), 약반계탕 (14,000원)"
